movie_title,title,review,rating,helpful,total,date
The King's Speech," This is a well-done film with insight into historical events which may have an impact on current goings-on.
","The movie revolves around the relationship between Albert, Duke of York and Lionel Logue. There were no transcripts of their training sessions, of course, so what exactly happened seems to me to be based on creative license, although a member of the Logue family served as adviser to the filmmakers and Logue kept diaries and wrote letters. Not much is known of his techniques for working with stammerers, but the movie suggests that Logue worked with his clients as friend and confidante. As Logue works with the future king, we learn that his father (George V) pressured all his sons into becoming more like the father. This pressure and several other problems seem to have lead Albert to stammer. The movie unfolds with considerable humor and much warmth. The two protagonists spar, as the Duke of York is unaccustomed to familiarity from anyone, much less an Australian commoner, but they find a common ground based on trust. It's almost a boy meets girl, boy loses girl, boy gets girl plot as the Duke learns Logue is not a doctor and has no credentials. But Logue regains Albert's trust, and the movie builds to the climactic scene where the newly-crowned George VI makes his inaugural speech to his subjects. The moment is beautifully done with great musical accompaniment. Despite the seeming lack of interest and drama, the film is interesting and dramatic. The film is well done and worth seeing, even though it lacks gunfights and narrow escapes from alien thugs.And now a moment's worth of historical context:The oldest brother (at the beginning of the movie he's the Prince of Wales) is first in line to succeed his father. The effects of George V's pressures on his older son are more subtle than Albert's. The real Edward was linked romantically to several older women, most (perhaps all) of them married. His last affair was with an American woman named Wallis Simpson, who was divorced from her first husband and married to her second when her affair with Edward began. His family strongly disapproved. King George V was working with other European leaders to staunch the bloodletting Hitler was causing, mostly by what has been called a policy of appeasement: give Hitler what he wants and hope he stops. Hitler, however, was an immoral sociopath who wanted only one thing: more. Eventually, Stanley Baldwin then Neville Chamberlain failed as Prime Ministers to stop Hitler's aggressions and demands. We need to keep in mind that during the Great War (now known as World War I), Great Britain lost an entire generation of young men in war -- a loss the English did not wish to repeat. It was very much in the interests of the citizens of the Commonwealth to avoid war at almost all costs. In the film, Logue's sons appear to be of draft age, so the potential loss of his children is quite real. We think today of Churchill as the speaker of Britain's anguish and desires, but the monarch was expected to rally the citizens and be the mainstay of a nation very much against war should war break out.George V was very much up to the task, making the first radio broadcast by a British monarch and requiring his two sons to do so as well. The Prince of Wales had no stammer, but the Duke of York had a severe problem. His wife, Elizabeth, encouraged him to see doctors, and he was plagued more by them than he was by the stammer, which remained despite all treatment. Eventually Elizabeth was led to Logue, who convinced Albert that he could be cured. George V died in 1936 at the height of tensions in Europe, which saw Nazi Germany swallowing countries with the consent of other countries and rearming in violation of the Treaty of Versailles. The Prince of Wales became King Edward VIII. However, Edward refused to renounce his affair with Mrs. Simpson and instead announced that he would marry her. The King of England is titular head of the Church of England, and the Archbishop of Canterbury and the Prime Minister stated that the marriage was not acceptable; if Edward married Mrs. Simpson (her divorce was in the works), the prime minister would resign and no one would take his place, causing the government to fall. Edward decided he could not give her up, and he chose to abdicate. Edward was named the Duke of Windsor and after his marriage his wife was the Duchess of Windsor. During this time, Princess Elizabeth (daughter of Albert and Elizabeth) was about 10 years of age. What impressions this made on her I do not know. However, I can't help but think that the current Prince of Wales, Charles, and his marriage to Princess Diana and his affair with Camilla Parker Bowles, followed by his marriage to Camilla after the divorce from Diana and her death, has reminded Queen Elizabeth II of the crisis involving her father and his older brother.King George VI developed lung cancer (an irony you'll appreciate after seeing the movie) and died in 1952 from coronary thrombosis at the age of 56. Elizabeth succeeded him at the age of 26. At 84, she has given no indication of resigning, allowing Charles to ascend to the throne; he is 62. The Queen Mum died at the age of 101; Queen Elizabeth II may have a long rule ahead of her yet.",7,1,3,2 January 2011
Casablanca," One of my 3 all-time faves
","This is the best movie I've ever seen, ranking as one of my three all-time favorites.* Bogart and Bergman are pitch-perfect in their roles, Rains is debonair and corrupt, Veidt is snakely and villainous as he should be, and Henreid is forgettable, but who cares? We even get Sidney Greenstreet and Peter Lorre, along with S.Z. Sakall.The typical movie is boy meets girls, boy loses girl, boy gets her back. In this version, Rick has already lost Ilsa, he gets her back, then he gives her up for the greater glory of France. Well, okay not France but for democracy and all that's decent. The dialogue is excellent with more memorable lines in each minute than most other movies generate in the whole show.Sigh - they all come rushing back: 'Round up the usual suspects!' 'Oh, he's just like any other man, only more so.' ''I came to Casablanca for the waters.' 'It's a desert - there are no waters.' 'I was misinformed.'' 'Louis, I think this is the beginning of a beautiful friendship.'The movie presents Rick as a cynical egoist, interested only in preserving himself. But we learn from his dossier that he's been involved with freedom fighters in several countries, then we learn of Ilsa. We decide that Rick is a cynic because she broke his heart, and he thinks he was a sap. Cynicism is a shell. Ilsa walks into his gin joint and back into his life, and Rick's shell thickens before our eyes. Of course, as the movie goes on, we see his shell melt away, and Rick emerges as the hero we knew was hidden deep inside all along. The dialogue is excellent, and so is the directing (Michael Curtiz). 'Casablanca' is full of minor characters who add to the richness of the world Rick lives in, adding depth that his character hides. Through his interactions with them, their affection for him and his gruffness toward them, we see his cynicism for the shell it is. Inside that steel exterior beats a heart of concrete.The ending is superb, melodramatic, and heartbreaking without being maudlin and tearjerking. Noble, but not overdone, maintaining the breeziness and snappy dialogue in the face of Nazi jackboots. (Okay, so jackboots don't have faces, but you get the point, see.)Everything works. It all comes together and stays together throughout the whole movie.*I call 'Casablanca' a movie because it's a great romantic movie about a guy and a girl. I call 'The Dresser' a film because it's about marvelous characters, and we get to watch their development during the film; 'The Dresser' is art on a high level. 'The Princess Bride' -- I dunno where it fits. It's just my favorite fantasy epic swashbuckler that rises so far above whatever genre it is that it doesn't fit anywhere.",Null,1,2,18 September 2011
The Big Lebowski," A well-deserved cult classic with a stellar cast
","This is a well-deserved cult classic. I won't call it Chandleresque even if it is based loosely (really loosely, dood) on 'The Long Goodbye.' It's a stand-alone comedy in its own right, and the characters are totally off the wall and completely credible. It's filled with laugh-out-loud funny scenes (the spreading of the ashes on the ocean is a stand out), John Goodman is huge, and John Turturro is totally over the top.The movie bears repeated watching over the years, and you'll appreciate the small things more as you stop following the plot and start following the bits that are going on during the scenes.",Null,0,1,3 January 2012
As Good as It Gets," A fairly shallow comedy with very good laugh lines
","This is a fairly shallow comedy with very good laugh lines, very well played by the actors. The deep problem is that Jack Nicholson's character, Melvin, is seriously sick and hates women, leaving me to wonder why Carol (played by Helen Hunt) falls for him -- and the only clear motivation is selfishness on both parts. She's the only one who tolerates his despicable behavior, and he pays for medical care for her sickly child. It's a funny movie, but it has some serious weakness in my view as to the characters' development. I would contrast Carol's behavior with that of Muriel's (played by Geena Davis) in 'The Accidental Tourist.' In 'As Good as It Gets,' Carol's love interest remains his sick, obsessive-compulsive self. In 'The Accidental Tourist,' Muriel and her son have helped her love interest grow into a relationship with her. I consider 'As Good As It Gets' (a more telling title under my view) to be a Hollywood ending where old, powerful producers and directors get their way with young, attractive would-be stars.",7,0,0,6 November 2010
Pirates of the Caribbean: The Curse of the Black Pearl," Great shallow movie
","This is a great shallow movie. No pretensions, great action, great jokes, pretty good actors. Directed by the well-known Gore Verbinski (no? not well-known? C'est la vie) and starring Johnny Depp, Orlando Bloom, Geoffrey Rush, and some woman I forget.Like Tommy Lee Jones, Johnny Depp has pretty much stopped acting and started playing the same role in all his films. (Tommy Lee Jones is now acting like Richard Crenna in Hot Shots! Part Deux or Wrongfully Accused or maybe Rambo IV, I forget.) But I digress. Depp here plays Jack Sparrow beautifully (and famously as Keith Richards), and the film kept me laughing from the opening scene to somewhere near the end.It's a great buddy film, although lacking the ensemble acting of 'The Princess Bride.' The bad guys are not really bad, the good guys are really, really good, and our hero gets the girl. The special effects are excellent and used to good, uh, effect: creepy when they should be creepy and hilarious when they should be funny. I was sorry when it was over.",8,0,3,21 August 2010
Hot Fuzz," One of the funniest movies I've seen
","Co-written by Simon Pegg and Edgar Wright, directed by Wright, and starring Pegg, this is one of the funniest movies I've seen. I compare it to the 'Hot Shots' movies by Abrahms and Proft. Part slasher flick, part buddy movie, part action picture, this film keeps me laughing all the way through every time I see it.Pegg plays Sergeant Angel, a hot-shot cop that no one can stand. He's in a big city, and his boss sends him to a small, rural village just to get rid of him, hoping Angel will resign out of boredom. However, Angel discovers a crime ring in the small town. The supporting cast is great: Jim Broadbent, Timothy Dalton, Paddy Considine and Rafe Spall as detectives Wainwright and Cartwright -- or is it the other way around? The Equalizer's Edward Woodward, One of my favorite scenes shows Sergeant Angel doing research to discover the murderer. It's played the same as all those Schwarzenegger movies where Arnie's character is suiting up for the assault, jamming knifes in sheaths, shoving ammo magazines in assault rifles, jerking harness tight -- while Angel is photocopying newspapers, highlighting words, circling errors with dramatic music adding tension and excitement!The movie bears repeated watching, as you get more of the jokes when you pay more attention than the dialogue warrants at first watch. The movie includes every action movie cliché that you can remember. It's incredibly well-written, and Pegg nails the role. I think Wright and Pegg really hit their stride here.",8,0,0,14 April 2012
Constantine," Contains a spoiler
","'Constantine' has the best Satan I've ever seen (in a movie). Peter Stormare (also in 'Fargo') brings true savoir faire to the role of Lucifer. Keanu Reeves plays the hero, John Constantine, and my initial reaction was that he couldn't carry it off. I pictured Constantine as a hard- bitten dick like Sam Spade, and Reeves just doesn't have it. However, his attempt to be hard- bitten grew on me -- maybe Constantine is really a gentle, caring guy trying to play tough. I think it works.The plot is taken from a comic book that I've never read. I think it's called 'John Constantine: Hellblazer,' or maybe just 'Hellblazer.' I don't care. Most movies based on comic books suck pretty bad, and I had low expectations on this film. But 'Constantine' very much exceeded my expectations solely because of Stormare and Tilda Swinton - more on her later.Okay, the plot. Angela Dodson (Weiss) is a Catholic woman whose sister appears to have committed suicide, a big no-no in the Catholic Church. This means the sister (Isable, also played by Weiss) is refused a Catholic funeral and will burn in hell for all eternity. The name Angela is obvious, of course, but it turns out that Isabel means 'God's promise.' Constantine has a reputation as a sort of supernatural private eye, so naturally she seeks him out and puts him on the case - did she fall or was she pushed? So Constantine and Angela pursue the case in this world and the next, learning there's a plot to let Satan and his minions overrun earth. Can they foil it? Of course.Director Francis Lawrence keeps the film moving, lots of action and special effects (although I though his depiction of hell was mundane), unburdened by boy-girl sparks between our hero and his client (it is a comic book, after all). Two pieces of casting makes the movie rise above its comic book status: Stormare and Swinton.Swinton plays Archangel Gabriel. I have no idea if the role was written with a man in mind, but if so, no concession was made for Swinton to play it. At one point she's seen in a mannish suit, and I don't recall references to Gabriel's gender (and I may well have forgotten -- what gender are angels, anyway?). She plays the role to the hilt. At one point, Constantine says with all sincerity, 'Gabriel, you are insane.' Best line in the movie, in part because it's totally true. Gabriel has definitely gone off the deep end, and Swinton plays Gabriel not as a thrashing lunatic but as utterly sincere.Stormare plays Lucifer with all the panache of a mafioso who's got a job condemning to hell everyone that he can, he's good at it, and he likes the job. Total confidence, total competence. There are a couple of special effects hinting at his satanic powers, but it's pretty much just Peter Stormare giving Satan character. I really liked his work.",7,2,4,24 May 2009
Catch-22," Brilliant screenplay
","Directed by Mike Nichols, the screenplay by Buck Henry is totally brilliant. The novel by Joseph Heller is itself brilliantly written, with nuances and subtleties many readers miss. Henry caught the gist of the novel and got it on screen, using the device of returning again and again to an airplane with a scene we don't fully see, showing us a little more each time, then fading to white as we get the voice over of the next scene. We get the circularity of the novel and the scattered sanity of Yossarian as he struggles to keep his shredded reality less tattered if not totally intact.The cast is incredible. Nichols gives us an all-star cast without the drivel of such disasters as 'A Bridge Too Far' and 'The Longest Day.' The cast includes Alan Arkin, Martin Balsam, Richard Benjamin, Buck Henry, Bob Newhart, Anthony Perkins, Paula Prentiss, Martin Sheen, John Voight, and Orson Welles, among many, many others.Henry had to make a movie out of the novel, so he made some hard choices, excising characters and situations that some find disappointing. My suggestion is to see the movie as the movie without comparing it to the book; on the other hand, I'm astounded at how well Henry captured the essence of Heller and his work. Jon Voight is chilling as Minderbinder, who is in my very humble opinion the lynchpin of the movie. When Minderbinder tells Yossarian, 'Then they'll understand,' the full impact of World War II (and who's the real enemy) shatters Yossarian's weakening sanity.For me the end of the novel and the end of the movie are unsatisfying, but the ride is still worth it.Trivial notes concerning the people involved in the movie. Mike Nichols also directed 'The Graduate,' with Anne Bancroft and Dustin Hoffman. Charles Grodin (Arfy Aardvark) was supposed to play Benjamin, but couldn't agree on a salary with Nichols, so Bancroft suggest Dustin Hoffman to Nichols - she'd heard about Hoffman from her husband, Mel Brooks, who had just signed Hoffman for his movie 'The Producers.' Hoffman bailed on Brooks and did 'The Graduate' instead. Norman Fell (Sgt. Towser) played Benjamin's landlord in a short scene (also involving Richard Dreyfus) in 'The Graduate.' Bob Balaban (Capt. Orr) was in 'Midnight Cowboy' with Jon Voight (and Dustin Hoffman, of course). Buck Henry wrote a TV series for Richard Benjamin (Major Danby), who is married to Paula Prentiss (Nurse Duckett). Orson Welles (General Dreedle) did the voice-over narration for Mel Brooks's 'History of the World.' Mel Brooks and Buck Henry developed 'Get Smart.' Bob Newhart (Major Major Major) and Peter Bonerz (Capt. McWatt) were in The Bob Newhart Show together. And Susanne Benton (Dreedle's WAC) had a completely unrelated role in the totally unrelated 'A Boy and his Dog.' Hollywood is a small town.",8,13,17,10 April 2011
Pan's Labyrinth," An interesting movie of the magical realism genre
","This is an interesting movie. I believe it is of the magical realism genre: the director (Guillermo del Toro) has, in my opinion, left wiggle room for two views. In this film, Ivana Baquero plays Ofelia, the daughter of Carmen (played by Ariadna Gil). Carmen is recently widowed and has been wed by the influential Captain Vidal (Sergi Lopez) at the depth of the Spanish Civil War. Carmen is pregnant with Vidal's son (he knows it's his male heir and will brook no dispute).Vidal is a heartless murderer, stamping out the revolutionaries to keep Spain safe for Franco and the Catholic church, and much of what del Toro puts in the film is a denunciation of both. Del Toro is excellent in his drawing of Vidal's character - we see Vidal in his dressing room and on the battlefield, compelled to heroics by his father's heroic death in battle. Vidal is a monster: sadistic and heartless. He is reality in the Spanish civil war.Ofelia spends time reading fairy tales and believing them to be true. Her mother chides her gently; Vidal takes her to task more strenuously. Del Toro shows us Ofelia's fantasy land, and we are left with enough vagueness that some can say her fantasies are real and some can say her fantasies are her escape from the hell of the war. And given the monster in her life, who can fault her for her escapism?If the fantasy is correct, Ofelia is the daughter of the king and queen of the underworld, and she strayed above ground for too long and lost her memory. She needs only to find her way back to assume her rightful position as heir to the crown. She finds a faun in an old maze who proposes to test her to see if she really is the princess, and she accepts the challenge. In the fantasies she faces monsters and monstrosities, sometimes failing, sometimes succeeding. If her fantasy is reality, she passes the ultimate test and goes to her mother the queen and her father the king of the underworld, takes the throne and lives happily ever after, beloved by all her subjects.We are, however, given an alternate universe. A heartbreaking world where the monster is her mother's husband, where life has no value, and where no one can pass the ultimate test. If this story is reality, she fails and does not live happily ever after.You choose which version to believe is true, and then you can think about what your choice says about you. Pay attention to all the details, fairy tales, rules, and books. There is a rich story in this movie, and your attention is well-rewarded.",8,1,4,1 April 2011
Battleship Potemkin," Propaganda that surpasses its intent
","This film is first and foremost an object of communist propaganda. It was directed by Sergei Eisenstein in 1925, and it glorifies the mutiny on the ship against the officers of the czar in 1905. The film is silent, and it is more noted today for its use of montage than for its message. Eisenstein's direction is far ahead of its day, foretelling many of our modern techniques.The story is that the men on board the ship are routinely flogged, fed rotted meat, and treated as subhuman scum by the officers. At the point where they rebel, a dozen or so men are going to be shot for not eating their soup. (Yes, really - not eating their soup was correctly viewed as insubordination.) The enlisted crew convince the armed guards to come over to the side of rebellion, and they take over the ship. All of the officers disappear, and we never learn their fate. One sailor is killed by an officer, though, and his body is taken into the port of Odessa where it lies in state. The thousands of citizens of Odessa file by his bier (where there is a sign 'Killed for a plate of soup') and weep. I found this completely lacking in credibility, but it was necessary for the uprising for the towns people to join in brotherhood with the ship's men. Hundreds of citizens hop in their boats and sail out to the Potemkin with more food than could possibly be eaten.The famous scene where the czar's police march down the steps shooting people occurs, the crew of the Potemkin launches a broadside against the opera house, symbol of the czar, then turn to face the approaching squadron of czarist ships. The Potemkin sails out to meet the squadron and do battle if necessary. The rebelling sailors ask the squadron to join them in their rebellion against czarism, the squadron does, and they all live happily ever after under the red flag of communism.The issue is why is 'The Battleship Potemkin' seen as a great film, while Leni Riefenstahl's 'Triumph of the Will' is seen as nothing but propaganda, dragging her name down in villainy for ever after?I'll propose that 'Triumph of the Will' glorified one man, and that its groundbreaking uses of tracking shots, cranes, and the like were broken under the weight of its intolerable burden: Hitler.Eisenstein's film, on the other hand, pioneered the use of new editing techniques to tell the story of plain men who rebelled against their oppression. No one monster is singled out for glory in 'The Battleship Potemkin,' so after the years have passed, we can look at it more objectively.Eisenstein's use of montage was to juxtapose several shots in quick sequence, pumping drama and meaning into a scene where one static shot would have remained empty. With his quick cuts of individual sailors cheering and showing exultation, we get a more personal feeling of their excitement than showing ranks of more or less faceless sailors waving their caps. Eisenstein showed us not a crew but individuals. The famous scene on the steps of Odessa is actually long and contains a large number of stories, not just the pram rolling down the steps with the armed police marching down after it. Eisenstein shows up rich and poor, lame and healthy, joined together to happily embrace the rebellion of the ship's crew. He shows a series of shots of individuals gleefully cheering and talking to each other, saying All for one and one for all. We get to know each person in the happiest moment of their lives. Then the czar's police show up with bayonets fixed to their long rifles as they march in step down the long stone staircase, shooting people as they move, stepping over the bodies in step. And it's not just people - it's the humans we saw and exulted with minutes ago.What Eisenstein does in the shooting scene is to show, for example, a woman on the steps looking up, shouting in fear. He shows her again from a closer view. He shows her yet again as the camera dollies in to a close up, then he cuts to a close up showing blood running down her face, her glasses broken over her eye. Without a zoom lens, this is the same technique used by Hitchcock in 'Vertigo' and Steven Spielberg in 'Jaws.' Eisenstein forces us to see that woman's face and the horror of her murder is forced upon us. These shots probably also qualify as jump cuts, and they certainly violate the rule of continuity, as we see the same person repeatedly from different positions as the camera is moved in on her as quickly and relentlessly as the approach of her killers.We see the human cost of bravery on an individual level rather than a crowd, which would make the scene have less impact. This was a great insight on Eisenstein's part: the cinematic impact is in the person, not in the mob.Eisenstein is mostly successful at drawing our attention to the abysmal life they lead as subhuman parts of a well-run machine, then at their excitement and freedom after they mutiny. The problem is that Eisenstein was promiscuous - we get the same exciting montage of scenes of the men raising the boarding stairs and stowing them as we get of them hauling up the cannon shells and gun powder and stowing it in the turrets as they prepare for battle.Although the propaganda aspect is a little ham handed in the scenes concerning the dead sailor and the townspeople, overall the film works for me as an example of the Soviet view of montage. Eisenstein's photographic compositions were excellent, and his use of the ship to frame the action kept my interest piqued during some of the longer, uninteresting speeches.",8,1,1,23 November 2009
