movie_title,title,review,rating,helpful,total,date
Angels & Demons," What are your demons telling you to do.
","The Ring of the Fisherman, which bears the official papal seal must be destroyed immediately following the pope's death. The papal apartment is then sealed for nine days of mourning, which is a period known as sede vacante, which is the time of the empty throne which it is called. The pope has died and Catholic leaders from all over the world have flocked to see his end. The Cardinals lock themselves behind doors until they decide on a new pope. In a lab Silvano Bentivoglio (Carmen Argenziano) has created a very powerful animater with the help of his lab partner Vittoria Vetra (Ayelet Zurer).With in a matter of minutes the animater is stolen and Vittoria has found Silvanos eye ball on the ground not far from his dead body. Claudio Vencenzi (David Pasquesi), Corpodella Gendarmeria Vaticano has come to find Robert Langdon (Tom Hanks) to figure out a case of the Illuminate, with the taking of four Cardinals from the Vatican. From his recent solving of church mysteries, he is told that he is the perfect guy to help stop this abomination. Figuring out through the numbers 503 which were shown numerous times Robert finds information in Galileos book which he needs to finish his second book that angels will lead their way in finding the Cardinals. Robert reads from Santi's early tomb with demon hole, they have their first location in finding each cardinal and saving them. With the help of Commander Richter (Stellan Skarsgård) and his men they hope to find each location before it's too late.This movie is yet thrilling and exciting to watch. Tom Hanks also lost weight for the part in this movie. In the first movie, he was with a younger actress and in this one he is with someone more close to his age which makes it better, actress Ayelet Zurer. From the first movie actually Hanks looks a whole lot healthier if that's the word in this one. Hank's has a lot to offer when he plays each character. With more movies to come his intriguing talent in his movies has not hit rock bottom yet and was fun to see him in this movie Angels and Demons.",7,0,0,18 November 2009
The Hangover," Funny from start to finish!
","Doug Billings (Justin Bartha) is getting married and for his bachelor party his friends Phil Wenneck (Bradley Cooper), Stu Price (Ed Helms), Alan Garner (Zach Galifianakis), and him are going to Las Vegas to celebrate. Toasting to a night they will never forget, Alan wakes up and finds a Tiger in the bathroom, Phil calls Doug because he is nowhere to be found, and along with Stu woken up too they find a baby in the closet. None of them remembering anything that has happened and Stu somehow has lost a tooth. They all begin to empty their pockets and find traces of what they did last night to find the groom Doug.All throughout this movie there is a lot of funny scenes to keep you intrigued from start to end. I last saw Cooper in the movie 'What about Steve' where he plays a guy being chased by Sandra Bullocks crazy character throughout the movie. Which you can also see Cooper in some episodes of Nip/Tuck and the movie 'He's Just Not That into You'. Helms you can find in the show 'The Office and recently was in the movie 'The Goods'. Galifianakis you can find in the movie 'What happens in Vegas' and is in upcoming movies G-Force, Up in the Air, and Youth in Revolt. Bartha is in a couple movies I have never seen one being 'New York, I love you' and the others I am unsure of really, but what I most remember him in is the 'National Treasure' movies which were fun to watch. All of these guys play really great funny characters and I will look forward to seeing them again sometime soon!",8,1,3,12 December 2009
Star Trek," A new generation of Star Trek
","Somewhere in space U.S.S Kelvin ends up running into this huge romulan ship who fires on them and asks the Capitan to come aboard the ship or be destroyed. Nero (Eric Bana) the captian of the Romulan ship fires at Captain Robau of the U.S.S. Kelvin urging him to come aboard the ship or loose his whole crew, putting James Kirk (Chris Hemsworth) in charge. Pavel Lychnikoff (Romulan Commander)starts asking Nero questions about Spock and where he is, unable to answer it is made to look like he is eliminated. Giving Kirk no choice, he orders an immediate abandon ship, but he ends up staying aboard so everyone can leave safely. Crashing Kelvin into the romulan ship. Years later James T. Kirk (Chris Pine) the son of Jim Kirk, is older and gets into a bar fight trying to schmooze a star fleet crew member Nyota Uhura (Zoe Saldana). After doing so he is spoken to by Captian Pike (Bruce Greenwood) of the U.S.S Enterprise how he was assigned to the file of the U.S.S. Kelvin and how his dad saved his mothers and his life along with 800 members the day the romulans attacked them. Telling star fleet is missing that kind of bravery his father had done and given his assessments being off the charts he should enlist in star fleet. After agreeing to do so three years later, while in a simulation mission made by Spock (Leonard Nimoy) Jim finds a way to cheat the system and find a way to beat the scenario. Jim is then in front of a jury asked why he cheated Spocks program. The graphics in this movie and special effects are really great in this movie. It is true that this movie probably has nothing to do with the other Star Trek's or at least does not play off any of the other stories. Even tho that is the case, this movie keeps you intrigued and is very interesting to see this story unfold. J.J. Abrams who also directed recently TV shows Fringe and Lost is on his way to become a great director if he has not already done so. Along with a star studded cast this movie is soon to become one of your favorites and may have you going back to the old Star Trek movies just to see any sort of connection or resemblance.",8,1,5,15 November 2009
Fight Club," A movie a little far from the norm!
","Edward Norton (The Narrator) is a stock broker who is sent to go and check out what is going wrong with some cars. Norton's character meets Tyler Durten (Brad Pitt) who sells soap and teaches him how to live a little more. Tired of being consumers Dirten and Norton's character make a Fight Club which rule number one is, you don't talk about fight club.Based on a Novel by Chuck Palahniuk, this film has you look at paranoia in a whole new meaning. From one thing to another 'Fight Club' leads you in so many directions it intrigues you. With performances from Norton, Pitt, and Helena Bonham Carter in this movie, it is a film that grew into a classic for many who love out of the norm films. If you have not seen this film I encourage you to, because it will blow your mind.",8,2,6,5 January 2010
Inglourious Basterds," Quentin Tarantino, your thinking there is going to be to much blood in this, actually not really.
","Brad Pitt, what more could you want in this movie? In Inglorious Basterds Pitt plays Lt. Aldo Raine who has assembled a group of Jews to disguise themselves at Nazi's and kill them. Your thinking what the heck that is stupid well there is more to it than that. Mélanie Laurent (Shosanna Dreyfus) is under disguise from the Nazi's so she wont be killed and says she owns a theater from her Aunt and Uncle who had passed away. Christoph Waltz (Col. Hans Landa) plays a German who is mostly in charge of finding all the Jews who are still in hiding. Raine along with others attempt to kill as many Germans and make a plan to eliminate Hilter with some new acquaintances. This movie has comedy, some drama, action, and romance all tied into one. One of Tarantino's best i would have to say, it is sure to be one of my favorite's. The movie also stars Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, B.J. Novak, and the list keeps going of coarse but those are some of the major characters in this movie. Probably not one to bring the kids to, but if you like Tarantino's style this might be a good one to check out. See my Reviews on getthenew.com, thanks ahb.",8,2,11,15 October 2009
Public Enemies," Lets take a trip back to a criminal named John Dillinger back in the 1930's!
","1933, it is the fourth year of the great depression and for John Dillinger (Johnny Depp), Alvin Karpis (Giovanni Ribisi), and Baby Face Nelson (Stephen Graham) it is the golden age of bank robbery. Agent Melvin Purvis (Christian Bale) is assigned to track down and capture Dillinger. Purvis also is the Special Agent in charge of the Chicago field office. A declaration on the United States first war on crime is declared to capture every dangerous criminal throughout the U.S. starting with Dillinger. J. Edgar Hoover played by Billy Crudup is helping directs this movement of putting a stop to criminals.Two great actors in my book go head to head in this cat get mouse thriller. In a way, this movie reminds me of 'Catch Me if You Can', in which a kid Frank Abagnale Jr. (Leonardo DiCaprio) starts to make fraud checks making up fake identities and being chased by Carl Hanratty (Tom Hanks). One trying to out-whit the other and not be caught doing what he does best which in that case was getting money from fake checks and getting away with it. Love is a powerful thing and when it comes into affect for someone you start to put away your defenses really and become more peaceful rather than dangerous. This movie is a great adaptation of a true story off John Dillinger's life in the 1930's. This movie has a good plot too and should keep you intrigued from start to finish.",8,1,2,6 December 2009
X-Men Origins: Wolverine," The start of the new X-Men has arrived!
","In the Northwest Territories of Canada in 1845, Victor is watching over his friend James. His father is heard being shot and James runs down to find him dead. He then attacks the man who shot him with bones that come out from his hands putting them into the man's chest killing him as he tells him that he is his son. After doing so James flees the house Victor close behind him finally catches him. Victor tells James do you realize we are brothers now; we need to stick together no matter what and take care of anyone who gets in our way. There are flashes of the brothers Victor and James going through every major war and never stopping to look to the past. It gets to be too much and Victor ends up killing a Sr. officer and they both end up undergoing a firing squad. Striker opens their cell and tells them if they want to join a special team with special privileges they can join or either stay here and rot. They join the team and their mission is to get a rock that is from outer space which they yet don't know that. After they have gotten the rock from a heavily guarded building with diamonds they head to an African village to try and get answers where the rock came from. The villager said it came from the sky and not believing them, the villagers begin to run and people almost get killed including Victor almost killing the guy. James tells Victor to stop because he did not sign up for this and does not want to be a part of this team anymore and leaves with Victor yelling his name. Six years later Striker finds Logan working at a logging mill telling him that someone has killed Wade and Bradley not to long after that from the old team. Not wanting anything to do with it, he just says he wants nothing to do with it anymore. Logan tells his girlfriend about Striker showing up. The next day he smells a scent of Victor and finds his girlfriend dead close by her abandoned car. Tracking down Victor at a bar they battle it out and he tells Logan how else was I supposed to get your attention. Leaving Logan telling him he is more like him than he knows, he just doesn't know it yet. Waking up at a hospital and finding Striker there who tells Logan that Victor went AWOL and is coming after everyone from the old team. Wanting revenge for what his brother has done, Striker injects Logan with Adamantium which is what he was looking for in Africa that day six years ago, which is a metal so strong that he will be able to withstand virtually anything. Unlike the other X-men this one has a story although Last Stand did have somewhat of a story with Professor Charles Xavier and Magneto. Wolverine has some of the students from the other movies just starting to go to the school for the gifted for their powers, so I wonder if they will play off that a little more. This movie shows, how Logan/Wolverine has become what he is and how he lost his memory. The special effects in this movie are really amazing and also you get to see some characters which you probably have not seen in the other X-men movies. Even if you haven't seen the other X-men movies you don't have to because this one is about Logan/Wolverine which intrigues you more I think. I mean would you rather see the good guys fighting the bad guys with powers or have a story behind how each character grew and where they started out at? Even if you have never seen the other X-men movies I would highly recommend checking this one out before the others.",8,6,8,19 November 2009
Orphan," Make sure you adopt the right girl before its all said and done.
","Isabelle Fuhrman plays Esther in this horrific movie about a girl who is adopted after Vera Farmiga (Kate Coleman) and Peter Sarsgaard (John Coleman) lose a daughter. Also her daughter almost drowns after an alcohol incident by the ice. They finally decide that adopting another daughter would be a good idea, but what they didn't know about Esther is she as not as innocent as she looks. Esther starts off by pushing a girl off the playground jungle gym then escalades into more worse things than that including using a hammer and then making sure Max (Aryana Engineer) would not tell anyone about what happened. After that it gets more out of hand and she causes Kate and Peter to fight. This movie kind of reminded me of the Uninvited in some ways and you might think so too that is if you have seen the Uninvited. The thing i liked most about this movie is it was a mystery how Esther kept coning everyone and how she would play so innocent and not get blamed for anything. This is sure to be a favorite for some people who love horror movies. Just hope you enjoy it as i did. See my Reviews on getthenew.com, thanks ahb.",7,2,3,23 October 2009
Terminator Salvation," Another Terminator, but i have no clue where this one fits in.
","Early in the 21st Century, Skynet, a military defense program, became self-aware. Viewing humanity as a threat to its existence, Skynet decided to strike first. The survivors of the nuclear fire called the event Judgement Day and lived only to face a new nightmare, the war against the machines. To hunt down and eradicate humans, Skynet built Terminators. As the war rages on, Leaders of the human resistance grow desperate. Some believing on a man that holds the key to salvation. Others believe he is a false Prophet; his name is John Connor (Christian Bale). The year is 2018.Upcoming Avatar's star Sam Worthington plays Markus Wright and Kyle Reese played by Star Trek's (Anton Yelchin). I had a feeling that I was going to watch somewhat of a destruction of human's type movie when going into this movie, but that is what to expect with the Terminator movies. You don't know what's going on most of the time tho and end up trying to figure out where this movie fits in with the other Terminators. Bale, last seeing him in 'The Dark Knight' which he did a superb job in playing John Connor which is a big role for him in this one too which he does a great job with. Also this movie leaves you wondering what happens after this, well hopefully not another movie for the Terminators.I mean look at Saw, already on it's sixth one and is still some how making death traps even though jigsaw died in the third movie. After only seeing Worthington in this movie you will start to like him I think and he has an upcoming role in hopefully a blockbuster hit movie Avatar which I am looking forward to seeing. Along with great special effects and graphics they have made somewhat of a computer generated face of Schwarzenegger which is done so well that will have you believe that it is him, but he does not talk at all. Anyways, take a look at this one if you liked the other Terminators and you might find this one fun to watch.",7,0,0,30 November 2009
500 Days of Summer," 500 days of heartbreaking memories!
","Throughout his life Tom (Joseph Gordon-Levitt) has been looking for that special someone in his life, when a new co-worker comes along named Summer (Zooey Deschanel). He thinks she might be the one and he starts to talk to Summer. This movie goes through the 500 days Tom has with Summer hence the title. This movie is a really heart warming story which is funny too, what is there not to like about Levitt and Deschanel's performance in this movie.Relationships have their ups and down and people don't like the idea of a relationship, but would rather be with someone rather than no one. Can a certain girl really ruin you life so much that you can't be yourself anymore until you get recognition from that person who you had in your heart to help you move on and go on with your life. This movie shows you that certain girls or guys can make you a better person throughout your relationship with them. I think every relationship makes you a stronger person and when you meet your next somebody it will surprise you without you even knowing at first. It's one movie that will tug at your heart a little a have you feeling sad and happy at the same time. The music also glides this story along and fits perfectly for this movie.",8,1,4,11 December 2009
