movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," A Tale of Three Idiots or Why TBWP doesn't work...
","...at least for me. [WARNING: POST CONTAINS SPOILERS]First, to be fair, I thought the three actors (Heather, Josh and Mike playing Heather, Josh and Mike) did well with what they had to work with (i.e. next to nothing); I honestly think they did the best they could. Yeah, they were grating with their constant bitching and cussing and whining, but they had to make up this s**t as they went along (and they only got $1000 bucks each), so I can't really find fault there.  I also thought that the film did well in building up suspense... ...unfortunately, that's part of the reason the film doesn't work, because it doesn't pay off.  I kept something really terrifying, but the film just didn't deliver.  But more on that later...The first and foremost reason why BWP doesn't work is that three students CONTINUED TO FILM TILL THE END.  I mean, this should tip off anyone who might have thought this was real that it was,in fact,not real; at all.  It shatters even the illusion of reality, and the characters' attempts to explain their continued filming don't hold water for me.  No rational person would film running scared in the night or alleged bits of Josh or while fearing they are lost.Which brings up the next reason why BWP fails: how could they possibly get lost in the first place?  Like they themselves said, the woods aren't that big.  They just walk in a straight line and eventually they'll get out. Yet they manage to walk around in circles.  Does the film explain this?  Not at all.  We can only vaguely infer (and it's a long shot) that the 'witch' is making them lose directions.  But there's never any strong indication of this, unless those stick figures and rock piles are supposed to mean something.  Plus they had that compass!  Are we supposed to guess that maybe the witch threw their compass off?  That seems, to me, to be a heck of a lot to ask from the viewers.  So, anyway, the trio come round full circle to find that they've come upon the same log they'd already crossed over a creek(and they sure seem to cross a lot of them in this picture) in their southbound quest to get the heck out of the woods, which is in itself odd since you'd think they'd have recrossed it at some point and had some sense that they'd flipped directions.  But the main thing is why not follow that damn creek out of the stupid woods?  When Mike in a fit of semi-demented glee confesses he kicked that useless map (previously thought lost) into the creek, he unknowingly provided the clue to another ticket out of there. But, unfortunately, the three students are too unBELIEVABLY stupid to pick up on this (I have to believe that they are monumentally stupid, else I can't buy this at all).  But I willingly overlook this in the hopes of some big scary payoff at the end.Which brings me to the third reason why The Blair Witch Project is nothing more than a house of cards.  That payoff never comes.  It just doesn't happen.  What we get is a shot of Mike in the corner taking a leak, or at least it looks that way.  All that expectation I had building up got quickly deflated.  What's that about imagination?  I'm supposed to use my imagination?  Come up with my own vision of the witch?  Pfah, any schmoe can do that.  Let's see, she's supposed to be this hairy ghost woman whose feet never touch the ground and in the middle of the night, she snags Josh in the middle of the night.  Ooohh scary... but... what if it's not a witch.  I most certainly did NOT see a witch.  Not so much as one nose-wart.  Did you see a witch?  Then how the heck do you or I know it's a damned witch? What if it's aliens, who stake out the place, to observe the locals and notice three idiots stumbling about in the woods and decide to kidnap them for study or their own amusement.  Hey!  Maybe it was those aliens who screwed with their compass and made the poor fools lose their way.  Stupid?  Damn straight!  But the filmmakers have left such gaping holes for the audience (the AUDIENCE!) to fill that I or anyone else can come up with some crazy BS to fill in those huge blanks.  And no one can tell me I'm wrong because there is nothing to say that's so.  NOTHING.  If witches, why not aliens? Why not faeries from the magical land of Narnia?  Hey, didn't you say to use my imagination?  And I could go on, but man would it ever get stupid, but as it stands I'm left unsatisfied with the movie's conclusion.Some good examples of leaving the imagination to the viewer?  How about Jaws.  Steven Spielberg knew the power of not showing the shark.  We hardly see it, but we know it's there, because we've seen the damage it's done. Or take the Excorcist.  Sure we see that a little girl doing all those ghastly things.  But we never see the demon that possesses her, but we can only imagine what it would like if we could see it and it would no doubt scare the p**s out of us.  Because we have something solid, something strongly visual on which to base our fears.  That little packet that Heather found? What the hell was that?  Looked like it could have been teeth and possibly a tongue, but it also could have bits of porcelain and a chicken gizzard (and very well could have been).  It raises tension, but doesn't truly raise any hairs.  It tells me almost nothing.  It doesn't stack up against mangled corpses and little girls with heads that spin 360Â° .  What you can't see has to be balanced with something you can, and BWP simply doesn't provide enough.One last word on the theory that what you don't see is scarier that what you do.  I'm reminded of a story I read somewhere:  Some guy enters a graveyard to rob a grave or something.  When he tries to leave, however, he finds something has grabbed his coat.  In a superstitious frenzy, thinking the resident of the grave he just robbed has snagged his coat, he struggles to get free, never bothering to turn around.  He ultimately dies of fright. Turns out what's snagged his coat is a sword stuck in the ground.> Sometimes, that noise you hear in the night is some insect or bird, or maybe the wind flapping the shutters,10 or your cat screwing around in the basement.  Sometimes what you don't see turns out to be a sword stuck point down in the ground.  And sometimes what we do turns out to be some psycho trying to stick that sword between your ribs.Well, that's it.  I've said my piece.  You can say I'm talking BS and send me e-mail illustrating the point, but I doubt very much if you can convince me to fear the sham that is The Blair Witch Project.",3,1,4,11 August 1999
The Birth of a Nation," A remarkable film, yet also a deplorable one
","Even I, being a casual movie viewer, can recognize some of the things that make The Birth of a Nation such a landmark film. But like any casual viewer of films, I can't overlook the outrageous racist propaganda that is its subject. All the apologist remarks and arguments about historical context or what have you t won't compel me to view this film again (though I do think it should be seen at least once by anyone with more than a casual interest in the history of film). As it is, when I watched it, I often had my thumb firmly on the fast forward button. I may have missed a few nuances of story but I couldn't imagine myself sitting still through a 3-hour silent film.Which brings me to my next point: why did this film have to be 3 hours long? The film's racist ideology aside, this film is faulty. More specifically, as I suggested before, it's too long. The second and third acts justify their length, but the first act takes too long establishing things. When we're given the gist of a scene with the title card (or whatever you call it), why do we need lengthy (or at least substantial) stretches of soundless dialogue and theatre-acting? Hello? The audience doesn't know what the heck the actors are saying? Why prolong these scenes? When we're told Lincoln is to sign such-and-such bill (for a more concrete example) why do we need to see Lincoln actually sitting down and signing the bill? Let's face it, the most remarkable thing about the film are its innovative battle scenes and various other innovations that modern moviegoers take for granted. In other words, except for the battle scenes, when the film isn't' being offensive, it is being boring. The other quibble I have with the film is the choice of music. Using Civil War time music is fine, but why bring Beethoven into it? I felt the use of Beethoven's 6th was incongruously used and somewhat profaned in this film.Anyway, all told, it would be hard enough to make the average movie viewer, weaned on colors and sounds and special effects and whatnot, to appreciate this film if it WEREN'T racist. As it is, its subject remains a formidable barrier against such enlightenment. As a final note, to those who defend the alleged truthfulness of the film, well, there is perhaps a kernel of truth in every instance of propaganda but, remember, it was also true that white Americans owned black slaves. And there is very little propaganda surrounding this particular truth. So I hope you'll forgive me if I fail to feel any sympathy for 'the poor, white Southerner.'",3,4,9,13 December 2004
"South Park: Bigger, Longer & Uncut"," I think I'd prefer a Terence and Phillip film
","They were the funniest part of the movie.  I laughed uproariously at their musical number.  That was almost absurdly hilarious.  After that, however, my laughter waned.  Sure there were a few highlights here and there but nothing to match Terence and Phillip.  I also thought they overdid it with the musical numbers.  That just sort of got a little too loud and frequent for me.  And yeah, as others mentioned before me, the kids cursing their big mouths off just isn't funny after a while.  Lastly, the message was just a bit too heavy-handed.  Subtle Trey & Matt ain't.  So, overall, I found it an uneven effort; but that's just me.",Null,0,0,1 August 1999
Spider-Man 2," Wow, the cops in New York must suck.
","Once Spidey takes a hiatus, the crime in NY shoots up 75%? What good are the cops if they need Spidey to do 75% of the work? What was the crime rate before Peter Parker got bitten by that mutant spider?And what is the deal with Peter Parker's 'promise' to Norman Osborn (a promise he never actually made) not to tell Harry that he was the Goblin? This 'promise' compromises Peter's ability to clear Harry's misconception that Spider-Man killed his father. But why can't Peter simply tell Harry that the Goblin killed his father? It wouldn't be anything but the truth, would it?Lastly, why the heck don't Doc Ock's tentacles feel the pull of that energy nexus thingie?But, seriously, I don't want to pick this movie apart too much. In fact, part of the appeal of the movie is the fact that these sort of outrageous situations are depicted almost believably on the screen. Of course Spider-Man needs to be important to the crime-fighting effort. Otherwise there'd be no real reason for him to exist. And Harry Osborn needs a reason to hate Spider-Man; otherwise he'd never end up as the next Green Goblin (oops! Hope I didn't spoil anything.) And Doc Ock would look pretty silly if he didn't 'magnet-proof' his tentacles (this may have been explained during the movie; could be my attention lapsed at the moment)The movie is basically a comic book, faithfully and believably adapted to screen and that, apart from the human interest story, is its main strength.",Null,1,2,27 July 2004
Spider-Man 3," Spider-Man jumps the shark
","This is a bad film and, by association, if nothing else, the other two have become sullied. I have to wonder if any of these films were ever any good. Maybe I've just been fooling myself.Anyway, there is little to say in defense of THIS film and whether or not the other two are any good, this 3rd film has put me off watching them ever again. Because Sam Raimi has clearly lost the plot, if he ever had it.The film is a complete mess. There are at least four story lines going on here, and they are rather clumsily intertwined.First we have a look at Mary Jane's attempt at a singing career and why it fails. Of course, I was under the impression that she wanted to be an ACTOR, not a singer and that she seemed as if she would do OK as the former. It's an obvious contrivance but it's not the only one. BTW, this is the character at her utmost unlikable (and about as far from the original vivacious comic book character as possible).Then you have Harry Osborne becoming the next Goblin. He sneaks up on Peter Parker while he's on his bike (btw, what happened to his Spider-Sense? It's entirely missing in this film) then starts wailing the tar out of him, until Peter finally turns the tables and knocks Harry out cold. After a brief scare that he might be dead, it turns out he's OK, except for partial amnesia (another weak plot point).Then you've got the Sandman, yet another sympathetic villain (and one who comes by his powers for no other reason than that the plot requires it). In the comic, he was a thug (except for one short period) who's fairly powerful and menacing. Here, he's a caring father who pulled off a heist to get money to save his dying daughter (well cry me a river, why don't you?) and not very effective or menacing (and Thomas Haden Church, the actor portraying him, seems to concede most of the characters' screen time to a series of roaring and groaning special effects). During this heist, he accidentally shoots and kills Peter Parker's uncle Ben. The purpose of this otherwise purposeless alteration of the Spider-Man origin story is to present some sappy message of forgiveness at the end. YAWN! Why can't we just have villains that are jerks?Oh wait, we do, in the form of Eddie Brock, a rival photographer who's attempting to land a staff job at the Daily Bugle. But if not for the major plot point of the squishy black glob from space, I'd say he comes off as little more than an after-thought. And his alliance with Sandman is never explained and never convincing. Add to that a rather poor performance by Topher Grace. That's not to knock Grace, though; I think he could have done better if there were time to focus on Brock/Venom.Somewhat intertwined with this storyline is Peter Parker's turn to the dark side. The squishy blob envelopes him, giving him a black costume and he becomes Dark Spider-Man, one who acts without inhibition or remorse when dealing with his enemies or even his friends. We witness a campily embarrassing scene parodying Saturday Night Fever and another where he attempts to humiliate Mary Jane by interrupting her jazz number with his own (btw, it was never established, to my knowledge, that Parker played the piano).Then, there's Gwen Stacy, a significant character in the comics, but here she's just reduced to nothing more than a weak plot device. (Also, in an ironic bit of casting, the actress's natural hair color is red, as is Mary Jane's, while Dunst's natural hair is blonde, just like Stacy's). Actually, she serves as a reminder of how the filmmakers dropped the ball from the very beginning. They failed to feature Gwen in the first movie and create a significant story out of it and now they're reduced to presenting the character as a cypher. Better not to have used her at all, I think(I've always wondered about wanton changes to comic book stories when they're adapted to film. I mean, these things are already STORYBOARDED and at least some of them are GOOD STORIES).Added to this convoluted mess is the suggestion of a sort of 'The Cult of Spider-Man.' Footage of him shows up on giant screens; he's invited to and shows up at a ceremony to receive the keys to the city and get kissed by Gwen Stacy (part of another weak plot device); plus the final battle scene involving the Sandman, Venom, the Goblin and Spider-Man; and all the while you've got hordes of idiots screaming 'Spider-Man! Spider-Man!' as well as a female and (for some reason) British reporter portentously describing the events of the battle. It is as embarrassing as described and it struck me that it was not unlike this in the other films, though those films were infinitely more watchable, if nothing else.What's basically happened here is that at least a year's worth of comic story lines (Harry Osborne, black costume, Venom) is being ham-handedly smooshed into a story that already features the 'touchy-feely' Sandman storyline and some angst-ridden crap about MJ. The final results aren't pretty. The movie should have focused more on Brock/Venom and left Sandman out of it. There was already enough to go on with Harry and Peter for another plot thread. The movie also could have, nay should have, done without Mary Jane's ordeals. And I think we've seen, and heard, enough of her being dangled off of something and screaming her stupid, red-dyed head off.",2,2,3,29 December 2007
Sleepy Hollow," One instance where the effects actually make the movie
","This is a gorgeous film, such that it hardly matters that the story is perhaps a bit faulty.  Story, as I said, scarcely matters.  Whatever story there is is enough to hold the movie together and maintain minimal interest.  Sleepy Hollow is a very visual film.  The costumes were great, the sets of New York and Sleepy Hollow were amazingly authentic and the effects so awesome, that I scarcely paid attention to the story or even to the notion there was supposed to be one; I was too busy marveling at the spectacle of the Headless Horseman and other remarkable effects.  This is one film where the effects actually make the movie (Jurassic Park was another such film as was The Lost World  - marginally).  There was also a surreal, quirky feeling about the film that I rather enjoyed.  There's even a sequence that is reminiscent of the Disney cartoon.This film is also about legend, i.e. elevating and expanding the status of the legend of the Headless Horseman to the status of the (hackneyed) vampire and werewolf and doing a damn good job of it.",8,0,0,13 December 1999
Star Wars: Episode II - Attack of the Clones," 'Well...it was better than Phantom Menace...'
","That's pretty much the general sentiment about the Episode II, but I would have to disagree because that would imply that The Phantom Menace was any good.  A better assessment might be that Attack of the Clone was no worse. It's basically a bunch of long drawn out sequences involving indiscernible politics (except, perhaps, to the fanatics)  and a painfully forced romance, plus another annoying scene involving a fat, four-armed alien in a diner, punctuated by a string of action sequences that just barely save this film from being a total waste of $9.25.But one other thing that kind of spoils Star Wars for me is that Boba Fett is given an origin.  I don't know about anyone else but I thought the one thing that was cool about Fett was that he was just this bounty hunter sent by Jabba the Hutt to capture Han Solo.  Period.  He didn't seem to have to do anything with the Jedi; he only entered the picture because of Solo.  He was a character that seemed to exist apart from the whole Jedi storyline and simply was doing a job for a powerful gangster.  That made the Star Wars mythos richer for me, the idea that the Jedi storyline wasn't the only thing going on in the universe.  Now ATotC has gone and entwined his story with that of the Jedi and it suddenly all seems less plausible.  Now, presumably, Boba Fett will exact his revenge by killing some Jedi or some such but then what?  In eps IV-VI, we see him as *just* a bounty hunter and, considering the import attached to him in ep II, his death in ep VI (falling into a living pit) comes across as anti-climactic.  Just my impression...",1,36,69,8 July 2002
The Lord of the Rings: The Fellowship of the Ring," The mighty Frying Pan (SPOILERS)
","I've discovered that's it not easy (at least for me) to comment on this movie in its entirety in one review and to cover all the aspects that bothered me without getting impossibly long-winded, so I've decided instead to comment on certain things as (or if) they occur to me.OK, I thought the movie did a good job in conveying a sense of urgency and terror that I don't think I'd felt as strongly in the book (it's been nigh 14 years so I may not remember too well); I figured the next time I read the book I could recall the urgency of these sequences from the movie for a greater reading experience.  But on closer inspection you wonder if there's anything to be worried about.None of the characters, except Frodo, (stabbed by a Ringwraith), Gandalf (fell to his apparent death) and Boromir (killed in an overlong death sequence) show so much as a scratch.  Samwise, a humble gardener, dispatches orcs with a frying pan.  Frodo is again attacked and wounded, but is luckily wearing some impregnable armor.  Orc-arrows seem to be shot at the Fellowship's feet or otherwise wide of their targets.  Now, I don't remember if any of the characters got nicks and scratches in the book but I do remember the Moria sequence occurring much more swiftly and none of the instances describe were milked for cheesy drama.  I remember it being more described as a frenzied flight for freedom.  It wasn't a staged battle where enemies are slain, apparently to the last orc; when the battle is over, the Fellowship has time to dote over Frodo and his 'near-death' experience before the orcs, with big booming sounds, remind the company that they are again in danger.  So it's another dash for freedom, but now the gang is surrounded by orcs that can climb down vertical surfaces like roaches and snarl and hiss at our heroes.  You wonder how orcs this skilled and threatening can be defeated with cooking utensils.  But then, that's all they do, snarl and hiss, conveniently, until (again, conveniently) they sense the coming of a nastier presence and then scatter like, surprise, roaches.  I may be wrong, but I don't remember this happening in the book. The orcs did hang back when the Balrog appeared but they didn't just go back to their hidey-holes.Now, about that much bally-hooed Balrog: yeah, sure it looked all big and impressive and stuff, but was it really all that threatening?  When I envisioned a Balrog I thought of something faster (and certainly smaller) and more vicious; something that moved with alarming speed.  The movie Balrog sure does roar a lot and rear up menacingly but it moves about as fast as a sedated tortoise.  Gandalf has plenty of time to block its downward swings and the other guys have plenty of time to split.Then there's Boromir's death scene.  I don't really mind them moving this bit from Part II to Part I.  I suppose it gives the film a sense of closure. Boromir is killed, supplying tragedy, then avenged, signalling triumph. But did it have to be so overdrawn?  Think about it: Boromir is shot with an arrow.  Shocked he falls to the floor and ponders this.  But then, he musters strength and fights some more until another arrow impales him. And then again.  But each time Boromir sits there after each fresh arrow, the orcs he's fighting LET HIM SIT THERE.  They don't take advantage of the situation and stab him but gamely wait for him to get back to his feet and kill them.  Meanwhile, the two hobbits that Boromir is defending stand idly by with blank looks while Boromir is making like a pin-cushion.  But the thing is, they're standing well off to the side and don't seem to be close to Boromir at all.  Meaning that the orcs could just swarm in and take the two hobbits (their intended goal) without even bothering to fight Boromir. The point is this scene was at least twice as long as it should have been (and not very well staged, at that), taking time that could have been used for all the stuff that others have been clamoring for (myself included), like character and plot development.  Also, it goes back to the point about how nigh invulnerable these heroes seem; even when they are beaten it seems to take a few shots to the heart and lungs to put them down.Some points have been made that the Fellowship escaped largely unscathed and dispatched tons of orcs because they are the 'best of the best.'  OK, but then, why should we be worried?  If these heroes can cut swathes through orcs and walk through a flurry of arrows without getting wet, why should we care?Anyway, this has gone one too long and ended up being a long-winded mess after all.  The point is, though what I've described above (as well as other aspects) may be inconsequential or regarded as minor flaws by many, for me they are gaping holes and undermine the movie entirely.",1,6,13,16 January 2002
The Exorcist," Possibly the creepiest film ever...
","Or one of the creepiest, anyway.  What Jaws does for swimming at the beach and The Blair Witch Project does for camping in the woods, this movie does for, er, being a twelve year old girl and minding your own business. Actually, all stupid jokes aside, that is one of the things that sets this film apart from most other horror films.  In most horror movies, it seems the threat is mostly avoidable.  For example, Jaws: just stay the hell out of the water; BWP: TS for you if you can't follow a friggin' creek out of the woods; etc.  But in Exorcist, the girl and her mother do nothing that we can see to incur the terror that comes to plague them and could have done nothing to prevent it.  It just happened.  Of course, one has to believe that this kind of thing can happen in reality for the film to have maximum impact (and there is, at least, a basis in reality).  But, for my money, even if you believe demonic possession to be so much hokum, this film does a good job at being creepy anyway; it's just that well made.",9,1,2,16 October 2000
The Assassination of Jesse James by the Coward Robert Ford," Excruciatingly dull
","I dunno, maybe the fault is with me; I'm open to that possibility. But I just couldn't sit all the way through this one. I gave it about 2 hours (of its 160 minute running time) but it felt more like four. THE GOOD, THE BAD AND THE UGLY is one minute longer than this film but it's highly watchable from beginning to end.I realize the movie was perhaps more character-driven than plot-driven, but that's still no excuse for a film to be this lugubriously paced. Check that, there is no pacing in this film. It just sort of rolls along like the clouds that are frequently and lovingly focused on in this movie. As with rolling clouds, it's hard to get a sense of movement in the movie.To be fair, the cinematography and the photography is gorgeous but it doesn't make up for the lack of anything interesting going on. Characters sit around and talk a lot and there are a lot of what I think are supposed to be menacing and enigmatic looks from Jesse James but which only really added to the overall tedium.And here I thought ONCE UPON A TIME IN THE WEST was slow. And it was, but it has absolutely nothing on THE ASSASSINATION OF JESSE JAMES (and at least the former film had Claudia Cardinale to look at). WEST is actually 15 minutes longer than this film but I wouldn't be able to notice the the difference.On a different note, it says on the Trivia page that 'When casting for the role of Robert Ford it came down to Casey Affleck and Shia LaBeouf. Affleck eventually got the role, because LaBeouf was felt to be too young.' Weird, since Robert Ford was 20 and LeBeouf was 21 at the time of the film's release, while Casey Affleck was 32.",3,8,17,16 May 2009
