movie_title,title,review,rating,helpful,total,date
Ghost," Hard not to like it.
","'Ghost' isn't very subtle, and similar themes have been done elsewhere with more depth, but I say just relax and enjoy.  The best reason is of course, Whoopi Goldberg, who is hilarious and as always, very good. As for the story and the characters' reactions  not being plausible, you really need to have a little imagination when you watch movies!  I give any movie credit for not being bad, since there are so many dreary movies out there, and Ghost is not bad.",7,11,12,18 February 2002
The Mummy," Surprisingly entertaining
","I thought this was a lot of fun. A light-hearted spoof of the old serials. Alternately gross and amusing, it's full great special effects, but still character driven.  Compared to the mess of most Hollywood 'remakes' this is pretty good. Good script keeps the action going.",8,0,0,11 August 1999
Crash," Pedantic and overdrawn - not worthy of Best Picture
","I will admit right off to my bias. I loved Brokeback, and have seen it several times. I am gay and wanted it to win. I would rather see a so-so movie about something I am interested in than an outstanding movie about something I am not. And I think most people (movie critics included, except Roger Ebert who has the unique ability to move outside his own biases, even if I frequently disagree with his conclusions) are pretty much the same way. I have sat thru some pretty mediocre movies just because there was a gay romance in it. But Brokeback Mountain is one of the very best gay subject movies I have ever seen, despite some notable flaws. With that said, I tired as hard as possible to be objective about Crash. But I found it to be heavy handed, contrived, and drawn in broad stereotypical strokes. It played like one of the better TV dramas. Actually, it seemed more like a diversity training film than a real movie: 'In this section we see how Asians are often perceived as....' or 'This is what African Americans have to deal with when confronted by city police...' We have heard it all before, it is not entertaining or fresh. I felt like i was being bludgeoned with the admonishment 'Racism! It's racism! Everything was so obvious and laden with artifice. It just didn't ring true or engaging for me at all. Just about every single line and plot point in this movie is racially motivated. Do these characters do anything else? After about a half hour of this I wanted to scream 'Make it Stop!' Certainly the issues raised in Crash are extremely important, but this movie is just overdone and without finesse.On the plus side, there is fine acting and some interesting characters, and the movie is well put together, although nothing struck me as being terribly out of the ordinary. Bottom line: Crash was boring!I can only conclude that the Academy was either homophobic, was suffering from Brokeback fatigue, wanted to reward a home town movie, or maybe resented being dictated to about who the winner should be. Also Oscar often parcels out the major awards to several of the leading most deserving movies. That certainly happened this year. Most likely reason: the heavy marketing strategy of the producers of Crash. It may not have occurred to everyone that not every Academy member sees every movie. It is almost like a political campaign. And i do think some of the more conservative members refused to see Brokeback Mountain. In the end, these awards don't mean a whole lot. I am not one to play the 'we were robbed' card, but when a movie has swept thru so many previous awards, and got such an overwhelming critical response (more than Crash), wins 3 Oscars, and then loses Best Picture, you have to wonder why.There may arguably be a few 'better' movies than Brokeback Mountain this year, but it should not have lost to Crash.",5,6,12,8 March 2006
Fargo," Terrific!
","I've only see one other Coen movie (Raising Arizona), which I thought was really dumb and boring, so I was surprised at how much I LOVED 'Fargo'.  The script was hilarious, the characters very entertaining, and its capture of Minnesota culture right on. The combination of grimness and humor, the juxtaposition of how different people's lives are, was just brilliant. Frances McDormand was just wonderful to watch. I have to wonder how people who have never lived in this part of the country react to this.  Knowing all the local references made it very amusing and recognizable.",10,0,1,9 December 1998
Armageddon," Mindless Entertainment is fine if done well, but this isn't.
","I am not so elitist that I can't enjoy a perfectly mindless entertainment once in a while, if it is done well. Something like 'Independence Day' is really not very good, but at least I wasn't bored. Armageddon is just that, a total bore. Feeble humor, incessant explosions and crashes that don't even make any sense, and are just an irritation. Ridiculous plot and characters, cheap sentiment. Truly the worst movie I have seen this year, suitable only for testosterone overloaded teenage boys.",Null,0,1,7 August 1998
"I, Robot"," Much better than average
","I Robot, from the same director as the amazing Dark City, is visually amazing, with a 'look' that is arresting and unique, even if quite similar to Spielberg's Minority Report. Furthermore, Will Smith is terrific, the perfect choice I believe, with his smarmy attitude, physicality, and considerable sex appeal. (Ok - he was very hot! And we get to see some of his amazing physique.) I agree with some comments that the script and characterization is not all one would hope and expect, but I feel it is good enough, that combined with the wonderful look of the movie and the presence of Will Smith, makes for a thought provoking and very entertaining 2 hours.  The opinions on this movie seem to be quite polarized. I tend to be very hard to please, but I give I Robot thumbs up.",8,0,0,18 July 2004
American Beauty," I shouldn't have waited
","I avoided American Beauty until now because 1. I usually am less enthusiastic about mass crowd pleasers (e.g. Sixth Sense) 2. I expected a loud cliche suburban melodrama or 3. Lolita II. I was wrong.This is a wonderful movie, perfectly written, stunningly acted and very well filmed. Yes this has all been said before, but American Beauty presents in a new unique way, and that is its strength. What I liked most was that the movie was rife with opportunities to degrade into histrionics and senimentality, yet  it never happens. Like Fargo, and The Graduate (tho not quite i that class), American Beauty has a lot to say about the craziness of this world we live in. It may not be 'uplifting', but it is all true. 
While I laughed thru much of the money, I was also continually disturbed. The charcacters are complexly drawn, and just when we think we know them, we find they are not so simple, nor so neatly drawn. THe next door teenage boy is particularly noteworthy in this respect. Is a psycho freak or a sympathetic character? The last ten minutes blew me away, I was fooled by what had become, to my surprise (tho it shouldn't have) a mystery story, and I left the theater with a feeling of great, bittersweet sorrow, that is still with me. The themes, what this movie has to say, are very relevant, at least to my life.
One of the best movies of the 90's.",9,0,0,29 February 2000
Dreamgirls," Everyone calm down!
","Dreamgirls is neither the knockout sensation the large majority are claiming, nor the disaster and failure that the rest declare.It is a very good enjoyable movie, with a lot of great scenes, superb performances and singing by Jennifer Hudson and Eddie Murphy, certainly a decent realization of the show and then some.But it does lack depth and a certain cutting edge, and the rest of the performances are rather bland. We certainly don't get a real feel to Motown here. Most of all it is no way in the same class as Chicago, a flawless movie, but still way above the mediocre.I guess that comes to a B+ rating for me. Do we have to be so polarized in everything???",8,3,6,2 January 2007
54," Dull, flat
","Lousy movie. No plot, bad script. Fails to capture atmosphere of the seventies, didn't use songs well, totally flat. Some acting, but talents are wasted. Don't waste your money.",Null,0,1,8 September 1998
Aliens," Quite Good, but not of the caliber of the original.
","I have been long a fan of the orignal 'Alien', but somehow I never saw this sequel until now. If this were in fact the first or only 'alien' movie, I would undoubtedly rate it higher than I do. It's edge of your set, exciting, and much better than most movies of this type. The special effects are great, and there are some real scary moments.But to say this is 'as good' or 'beter' than the original--that I cannot agree with.First of all, there is very litte original in this sequel. Indeed, it is more of a remake of the first Alien than a progression. The plot if very similar, and indeed, the ending is basically the same idea, right down to Sigourney Weaver in her underwear. So the mere fact that is not original is to be considered. What Aliens offers over Alien, is faster pacing, more and bigger aliens, and a generally higher adrenaline level. This is probably why a lot of people prefer it. And it is all very well done.But Aliens is basically a military shoot-em-up. The original, for all its comparative simplicity, is a much more subtle, deftly constructed, and very atmpospheric movie.  The spareness creates a feeling of claustrophobia and terror which is very effective and memorable.  I found Alien truly psychologically frightening, while Aliens is more of an in your face adrenaline rush.  Alien also has a more interesting cast, more human and subtle. The military posturing of the Aliens cast was pretty standard stuff. Sigourney Weaver, of course, is possibly even better than in the first movie. I also like the music in the first movie better.
I find Leonard Maltin's comment on the Alien inexplicable. What he seems not to like about the first movie is there in spades in the second movie.Aliens is a darn good movie, but Alien is a sci-fi classic.",Null,15,20,9 April 2001
