movie_title,title,review,rating,helpful,total,date
Skyfall," Disappointing
","I ran out to see this film because the reviews have been so enthusiastic here in the US. I loved Casino Royale, the only Bond film that I truly liked, but QOS was so bad that I wasn't sure what to expect here. Sadly, this film did not live up to expectations, and I can point to the exact moment this film went downhill: the introduction of Javier Bardem's clownish, cartoonish, over-the-top villain, Silva. Casino Royale gave us a baddie, Le Chifre, who was smooth and deadly but also grounded in reality. The Silva character is unwatchable. He whines about M having betrayed him, makes a pass at Bond, puts in motion a silly cat-and-mouse game that makes no sense, and comes across as someone so out of touch with reality that it's hard to see him as a criminal mastermind with a cadre of capable men working for him. You would think some of them would start to notice that the boss had a few too many screws loose and would cut and run. The plot takes a nosedive with Silva's introduction and even the action sequences loose luster. No cool parqour (sp?)sequences or tension- filled poker game of wits. I was surprised how bored I became as the film dragged on. Even the climatic sequence, which is set in Bond's abandoned family estate in remote Scotland, is tedious, unoriginal, and flat-out boring. Rarely has a Bond film ending been so anti-climatic and ho-hum. Although there are some nice elements in this film that give one hope for future installments, such as the introduction of a younger, tech savvy Quartermaster or 'Q' and Ralph Fiennes as a bureaucrat initially at odds with M., overall this is a mediocre film, which saddens me as Craig's version of Bond is still my favorite.",5,10,31,9 November 2012
Rogue One: A Star Wars Story," Strike One
","5 seems harsh, but on a scale of 1 to 10, it really does, or should, mean take it or leave it. This movie was bland and boring, and this is coming from someone who watches Collider Jedi Council and has read most of the new canon novels, including 'Catalyst,' the book that sets up this story. The characters in this movie are very forgettable save for Donnie Yen's blind monk or guardian of the whills character. He at least shows varied emotions. Everyone else is one-note. Story-wise, this movie is very choppy as we're dragged from one locale to the other. I wish they'd stayed on Jedda and perhaps used that planet as a base for recruiting old Force worshipers/believers and training them to be a fighting force a la 'The Dirty Dozen' or 'The Magnificent Seven.' TFA had its problems, but at least the first act was great and most of the new characters were likable and memorable. There's fan service galore in this movie, but all that did was remind me of how rich and fulfilling the OT is. I honestly can't imagine anyone but a SW nerd liking this movie.",5,10,19,16 December 2016
Lords of Dogtown," Beautifully shot, wonderful performances
","I just came from seeing this film. Even though I'm a mid-30s So Cal female, I must admit I knew nothing of the Z-boys and wouldn't have even thought of seeing this movie if the reviews weren't as positive as they are. I actually purchased the fabulous soundtrack first (all '70s era hard rock hits) and then saw the movie. It's wonderful. The look of the film is gritty and very realistic, including beautiful shots of surfers surfing in between the pylons of an old abandoned pier. The three teen-aged boys that form the heart of the story are given distinct personalities and are well developed. This is a coming of age story in many ways, but done realistically and without the lectures. The boys deal with their new found fame in different ways, which has consequences for their future lives. There's also a very emotional storyline involving the boys' fourth friend. The casting is superb. They're unknown to me, but I was caught up in their performances. Their youthful bravado and irreverence are infectious. Heath Ledger's character is a bit unsavory, but he disappears into the role. It was beautifully filmed, had fine direction, wonderful dialog, was fast paced, and had a kick-a$$ soundtrack. To sum it up, I never skateboarded in my life, but this movie makes me feel as if I missed something really cool.",9,0,11,5 June 2005
Madagascar," Cute for kiddies but not the kid in me.
","I was rather disappointed with this film. As an adult, I found the film mediocre overall. The jokes were not very funny and I found the voice-overs rather bland (especially for 'Alex' the lion), with the exception of David Schwimmer. My interest in the story lessened considerably when the animals left New York and arrived in Madagascar. I think the film would have been better if the animals had decided to make a break for Connecticut or Montana rather than having them be shipped off to Africa. The scene-stealers were the penguins, who were quite amusing, and the best sequence in the entire movie was the opening shot of a chorus of penguins singing 'Born Free.' While watching the film, I kept hoping the main characters would leave and the penguins would return. The littlest tykes in the theater seemed to enjoy this a bit, but adults will find it not worth their while.",6,11,23,1 June 2005
127 Hours," Good book material perhaps, but...
","this film was slow and rather tedious. The best parts of the movie were the first 5 minutes or so, when we see the 'hero' cavorting in the outdoors amidst beautiful scenery, and the last 5 minutes or so, when the he cuts off his arm to free himself and encounters shocked and horrified hikers. Despite the notoriety surrounding the particular incident depicted in this film, it's still essentially a survival story. That genre isn't exactly new, but the director here fees he has to do something different so instead of focusing on the build-up of the character we get endless, moody flashbacks that are essentially irrelevant and uninteresting and serve only to take us out of the moment. I was somewhat confused as to what exactly the main character did for a living. Did he work in some sporting goods store? If so, why not introduce the character showing him giving good advice to customers (i.e., don't hike alone, tell family and friends where you're going, etc.) and then contrast that with his own rash behavior as he set off alone.And we never see the incident from another's perspective, such as the rescue personnel, the doctors, or even the hikers who discover the injured man. Why not build up the moment when hikers come across the injured Ralston. As audience members, we can never know Ralston's pain and suffering, but we can put ourselves in the place of the hikers who found and helped Ralston. Their shock, horror, and confusion, would be palpable and understandable, but instead those people are just an afterthought. This film focuses entirely on the thoughts and feelings of Ralston, and that's a weakness. James Franco is fine as Aaron Ralston, but the script and the direction lets him down.",5,6,12,5 February 2011
Creed," Good but a bit overrated.
","I've seen all the 'Rocky' films and found them enjoyable but I would not call myself a big fan of the franchise. I wanted to see this film because of the high praise it was receiving. While I agree it's a good movie, I don't think it's a great movie. Sly Stallone is excellent as is Jordan in the title role. But, I didn't find the movie as memorable as I would have wanted and that's mostly because the motivations of the lead character, Adonis Johnson (Creed) aren't all that clear or believable. At the onset we're introduced to a hardscrabble young Adonis, bastard son of late, great Apollo Creed, who's been in and out of foster homes but is whisked away by Apollo's wife to live a life of luxury. He's well-educated and has a white-collar job in the financial services industry. Why he decides to up and leave all that behind and pursue a life as a professional boxer is inexplicable. He says it's because he's been fighting his whole life but that assertion rings hollow when we see him pulling into the driveway of the huge gated estate that he shares with his 'mom.' When Adonis first meets up with Rocky Balboa, a scene that should be charged with emotion and nostalgia falls flat because Adonis already knows all the stories, having been told them by Apollo's wife. He knows more than Rocky does and the reveal that he's Apollo's son just isn't that dramatic. The romantic story line also falls a bit flat at Adonis is paired up with a clichéd character: hot and alluring singer. One of the aspects of 'Rocky' that was so wonderful was the atypical romantic story line, where Rocky is paired with a mousy, decidedly unglamorous woman who slowly emerges from her shell. Rocky and Adrian's relationship felt real and the famous 'Adrian!!!' cry packed an emotional wallop. Finally, the main event lacked emotional punch because I actually felt for the opponent, a working-class Briton who was facing the probability of a lengthy prison sentence and having to leave his young children behind.The story would have been much more interesting and emotionally engaging if Adonis had been raised by his working-class mother and perhaps only learned who his real father was upon her deathbed. That would have been a believable impetus for Adonis to seek out Rocky Balboa, to learn about his father and connect with him through Rocky, and train to become a champion like him. The scene in the restaurant and in the various gyms would have worked so much better if Adonis was hearing and learning about his biological father for the first time. And , I would have been more emotionally vested in the outcome of the main event if I'd truly seen Adonis overcome major hurdles. But, despite the flaws in the story, this was a well-made and well-acted film and I did enjoy it for what it was.",7,4,11,26 November 2015
Spotlight," Solid Film Lacking Dramatic Punch
","This was a solid drama elevated by superior acting from a top-notch cast but I left the theater somewhat underwhelmed. The movie lacked the sort of drama that makes you wonder how the story will end even when you know how the story will end. The main problem is that the Catholic Church just doesn't come across as a particularly forceful adversary. We're told that the Church is so powerful and has kept the abuse hidden for decades, but when a group of reporters actually goes digging they encounter some roadblocks but nothing that gives you the sense that the Church was something to be feared. While I didn't necessarily need Cardinal Law to dispatch some Opus Dei goons to discourage the reporters and the victims, the movie would have been more rewarding if they'd encountered much stronger resistance from the Church, public officials, and their own family and friends.",7,93,186,13 December 2015
The Expendables," As Tired and Worn Out as its Star/Director
","The only reason I'm giving this a 4 is because, unlike the turgid RED, this old-guys-back-in-the-saddle tale is somewhat enlivened by the chemistry between the 'actors.' But, for the most part, everyone's worn out and tired, including a plot that wouldn't have been believable in the 80s and is even less so today. An island in the Gulf of Mexico has been taken over by drug lords and a rouge CIA agent and the US government doesn't go in with guns blazing? Grenada, anyone? There's a bit of fun in seeing some of the old guys kick butt, but character and plot development are lost amid the mind-numbing explosions and endless gun battles. A Swede (Dolf Lundgren), a Chinese (Jet Li), a Brit (Statham) are on the same team as Stallone and other Americans, but there's no explanation of how this motley United Nations black-ops crew came into being. Of the 'stars,' only Stallone and Statham have the opportunity to generate any chemistry, but we learn next to nothing about them. Statham is, in fact, the standout in this film. He, along with Jet Li, is far from over-the-hill and brings a certain contemporary street cred to this otherwise mediocre film.",4,1,5,26 November 2010
The Way Back," Good but runs out of steam at the end
","I had avoided seeing this movie for some time because the critics had not been too kind to it. But I finally gave it a chance and am glad I did. It's a long journey, but what kept me interested were the spectacular visuals and the fact that I liked the little group of disparate characters that had banded together. It didn't matter that individual character development was slight; I liked the 'group.' I was particularly pleased that the film didn't resort to the cliché of having a traitor emerge who sells out the group. This group were decent people (even Coin Farrell's criminal has some honor) and they didn't turn on each other. When members succumbed to the elements it was because they simply couldn't withstand the physical punishment anymore, not because the other group members had cheated them out of their share of food or left them behind. The most tender scene was when the lone female of the group is on her last legs and one of the men scoops her up in his arms and carries her while she pleads with them to simply leave her behind.The film can be divided into three parts--Gulag, forest & desert trek, and crossing the Himalyas to freedom in India. Unfortunately, the last part of the film feels rushed. Crossing the Himalyas on foot when you're already half starved and recovering from frostbite and other ailments is quite a feat and deserved more attention than was given here. In addition, the actual conclusion or ending is emotionally unsatisfying. We're told nothing about any of the survivors except the main character and even with him it's not much. He goes back to Poland once communism collapses in Europe in 1989--but what did he do after reaching India? Fight with the partisans; go to America? What did the others do? If the 'author' of the book on which this is based didn't know, then say so. At least give us something to take away with us after following these characters on such a long and arduous journey.",7,3,5,31 July 2011
The Town," Undone by weak romance
","This is one of the better heist films of recent years. The cast is strong and look of the film is gritty and realistic. The weakness is the romantic subplot between the team leader (Ben Affleck) and a hostage (Rebecca Hall). Their entire relationship was implausible and they shared little on screen chemistry. Since the 'Townies' are depicted as working-class people sharing intense loyalties and clannish devotion to their Irish code of honor, I would have preferred to spend more time with Affleck and his team, particularly his loose cannon best friend, Jem(Jeremy Renner) and Jem's druggie sister. Their relationships and significant history (Jem's family cared for Affleck's character when he was young and he was romantically involved with Jem's sister) were more interesting to me than anything that occurred between Affleck and Hall. The heist build-up and action were terrific, but since so much emphasis is placed on the romantic storyline, the film isn't as good as it should be. A solid effort with a terrific cast.",6,1,4,19 December 2010
