movie_title,title,review,rating,helpful,total,date
10 Cloverfield Lane," '10 Cloverfield Lane': Have we been set up?
","'10 Cloverfield Lane' is Producer J.J. Abrams shrouded in secrecy sequel to the 2008 surprise found footage hit 'Cloverfield'. Sort of.Without completely surrendering the premise, there are thematic elements from the original which come to prominence in this amply anticipated follow-up widely released this weekend (3/11/16). But certainly not to the overarching degree that these aspects factored intrinsically into it's predecessor.John Goodman is a particularly peculiar survivalist/conspiracy theorist (like there's any other kind?) who takes Mary Elizabeth Winstead into his farmhouse bunker for 'safekeeping' in the wake of a violent car crash. John Gallagher Jr. is already a tenant of this cozy cum creepy underground community.Goodman is, as per usual, his reliable character actor self as Howard, a guy whom you never really know both if you can accept what he's saying as gospel (he claims the world above the trio has succumbed to a catastrophic chemical assault) or what in the living hell he may do next.Winstead has emerged as a personal favorite of mine. Her role as Michelle is one of a super sci-fi action hero here. It is a distinctly distant departure from previous impressive roles in substantially smaller scale productions including 'Smashed' and 'Alex of Venice'. Winstead proves in resounding fashion to be more than up to the formidable demands of this heretofore unexplored province of performance. Still, despite a couple of moving moments, it is decidedly disappointing that more of her considerable acting acumen was not on display in this story.'10 Cloverfield Lane' dutifully delivers it's fair share of twists and turns, scares and surprises and jumps and jolts to be sure. But in the end it couldn't help but feel as one long lead-up to a tacked on departure point for the next installment in the series. And I think that we as faithful fans expected and deserved just a little bit more than that.Wouldn't you agree, J.J.?",7,4,7,13 March 2016
Hereditary," 'Hereditary': Brutally Tough Watch...if you Dare.
","Toni Collette is searing in a viciously raw performance. The music by Colin Stetson is among the most frightening scores ever put to film. And the special effects are so viscerally realistic you MUST turn away.No, this deeply disturbing saga of Satanism and a family unspeakably tortured by a legacy of raging evil is not a horrible film. It is, however, one so harshly horrifying that it is difficult to recommend. Watch at your own risk. You have been warned.",4,0,7,16 September 2018
Detroit," 'Detroit': Madness in The Motor City
","I was a child during the hell on earth Detroit summer of 1967. I don't remember it. Acclaimed Director Kathryn Bigelow has done one helluva job recreating the powder keg that exploded over a half century ago in the based-on-actual-events drama 'Detroit'. It is profoundly difficult to process that a human being could be as recklessly racist as these rogue cops are. Will Poulter is particularly chilling as the brazen ring leader. That these white officers of the law could treat mostly black suspects as lives that scarcely matter is sickening. Yet, as the disturbing courtroom scenes reveal toward the end of the film, how do we know?",6,3,6,12 March 2018
In Bruges," If you like your movies PC then you're gonna hate on 'In Bruges'
","If you like your comedy dark, as in pitch black tar dark, then 'In Bruges' is for you. Brendan Gleeson and Colin Farrell are an unlikely pair of hit men hiding out in the titular quaint Belgian hamlet after a job gone horrifically awry. And while Gleeson plays against his standard surly sort as he kills 'em with kindness and Farrell is a riot as a shampoo for brains shooter, this odd and ominous story didn't ultimately come together as I'd hoped it might. There were moments of laugh out loud levity. And then there were scenes of malicious mayhem and deep despondency. Alas, the jarring juxtaposition of this deviant divergence just didn't jive in the end to fully satisfy.Still, in keeping with the sardonic underpinning of 'In Bruges', let us all be clear, shall we? It's dwarf. Got it? Dwarf.",6,0,2,10 July 2016
Wind River," 'Wind River': Murder with a Message on 'The Res'
","I love, love......LOVE......Elizabeth Olsen. I can pretty much take or leave Jeremy Renner. Their performances are equally exemplary (Renner's best work yet for my money) in the crime thriller 'Wind River'.Olsen play's greenhorn FBI Agent Jane Banner. She is dispatched from the Las Vegas bureau to investigate the murder of a teenage girl on a Wyoming Native American Reservation. Once on 'The Res' she winds up teamed with Renner's character, U.S. Fish and Wildlife Service 'hunter' Cory Lambert. Together they trek through blinding snowstorms and brutal backcountry in search of a killer. The acting is solid, the suspense sufficient and the scenery as intimidating as it is breathtaking throughout 'Wind River'. Yet what resonates most is the enduring message that the indigenous citizens of our country continue to suffer a shamefully raw deal.",8,0,1,13 January 2018
Green Room," 'Green Room': Code Red in The Great Pacific Northwest.
","Didn't think I really needed to see the skinhead suspenser (yep, I damn well may have JUST NOW invented this oddball genre description) 'Green Room'. And perhaps I didn't. But now that I have, there are worse ways to while away an hour and a half of living.Here's what I found worthwhile about the experience. It showcases the beauty of my stomping grounds, the stunning American Pacific Northwest. It features some cool punk rock AND Credence Clearwater Revival. And the mere presence of the great Patrick Stewart is more than enough to class up this, or any other, joint.There are confusing scene sequences, unlikely plot developments and scads of interchangeable neo-Nazi dummkopfs proliferating throughout 'Green Room'. But so what? There are certainly enough scares and acts of mayhem going' on here to run a charge or two through most folks.And if that's not enough to suit ya, then, in the lexicon of the prevailing mentality of the film, 'F--- it, man.'",6,0,3,21 August 2016
Us," 'Us': Grim Reminder that it could always be Worse...
","The Coen Brothers, Atom Egoyan, Shane Carruth and now Jordan Peele. This is my short list of favorite film directors ever.Peele's latest deep and deliciously demented dive into modern society is 'Us'. There are many messages to be mined in this movie, all woven expertly into a decidedly disturbing yet darkly comic story.My key takeaway? No matter how bad you think you may have it in life, there is an alternate path which would have led you to something far more unbearable. And, as Peele so ingeniously reveals both literally and figuratively in 'Us', it's not that far, or that different, from hell.",7,0,5,28 June 2019
Bohemian Rhapsody," 'Bohemian Rhapsody': Captivating Chronicle of a Band and it's Fabled Frontman
","I actually witnessed the rock group Queen perform live with Freddy Mercury as front man not once but twice.The new biopic 'Bohemian Rhapsody' portrays the legendary lead singer as a caricature much of the time. Because HE portrayed himself as a caricature. To us. However, the film allows the human being behind the fa̤ade to reveal his soul, as well. It just chooses not to belabor the point.Mercury had reckless unprotected sex with countless men. We get it by way of several scenes in 'Bohemian Rhapsody'. And he was a vain, albeit massively insecure, prima donna. These points are established without beating us about the noggin about it.Much of the film's rousing soundtrack presented music I surprisingly wasn't familiar with. It was a most pleasant revelation. I've already downloaded these and several other songs from the iconic band for repeated listening enjoyment.And the music of the group is the point.Point, forevermore, well taken.",9,5,6,17 November 2018
The Thing," Don't wait as long as I did to see this Thing!
","I can't believe it has taken me this long to FINALLY see John Carpenter's 1982 cult Sci-Fi Horror classic 'The Thing'. Actually, I CAN, as this is not the type of genre to which I'm typically drawn. This said, there's this other realization I also can't quite believe now. And that is just how damn much I LIKED it!! The CAST for gosh sake! Okay, first of all Kurt Russell is a TOTAL bad ass as the leader vs. the creature among a bunch of guys encamped at a research outpost in Antarctica. But then here are only a handful of the veteran actor upper echelon who go to battle alongside Russell: Wilford Brimley (sans beard), Richard Dysart, David Clennon and Richard Masur. Hey, when you've got true pros like this workin' for ya the credibility quotient of any horror flick, hell, ANY flick at ALL, clicks on up the quality pole a couple of full notches at least.And there simply aren't enough superlatives to commend the absolutely astonishing job contributed by the special effects, visual effects and makeup crews here. Their cumulative brilliance had me constantly aghast at the abhorrently repulsive and terrifyingly petrifying shape-shifting monsters these folks so ingeniously conjured up for the exclusive purpose of completely grossing us the F--- out! Toss in the unsettlingly creepish music scored by Ennio Morricone and Carpenter has constructed one of the most near-perfect dread fests of all-time.I am not one to beg. However, PLEASE, if you've put off experiencing 'The Thing' like yours truly had for so long, I PLEAD with you to watch it. And even if you like the film only half as much as me, that still means that you got a pretty stout kick in the butt out of the whole deal. And if you don't like it...well...then...perhaps that's 'the thing' I just can't explain!",8,1,3,19 December 2016
Split," No 'Split' decision here-this Shyamalan shocker shines
","Finally got 'round to scoping out 'Split'. My foremost takeaway? Well AWRITE M. Night! Shyamalan doin' what he does best as a Writer and Director here-keeping it simple, swift and sinister-shows that my man hasn't completely lost his propensity for suspense and scares. He coaxes primo performances from James McAvoy as a deeply damaged schizophrenic and Betty Buckley (one of THE hottest TV mom's EVER on the '70's series 'Eight Is Enough') as his/her shrink.May I suggest clinging closely to this tried and true formula, MNS. After all, it's not like it hasn't served you well up to now or anything, dude.",7,1,4,26 June 2017
