movie_title,title,review,rating,helpful,total,date
Requiem for a Dream," a heartbreaking nightmare
","What this movie has to say about drug addiction may not be original, but it more than makes up for that with the sheer vividness and emotional force with which it delivers its message. Among other achievements, Aronofsky does a great job of reimagining daytime TV as hell (though admittedly it's not much of a stretch) and fictional TV personality Tappy Tibbons as the prince of darkness. He is aided and abetted in the realization of his vision by cinematographer Matthew Libatique. The soundtrack by Clint Mansell is also extraordinary.The key to the film's impact is that it gets you to care about its characters before it puts them through hell. Ellen Burstyn totally disappears into her role; she was robbed of an Oscar for her fearlessly real performance, the best one by any actor in 2000. Just watch her do her speech to her son mid-way through about the things that give meaning to her life, and try to prevent your heart from breaking. A wrenching and haunting nightmare.",9,0,2,28 August 2002
The Big Lebowski," Mess, featuring tasty bits
","What probably happened was, the Coen brothers had a bunch of cool visual and story ideas they didn't know what to do with, and they decided to make a movie out of these disparate elements. The result is a bit of a mess. You can just hear the Coens saying, 'Hey, what if there was this guy who's the ultimate slacker? And what if there were these guys who thought they were nihilists but were just a bunch of pathetic poseurs with exaggerated German accents who played geeky German electronic music on a puny ghetto blaster? What if-' - by this point they're already laughing themselves silly, and they're right: this stuff is very funny. But it doesn't add up to anything.This is easily their most disjointed film (their only disjointed film, actually), and their least involving. But it's worth seeing once, if only for the wonderfully conceived central character (Jeff Bridges in a pitch-perfect performance); for Steve Buscemi's skillful, subtly hilarious puppy-dog performance; and for moments such as the narrator saying near film's end that 'it's good to know the Dude's out there', a statement made humorous by the fact that the main character couldn't be less of a hero.",7,1,3,23 August 2002
Inglourious Basterds," lesser QT is still great entertainment
","In Nazi-occupied France, a group of soldiers make it their mission to kill Nazis. Meanwhile, a Jewish-French cinema owner concocts a plan of revenge.Writer-director Quentin Tarantino sticks to his usual combo of gore, humour, clever dialogue, and grace notes of actual human emotion. But he departs from it by employing a linear narrative structure. Also, for the first time, he doesn't seem to be paying homage to a particular film genre. And though the dialogue stands out, it's considerably less showy than it's been in his previous films. The speeches don't sound so much like speeches.There are many scenes of expertly orchestrated tension, and the movie is juicy entertainment (thanks in part to Christoph Waltz's nuanced, committed performance as the main villain). But in the end, there is a sense that this was much ado about very little, which means the movie will probably have low repeatability value. All of Tarantino's movies are cartoonish on some level, but in this case his touch may have been too light to give Basterds longevity.",8,1,6,1 September 2009
Forrest Gump," entertaining but shallow
","Entertaining comedy/drama/fantasy has a lot to keep you busy (and excellent special effects), but doesn't measure up to its epic pretensions. It would've benefited from sticking to comedy and eschewing sentiment. Instead it pushes every button imaginable to jerk a reaction out of the viewer, and tries to dictate your emotions with a pushy music score. The movie lapses into silliness at times, and is self-indulgent for the last hour. Director Robert Zemeckis attempts to evoke each era by illustrating its clichÃ©s and by scoring it to a procession of over-familiar songs that serve as lazy, embarrassingly obvious signifiers of their times (Sweet Home Alabama, Hound Dog, Blowin' in the Wind, California Dreamin', For What it's Worth, On the Road Again, Mrs. Robinson, etc.). I love a lot of those songs, but they've become clichÃ©s themselves by now. Tom Hanks is funny and convincing in the title role, but Forrest is too much of an invincible saint to be very interesting.",7,3,8,25 December 2010
Watchmen," the best they could do with a hard-to-adapt book
","In an alternate version of the mid-eighties where Nixon is serving a third term, costumed heroes are outlawed, but they must unite to fight an oncoming threat. That's a shabby outline, but it's hard to summarize this plot. I read the comic book this is based on, and the adaptation turned out pretty much exactly as I expected: faithful but lacking most of the book's more subtle shadings.Watchmen is one of those things people have long said couldn't be filmed. They were wrong, and this is about as good a job as anyone could be expected to do. But it still left me unsatisfied. It's certainly entertaining, and the movie gets the characters right (especially my favourite, Rorschach, thanks in large part to actor Jackie Earle Haley). The book is dark, moody, and ambiguous whereas this is a loud and boisterous action film. One of the main problems is that it makes every character 'cool', which takes away some of the depth found in the book. It also fails to provide a proper build-up to the reveal of the 'villain''s plan (which has been changed from the book to something rather mundane). And the fight scenes are generically shot. Director Zack Snyder really needs to lose his distracting affectation of switching from slow motion to regular speed.",7,1,5,8 March 2009
The Shining," disappointing adaptation shows flashes of brilliance
","Uninvolving, sometimes chilling horror film has some shocks, and some powerful, unsettling images and sequences.The book this is based on is one of my favourites, but my problem with this adaptation isn't that it isn't faithful enough. Rather, it's the fact that the relationships are not believable, the script is awkward, and the dialogue trite.Expressionless Shelley Duvall is a terrible actress and Jack Nicholson is badly cast (he fails to play a regular guy, which is what's needed at the beginning of the film). Danny Lloyd does a great job, however.The build-up to the climax is inadequate (though the ending does have some suspense). It looks as though Kubrick could have done something great with this, but he never gets a complete handle on the genre.",7,0,3,12 April 2010
American Beauty," a wee bit overrated
","Director Sam Mendes proves a great showman, but his film fails when it tries to pass itself off as some deep philosophical commentary on suburban life. Since the movie makes most of its points as a cartoon, it's a bit much when it asks us to buy its adult characters as human beings (this makes the film's motto, 'look closer' ironic, since it doesn't bear close scrutiny).I'd pin the blame for this fatal flaw on Alan Ball, whose screenplay, despite capturing many truthful moments, hobbles everyone involved by being more interested in hollow sensationalism than real emotions (the ending being a good example).Still, the movie excels as a beautifully shot, very entertaining black comedy.",8,1,2,22 April 2005
Harry Potter and the Prisoner of Azkaban," the first good Harry Potter film
","Harry finds out a maniac has escaped the wizard prison Azkaban, bent on killing him.A darker, fast-moving installment. The reins are finally given to a real director, and the results are a dramatic improvement. Alfonso Cuaron gives the film an appealing visual style, brings the characters down to earth (with the help of the costume department – the clothes now look like they've actually been worn), while making the film's fantastical elements (the Dementors, the Whomping Willow) feel at once more real and truly magical.It also helps that the young actors have matured to a level where they've actually begun acting. The only real flaw is that by accentuating the sense of fun, the film ends up feeling a bit slight.",8,0,1,12 June 2013
No Country for Old Men," mature
","What do you know - the Coen brothers done grown up. Don't get me wrong: I've always been a fan. But I can't deny that in every movie up til now, they seemed to be winking at the audience. Not this time. In case you don't already know, this one is about a guy who finds a case full of money, and the guy who comes after him.That's the plot, anyway; anyone expecting a conventional thriller will be disappointed. The movie is certainly very suspenseful, but if you're the type that needs narrative closure, this one isn't for you. The movie took me by surprise in its last act, when it sheds its thriller trappings to leave you gazing at what's been underneath them all along. I need to have another look to fully grasp what that is.The only false note for me was Woody Harrelson's character. You could surgically remove him from the film, and you wouldn't be missing anything. I suspect the character played a more crucial part in the book, but he's kind of useless here.Javier Bardem scared the crap out of me. And not just because of that haircut.",9,1,7,23 November 2007
The Mist," excellent horror film marred by misguided ending
","Stephen King hasn't had much luck at the movies. I think the main reason is that the movie people usually get distracted by the flashy scary stuff in his stories, and entirely miss the careful characterization that makes readers care about what happens.They didn't forget about it this time, though. I wouldn't call myself a Frank Darabont fan (director of two other King-based films – Shawshank Redemption and The Green Mile). The first two times, he took solid stories and rendered them mushy and cliché-ridden (I realize I won't make a lot of friends around these parts with that statement). The Mist isn't perfect, but it doesn't suffer from those flaws. For most of its running time, it's an excellent horror movie – intense, and grounded by realistic performances and dialogue. (Plus some cool creatures.) But it does stumble at least twice. The first time occurs when a bunch of characters have a conversation the purpose of which is to tell the audience about the movie's subtext. Thanks, Frank. I mean, we are idiots, after all.But the biggest problem is the misguided ending (what follows discusses tone but doesn't spoil specific plot points). I don't care that Darabont deviated from the original story (I'm not a stickler for 'faithfulness'), but what he comes up with fails on multiple levels. The final moment of Twilight Zone-style heavy-handed irony is bad enough. But just before that, Darabont gives us a scenario that strains credibility so badly (the level of the characters' despair does not remotely justify their actions) that it becomes obvious it was contrived purely for shock value. Adding insult to injury, he seems to think he can pass off his cheap shock ending as something deep simply by slathering Dead Can Dance's portentous 'The Host of Seraphim' all over the tail end of the soundtrack (it's a great tune, but out of place here). Instead, it only serves to expose the pretensions of someone who would try to infuse a giant-bug movie with unearned depth.So, this is a very good scary movie... if you tune out in time.",8,4,11,6 April 2008
