movie_title,title,review,rating,helpful,total,date
The Devil's Advocate," This movie never should have been made.
","I had such high expectations for this movie.  I just wanted to see it because Al Pacino is one of my favorite actors.  I don't know what kept me hanging on until the end.  But, I had no idea that I was in for a travesty. The Devil's Advocate is an insult to Al Pacino and his fans! Keanu Reeves plays this overly ambitious hot-shot lawyer who turns a blind eye to the fact that his boss is the devil himself.    Charlize Thereon plays his 'damsel-in-distress' wife who acts totally imcompetent.  The lamest part of this movie was that scene about the jogger, and I won't even get into details.  It's just not worth it. The Devil's Advocate looks a lot like a movie directed by Ed Wood!  If you are an Al Pacino fan, RUN, HIDE!  Keep away from this movie at all costs!  See 'The Insider' , 'Dog Day Afternoon', or 'Scarface' if you want to see a good Al Pacino movie.  Besides, I never liked horror movies, anyway.",Null,0,2,31 January 2002
The Blair Witch Project," Excellent!
","I really liked this movie!  If you're in the mood for a scary movie, this is the one!  I don't normally like scary movies, but I really enjoyed this one!  I didn't get a chance to see it in the theaters because it was all jam-packed.  But I waited for it to come to video instead!  And was it worth the wait!  Heather, Josh, and Michael were all good actors in this.  After this movie was made, those three didn't die of mysterious deaths, they become millionaires!  Who knows?  We might see one of them in a real movie!  Also, this movie was all pretend, there never was a legend of the 'Blair Witch' it was just something they made up, but everyone who's seen it already knew that!  That's why it's so intriguing!  So, if you're in the mood for horror, rent this!  You'll be glad you did!",Null,0,0,28 November 1999
Scarface," Al Pacino is in rare form!
","In Scarface, Al Pacino plays Tony Montana.  A Cuban exile with a bad history who considers himself a 'political prisoner' goes to Miami to get involved with drug smuggling.  Tony really gets his wish to make the American dream come true so along the way he becomes a very fearsome, bloodthirsty drug kingpin.  I've always enjoyed Al Pacino's work.  He knows how to play any character and earn a standing ovation.  It's any wonder why this movie was so popular to begin with!   One of the best lines was, 'Say Hello to My Little Friend!'  Even Michelle Pfiffer was good as the cynical moll Elvira.  Even if this movie was tremendously violent, it's not as violent as those ludicrious teen horror flicks that are popular right now.  Even such popular movies like American Pie, Lord of the Rings, and I Know What You Did Last Summer all fail in comparison to Scarface.  It's the best gangster flick since The Godfather trillogy.   So, forget Once Upon A Time in America!  Scarface is where it's at!  I give Scarface 5 stars!",Null,0,1,16 October 2003
The Ring," Best horror flick since The Blair Witch Project.
","Noami Watts plays a cynical reporter and Martin Henderson plays her ex-flame.  They both must find out what the cause of the impending death of anyone who watches a mysterious video tape.  They find out that the video was linked to a mentally ill horse tamer and her unstable daughter.  Unlike some horror flicks that have an endless array of blood, gore, and violence, The Ring has a plot that's more consolidated, and not so nonsenical.  The Ring really has lived up to it's hype.  It's a horror movie that's actually good.   The location shots of the Pacific Northwest were breathtaking.  Even if you don't care for horror movies, The Ring is still a great movie to watch with friends or family.  It's worth seeing again and again.  It may as well be The Blair Witch Project of 2002!  I give The Ring 5 stars!",Null,1,1,16 October 2003
As Good as It Gets," Oscar nomination? Give me a break!
","If anything 'As Good as It Gets' should've got nominated for a Razzy! Jack Nicolson plays a cumdurgeon who has obsessive-compulsive disorder and is a real demon around his neighbors until he finds love with a waitress (Helen Hunt).  There's absolutely nothing amusing or original about this movie.  And the Monty Python song in this movie wasn't no reference, if anything it was an insult to Monty Python!Jack Nicolson is such a talented actor!  Why did he and Cuba Gooding Jr. waste their talents on this trash of a movie?  Another reason why I dislike this movie is because of the homosexual stereotypes, and it makes obsessive-compulsive disorder look like a joke.  Thank heavens Titanic beat this movie at the Oscars.  The only likeable character in this movie is the dog!  Steer clear away from As Good As It Gets.  See some of Jack Nicolson's and Cuba Gooding Jr's other movies.  This is the second worst movie of 1997 next to 'The Devil's Advocate'.",Null,0,1,27 August 2002
The Mummy," A Tongue in Cheek Adventure.
","Brendan Fraser is one of my many favorite actors.  In The Mummy he plays the hero Rick O'Connell.  It's the story about a sarcophogus that's accidently released and wreaks havoc until it captures a librarian (Rachel Weisz) to make him invincible.  I really enjoyed this movie because of the action, suspense, romance, and it's over the top humor.  The Mummy has something in it for anyone to enjoy.  It's no wonder this movie was popular during it's theatrical release.  The lead female character was actually smart and tough.  The antagonist Beni and the girl's older brother (John Hanna) were wimps!   Brendan Fraser sure has come a lot way since 'Encino Man'.  I also liked some of his other movies, too and I'll see the sequel when I get the chance.  In conclusion The Mummy is a very captivating and enjoyable movie.  Catch it if you can!  I hope to see more of Brendan Fraser's work in the future.",Null,0,0,4 February 2002
The Aviator," Leonardo DiCapprio does it again!
","The Aviator is an excellent movie, and the acting was superb. Leonardo DiCapprio plays millionaire Howard Hughes who first started off making movies such as 'Hell's Angels' and then moved onto to make airplanes. Cate Blanchet's performance as Katherine Hepburn was incredible, that you can see the striking resemblance between them.Also, this movie focuses on Howard Hughes's obsessive perfectionism. He wanted everything to be just perfect, and Leonardo DiCapprio pulled of the performance without a hitch! Howard Hughes was also famous for making the Spruce Goose, which is now a historical landmark! Too bad The Aviator didn't win an Oscar for Best Picture, seeing this movie you can see why it was Oscar worthy to begin with. I hope to see Leonardo DiCapprio in more great movies in the future. I give The Aviator 4 stars!",10,1,2,1 March 2005
The Bourne Identity," Matt Damon does it again!
","Matt Damon delivers a riveting performace as Jason Bourne, a man who's wanted by assassins and suffering from memory loss.  Along the way he gets a woman to help him, they drive around Europe, hide out when ever they can, and both are wanted by the authorities.  The coolest scene in the movie was the car chase scene, I've always had an affinity for car chase movies. Critics have even compared it to Gene Hackman's car chase scene in 'The French Connection'.  It was that great!  I also liked the chemistry between Matt Damon and the actress, her name escapes me, though.  This psychological thriller will keep you on the edge of your seat, and if you're a Matt Damon fan like me!  An astonishing movie from beginning to end.  It's the best movie of this year so far!  I give The Bourne Identity 4 stars!   I hope to see Matt Damon in more great movies to come in the future!  Maybe he'll even be in the next Kevin Smith movie!",Null,0,1,26 June 2002
The Italian Job," The Ultimate Caper Flick!
","The remake of the 1969 movie The Italian Job has something in it for everyone.  Very unique for a caper flick such as this.  A gang of thieves who start a heist in the Italian alps get sidetracked by a rival gang and it's a race to the finish!  This film has action, humor, romance, drama, filmed in exotic locations, and an awesome car chase!  The Italian Job is sure to keep anyone on the edge of their seat!  The best characters were played by Seth Green and Charlize Theron.     I would suggest this remake to the original.  It's not very often that remakes are better than the original, and The Italian Job takes the cake. Highly recommended!  You'll root, laugh, and cheer thoughout the whole movie!  Great to watch with friends and family on a Friday Night.  Great acting and a powerful script.  Best movie of 2003!  Rent it!",Null,0,1,5 May 2004
The Village," Excellent movie worth seeing
","From the creator of 'Signs' and 'The Sixth Sense' comes The Village. In this movie it centers around an isolated Amish-like close-knit community who's being terrorized by mythical creatures. The people call the creatures, 'Those we don't speak of'. The character of Ivy the blind girl was very resilient. Joaquin Pheonix was great in this, it's amazing how he has matured as an actor over the years.Adrien Brody's character Noah Percy was the main attraction. Adrien Brody is awesome in any role he plays. If you're a fan of horror flicks, or even if you're not check out The Village. It's a great movie you won't regret seeing. I give it 4 stars.",10,0,1,20 April 2005
