movie_title,title,review,rating,helpful,total,date
It," Great horror film
","A very good horror film that keeps you on the edge of your seat with the relentless Pennywise creeping into every scene that seems to be developing the other aspects of a story (eg. character's backgrounds, love subplots, etc.). Suffers from typical dumb-horror-movie-character syndrome, where the characters always run towards danger instead of calling for help. Bill Skarsgård's performance as Pennywise is truly brilliant and makes you nervous at any point. The colours are glorious, and the quips from the kids are funny enough to make me chuckle and facepalm. While I don't enjoy horror movies, because I don't enjoy torturing myself, I cannot deny that this movie is a masterpiece.",8,0,0,4 February 2020
Casablanca," A classic
","(exerpt from my Key Largo commentary) 'Mr. Humphrey Bogart, to me, plays a very slight iteration of the same character archetype in every single movie (always tinged with nostalgia and regret, a mysterious man who the audience never understands until the end, etc), just like his role in Casablanca. That being said, he does it very well, and it is still endearing to watch (although these movies have to be spaced out by other movies otherwise it really does become soul-sucking.' The movie touches on interesting themes of the War of the time, in a very interesting location whose angle on the war many people couldn't understand or realise at the time.",8,0,0,4 February 2020
Citizen Kane," Solid film; definitely aged strangely
","An interesting landmark in cinema history which is a romanticized version of (I quote from my Google Search): 'American newspaper magnates William Randolph Hearst and Joseph Pulitzer, Chicago tycoons Samuel Insull and Harold McCormick, and aspects of the screenwriters' own lives.'
Fantastic cinematography, definitely Orson Welles' magnum opus, as I can't recognise most of his other movies at all (at the time of writing).",7,0,0,4 February 2020
Coraline," Probably Laika's best piece of work, ever.
","A charming take on the book (which I admittedly have not read), feeling like a Tim Burton movie at all times. Charming worlds, beautiful color palette as always, music is fantastic, characters are mysterious, weird, intriguing, twisted, fun.",10,1,1,4 February 2020
The Irishman," Noice
","Really, really long. Like, 3h30 long. Pretty complex: There's a lot of characters, and it's not always clear what's going on where. This seriously bothered my friend Dan who watched it with me, but for me, the main character, the Irishman (played by Robert De Niro), is pretty easy to follow throughout. I enjoyed the film for all the usual reasons, but I must admit it's nice to see Joe Pesci in roles aside from Home Alone. Update: my buddy thought the cinematography was awful, so that's interesting.Some of the 'usual reasons' that I didn't specify previously:
-cinematography
-performances
-script/story progression
-p editing and pacing (for a 3h30 movie, it was bound to get a little hectic, so overall I'm glad it's not worse.I wonder if the CGI young R. De Niro only bothered me because I was told about it, and so I was incredibly fixated on scrutinising it. In any case, objectively, it was well done.
'I paint houses.'",8,2,4,4 February 2020
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb," The best CW movie out there :)
",Really fun and funny movie making its fair share of commentary about the Cold War. Definitely worth the watch for just about anyone who knows anything about the CW.,10,1,1,4 February 2020
Battleship Potemkin," Very interesting, perhaps not entertaining.
","I understand its cultural impact (Odessa Steps scene), criticising the Tsarist authority as an extended criticism of what they then. Beyond that, I don't have much to say about this movie, it didn't strike me as particularly impressive outside of its historical context. One could argue that's the entire thing going for this movie, but quite frankly, I don't really care. I'm here to watch movies and crosscheck with their historical context, I'm not studying how cinema is used as a vector to criticise, compliment, or otherwise comment on events in their time, or the past.",8,1,2,4 February 2020
Star Wars: Episode IX - The Rise of Skywalker," Big yikes.
","The final piece in a trainwreck of a trilogy, doomed to fail by corporate greed rushing these films out with no planned story at all, and it shows.
This film feels like it's missing JJ Abrams' 8th film.
The villain is rushed, elements of TLJ are either swept under the rug or very quickly resolved.
I'm not saying that TLJ was without flaws, because it's got pleeeenty of those. That being said, at least it had a direction. Had this film embraced that direction, I think we could've had a 6 or a 7 out of 10 rather than a 3. Everything is confused, and rushed, and the fact that the story is so awful means I can't appreciate really cool things like Adam Driver's acting, the VFX, cool new mechanics like the force co-op play between the two.(Also, apparently this movie was changed to appeal to the chinese markets, where it tanked as well. Of course this movie did well, money wise, but it coud've done so much better, and also, the minions made a bunch of cash, doesn't mean I want it to exist.)The music is unmemorable and generic 'epic movie soundtrack' kinda thing; the film relies far too heavily on nostalgia cameos like shots of heroin. The whole force thing is pushed beyond the limits of OP, and it's not really very fun.I was hoping for so much more from this franchise. I hope Disney and Lucasfilm learn their lesson for when they inevitably reboot for another mainline trilogy. And it had better slap. Or they're in for it.
At least the mandalorian and the other shows are good.",3,11,17,4 February 2020
Spider-Man: Into the Spider-Verse," One of the best superhero movies of all time
","As the title says, it's also one of the best animations out there.
This film is overflowing personality, from the characters, to their visual designs, their aimations, their voices; the way the music ties into it (leitmotifs woooo; thematically relevant music), the settings, the animation style and techniques, the EVERYTHING.I love this movie.",10,0,1,4 February 2020
Face_Off," Fun action movie :)
","Interesting movie concept, really well done for its time. Also one of the only Travolta performances I've seen other than Grease (1978), and he was hecca young there. Overall a thoroughly entertaining action movie.",8,0,1,4 February 2020
