movie_title,title,review,rating,helpful,total,date
Despicable Me 2," Funny
","A villain who is no longer a villain can stop other villains from becoming villains. He can catalyze love by family and complete family by love. As a film characterized as children's comedy, the director cleverly increased the role of the minions, making the whole film more interesting and enjoyable!",7,1,2,13 April 2020
Your Name.," Missing and striving is the epitaph of love and youth
","It's easy to meet, but it's hard to meet again. Body exchange is not a new subject, but the film is still moving. Everyone in a period of life, always believe that they will meet a person who is destined to meet. Even we don't know who he is, but still believe that we will meet each. This kind of 'belief' that most of us have already given up, so we will go to the movies to see the male and female owners whether they give up or not.",9,4,6,13 April 2020
Mulan," Every girl deserves respect
","The adaptation of the film was quite successful. In the film, Mulan joined the army for her father. Filial piety to her father is the cause of the story, but not the ultimate goal. The significance of joining the army is to find the most real self. The truth is very important for both boys and girls, and also an opportunity for Mulan to prove her ability. Success only cares for those who work hard, regardless of gender.",8,1,1,16 March 2020
Passengers," Good
","People are always afraid of loneliness. He wake others up, because he is afraid of living alone. He lied, because he is afraid of losing. He sacrifice himself, because he loves her.",7,1,1,24 March 2020
Zootopia," Try to change
","We may have evolved, but deep down we are still animals. Prejudice, discrimination, evaluation, using stereotypes to frame others in a small frame, just for their own easy. So try to prove that you are right, but don't want others to label you. Life is a little crazy, we often make mistakes. Whatever you are, change starts with you.",8,1,1,18 March 2020
Argo," Always personal heroism
","The greatness of this kind of movie is not in the movie itself, but in 'This movie is adapted from the true story.' But I don't like its way to tell a story. All the thrills are quite deliberate, and there is always a thrill 0.01 seconds. I can't tell whether it is bad or not, but this neatly mediocre is the difficult to accept.",5,0,0,22 April 2020
Orphan," The girl's acting is great
","If you swallow your voice, you will be plundered even more. I surprised by the little girl's acting skills and interpret her ruthlessness very well. And the unveiling of the secret really scared me. But the plot is general. There are a lot of bugs in the latter half.",6,0,0,15 April 2020
Life of Pi," Grow up unconsciously
","There are many shocking scenes. Believe everything, then you can see the beauty of fantasy. The process of life is to keep putting it down. 'I thought it would turn back, but it just looked deep into the forest and disappeared forever. Maybe my father was right. He didn't treat me as a friend at all, but I'm sure that what I saw in his eyes was not just the reflection of my own vision. It will not go back, but in my heart, it will always be with me. ' Maybe that's growth.",10,0,0,15 April 2020
Corpse Bride," Exquisite and moving
","Even through the treachery of evil, death has not taken away her sweet innocence. Love is very simple. You don't have to cross life and death. As long as the other person is in your heart, love will last forever. I'll never forget Emily standing at the church door and turning into butterflies. So moving.",9,1,1,3 April 2020
Silver Linings Playbook," Warm but trivial
","A story of emotional trouble relies on another story of healing, very funny and very inspirational, dancing can be said to be very bloody, but the plot is a bit trivial and clichÃ©, the ending is a bit fake.",6,0,1,22 April 2020
Spirited Away," touching
","'It's impossible to forget what happened. It's just that you can't remember it.' Sometimes, The innocence and kindness of children can wash away the greed of adults.",9,4,5,1 April 2020
No Country for Old Men," Marvellous character creation
","The image and the sound of the dialogue reflect the helplessness of 'No Country for Old Men'. You spent so much time trying to recapture the deprived things, but
always found that you lost more.",8,0,0,13 May 2020
Django Unchained," A word: cool!
","The highlight moment of the small person, perfectly interpreting the violent aesthetics. Anti-logic and bad taste will always be a magic weapon for trial and error.",9,0,0,12 May 2020
Coco," Death is not farewell, forgetting is
",Movies are great dream machines. Those families who can't go back to their hometown and those people we can't protect are only can be met in our dreams. Family is so important that can never be erased from the heart.,10,2,3,1 April 2020
Lincoln," Now he belongs to eternity
","Glad to see there is such a film that no longer focuses on the epic narrative pattern, but returns to the interpretation of character shaping and the spirit of the times. This tragic history is laid by those who are upright, introspective, courageous, and politically wise.",8,1,1,12 May 2020
Big Hero 6," Cute
","The plot is just so-so, but the Baymax is so cute. Many people have such a person in their lives. He brings you the most precious and beautiful memories in life. When he leaves, the whole soul seems to be hollowed out. Some people finally choose to be just as beautiful as him, and they have courage to keep going.",6,1,1,27 March 2020
Brave," touching but the plot is a bit cliché
","'Stay true to your heart and chase true love', putting this theme in the transition of the mother's understanding of the estrangement of the daughter is particularly moving. However, as a cartoon, the meaning is not enough, the story is thin.",6,0,0,12 May 2020
Charlie and the Chocolate Factory," Sweet but not so touching
","Now, watch this movie again, the education of several children in the film is too typical, but not so touching. But fairytale factories, crooked Charlie's houses and independent dentist's offices in the snow are all sweet.",6,1,2,29 March 2020
Hotel Transylvania," Warm and funny
","Like all the fathers who love their children, Dracula has tried everything to protect her daughter. This kind of affection doesn't ask for return, but does everything. I was very moved when I saw the movie. Although the plot was a little old-fashioned, the story was moving and funny.",7,1,1,10 April 2020
Big Fish," Incredible magic
","In this world, it is only the people you love that you don't need to identify the so-called truth and falsehood. There are many ways to describe life. The truth may be the most boring and unacceptable. So people who paint rainbow colors on the outside of their lives deserve respect and trust because of their love.",10,1,1,27 March 2020
Les Misérables," Fabulous
",Musicals and movies are perfectly integrated. Awe of suffering is like cherishing the deeper and deeper lines on the face of your lover.,10,0,0,12 May 2020
Castle in the Sky," Pursue courage and kindness
","If nature gives civilization vitality, then greed will seize the vitality of civilization until it is destroyed. 'Barus' is not so much the destruction of lapda as the rebirth of lapda civilization.",10,1,1,31 March 2020
There Will Be Blood," Crazy and great always follow closely
","When greed and desire are the driving force, money and success will become the only faith. The soundtrack is very special, which strengthens the film's sense of urgency. Daniel's performance is unforgettable. The desolate background enlarges the greed of the protagonist.",9,0,0,20 June 2020
The Shawshank Redemption," Perfect
","Fear Can Hold You Prisoner, Hope Can Set You Free. Some people's wings are so bright that even the darkest prison in the world cannot encircle them for a long time. This film tells a simple story, a redemption, in exchange for freedom. Besides the belief drive him to do so. This film is moving, it also makes many people grow up.",10,1,1,23 March 2020
The Croods," Funny
","Family, love, adventure, adoration, inspiration, almost all of them are reflected in this movie.There are funny and moving parts to the plot. But on the whole, the content of plot innovation is not much, which made it similar to most adventure and funny films.",7,1,1,17 April 2020
