movie_title,title,review,rating,helpful,total,date
Alien 3," to coin a phrase, 'underrated'
","Yeah I know it's starting to become as cliché to defend this movie as it is to trash it, but for what it's worth I do enjoy watching this film from time to time and it always offers something new.Mainly the nice thing here is the atmosphere - nothing like a dark and miserable labyrinth of abandoned tunnels, foundries, and prison cells alone on a miserable inhospitable planet to really set the stage for a dystopian slaughterfest, is there? Add to that an impressive cast of unsung British character actors such as Charles Dance (GOOD MORNING BABYLON), the unspellable Pete Postlethwaite, Paul McGann, and Philip Davis (THE BOUNTY)... with the added bonus that they're all bald and dirty prisoners on a bleak prison planet. Throw in an alien to kill them all and what's not to love? Directorially, Fincher threw in a lot of good surprises along the way with lots of surprisingly well-handled action sequences with an appropriate mixture of suspense and gore. I particularly enjoyed seeing a few 'squished frame' shots and some strange staging where you don't quite know what to make of what you're looking at. There's some nice ambiguity thrown into many scenes, but never to the point where things get confusing.However, this film makes a lot of messy turns in its narrative. First off, there are just too many red herring scenes such as Newt's dissection and the bit with Ripley scouting around in the basement. They seem only to exist to pad out the running time. Secondly, it fails to really distinguish the prisoners or even solidly identify the fates of any of them during the chaotic action scenes. For instance, does anyone know what actually happens to the big guy with the meat cleaver? I've seen both versions and unfortunately they both suffer from a lot of the same problems. Overall I like the extended version as it provides a lot more insight into the life and society of the convicts, but then again the Oxen subplot is absolutely pointless.That 'pointless' word could actually apply to the movie itself, but taken for what it is and just enjoyed for a bleak outer space horror film, ALIEN 3 actually *can* be quite enjoyable.",7,3,65,20 March 2009
Star Wars: Episode I - The Phantom Menace," A terrible travesty of a mockery of a sham
","This movie horribly destroyed any dignity left in the Star Wars series. From the absolutely flat dramatics, to the uneven performances, to the badly edited action scenes, this movie reeks of laziness.  I admit, there are a couple exciting sequences, some eye-popping visuals, and the light saber battles were well-choreographed, but on the whole the movie was dull and turgid.  The pacing was horrible, too fast to absorb at first and then when they get to Tatooine, it virtually slows to a halt.  Absolutely zero character development too, and Anakin was far too young to be believable. Good for kids and the idiotic masses plebes who enjoy cheap thrills.  The video game 'Jedi Knight' had cutscenes that seemed closer to authentic Star Wars adventure than this abysmal waste of time.  Try to resist the temptation, don't watch this film!  Show modern day filmmakers that they can't continue shelling out this garbage to the people of this country.",3,3,7,27 May 1999
Spartacus," Stanthony Mannbrick
","SPARTACUS is a solidly produced historical epic of the time, but unlike EL CID, BEN HUR, THE TEN COMMANDMENTS, or THE FALL OF THE ROMAN EMPIRE, it doesn't hold up as well under scrutiny. This may owe more to a poor script than Stanley Kubrick, who stepped in for original director Anthony Mann during the production due to a fight with Kirk Douglas. Had it been the other way around with Mann been kept on and Douglas fired, I doubt this CLEOPATRA-style grandiose-yet-awkward film would have suffered. Actually it might have been much better and more cohesive as too much feels as though the director lacked interest and most of the best scenes are more Mann-ish than Kubick-esquire.The film starts off traditionally enough – Spartacus is raised in the slave pits and makes a seamless transition to gladiator. Somewhere along the line he manages to figure out a sense of unbreakable moral virtue and never strays from it the rest of the film, thus making his character 1-dimensional and unfortunately pretty boring. Despite all this, the film is fine up until the standout slave break-out scene where Spartacus begins his rebellion and our plot lines diverge. The film then cuts back and forth from following Spartacus's army to the political rivalry between Laurence Olivier and Charles Laughton as Roman senators looking to profit from the whole mess. It turns out that these extremely charismatic villains are much more interesting to watch than bland Kirk Douglas, who is completely overshadowed with his 'subdued Heston' performance and Christ-like central character.The film does highly benefit from many colorful supporting characters and great performances. Some highlights include: Peter Ustinov as a stressed-out slave trader, Woody Strode as a stoic gladiator who snaps, Herbert Lom as a Phoenician pirate (!), and Charles McGraw as a hateful veteran gladiator/instructor. John Ireland and Tony Curtis don't get to do much as Spartacus's right and left hand, though Curtis has a disturbing yet slightly amusing scene where Olivier (extremely well-dubbed by Anthony Hopkins for the reissue) attempts to seduce him. Jean Simmons (no, not one from 'KISS') is quite restrained and bland as Douglas's love interest, though she isn't really given much to do either.Usually epics like this are redeemed by massive battle scenes but (despite some heavy gore for the time) the big show-stopping fight is not the best of the genre, owing some to Alex North's pedestrian score and Kubrick's apparent disinterest. All throughout you'll be wondering if Kubrick really had much input on this movie at all as it contains almost none of the touches he brought to his films before or after this one. Add to that the fact that this 'true story' really oversimplifies, skimps, and downright lies in its complete dearth of historical accuracy, this film may actually make you dumber having watched it. SPARTACUS is just a big disappointment all-round, despite some great performances and costuming.",4,17,33,2 August 2009
Alexander," What went wrong?
","I was as pumped to see this movie as anyone when this came out, in spite of the negative reviews. I was thinking it would be a movie like WINDTALKERS, which got totally slammed, but was a fun retread nonetheless if not taken seriously. When I finally got to see it, I found out, yeah... it is a huge mess, and uninteresting as the main actors - Farrell and Jolie, are absolutely dull and out of place. They're akin to casting DiCaprio and Cameron Diaz in GANGS OF NEW YORK. These young hipster actors just don't work in historical epics. Maybe Billy Zane or Christian Bale would work... but no more Orlando Blooms. Who can take these seriously? In 50 years when people look back on this, how is a young Colin Farrell going to stack up against a young Marlon Brando or Richard Burton? Will anyone even remember Farrell? There are diamonds in the rough to be had though... Vangelis's music is among his best in recent years, grand and orchestral tough retaining a little of his trademark soaring synthesizers. It works very well in a period piece. Brian Blessed and Christopher Plummer have welcome (if too brief) cameos... and the scene where Alexander attacks the elephant with his horse (though overblown) works fairly well.The rest of the movie is (to put it in English) utter pap. Stone did such great work with JFK, PLATOON, and arguably NATURAL BORN KILLERS... what happens when you stick him with a lot of great genre actors and Vangelis? How did this go wrong? Oh yeah, Farrell and Jolie... not to mention a mishandled story from page 1. At least they never made the Alexander movie Baz Luhrman was planning for so long to star Leonardo DiCaprio... THAT would have likely been even worse.",4,5,7,11 May 2006
A Bridge Too Far," A star-studded 70's disaster movie set against the backdrop of an Allied defeat in World War II
","A Bridge Too Far falls under its own weight in many ways with a lot of distracting cameos and an overly bombastic score. Also, it stumbles right out of the gate with a completely historically inaccurate and oversimplified narration that certainly angered any veterans of the Eastern, Italian, or African Fronts by erroneously claiming that up until D-Day the Germans were winning the war. Much of the rest of the writing falters under banalities and clichés, with some real life historical figures such as British General Browning and German Field Marshall Model portrayed as utterly incompetent (winning The Battle of Arhhem only because of luck and British hubris rather than due to his own ability). As usual for most old-fashioned war movies, the Germans are portrayed as largely heartless and often doltish with the Americans heroic, the British pompous, and the Poles and Dutch as noble victims of their circumstances.However, the film has a lot going for it that World War II films up to that point hadn't done. The battle scenes manage to attain a level of chaos, brutality, and realism unmatched for another 20 years. In addition to showcasing a lot of fairly accurate equipment, the action is edited well with great sound design (aside from those squeaky 'beep' ricochets) and pyrotechnics. The scene where XXX Corp. first encounters the German lines with its devastating artillery barrage and then stumbling into an ambush ranks among my favorite war scenes, accurately portraying the sheer wide-scale savagery and how quickly great plans can fall apart.As usual for 'big' movies of the time, there really isn't a plot or character arcs because of just how many overlapping stories and vignettes there are. A few bigger stars like James Caan, Robert Redford, and Elliot Gould get only 2 scenes - one small one to introduce their character and one larger one in which they do something memorable to service the action, usually calling back to something their character said in their introduction as though each one had some vaguely ironic prescient ability. Some of the stunt-casting actually makes the film worse, such as Gene Hackman doing his best but completely failing to fool anyone into believing he's Polish.History buffs, such as myself, will get a big kick though out of the straightforwardness of the presentation of Operation Market Garden. It's interesting even to see the generals posit over maps and see their plans come to fruition inter-cut with the small stories of the regular people on the ground. The operation certainly deserved a big picture to tell its story and with impressively mounted spectacle in the age before CGI and visual effects. The larger screen you watch it on and the more interested in WW2 history you are, the more impressed you'll be.",7,0,1,27 July 2016
Star Wars: Episode IX - The Rise of Skywalker," Disney and J.J. go into full-on Schlock Mode!
","The two words that came to me watching this enjoyable mess were 'desperate' and 'cowardly'.Desperate because the film tried so hard to please everyone by working in so many characters and references that it completely lost focus. With BB-8, R2D2, and C3PO, we just have too many damn robots. So what do they do? They add in yet another one! We lost our big and bad female stormtrooper Phasma but replaced her with two new pointless female characters (a bounty huntress and a former storm trooper) who both only seem to exist to give Poe and Finn someone to have chemistry with aside from each other. Rey is still doing her own thing, so overpowered and invulnerable that the film creaks along with a total absence of tension......which leads me to the Cowardly aspect. The film pulls absolutely every punch from the start. Remember when Finn almost killed himself in The Last Jedi, only to get rescued from it at the very last second? Well here we get at least 3 instances where a character makes a brave sacrifice only for their 'death' to be undone in the very next scene! It's as though Disney just can't kill off any of the main characters no matter what happens. The emperor shows up again, because 'duh, what else were they gonna do?' However the moral conundrum he puts before Rey gets solved in the blandest way possible, which would never have even been a problem for him had he not just announced his plan to her seconds earlier just like a Bond Villain.I really cracked up at his new ability to summon star destroyers at will, complete with loyal crews on several vessels. There's a ton of throwaway, possibly ADR'ed afterthought-lines thrown in here and there by offscreen characters such as 'it's time to recruit more children on planets to serve in my fleet' but later a character says 'they're going to deploy their fleet in 17 hours!'. Well hell, those child-slave star destroyer crewmen grow up quick! I guess a lot can be accomplished when you go at light speed while Relativity makes time freeze for everyone else (when it serves the plot). However the rules of light speed, warp speed, hyperspace, etc. come to make absolutely no sense in context to the plot and what happens during the last act of the movie. Apparently it's just as easy for the heroes to summon a good guy fleet into existence in mere hours when all they need is 'hope'! Luckily, for all the star destroyers the First Order had when the movie started, they couldn't spare any to defend their new fleet at its most vulnerable moment? Or spare a few extra control towers in case one gets destroyed?These plot holes and contrivances come on fast and furious like every other plot element in the film. It would get annoying if it wasn't so quick that one literally has no time to think about it... just like an Umberto Lenzi crimer like THE TOUGH ONES or one of Kinji Fukasaku's Yakuza movies. It's not helped here that there's already too many characters but the film finds time to dump in plenty of new ones (in addition to the ones already mentioned) as well as so many ghost cameos of the old gang that it actually becomes funny after a while.What a mess. It's disappointing that we never got to see the gang all back together as we had hoped before this new series came to theaters. Instead, we get all these bland new characters who never go on any arc and don't have any flaws or motivations at all. Adam Driver stands as the bright spot here but even his character suffers from Rian Johnson and J.J. Abrams pulling a tug-o-war on him over three movies. In the end, this franchise will make its money, but at the cost of having me, or any of the other fans of the original films, ever take the Star Wars brand seriously again. Worth watching for mindless fun, some laughs, and ultimately to join in on the conversation of why these movies didn't work.",5,1,1,26 December 2019
Terminator 2: Judgment Day," Excellent effects and performances but the script has some issues that haven't aged well
","When this movie came out, it was a watershed moment, especially among us 11-year-olds who were just now able to see R-rated movies here and there. At the time, we weren't thinking critically about whether things made much sense and we weren't comparing it to the first movie (which most of us saw later). The film changed the game of what a big-budget R-rated action movie could be, with top notch effects and plenty of scenes that will stay with you many years later.As a jaded middle-aged adult who has studied and attempted my share script writing and film making, I can certainly appreciate the original film as a mini-masterpiece of mood, atmosphere, and a lean, mean film all around. It's got a few underwhelming effects shots but overall a miraculous production considering its relatively low budget.Here with the sequel, they upped the budget 15 times, Arnold was already a major movie star, they threw in a spunky kid to be his sidekick, and so they had to up the threat level in terms of a new invulnerable foe. With the T-1000, I would say they were 100% successful in creating an interesting and relentless threat via the groundbreaking effects and Robert Patrick's genius performance. However, in the script, the machine would have been a lot scarier more tense had it behaved a little smarter.For instance - I don't understand why it has to keep reverting to the same form as Robert Patrick even later in the film when everyone knows who he is. One of its main assets is that it can copy other people and infiltrate. Think how easy it would have been to get closer to John in the factory if it just took the form of Arnold or anyone else who would seem more trustworthy. Another issue is that it doesn't just obliterate Arnold when it gets the chance on at least two occasions. I think since it's a more advanced model, it'd be aware of Arnold's power core and CPU location and could easily have just punctured those things and walked away. Why didn't it do this? Well, because we wouldn't have had a movie otherwise.After the amazing T-1000 morphing effects and a few heartless, dehumanizing kills, I still have to say that I'm a bit let down that this film just doesn't have the dark edginess and grit that the original had. It's not a small movie about a pursuit but a more muddled epic affair where the main characters go off on a bit of a tangent to change history later in the film which robs it of a lot of its energy. While it boasts bigger chase scenes with impressive choreography, the film had a lot less fatalities in an effort to give it more mass audience appeal.It's unfortunate the terminator doesn't get to terminate anyone, even prior to receiving his new orders, especially as it later comes to the detriment of the main characters as the officers he merely wounds are still capable of disrupting their plans. The film itself lacks daring to give the characters a hard choice; what if killing a few people could prevent the end of the world? Could you still do it? It would have been so much more interesting to see characters just go with a bold choice instead of playing it both ways in such a wishy-washy manner.Cameron just kept making bigger and bigger films as the years went on, with TITANIC and AVATAR both decent films but way more lavish and expensive than the scripts really dictated. Also an unfortunately byproduct of the success of this film would be the solidification of a repetitive formula that would haunt the franchise this spawned. The concept of a future war between humans and machines has so much that could be done with it. Why is every film in this series just another time travel plot about protecting some future savior of mankind and a bunch of chase scenes? Oh yeah, because this film made so much money, and the studios just think that all we will ever want is more of the same.",7,0,1,31 October 2019
Cross of Iron," Accurately messy experience with the Eastern Front
","While there have been a few movies at this point to deal with the Eastern Front (most recently the German TV series 'Our Mothers Our Fathers'), nothing including STALINGRAD and the numerous Finnish war films have captured the horrific nature of the grit and fighting quite like this one. Sam Peckinpah uses editing like a science and makes this film a sort of WILD BUNCH in Eastern Europe. The quick cutting, slow motion, and balletic cross-cutting back and forth creates an exciting fever dream of an experience and certainly breathes a lot of life into the film's more superfluous scenes (such as Steiner's trip to the home front). We don't get exploding heads, murdered civilians, and entrails all over the place so I can't call this an anti-war movie along the lines of COME AND SEE. I would instead call this possibly the most macho WW2 adventure ever made with a strong satirical tone not really made too obvious until the last reel (which is a bit of a fluke I hear as reportedly they had run out of money to make it the way Peckinpah had originally envisioned).This may be the only film to depict the desperate German holdout in the Taman Peninsula in the summer of 1943. My main complaint is that it isn't given much context (ie. a glorious map session like we got in BATTLE OF NERETVA or A BRIDGE TOO FAR) because the Taman Kessel was a unique phenomena of the war with its only resupply / escape over the Kerch straits to Crimea. On one hand it was the only hope the Germans had of ever attacking the oil fields of the Caucasus again, and on the other hand a very precarious and easily isolated pocket.Nope, in this movie we are down in the trenches with the men for the most part, fighting for their lives every day and not very conscious or concerned with the greater strategy of the war. They may as well have set this in the Rzhev meatgrinder, which was probably even more horrific but beyond this film's budgetary scope. Most of the Germans (outside of oddly cast James Coburn and two of his senior officers) are played by real German actors speaking accented English. Once you get past the casting of American Coburn and Englishmen Mason and Warner in the key roles, it actually feels much more authentic than, say, ENEMY AT THE GATES. It falls victim to a couple cliches of course, with Zoll the ardent Nazi of Steiner's group being suicidally incompetent and a rapist (who is even introduced as a possible SS man though that wouldn't make any sense for him to be serving in a Wehrmacht unit so early in the war) who of course gets his just desserts. Maximilian Schell's villain is more of a Prussian aristocrat obsessed more with glory than Nazi racist/homophobic policies, even exploiting them to his advantage, which is a nice change of pace.See with an open mind especially as a fan of Peckinpah's other action films. Pound for pound, it probably boasts the most action of all his films. Don't expect to be too enlightened or educated about the horrors of war or the human condition, though there are a couple good such scenes sprinkled here and there.",8,1,3,27 December 2018
28 Days Later...," how to fight zombies after the Brady Bill
","(while I admire the effort and usually love this sort of movie, I have to rate this one as a total failure)Until the arrival of some military squaddies at the end, there's little to no mention of firearms in this film.  If zombies had taken over, I think finding a gun would be on the top of my to-do list.  At the very least, if I'd woken up one morning to find a city abandoned, I'd still get a gun at the very least for hunting purposes (horse meat, anyone?).
The most troubling aspect of this movie is its total lack of originality. The basic premise is stolen from THE CRAZIES and DAY OF THE TRIFFIDS, with a virus wiping everything out and making people go mad.  Then it shoots into DAWN OF THE DEAD territory with characters raiding a store in a very inferior fashion (again neglecting real weapons), and then DAY OF THE DEAD when we run into some hapless underdeveloped military goons not unlike the convicts in ALIEN 3.  There's also a 12 MONKEYS/STREETFIGHTER/CLOCKWORK ORANGE reference at the beginning, involving apes being conditioned by watching violent images, then getting let loose by animal rights activists.The plot and premise is full of holes: why do rage victims not attack each other?  How do they violate the laws of physics to get so much blood and energy?  How would a virus that takes effect so quickly spread across a body of water?  (I could just imagine an airline pilot still piloting his route, totally oblivious to the fact that all his passengers are hyperactive blood-barfing zombies - or someone calmly boarding a plane right in the 15-20 seconds after getting bitten.)Most memorably bad is the awful look to the cinematography.  I've shot with a Canon XL-1 with little to no understanding of how to properly white-balance it or do good lighting, and the picture I got didn't look nearly this bad, with pixelly video artifacts, jagged lines, etc.  The cheapness really showed through during the brighter scenes.  With a $15 million dollar budget, the filmmakers may as well have used 16mm or 35mm, because even though they blocked traffic and shot DV on the fly, there's still a few shots where you can clearly see cars in the distance.All in all, this movie sounds a lot better than it is.  None of the violence is clearly visible due to a rapid ADD-like style of cutting during the action scenes.",Null,0,0,30 June 2003
The Lord of the Rings: The Two Towers," an overblown waste of money
","Peter Jackson's films worked best when they didn't take themselves seriously at all (as in the case of BRAINDEAD or MEET THE FEEBLES).  His trilogy so far is indeed very well shot and edited (though each film so far could easily afford to cut at least an hour away), but the big mistake here is that the films keep wavering back and forth from silly stuff to graveyard stoicism.The battle scenes are overinflated CGI extravaganzas with lots to look at but nothing really interesting.  I kept thinking of the film WATERLOO (the 1970 Sergei Bondarchuk version) and realized that the battle scenes in that 33-year-old film were actually better-filmed, more believable, and more enjoyable than here, where everything is fake - and definitely looks it. The music is unmemorable, as are the bland actors (except for the underused Brad Dourif and Christopher Lee of course, but these days the real talent is slowly getting replaced by the likes of 'Viggo Mortensen' and 'Liv Tyler') - but I digress.I'm not gonna stand on a soap box all night and rant about how silly this movie is and how the Tolkien and AD&D fans (and I used to be one myself) will eat up every minute of this.  However, I have to point out that it runs far too long, and the action sequences seem to just come and go without adding to the story in the least, just filler.  Basically, all the characters are in the same situation at the end that they were at the beginning of the film... the whole movie is filler.I actually preferred the animated 1978 Bakshi version, in that it was much better paced and felt more stylized and less like a big cash cow.  It's too bad that Bakshi never was able to finish his film, but then again he had about the same budget to make his film that the LOTR trilogy spent on wigs. That film actually had heart.In spite of the fact it was merely made to cash in on all the nerd-money not yet spent on computer games and 'Warhammer 40k' pewter models, this film will probably sweep the Oscars... which in my opinion is truly sad, considering there were probably thousands of better movies made this year - but so few were widely seen.",5,0,3,24 January 2003
