movie_title,title,review,rating,helpful,total,date
Come and See," Depressing, mind-boggling and unique
","Idri I Smotri is the most horrifying war movie you'll ever see. No, I have not seen every war movie but I've seen many and none of them were remotely close to this.If an American war movie is considered anti-war, you usually see really gruesome stuff happening to soldiers. American movie wars are fought in computer servers, a totally unpopulated battlefield were the troops can run around and kill each other. If a movie shows bad stuff happening to civilians, it's always limited and often implied.Idri I Smotri goes all out and shows you the whole thing. Rape, murder, massacre, brutality in every way imaginable. There is very little plot, a tool to further show the randomness and confusion of war. The happenings on screen are often bizarre and unexpected, and dialog is confused, desperate, hopeless and often barely human.On top of the ghastly pictures is a whine, drone, noise, call it what you will. I'm guessing someone call's it 'soundtrack' but that's too generous. It's nauseating, and very effective.Acting is extremely believable, characters feel real as life. That doesn't mean they are likable, rational or enjoyable, but they're undoubtedly there, experiencing first-hand what we are seeing filtered through or TV screen.I will never forget this movie. It leaves a mental scar in your mind which takes a few days to recover from and you'll probably never recover fully. If you've seen movies like 'Saving Private Ryan' or 'We were soldiers' and felt they were too strong, DON'T watch this movie. If you never feel terribly affected by movies, well, you'll soon know what it's like.",10,22,31,2 November 2006
Lucky Number Slevin," Solid movie with clever script...not terribly entertaining though
","Smilovic's script is undoubtedly the strongest part of 'Lucky Number Slevin'(in case you're wondering 'why the retarded name?' the explanation is in the movie). It's wholly based on twists and turns, with the more and more tiresome(but still working) 'look-at-all-the-clues-you'll-only-notice-in-the-second-viewing' revelation at the end. The problem with such a script, of course, is that the movie has to be pretty damn good for you to want to watch it again. Lucky Number Slevin isn't that good.The actors are all big names, but none of them are giving it what they really got. It was nice seeing Lucy Lui in a role not totally stereotype, as usually happens to her. Morgan Freeman was a gangster, but still his usual jovial self, nothing new under the sky here, except a momentary emotional outburst at the end of the movie. Harnett was pretty forgettable, along with the rest of the cast.Directing is professional, camera-work too, with nothing to complain about. The sets and location are well-chosen, which is something you don't usually notice. Music is pretty bland, there's strings when you should be sad, and some more strings.This is worth seeing in the cinema or renting, but nothing you'll want to watch more than once or twice.",7,1,3,31 October 2006
In Bruges," Morality, violence, character acting, what more can you ask for?
","In Bruges was one of those movies you could see becoming great from a distance. The trailer definitely showed promise and the cast and concept seemed good. A while went and I forgot about it, but then it suddenly movie popped up again, so of course I went to see it.Not really sure what to expect other than Colin Farell, and old guy and Ralph Fiennes interacting in the bizarre location of Bruges, Belgium, the movie was a delightful surprise. There is a good dose of humour, dark and somewhat lighter, and there's more humanity than in all of Hollywood's summer blockbusters combined.Superficially a slow actioner, In Bruges is a morality play, which shows the new-comer director's background in the theater. The interaction between the characters, the amazing twists and turns of the story and the great acting between the three lead men(Brendan Gleeson a surprise to me, his Harry Potter role did not impress but how could it have?) is the main thing to expect from this movie, with a clever and exciting climactic ending to top it off.If you liked Kiss Kiss Bang Bang, or Layer Cake, or any other subtle off-beat dark comedy, then this is definitely for you. Beware of blood and violence at some parts, and heavy themes at others. This is not a movie to take lightly, but give it a chance, it's worth it.",9,3,8,5 July 2008
Monty Python's Life of Brian," One of my all-time favourites
","While Quest for the Holy Grail was funny because it was so low-budgetty and silly, Life of Brian is more advanced and with a greater variation of humour. It also has a bigger budget, which is great to see. Every scene looks realistic, and the sets (someone said they were formerly used by 'The Last Temptation of Christ?) are great.Almost every line in this movie is a classic, and all of them very quotable. The characters are hilarious, and out-of-this world zany.The plot is good, and contrary to the Holy Grail, it actually comes to a satisfying conclusion.The movie also dares to joke about religion. No, they don't joke about Jesus or God, but about the believers in them. The line 'I say you are Messiah, and I should know. I've followed a few' is so spot-on it hurts(when I laugh).All in all, watch this. This is possibly the funniest movie ever created. You can't afford to miss it.",10,74,133,27 December 2005
Akira," Deep-cool, a great and rare combination
","Not often does a movie come out that has both kick-ass action and storyline, but also a deep hidden meaning and some huge questions. 2001 must have been one of the first, even though it's 'coolness' has faded over four decades. Since then, every now and then movie-makers has decided to coat existentialism with action-packed innovation. Matrix is one of the latest to mix the two in a good way.Akira is another of those movies. The story starts out on a pretty basic level but quickly unfolds at a brisk rate which forces you as a viewer to keep your eyes peeled. This is made very easy in Akira by the amazing visuals, the fast and sometimes mysterious storyline and a kicking soundtrack.Akira is raw and uncompromising, the action is over-the-top and spectacular, the setting(Neo-Tokyo) is fantastic, and the characters intriguing. At the end of the movie, we also get a good dose of theology/science ideas thrown at us for good measure. Combine all of these and you're in for quite a ride.Akira was one of the movies that started the Manga phenomena outside Japan. It's not hard to see why. Even though I've seen very little Manga, the few movies I have seen has convinced me that the Japanese have a lethal advantage over Western animation. Nothing wrong with that either. The best outcome is, of course, that Hollywood smartens up and starts to come up with some cool ideas themselves. We'll just have to wait and see. Until that happens, there's still a ton of Japanese movies to see.",10,4,7,23 May 2006
Shaun of the Dead," Much better than Dawn!
","This is what the zombie movie genre should have been. A comedy. I really disliked the original DOTD. I can see that it started a trend, but why is beyond me, since it's so appallingly bad. Not only is the setup a bit silly(slow-moving brainless easy to spot zombies taking over the world? Yeah, right) but the movie takes itself so seriously, and the fans even more so. Shaun of the Dead doesn't, and that's its strength.The movie starts as a normal relationship comedy, and Shaun is our regular loser. The whole problem of the dead walking begins just as any problem; something you hear on the news but ignore because you have worse problems. People's reactions to the zombie plague (Don't say the 'z-word'!) is actually pretty realistic and also funny.The movie uses gore in a good way, and doesn't indulge in it, like the 2004 DOTD remake. Since this is not USA, the Londoners have to use cricket bats and umbrellas instead of shotguns and colts. The classic mall is replaced with a pub, and when Shauns mum tells him she's been attacked on the phone, she refers to the zombies as 'a tad bitey'. It's very British, and I love that.The cast is good, especially Pegg, who shows a great range o emotions. The two usual zombie movie emotions, fear and expressionlessness, are nowhere to be seen. The supporting cast is good, and the zombie extras are great.I recommend this movie to anyone who likes zombie movies, and to other people too. Unless you have a weak stomach, this movie is good for everyone.",8,3,7,27 November 2005
Pirates of the Caribbean: The Curse of the Black Pearl," But isn't piracy BAD for movies?
","Lame joke, but I can't think of a good summary. Pirates of the Caribbean is a pretty decent summer blockbuster that received much acclaim thanks to massive marketing. It's not terribly original, it's not terribly funny(lots of the lines meant to be funny really doesn't work very well) and in the end, it's not terribly satisfying either.As movies come, it's solid and well-made and there's nothing to complain about in directing or the score, which both are good. The acting is one of the disappointments. Orlando Bloom is totally wooden as usual, Kiera Knightley doesn't exactly leave an impression, and Johnny Depp, although he is a god of acting, doesn't take his cool role nearly as far as he could have(with a script like PoTC's, there's no room for anything outside the frames of well-tried movie/money-making guides).The plot is the standard damsel-in-distress scenario and some Incan curse thrown in for good measure. Add a bit of Dawn of the Dead or the work of Ray Harrihausen in 'Jason and the Argonauts' and you have the storyline.I've watched PoTC two times and it has failed to impress me both times. It's a bit too violent to be appropriate to the audience I think would have appreciated it best, and a bit to childish to appeal to the rest of the movie-goers. Not something you have to see.",5,3,5,24 July 2006
Oldboy," Complex, challenging masterpiece that puts Hollywood to shame.
","While Hollywood is slowly choking to death on clichés and unrealistic budgets, the movie lovers turn their attention to Asia. Especially interesting is Korea's emerging movie industry. Japan has a long tradition of quality horror and anime and China dominates the epics with state-sponsored spectacles. Which place Korea will take we don't know but if Oldboy is any inclination it would be intelligent, disturbing drama-action movies.Oldboy has an extremely intelligent and edgy script, which will make you think and question your morals. It would NEVER be picked up in Hollywood. Even the initial concept of being locked up for 15 years without apparent reason would be deemed to strange for the audience. Thankfully, the Korean producers could see the brilliance of the script and give it a shot. It's budget is some $4 million, which is amazingly well used.Oldboy is very much the child of it's director, Chan-Wook Park, who's name should warrant a lot more fame than it does. The camera-work and pacing is amazing. There are virtually no dull moments. The fighting scenes are used to compliment to movie, not to give a reward after half an hour's boredom.The lead actors are no less amazing. Min-Sik Choi is a perfect anti-hero. Unlike the Western antiheroes, he even has the looks of an everyman, which makes his transformation so much more spectacular. The lead actress is a bit understates in my opinion, but memorable never the less. The best one is by far Ji-Tae Ju, the charismatic villain. He dominates every scene he's in, a sort of Korean Christian Bale American Psycho.Music and choreography is great as well. All the details and the grit makes the movie really come alive. At the end, you are in awe, a rare feeling for a movie. The feeling stays with you for days. Occasionally you will think of the movie and shake your head, unbelieving someone could actually pull it off.So do yourself a favor, watch Oldboy. You will not be disappointed.",10,76,129,20 October 2007
My Neighbor Totoro," Extremely cute(in a good way!)
","If you see a movie like 'My Little Pony', you think 'CUTE!' and feel like puking. That's a common trait in children's movies today. Too many bright colours, boring and dumbed-down dialog, and tired and boring concepts.This usually stems from the problem that only grown-ups make movies. But this movie is also made by grown-ups. So what's so different? I think Miyazaki has very good contact with his inner child. It sounds corny, I know, but he's spot on with every line, every movement, in fact everything the wonderful two sisters do in this movie.American child heroes are usually very grown-up. They speak pretty much like an adult. They remind more of the kind of children we see all the time in horror movies(the kind who has black makeup under the eyes and says eerie things to the main character) than real children. If they're not like that, they're painfully cute and stupid. But not in this movie.The plot is wonderful as well. It's magical enough to appeal the children and serious enough to affect grown-ups. It's a rare mix. Most importantly, it's gripping. You really care for the characters, you feel happy when they're happy and you feel bad when they're in danger.In conclusion, Totoro is a really cute movie but not in the usual brain-dead way we Westerners have become used to. It's as good as Disney in its prime, and in some ways better. It's easily the best movie you can let you children watch made in the latest 20 years. Mom and Dad might want to turn off the dubbing and watch the Japanese version as well.",10,4,5,14 May 2006
The Day After Tomorrow," A good disaster movie(!)
","Very few of these has come out for a while. A solid, good, disaster flick. Good use of CGI(Unlike Armageddon. Ugh.) and a good story, even if it's a bit unrealistic(Unlike Deep Impact. Ugh again). I usually laugh a bit at normal disaster flicks like Perfect Storm and the likes. This movie had me entertained but not laughing at it.Jake Gyllenhaal shows about 5% of his capacity(watch Jarhead and Donnie Darko) but it's OK. Acting is pretty general in this movie, no real stinkers or real stars. Again, no big deal. It's a disaster movie.The plot: Ice Age is abound and Dennis Quaid has to save his son from a frozen New York. There's even a nice Karl Rove-ish vice president in there not caring. Me like.The effects are, as I've said, very good. It's chilling to see a giant wave hit NY, especially after the recent disasters... Anyway, it's hard to elaborate on this movie. Just see it with an open mind and don't be nit-picky and you'll enjoy it.",7,1,2,25 January 2006
