movie_title,title,review,rating,helpful,total,date
Catch Me If You Can," An amusing comedy based on the real story
","I enjoyed very much this film because we make at the same time a serious travel in the world of the swindle and the forgery but also a funny travel in the life of of all the tricks Frank Abagnale finds to avoid the police and begin a new life for example.Frank Abagnale Jr was really a very skillfull forger and impersonator (a Pan Am pilot,a doctor, a legal prosecutor).Then we have the story of Carl Hanratty, a FBI bank fraud agent who tries to catch the very clever and astute Frank.
The performances of Leonardo DiCaprio, Tom hans and Christopher Walken are very good.As the film is based on a real story we know at the end what happened in the real life with two main characters.",8,1,2,12 July 2019
Child 44," No serial murder in the Soviet Union
","Based on the case of Andrei Chikatilo Child 44 is a tough and dramatic film that describes the fight of a man against a serial murder.For the official proganda the Soviet Union doesn't have serial murders.Leo Demidov will remove all the country to find this murder.The performances of Tom Hardy, Gary Olman and Vincent Cassel are quite good.",7,0,0,9 April 2019
Superbad," A crazy night
","I am fond of 'A crazy night' films such as The Sitter , Nick& Norah's Infinite playlist , Date Night in which the main characters hope to spend a pleasant night , but suddenly a lot of things goes wrong, but they always survive this night. This night no needs to end in a 'One night stand', sometimes after these tribulations the characters realize that they have a new girlfriend o a new boyfriend, and this is another story.The most important is the friendship between these mains characters.
So I enjoyed very much 'Superbad', because the story is quite crazy , funny and touching.
Thanks Michael Cera and Jonas Hill for your brillant performance !!",8,2,2,19 August 2019
Hot Fuzz," Troubles in Sandford
","It's quite difficult to write something new about this film !! Hot Fuzz is at the same a very good comedy about a little English town with it's colourfull people, its traditions and its secrets and a film with quite a lot of action,shots., persecution, usw. Sometimes these actions are so exaggerated as in Quentin Tarantino film !!
About performances I can not be totally objective, because I am a fan of Simon Pegg and Nick Frost since 'Shaun of the Dead' !!
Finally this film is full of humour, sometimes black humour !!",8,1,1,9 May 2019
Hotel Rwanda," The Rwanda genocide and the cinema.
","Many years ago I saw 'Hotel Rwanda' and I enjoyed this film, because I knew the story of the civil war and of the genocide in Rwanda (also because I have lived in Rwanda some years in the seventies).This film is well known (over 300.000 ratings in imdb) !! There are other very good films about the civil war and the Rwandan genocide: 'Un dimanche à Kigali, Sometimes in April, Kinyarwanda, Shooting dogs !! Taking one some distance 'Hotel Rwanda' looks then like the story of an Rwandan Schindler !!
The performance of Don Cheadle is very good.
Finally all these films about Rwanda are complementary: several points of view about the same tragedy !!",7,0,0,27 December 2019
Taxi Driver," Travis Bickle/Robert de Niro
","It's quite difficult to write something new about this film.Taxi Driver is really a great film.The performance of Robert de Niro is extraordinary, but Hervey Keitel and the young Jodie Foster are remarkable.Therefore Taxi Driver is one of the most memorable film of the Seventies in the United States.",8,0,0,10 March 2019
Forrest Gump," A sweet, touching and funny comedy
","It's quite difficult to write something new about 'Forrest Gump''.What words shall I use to describe a master piece of U.S. cinema ? A very fascinating story of a generous man who suffered and enjoyed the life.It's also a review through the history of United States : Vietnam war, John F. Kennedy, Nixon, etc with very funny comments !!
The performance of Tom Hanks is extraordinary, but the other actors and actresses (Robin Wright, Gary Sinise for example) were also extraodinary.
A master piece of tenderness and humour !!",9,1,1,29 May 2019
The Bourne Identity," A very good action/spy film.
","This is a story about a young man who has been rescued in the Mediterranean Sea and who is now looking for his identity.This search leads him to Zurich and then to Paris in France.Jason Bourne is vulnerable heroe: he is fighting with his amnesy and he knows that somebody or a organization wants to destroy him.
I enjoyed very much this story: about performances Matt Damon is a very actor and Franka Potente who will share the adventures of Jason Bourne is charming.",8,0,0,22 May 2020
Bridge of Spies," A good historical and dramatic film
","In 1957 James B. Donovan ,an insurance lawyer, becomes the defense counsel of Rudolf Abel.Donovan is a very intelligent man: he is convinced that Rudolf Abel alive might be more useful for a future prisoner exchange that condemned to death.So he manages to to spare Rudolf Abel the death penalty.The climate was very tense in the United States and Donovan was attacked in the newspaper for saving the life of Abel.Some days later, Gary Powers, an U-2 pilot is captured in the Soviet Union.The CIA convinced Donovan to organize a exchange of spies and sent secretly Donovan to Berlin (for his family he was working in London).Donovan hears about a U.S. student Frederic Pryor who has been arrested in East-Berlin and against the opinions of the CIA and U.S. government he is insisting in exchange Abel againt Powers and Pryor.
Donovan was an ecellent negociator, he had this intelligence and tenacity for convincing Russian and East-German for the exchange.
The performances of Tom Hanks and Mrk Rylance are excellent: in these dramatic moments we feel a touch of humour that made this film more alive.",8,0,1,3 July 2019
Edward Scissorhands," A great tale of Tim Burton.
","Tim Burton create a little masterpiece where he combines fantasy, romantic drama and comedy.
Edwards Scissorhand, an artificial man, lands in a suburban neighbourhood where he is adopted by Peg: there is a very description of the neighbourhood and of the families.Little by little Edward begins to be part of this world and will fall in love with Kim, Peg's daughter.
The performance of Johnny is great, this helped him in his career.But we must also appreciate the performances of Winona Ryder, Dianne Wiest, Alan Arkin and Bathy Baker.",8,0,0,9 November 2019
Die Hard 2," Panic in Dulles International airport.
","In my review on 'Die Hard' I describe the the beginning of a new action heroe: John Mc Clane played by Willis Willis.Besides Arnold Schwarzenegger and Sylvester Stallone the USA have a new heroe: the very pleasant and tenacious policeman John Mc. Mc Clan.
In this film he has to fight against very hard terrorists and also to save the lives of a lot of passengers.
A very good mixture of dramatic and also funny moments.",7,0,0,30 July 2019
