movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Gute Unterhaltung
",Good story telling. Gute Unterhaltung.(gute Unterhaltung),8,1,2,29 March 2020
A Star Is Born," Great movie and acting
","Great movie and acting (Great movie and acting, Great movie and acting)",8,0,0,22 March 2020
The Death of Stalin," Comedy?
","Comedy? It was good to watch. Sometime funny, sometimes too brutal",7,1,1,22 March 2020
Rogue One: A Star Wars Story," Can't help but what is it?
",Can't help but what is it? (Can't help but what is it?),1,0,7,28 March 2020
Knives Out," Spannend
","An excellent mystery, crime movie der alten Schule",10,2,5,28 March 2020
Tinker Tailor Soldier Spy," Don't get it
",Gave it a 3 1/2*. Saw it the 2nd time and didn't get it the 2nd time. Loved the camera & pictures but didn't get the story. (Cindy pushed me to watch it a 2nd time),7,0,3,28 March 2020
Molly's Game," Good movie
",Good movie. Well done. (Good movie. Well done. Good movie. Well done. ),8,5,6,24 March 2020
BlacKkKlansman," Mix bag
","Manhasset Movie Theatre: powerful, actuality, brutal at some times, funny as well. Trump on the wrong side",9,3,6,24 March 2020
Elf," Great Christmas Movie
",Delightful Christmas Movie. So nice (Delightful Christmas Movie. So nice ),10,1,2,28 March 2020
Oblivion," Long and weird and boring
",Long and weird and boring (Long and weird and boring),1,2,8,23 March 2020
Bohemian Rhapsody," Good entertainment
","Good entertainment (Good entertainment, Good entertainment)",7,1,2,22 March 2020
Dunkirk," Not so sure
","Back & forth, no timeline, no sense of day& time. Stretchy",6,1,1,23 March 2020
The Princess Bride," Silly,but still good
",October 2018: Enjoyed it. A little bit silly but great for a Friday evening,8,0,1,24 March 2020
Get Out," Not sure
","Wow - weird, brutal, not sure - but interesting (Wow - weird, brutal, not sure - but interesting )",7,0,2,24 March 2020
Frozen," Relaxing
",Relaxing - nice to watch for a change ( Relaxing - nice to watch for a change),5,1,3,2 April 2020
Cold War," Hmm sad story.. at the end
","Hmm sad story.. at the end (Hmm sad story.. at the end, Hmm sad story.. at the end)",8,0,0,22 March 2020
Jack Reacher," Spannend
","Spannend aber brutal (Spannend aber brutal, Spannend aber brutal)",7,0,0,24 March 2020
It's a Wonderful Life," Beautiful story
",December 2010: Netflix. Beautiful story. Again in 2017 at Christmas Eve. Wonderful story,10,0,0,28 March 2020
To Kill a Mockingbird," Great storytelling
",Very nice movie. Story told very well (very nice movie. Story ..),8,0,1,22 March 2020
The Mission," Sad but true
","Sad, true. Well done. Indians were shown the good way.",10,0,0,24 March 2020
Paths of Glory," A war movie different than others
",Well done for 1957. Good storytelling. War is so unnecessary.,7,1,1,21 March 2020
The Greatest Showman," Sweet
","DVD July 14, 2018. Very sweet (DVD July 14, 2018. Very sweet)",9,1,1,24 March 2020
Saving Mr. Banks," Truly wonderful movie
",Truly wonderful movie. Now i have to see the real movie,10,0,0,25 June 2020
Apollo 13," Remains a great movie.
","Remains a great movie. (Remains a great movie. , Remains a great movie. )",9,0,1,28 March 2020
Green Book," Growing up in Switzerland - I had no idea
",Excellent movie - showing the life black people had (and have). When you are a genius black your own people dislike you ..,10,1,1,22 March 2020
