movie_title,title,review,rating,helpful,total,date
Lucky Number Slevin," Totally Surprised Me!!!!
","This film took me by surprise. It is an excellent movie with a compelling story, wonderful acting, and brilliant direction. I have not seen this intense a movie since The Departed.Josh Hartnett is excellent in this film. One of the best performances I have seen him in. Sir Ben Kingsley is terrific as well. The character he portrays is outstanding. Lucy Lu seems somewhat annoying although that can be said about her character more than herself. Morgan Freeman and Stanley Tucci deliver good performances but overall, I think Bruce Willis came out on top. I will be using the nickname Goodkat for a long time to come. His character is terrific and no-one but Willis could play that character the way Willis does. He has such a serious and laid back attitude for such a deadly assassin.The story sucks you in brilliantly. Just like The Departed, I was compelled more and more to continue to watch. The story had grasped hold of me and I could not stop watching. Of course, more and more became revealed which built it up for a shocking turn of events (if you did not see it coming). Don't try to guess ahead of the film, watch in unfold and enjoy where it is going.There is plenty of action in this film. Bruce Willis shows us again why he is a brilliant action star and why he is a natural born on-screen killer. I also had a fond liking of the music in this film. The opening sketch is now one of my all time favorites.I really don't know how to describe this movie except as Outstanding. Paul McGuigan has created a masterpiece in my opinion. The only thing I can suggest is watch it! You won't regret it!",10,6,8,8 November 2007
3:10 to Yuma," Obviously one of the best westerns ever made
","Even the biggest critic could realize the potential this film has. The only thing you have to do is look at the cast. Christian Bale, Russel Crowe, Ben Foster, Alan Tudyk, Peter Fonda: a better cast could not be asked for. Although you can assume the film will be good based on the cast, you should expect 3:10 to Yuma to be a good movie which it is. 3:10 to Yuma is probably the best modern day western film.The cast delivers in this film. Christian Bale has a good performance as a good hearted rancher named Dan Evans. Russell Crowe delivers a terrific performance as Ben Waid, a dangerous and disturbed character. His character is an absolutely unstable and deceitful criminal. His character is just as dangerous psychotically as his character is physically aggressive. The best performance comes from Waid's right hand man, Ben Foster! Foster's character is just as dangerous a criminal as Crowe's character if not even more dangerous. Foster captures the anger and ferocity of his character in such a beautiful performance which makes his character dangerously scary. Peter Fonda who plays a bounty hunter and Logan Lerman who plays Bale's son, Will Evans, deliver two great performances as well. The casting of this movie was chosen perfectly and the performances were delivered just as well.The story of the film is perfect. It is a very gripping story and keeps you on the edge of your seat. I was expecting more from the film in terms of gunfights but the film delivered in showing a brutal, violent, and vulgar West. The film took not only an approach of showing how violent criminals were back in the Old West but also showing how vulgar they were and just how mentally unstable they were. I absolutely loved the film for that. One of the central themes surrounding this film is morals. You will see this theme continually evolve more and more throughout the film. The ending is more than what I expected!! I did not expect the movie to end the way it did and put it simply, 'The $hit hits the fan!'The music of the film is terrific. It fits the tone of the film perfectly and adds to the tension of the film. The film is shot beautifully with what seems like little reliance of special effects which makes the film fantastic.I know this film is a remake and I have never seen the original! But I can say this movie is absolutely fantastic. 3:10 to Yuma is a must see film whose brilliant acting is the pinnacle of the film. Westerns don't come around very often anymore and when they do, they come out in the form of 3:10 to Yuma; A True Masterpiece!",10,1,6,15 September 2007
Spider-Man 2," Best Spider-man Film
","Spider-man 2 is a perfect example of a film with a good story with lots of action, drama, entertainment, and has a good love story. This film surpasses the first one and despite the fact I had high expectations for this film, those expectations were sufficiently met. This is the best spider-man film.Sam Raimi returns as the director in this popular movie series. This film covers the emotional battle of Peter Parker and it is handled perfectly. Peter is torn between his duties as Spider-man, his responsibilities as a student, and most of all, his emotions. The result is Peter is uncertain what he wants and what he should do. The ultimate theme, the true test of a hero! What are the choices that Spider-man makes and the actions of those choices. They will define and determine the fate of his character, Spider-man. This story of Spidey's problems is handled perfectly alongside the story behind Doctor Octopus. The special effects in the movie are very good! Although some of the effects at times seemed obviously fake and way overdone! One of which I disliked was the Spider-man/Doc Ock battle on the skyscraper! Other than that, the special effects of the film were very satisfying.Tobey Maguire returns in perhaps his best performance of the movie series. Kirsten Dunst and James Franco are back as Mary Jane and Harry Osborne. I think Franco has a better performance as Harry in this film over the first film. But yet again, just as in the first film, the villain steals the show. Alfred Molina portrays Dr. Octopus. My personal favorite spider-man villain aside from Venom. He handles the character terrificly and the character is used perfectly as well. A good hearted man trapped in a mechanical and 'superior' intelligence. Molina has the appearance and attitude of Doc Ock. He takes a very serious approach to Doc Ock which is very satisfying. He is a dangerous threat instead of a sometimes viewed old, crazy, and laughable villain. One of the best performances by an actor on a super-villain. He did not disappoint. J.K. Simmons returns in his humorous role as J. Jonah Jameson and Bruce Campbell makes a hysterical cameo appearance. Rosemary Harris portrays Aunt May and in this film, her character is more influential than ever! Her character has always been important to Peter but in this film her role is most significant. She has always been there for Peter but in this film she is able to provide Peter with the most wisdom and guidance he has ever needed. Her character is perfectly portrayed in this film. She is used as a pivotal necessity which is exploited wonderfully.Just an outstanding movie with an outstanding story and an outstanding usage of secondary characters! One of the best comic book films ever made and a true compliment to the Spider-man character. A fantastic film! The only reason I give it a 9 instead of a 10 is that it does not seem as captivating as other movies. It is a good film but I do not really get sucked into it near as much as I do with movies I give higher ratings. An outstanding movie, a must see by spidey lovers and spidey haters alike.",9,12,19,24 June 2007
Batman Returns," Impressive Sequel
","Tim Burton has done a wonderful job in bringing another top notch Batman film. The film itself may be equal to the first. With Keaton as Batman returning, we get 2 new big villains, The Penguin and Catwoman! They are utilized brilliantly in this film. Batman Returns is a terrific movie! Michael Keaton does a better job in this film with Batman! I get more of a darker interpretation of him in this film and I like it better than the first. Michelle Pfeiffer plays Catwoman and she does a fantastic job! She creates a sick and fiendish catwoman who is a joy to watch on screen. An excellent portrayal of the character on her part. Christopher Walken plays Max Schreck, a business villain. His character is nothing truly special but Hey, its Christopher Walken. I still feel as if there is a lack of supporting cast outside the big three in this film.Danny DeVito plays the Penguin. Burton and the writers Daniel Waters/Sam Hamm take a different approach to the Penguin in this film. Rather than making him a simple mobster or ganglord like interpreted in the comics, Burton gives him the 'insanity' characteristic that most Batman villains have. So now the Penguin can be similar to having the mental psyches of other villains like the Joker or Two-face. And best of all, he does it successfully. The character is terrific. The Penguin is portrayed as a troubled, angry, disgusting, and disturbed individual. And some of his characteristics are kept true. He still looks like an absurd villain and seems like a laughable villain. Yet the character gets a very serious approach taken to him and it is done very well. DeVito does a good job of playing that character created for him.The story is very good! I love the opening scene and the opening credits! Although the movie seems really rushed at first in order to get the balls rolling! The action sequences are great in this film. And the special effects are even better. This Gotham City is even darker than the first one and it just expands the viewers imagination even more. The interpretation of this Gotham City is truly Gothic! A nice adjustment is made to Danny Elfman's original theme that gives the music a newer feeling.Batman Returns is a good sequel to the first. Tim Burton did a great job handling these first two Batman movies. It urks me that he was taken away from the series because the industry thought his interpretations were to 'dark' or 'scary'. That is what Batman is all about and Burton did a good job handling him.",8,0,0,2 July 2007
X-Men," First Good Comic Book movie in a long time
","X-men is the first good comic book movie in a long time. It began the Marvel age of movies and was a precursor to other Marvel movies such as Spider-man, Hulk, Daredevil, etc. Bryan Singer brought a fresh and original style to this film which made it a great movie and a great start to the Marvel age of movies.The casting of X-men is one of the film's best characteristics. Patrick Stewart is perfect as Charles Xavier. Hugh Jackman brings a ferocity and laid back attitude to his character Wolverine which is fantastic. Rebecca Romijin delivers a terrific performance as Mystique and Ray Park is excellent as a repulsive and sick Toad. James Marsden, Famke Janseen, Anna Paquin, Tyler Mane, and Bruce Davison all deliver great performances as well. The standout actor is Ian McKellan as Magneto. He captures the seriousness, vibrancy, anger, and devotion of his character perfectly. His portrayal of Magneto is one of the best movie villain interpretations of all time and no better actor could have been picked for the role.I really like the story behind the movie. The X-men must face off against the Brotherhood of (Evil) Mutants. Each of which is a distinct team of mutants fighting for a different goal. The X-men wish to protect humanity which of course ultimately hates and fears them. The Brotherhood looks to 'destroy' mankind for the same reason. Each team is driven based on their own personal beliefs and experiences. The thing I love about the X-men movies is that it is more than just a battle of good and evil like Spider-man. It is a battle for acceptance and once you see the movie, you should be able to understand exactly what I am talking about.X-men has one of the best opening scenes to a movie. Not only is it a great way to start the film but it is a great way to introduce Magneto's character. So much can be shown about Magneto's character in just that 5 minute scene. I love the way Singer started the movie.Bryan Singer does such a great job in bringing the X-men to the big screen. He captures the teams spirit, the characters attitudes, and the moral beliefs of what everyone is fighting for. Not just what the mutants are fighting for, but also what mankind is fighting for. The X-men make such a great film in that the issues behind them make for a compelling and meaningful movie.",9,0,1,29 September 2007
Spider-Man 3," Good movie but does not match the caliber of the first two films
","I do not want to call this film the worst of the spider-man films because I say the same thing when I say Batman and Robin was the worst of the Batman Films. And this film is in no way comparable with Batman and Robin. Spider-man 3 is a good film but does not match the caliber of the first two films.Tobey Maguire (Peter Parker) and Kirsten Dunst (Mary Jane) return in the two big roles with OK performances. James Franco returns in his best performance of the three films. He portrays an angry, distressed, and loyalty-torn character. It is truly a solid Harry Osborne character and I give compliments to Mr. Franco for doing so well in this third installment. Thomas Haden Church did an awesome job as Sandman. I was very happy with the Sandman character and the way he was created in the story. I loved watching him fight and the visual effects done on Sandman were outstanding. Some of his powers seem to be exaggerated but his character is great. Topher Grace as Eddie Brock and the new big villain, Venom! I would say Grace does a good job with the Venom character created for him. I still disagree with the Venom/Eddie Brock characters they created in this film. He is too cocky, too arrogant, and too much of a 'wimp'. Although looking at this as just a film, he does a pretty good job. OH, and Bryce Dallas Howard is in this film as Gwen Stacey. Although her role is of no importance, it simply enhances two factors in the film. That is all her character does, she plays no critical/event changing role.Although I would say this is the darkest and grimmest Spider-man film (which I liked, this film had almost a different feel for it than the other two), it is also the funniest. J.K. Simmons (J. Jonah Jameson) returns in his hilarious performance as usual and Bruce Campbell delivers yet another hilarious cameo. Even Topher Grace is funny at times (in a sick sort of way). So although the film is dark and grim, there is still some good comedy in it.This film tries to fit a lot into a movie. They overflow the film with a lot of new characters who need introduced. Overall, they do an OK job but it could have been handled better. So it should be fairly enjoyable as a film with entertainment and a good/solid/overrun story. You will notice the tag-line for this film, 'The Battle Within.' I do not want to give away anything so just think about that line. Peter is obviously going to be torn apart by perhaps someone or something(?). The story revolving around 'The Battle Within' is fairly good for a movie goer not judging the movie on its comic book characteristics. I think some of the effects are too 'video-gamish' in this film. They are almost completely recognizable as fake. The best fight sequences are in this film which should be obvious since he is battling three villains. Spidey, you have completed an excellent trilogy up to this point. This third installment is a good film. Maybe not the best way they could have gone out, but it was certainly good enough. A must see for anyone who enjoyed either of the first two Spider-man films.",7,0,0,17 June 2007
Taxi Driver," A Dark Film that is a Masterpiece
","Taxi Driver is an absolutely stunning film. One of Martin Scorsese's original masterpieces that was nominated for best picture in 1977. This film is absolutely amazing in that nothing is wrong with it. It has wonderful acting, direction, writing (screenplay), and filming.There is nothing wrong with this film. The filming is absolutely phenomenal, some of the best filming I have ever seen. The dark and horrible images of New York City are captured beautifully on camera. The footage taken from the Taxi Cab is brilliant, giving us the feeling we are driving that cab. The viewer gets the feeling that they are seeing and even feeling everything that is happening. Absolutely brilliant camera work! The story is brilliant. It focuses around the actions of a disturbed individual (Robert De Niro) who drives a Taxi cab during the most dismal times in New York City. The result, is an increasingly growing anger for all the filth and scum that he sees around him living in the city.Robert De Niro portrays a psychotic and isolated Taxi Driver named Travis Bickle who is a Vietnam veteran. This is, in my opinion, De Niro's best performance in a film. His character is extremely unstable and his portrayal of the anger, hatred, and cockiness in his character is phenomenal. The intensity he has on screen is unmatched by only a handful of performances I can think of. This is Robert De Niro at his best. Jodie Foster plays an extremely convincing young girl who Bickle tries to save from the scum of the city. Cybill Shepherd and Peter Boyle deliver wonderful roles as well as Harvey Keitel, who plays the pimp named 'Sport' who you just love to hate.The ending of the movie is brilliant. I did not see it coming and it actually made me feel good. There are plenty of different interpretations about the ending and hopefully you can come to one you agree with after you see it.The film is so great in that little things make it amazing. One example, is the way Robert De Niro delivers his lines. They come out so smooth and invigorating that you are left captivated by him. Not just his lines, but other quotes from the film that leave you shocked or laughing. Another example, is simple actions performed by the characters. De Niro is not just amazing in how he talks, but also his actions. Small things like when Bickle smiles or smirks and when he points his finger to his head and starts to make gun shot noises is incredible. And the background music at that point is amazing. It really adds to the intensity of the scene.Taxi Driver is a masterpiece. I truly believe this film beats out Raging Bull as De Niro's best performance. A must see film that has remained one of the most brutal and cinematic masterpieces of all time.",10,1,2,12 July 2007
Watchmen," All depends on how you go into this movie!
","I will make this review short and sweet cause I can sum up this movie in a short and efficient manner. You all need to know something about me. I am a huge movie fan, but first and foremost, I am a comic fan. And I am completely capable of drawing the line between comic book and film. What makes a great comic book film is its ability to keep true to its origins while transforming it to the real world. I have always been skeptical to making a Watchmen movie because I have always sided with Alan Moore on this topic. I think Watchmen delivers its most powerful effect in its true medium and that is the world of comics and not the movie industry. That being said, Watchmen is a phenomenal film for us comic fans. It sets a new bar for the phrase 'Sticking true to the comics.' However, for some people who have not read the comic, it will be filled with a lot of twists and plot turns which may make the film confusing. It may be very convoluted and dense to some. This was proved by my friends who asked many questions throughout the movie since they never read it. The costumes and dialogue may seem cheesy at times. So, if your a comic fan, you'll love it. If your a regular movie-goer, you will have mixed interpretations. But if you are a comic AND movie fan like myself who keeps the two mediums separated from one another, you will both like and dislike it at times. But nonetheless, it is a great film. Kudos to Jackie Earle Haley and his performance of Rorschach. I could not have been more pleased with this performance!",9,2,6,8 March 2009
Spider-Man," The Amazing Spider-man makes An Amazing Film
","Sam Raimi has taken perhaps one of the most popular comic book characters and turned him into a movie star. The result, a huge franchise that has launched into a huge success. Spider-man is a terrific movie with good casting, a good story, a good theme song (courtesy of The Amazing Danny Elfman), and amazing special effects.Tobey Maguire fills the role of Peter Parker perfectly. He has the appearance and the attitude of a young Peter Parker. His appearance is enough to convince me he is good for the role. He looks like he was born for the part and he does a fantastic job of filling it. I have been somewhat skeptical about Kirsten Dunst as Mary Jane. I never pictured her as being the Mary Jane type physically although she does a good job with the part. I have always been skeptical with James Franco as well. I do not think he did a fantastic job as Harry Osborne and I still ponder on him being cast (although he had a much better portrayal in Spider-man 3). His character just seems to outgoing, to selfish, and almost annoying(?). Willem Dafoe, in my opinion, stole the show. He plays Norman Osborne and the villainous Green Goblin. An absolutely perfect choice for the character. He has the anger to play the character and the ability to transform characters (From Osborne to the Goblin) easily and perfectly. His mental psyche is absolutely perfect for the character. I will admit, I did not really like his costume, but that is just his costume! His character is perfect! And there is some comic relief in this film, J.K. Simmons plays an unforgettable and perfect J. Jonah Jameson (editor in chief of the daily bugle).The story is very good though I feel the movie starts out awkward. I do not like how they really rush into Spider-man's transformation and the movie seems somewhat off tempo to start. The entire initial movie sequence up to when Peter's Uncle Ben confronts him in the car seems just rushed. After that, it seems like the movie moves more smoothly. Other than that, there is little I have to dislike about the film. The special effects are amazing and the design work done on Spidey's costume is terrific. The fight sequences are great and the final showdown between Spidey and the Goblin is awesome. The entertainment in this movie is high quality. Spider-man is a hero people feel they can relate to. He has duties that he feels he must commit to as a superhero and he faces real life challenges and personal problems outside of that life. This movie does a great job of capturing that.Whether you think of Spider-man as being 'Amazing' or 'Spectacular', either of these words can be used to describe the Spider-man film.",8,0,1,17 June 2007
Die Hard 2," Good Die Hard movie but not a great film
","Die Hard 2 is a perfect Die Hard movie. It has the characteristics and makings of a great Die Hard film. Since I am a huge Die Hard fan, I think the Die Hard characteristics of violence, action, and vulgarity are enough to make it a pure entertainment film but it falls short of being a good movie. Although John McTiernan does not direct this film, Renny Harlin does a good job with this sequel.One problem I have is the acting. I think the film falls short of the other films in a line of supporting actors. Bruce Willis of course returns in his star role of John McClane. His character is just as witty and humorous as ever. The other good performance was Dennis Franz as Captain Lorenzo. His character was extremely funny. A beautiful addition to the film who is just a nuisance and pest to McClane. I am somewhat displeased with the villains. I do not really like William Sadler in this film as Colonel Stuart. He just does not come off to me as being that evil or manipulative like Alan Rickman or Jeremy Irons. His character just seems kind of stale and melancholy. I feel the same about the army commander Major Grant who was played by John Amos. There are some good secondary performances but I think some of the major characters were not handled that well.The story is fairly good. I am kind of torn between the redundant idea of 'Being in the wrong place at the wrong time.' I mean, it just seems like maybe a new idea could have been come up with instead of him just being unlucky. But that entire theme was what made the first film so great and it does re-add some humor to this film which I like. There is one thing that upsets me about the story though. Colonel Stuart leads a group of ex-soldiers to take over Washington D.C. airport in order to rescue a captured drug lord who is being flown in to the airport. Yet this is all they apparently want! They want no money and as McClane said in the most recent one, 'It is always about the money.' So why do they just want the drug-lord? This 'inconsistency' really influences my disliking of the story. It may not seem like that big a deal but it kind of bugs me. There is a good twist in this movie that I like! I forgot all about it until I watched it again recently and it still surprised me when it jogged my memory. I really think the ending may be the best ending of all the movies! Just the way Willis plays off the ending is superb! The film has some newer, bigger, and more intense scenes in it. There is more that can be done at a huge airport I think than in a skyscraper so the movie is open to new possibilities. There are still plenty of varied and intense killings of terrorists by McClane so you will never know what to expect which is great.If you are a 'Die Hard' Die Hard fan, this a good movie for you. If you are a simple movie fan, this may not be a great movie for you. It is an excellent entertainment film with plenty of action and violence but the story seems inconsistent! It should be seen just because it is a Die Hard movie and as my friend says about Die Hard, 'If you don't like it, you don't have balls!'",8,0,2,12 July 2007
