movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," Excessive Random Nudity and a severe lack of the top billed actor
","Excessive Random Nudity and a severe lack of the top billed actor, Harrison Ford. Ford is literally only in the last thirty minutes of this over two hour film. The trailer and this site make it sound like Harrison Ford is the star. Also, BWAM! Get used to that sound. Oh, yes, it's one of those movies! Sudden loud noises for no reason. There is a lot of deep symbolism in the movie, yet it has such a clichÃ© story. Sequels where the new characters seek out the original characters from the first film are a dime a dozen.",5,3,8,16 October 2017
Captain America: The First Avenger," ...It wasn't as bad as Thor...
","Steve Rogers was a bit cliché, but then the movie was about the 1940s, so clichés were common. There's really no way to spoil this movie, if you know anything about Captain America. Also the movie is mostly gun fights and explosions, just like a Michael Bay movie! The premise is an American made Superman through science. A lot of experiments when on during the 1940s, we invented the atom bomb, etc. So a scientist making a super soldier would have been on their 'To Do' list, if it were an option. As for characters, Steve Rogers wasn't that cliché, or at least, I didn't think so. He didn't have too many emotions though. He's not witty or charming. He's just your standard save-the-day super hero.I did enjoin the scenes where he used his brain instead of brawn, but those scenes are scarce indeed. The other characters were so bland, I can't even remember their names. There was 'Uncle Ben' as the scientist. 'Lois Lane' as the only female main character. Tommy Lee Jones as a stereotypical colonel( it was his dialogue, not his fault!), and there was the best friend. Not a whole lot of character development. Actually, now that I think about it, there wasn't any...Steve Rogers stays exactly the same through out the movie. He doesn't reach some profound understanding of anything. He just fights a lot and blows things up. I'm not joking, the movie is 70-80% explosions and gun fights. The whole movie is just to set up the back story for that Avengers movie, just like Thor! But everyone knew that from the title!",1,2,8,16 April 2012
The Hills Have Eyes," Finally! A Good Remake!
","This movie, I dare say, surpasses the original by every possible means! It's positively gruesome, but it's about cannibals, which makes sense. Why are they cannibals? Because their a bunch of inbred weirdos living in a desert. There's not exactly a Wal-Mart to buy food from, is there? The movie bares a striking resemblance to Wrong Turn, as the inbreeds are much uglier and more monster-ish than they were in the original, which is still a good thing. There's also the rape scene, same as the original. I personally applaud rape in horror movies. Not pornography quality of course, but it's just one of those things that should be there when a psychopath goes on a killing spree. This was what disappointed me in the Jason movies. Didn't he find one of the girls he killed attractive? Logically, being a moral-less lunatic, he'd have to have urges. Overall, I loved this movie. It's everything the original was with the modern advances of 2006. This is how all remakes should be.",10,2,4,31 March 2012
Knowing," One man's alien is another man's angel
","John (Cage) and his son Caleb are given a prophetic warning in a series of numbers written by a little girl in 1959. I'm still very much confused after watching the movie. I honestly didn't see the point of John even getting that number list in the first place, since he couldn't stop any of it! At best, he was just there so we, the audience, could see all the awesome special effects. There were three disasters within John's time frame to prevent, a plane crash, a subway crash, and a solar flare that would genocide all life on Earth. Each time, he was there as only a witness. To be fair, there really wasn't anything he could do, really. One man can't stop a plane crash, subway crash, or the end of the world with just a date, location, and body count. On to the weird ending, the aliens(angels) could have shown up anywhere and persuaded the kids to come with them. Overall, great special effects, great acting, but I'm still wondering, What was the point?",7,0,2,1 September 2012
The Amazing Spider-Man," Too soon for reboot, Wanted Spiderman 4
","The Amazing Spider-man is a bit of a mixed bag. It's really nothing new at all. Anyone who has read the comics or seen the 90's TV show would know exactly what's going to happen. Personally, if they had cast Alan Rickman as Doctor Connors, I would have really liked this movie. I did feel a lot of nostalgia when watching, but the whole thing seemed just bland to me. There was a lot of excitement when Gwen Stacy was in danger, as everyone knows she dies in the comics just as Uncle Ben does. This is not a spoiler. Everyone who knows anything about Spider-Man knows that Uncle Ben and Gwen Stacy die. Also, I'm positive Gwen will die in the sequel, if they make one, which makes her character all the most tragic. Google Gwen Stacy and you'll see 'The Night Gwen Stacy died'. Next, on to Spider-Man taking off his mask a lot. It's not much of a secret at this point. Peter Parker is about as synonymous with Spider-Man as Clark Kent with Superman, but he really does reveal his identity a LOT! Of course Gwen's father did have him at gun point, but that's nothing new to Spider-Man. Also, what the hell? How did Spider-Man get SHOT!? Spider-Sense, writers! Ever heard of it!? Seriously, it SHOULD be nearly impossible to hit Spider-Man with... ANYTHING!",3,3,7,10 January 2013
Tucker and Dale vs Evil," I loved this movie!
","I don't normally get attached to characters, but I especially loved Dale and Allison!
It's very rare for horror or even comedies to get me to care about their characters, but this movie was an exception!
I see 'predictable' in some of the other reviews, but this is not the case! I was expecting this to go the way of 'Of Mice and Men'. Spoilers for that book, Tucker and Dale are very similar to George and Lennie. Actually very similar! We were just missing the rabbits! Thus, I was predicting Tucker to have to kill Dale due to accidentally killing Allison. Honestly, there were a couple of parts of the movie, I was on the edge of my seat! 'Is Allison okay!??'
First in the cabin, one of the college kids was shooting their cabin with the sheriff's gun. I was expecting Allison to get hit by a stray bullet, and furthering the strife between Tucker, Dale, and the College Kids. But that would have been really tragic and broke the comedic tone. Then, at the end, I was expecting Allison to get hit with a bowling ball right after she took of the helmet Dale bought her. Like, all the college kids were cursed or something, ala Final Destination. So, yeah, this movie is far from predictable!",10,1,1,9 June 2018
28 Days Later...," I was expecting another Resident Evil, but.... =)
","It was genuinely a great movie! I was surprised several times in this film, and I thought I had seen every zombie movie ever made! First off was the believable introduction. Like HIV, the Rage virus came from monkeys. Who wouldn't believe some scientist somewhere had a psychotic virus, and I'm sure those radical save-the-animalists would be the first to die from it! The second part that threw me was the church of zombies! I thought, 'oh, he just kicked the bees' hive, didn't he?' Third was how the dad got turned into one! Just a drop of blood! I never saw that coming! I knew he was getting turned, but I was expecting one to just jump out and bite him, not just a measly drop of blood! Lastly, what I thought was the best part,the most evil creatures in this movie weren't actually the zombies but the soldiers! Overall, I have to say this is the best of the genre! A must see for any zombie fan!",10,2,3,6 July 2011
Bolt," Character Development done PERFECTLY!
","This movie's plot is one of the most creative Disney came up with yet! However, It's the characters that really sold me on this movie! Every one of the main characters are fleshed out and believable despite being talking animals! The most striking is Bolt's realization that his world is a TV show! It also shows how disposable and replaceable actors and actresses are when corporations are involved! Bolt and Penny being effortlessly replaced when they choose to go back to a normal life. It was also interesting how grounded everything was in reality despite the premise. People can't understand the animals, but the animals can understand the humans to great degree. Overall, it was definitely worth the buy! Despite being a kid's movie, the plot wasn't dumbed down, and it was enjoyable for adults and kids alike!",10,2,3,31 December 2014
Schindler's List," I would have filmed it in color.
","The film has this weird gimmick if colorizing specific things like a little girl's coat or candles. It really wasn't used enough to warrant the gimmick. To my knowledge, no actual World War II footage was used during the film. If they had done that, I could understand filming the movie in black and white. There was a small scene that was shot for shot copied from Citizen Kane for some reason. Another odd thing, Hitler was never mentioned in the film. I would have expected at least some mention of him. I don't count that against the film though. As for the story, it jumps around a lot at first. It's just several nameless people being killed by nameless Nazi soldiers. It's horrific violence, which I guess was the point. But then, the story suddenly became more coherent, focusing on Schindler.",5,17,37,17 August 2017
Gran Torino," A beautifully realistic movie.
","I must say I enjoyed every minute of that movie. It came as a surprise to see Eastwood without his walker, though. It must've been very hard throughout the course of filming. Honestly, I hope he isn't still smoking and drinking in real life, like he does in the movie. Bee Vang was a very convincing Thao, just as Eastwood was very convincing old racist. The dialogue is spot on and believable. The ending was amazing! I never saw that coming! I'm sure everyone was expecting Eastwood to relive the old West as Dirty Harry and kill everyone of them with a single hand gun, but that's not what happened at all! I was both surprised and kind of disappointed, but thinking about it more I liked the way it ended. The gang members would never have expected an unarmed old man! He was clearly dying anyway, so going out like he did had to be something he wanted. This movie is a must see. 10 stars!",10,1,4,11 June 2011
