movie_title,title,review,rating,helpful,total,date
Despicable Me 2," very funny
",Very funny this animation for all ages. very beautiful and the history is awesome,10,0,1,18 March 2020
Kung Fu Panda," awesome
",This film is awesome. Po is awesome. everything is awesome,10,0,0,20 March 2020
Madagascar," i like move move
",I like move move is the best song in a film? maybe. wondderful movie,10,0,0,19 March 2020
Finding Nemo," phenomenal
",This film is very very very very very very very very very very phenomenal,10,0,0,20 March 2020
The Jungle Book," i love this movie
","I love this movie. Incredible, i can remember the first time i watched this movie",9,0,0,18 March 2020
"Monsters, Inc."," animation lover
",Incredible this animation. Boo is very very very very very very cute,10,0,0,20 March 2020
Madagascar: Escape 2 Africa," is nice
",This movie is good. very similar than king lion of Disney but worst,8,0,0,19 March 2020
Shrek Forever After," the worst movie of shrek
",Shrek is wonderful. Donkey is wonderful. everything is marvellous but this is very bad,5,0,2,20 March 2020
Wreck-It Ralph," i liked
",Is incredible. Venellope is my favourite character of disney. is very cute,10,0,0,20 March 2020
The Incredibles," great animation
",Very very very good good good animation of action. Heroes is so good,9,0,0,20 March 2020
Shrek the Third," good
",Shrek is wonderful. Donkey is wonderful. everything is marvellous,9,0,0,20 March 2020
Brave," awesome
",This film is awesome. Merida very beautiful. the history is very good,10,0,0,20 March 2020
Shrek 2," wonderful
",Shrek is wonderful. Donkey is wonderful. everything is marvellous. better than first,10,0,0,20 March 2020
Hotel Transylvania," wonderful
",This movie is very wonderful. i love it. Mavis is the better,10,0,0,20 March 2020
Toy Story," one of the best films in the world
",One of the best films in the world. a film marked my childhood a lot and even today it is nice to watch,10,0,0,17 March 2020
Toy Story 2," awesome
",Very awesome. better than first. I love it. the new characters are awesome,10,1,1,20 March 2020
Sausage Party," incredible and insane
",It´s movie is so incredible and insane. it´s so funny and inesperated,9,2,2,19 March 2020
Snow White and the Seven Dwarfs," A incredible film
",This movie is incredible. Is very beautiful and very nice. This animation value gold,8,0,0,16 March 2020
Despicable Me," very funny
",Very funny this animation for all ages. very beautiful and the history is awesome,10,0,1,18 March 2020
Shrek," awesome
",Shrek is wonderful. Donkey is wonderful. everything is marvellous,10,0,0,20 March 2020
Toy Story 3," awesome
",Very awesome. better than first and second. I love it. the new characters are awesome,10,0,1,20 March 2020
Cinderella," a wonderful film.
",A wonderful film. Without a doubt this villain is one of the ones that scares me most in the Disney world to this day,9,0,0,17 March 2020
Minions," very funny
",Very funny this animation for all ages. very beautiful and the history is awesome,10,0,0,18 March 2020
Madagascar 3: Europe's Most Wanted," the worst movie of madagascar
",The worst movie of madagascar. is very bad and boring,5,0,1,19 March 2020
