movie_title,title,review,rating,helpful,total,date
Resident Evil: Afterlife," Horrid and critically evil
","Paul W.S. Anderson, we know him, we love him, we worship him. He is the eye behind Death Race,Alien Vs. Predator and Pandorum. He is the human entity responsible for the Resident Evil franchise. Part one was great, and part 3 was the supremely painted masterpiece. And dudes, let's just admit it, we love, love love Milla Jovovich. And if we are honest with ourselves, this is why we compulsively pay 12.50 at the theater whenever another crappy Resident Evil chop-shop sequel comes out. We love her buns, her rack, her model-like features, her deep sexy confidence and her barely restrained libido. I speak the truth, and this truth was well known by the producers and even Milla herself. Moving forward with this truth we are now in a position to criticize the most recent addition, which is truly an atrocious aberration of movie making. Just stick with parts 1 and 3, which I give ten stars easily.",1,3,8,27 August 2014
The Maze Runner," Sweet.
","There is a miracle brewing here, and I hope there are sequels. In purgatory, there are two things present: the Kardashians and the movie Divergent. These insults to humanity exist on the bottom, most furthest realm regarding American cultural worth. Much higher on the spectrum we have Harry Potter and The Hobbit, which bored me to death due to banality and contrivance; though I appreciated the skill and casting that went into them They just weren't on the same plateau of The Lord of the Rings. And then there is the Hunger Games, a bit beneath Lord of the Rings, but nonetheless engaging, well made and most of all creative. Welcome to the genre known as the teenage Sci-Fi/Fantasy novel turned into existential film. On the one hand, teenage themes are endemic to the import of it all, and must be included in these kinds of films: First Loves, Bullies, Angst etc.—but the awesome films of the genre acknowledge the teen element while prioritizing the basic heart of the story, which is the mythological themes that are timeless among all cultures and time periods. They know the story is a backdrop for the unconscious energies at the guts of all human experience: death, isolation, meaninglessness and freedom. Percy Jackson, The Maze Runner isn't. The Maze Runner is on the level of Serenity, The Matrix and Firefly. You heard me right. This is the miracle I speak of. I fully expected Divergent (clearly, the worst movie ever made), but what I got was the diet cola of Raiders of the Lost Ark—s o don't get me wrong, I'm not saying The Maze is as good as Raiders, Firefly or Lord of the Rings. It isn't. I'm just saying it's at least in the same ballpark. Again, the miracle being the creative forces behind a book turned movie about teenagers satisfying all systems involved without succumbing to total CHEEZE: The producers who think only of marketing, the director who only thinks of his/her creative license, the cast who only think of their performance, all working together to understand and express the satisfaction of the perceived audience. In this light, within the constraints of money and profit, this is an awesome, awesome movie. Bravo. 9 stars. Except.why didn't the kids just build a wooden structure to get them to the top of the maze? They could have just ran to the edge.",9,3,4,16 January 2015
Spider-Man: Homecoming," Awful, horrible, totally detestable, a betrayal in every sense of the word.
","For evidence of myth to our cultural identity and sanity, look no further than movies, and perhaps more poignantly, comic books, most obvious in the gold and silver ages. Joseph Cambell: 'On this immediate level of life and structure, myths offer life models. But the models have to be appropriate to the time in which you are living, and our time has changed so fast that what was proper fifty years ago is not proper today. The virtues of the past are the vices of today. And many of what were thought to be the vices of the past are the necessities of today. The moral order has to catch up with the moral necessities of actual life in time, here and now. And that is what we are not doing. The old-time religion belongs to another age, another people, another set of human values, another universe. By going back you throw yourself out of sync with history. Our kids lose their faith in the religions that were taught to them, and they go inside.' Spider-Man is completely unique. He has trouble paying his rent. He is unpopular and can't get the girl, his aunt nags him, he has to work to get through school, he's bullied, an orphan, an outcast, and despite his super powers, struggles with the same everyday life issues as everyone else, an 'everyman,' flawed, enduring grief and loss, going through identity crisis, full of fear and insecurity, his expressiveness released the moment the suit is donned (the opposite of the god-like, omnipotent 'hero'), reveals our all too human failure and vulnerability (and hence resulting in escapism), for even with his accidental powers, he could not save or protect his loved ones, and living in the real world of Hell's Kitchen and New York City only makes him all the more real. Due to the common problems we all experience, we can all relate to the fantasy of escaping into super human grandiosity wishes (the rock star, the astronaut, the Indiana Jones adventurer), for Heroes with personal problems allows us to suspend disbelief, supercharged by awe, due our connection and attunement with the struggles of the hero. Stan Lee realized, most genuinely, if someone is just pretending to be a regular person but is secretly really a superhero, then the implication is this: 'they aren't really like you and me at all.' Superman PRETENDS to be nerdy and unsure of himself, but he's not really. So all those kids who are really nerdy and unsure of themselves fail to relate to him, because the message is 'he's not REALLY like you, it's just a trick.' But Peter Parker isn't pretending to be a normal guy and a nerd, he really IS those things. So the implication is, perhaps there's a hero deep down inside of you as well, because that superhero Spider-Man looks cool in his costume and everyone thinks he's so confident, but inside he's just like you and me.And now we have Homecoming, an unforgivably polished, fully funded betrayal; the acting, screenplay, cinematography and special effects though superb, effectively exterminate the true voice of the actual character, one who despite all odds rises above his terminable uniqueness to become a heroic community leader, like MLK. As much as I felt unease at the overly simplistic and childish Tobey McGuire portrayal, at least Sam Raimi and the rest refused to bow down to corporate producers and stay true to the myth, unlike this sordid piece of overproduced trash. And as for the cutely portrayed John Favreau and Robert Downey Jr., do you two have any integrity? Do you not have enough money yet? I guess not, for money is more important to you than creating a movie millions upon millions of adolescents could have grasped onto, relate to, and find some meaning in, you two absolute failures as creative artists. And as for the vulture, in the comics was a diseased, repugnant utterly sorrowful being, without family or friends, who replaced the disillusionment of the working class failure/hero with a megalomania cal charlatan dressed in the pale, paltry robes of the true revengeful vulture, one who preys upon the carcasses of resentment, ugly beyond recognition, abandoned by all he had left, his meaningless job, is unforgivably counterfeited here, replaced by a numbly glib and smugly empty, boringly hollow Michael Keaton (whom I suspect did a by the numbers performance by the chains imposed by his enabling handlers). It makes me sick to my soul as we regale and worship this antithesis, pounding one more nail into the coffin lid on the myth of spider man. This sickening piece of trash is a fraud, a lie, made all the more detestable and despicable by the gate-keeping, flaccid meaninglessness of the creative killing producers. Boycott this film with every fiber of your being. Boycott it I say! Boycott it in defiance of the mythology it discounts, discredits and invalidates. Boycott it I say! Boycott for nothing else than another manifestation of the soulless, numbers crunching, vapid surface level symptom it is. Boycott it because you know you love the real and true Spider-man, the one who tried to rescue Mary Jane but failed, the one whose resentment resulted in the death of Uncle Ben, the one who gave you hope that you too, in all your nerdy, pockmarked abandon, could get the girl and be cool despite all the odds. Thanks.",1,11,18,29 October 2017
Alien," Best Ever
","How can this movie not get 10 stars? It baffles me. In context, this one came out in 1979. 19 F----ng 79. And it still stands up awesomely today. Let us first investigate the Ash. When did we first realize he was an android? When the milky fluid came spurting from him. Although he was often 'collating' we never really suspected until his head was bashed in proper. What an incredible character Ian Holmes created. And those little pre-exercise jiggles he did. We just thought he was a bit off, certainly not a robot. And Ripley, a strong female lead. And though the scenes of her in her panties were anti-feminist, she still was the lone survivor, who kicked the Alien out of the airlock. She kicked a-- and everyone will always remember that, especially James Cameron. And what about Tom Skerritt? As captain, he always left the science decision to Ash, as he was instructed to do by the company. He felt he was, 'just the captain,' though he did ignore basic contamination protocols by letting Caine in with the Alien attached to his face. His acting was perfect, a man who only knows the job he is hired for, compartmentalized, weak, and yet ultimately courageous in his decision to go after the Alien. And Parker and Brett were perfect. Pay attention to how their camaraderie is condensed into a few beautiful scenes. Ridley Scott should be credited for this, as we really get to know the friendship between them quite quickly (as James Cameron does in Aliens). Lambert is great in her nervousness. This is as good an any movie can get, a masterpiece. If you haven't seen it, sorry for the spoilers, but rent as soon as possible, it is a piece of American Cinematic History.",10,7,10,25 June 2015
Captain America: The Winter Soldier," Good but not Great
","I can't understand the lack of imagination in so many comic book movies. While this movie is put together well, and the acting is great, it lacks the vision and humanness that compelled the actual comic books to be so enjoyable. Kids and teens read comic books because they speak universal, mythological truths' in the language of unconscious energies. This is also known as religion. Deep down everyone understands powerlessness, inferiority and immortality within the framework of one's personal history, time period and culture. Given we grow up in families, these issues are all the more important to kids and teens, especially issues of power and growing pains inherent in the developmental stages. Captain America personifies the sensitive and vulnerable person who is transformed into a superhero with superhuman abilities in the blink of an eye. Add patriotism and unquestionable evil (Hitler and Nazism) and the formula for a great character is born. He represents the fears and potentials we all hope for but cannot achieve due to our animal, mortal nature. One reason why Star Wars was so successful was because it understood that myths are alive and well in the modern age (though obscured by Rationalism and Science) and it transferred this psychological need onto celluloid. Movies are no different than superstitions; we just don't believe them as such. But they are still private dreams in the public domain, and because of this it feels dishonest and mindlessly inauthentic to gloss this value over with endless CGI action, lack of depth, and most of all characters who are so one dimensional and simplistic they could not have come from anywhere but a derivative formula. A convenient villain with a metal arm forged in the same time crucible as Steve Rogers who looks like one of the werewolves (in human form) from Twilight and is so totally devoid of imagination the viewer is easily distracted by the most mundane of distractions. How about this for a villain: Deep in the depths of lunatic asylum, festering and wasting away in a cell of powerful medications and medical experiments, the villain one day begins to hoard his meds and slowly remember who he is and where he is from—a Nazi experiment that used the same technology as that which was used on Rogers. And instead of a lame metal arm, when he is consumed with hatred and revenge his superpowers become more powerful, more diabolical and more fascinating whatever they may be. I'm not saying I know the political and financial ins and outs of making a great movie. But come on.",6,3,5,20 September 2014
Predator," Arnold, so Arnold
","I was still in high school when I first saw Predator, and it was almost as awesome as when Terminator 2 came out, almost. There was no political correctness back then, and Jesse 'The Body' Ventura could say whatever homophobic comment that occurred spontaneously to him, with impunity, even though even then it made him look like a macho piece of trash. You shall enjoy intentional close-ups of Arnold's impeccable pecs, unabashedly Native American stereotypes (Billy's medicine bag and tracking abilities), African American assumptions ('gonna have me some fun, gonna have me some fun'), and even the token Asian from First Blood Part 2 ('You no expendable Rambo'), and still you will cheer Arnold as he fights the Predator. And finally, in your White, privileged, entitled and presumptuous world, you will undoubtedly endlessly repeat the choice sayings to your White friends and family members: 'Do it, kill me I'm here,' and, 'Billy, what is it, what's out there?' And as you lay on your deathbed, you won't wonder about the racism and sexism you've promoted.",10,1,2,17 August 2015
Split," One of the best movies of the century.
","Unbelievably awesome, a total resurgence and atonement of M. Night since the Sixth Sense and Unbreakable. The idea that mental disorders may represent evolutionary progression is an idea that has been on my mind for quite some time now. For example, Psychopaths are 'morally reprehensible but absolutely necessary' is a theme all too true in real life as it is reflected in the movies. M takes the condition of Dissociative Identity Disorder (previously Multiple Personality Disorder) to a more humane, though excruciatingly terrifying, description is undeniably ingenious, and I applaud him for it. The direction and acting is absolutely superb, the editing unquestionable, and the mission to make a movie inscrutably unique and uncritically undeniable. Well done, M. very well done.",9,2,4,20 August 2017
Aliens," The Perfect Movie
","Another movie that deserves a perfect 10 stars. The real miracle of this movie is the character development, begun by Ridley Scott and perfected by James Cameron. In a few scenes we are introduced to the heart and soul of the soldier, of Ripley, of Hicks and Bishop. Why do we feel such a connection to them, so immediately, so intensely and so experientially? This is because of Cameron, and his relationship with the actors. Remember Al Matthews (As----es and elbows people!). Right now I'm beginning to think that it is the relationship, the connection, the attunement, between director and actor, that makes or breaks a great movie. Scott and Cameron understood this, and made excellent movies as a result. These days I see so many directors and actors making the same mistakes over and over again, not seeing eye to eye, and failing miserably. When will they learn? No film school can teach this. It's innate, and the stuff that makes a great director, such as Scorcese, Spielberg and Cameron. It's maddening to me, why the power of presence, unconditional positive regard and strength based direction is not taught in schools. Eric.",10,3,5,25 June 2015
Non-Stop," Liam does it again
","Really, is there anything better than a tear jerking Liam Neeson action film? Maybe one starring Jason Statham? This is the legacy of Jerry Bruckheimer, who gifted to us all the unforgettable Armageddon (and we love him for it), and another reminder Hollywood has just gotten better at packaging celluloid sentimentalism with heroic atonement. So good that, even though we pick them apart with relentless critical abandon and expose them for the unrepentant saccharine clichés they are, in the end, deep down, we find ourselves rooting for Liam and suspending disbelief as he embodies the protective father, alcoholic failure and terrorist ass kicker all at once. Only Taken is better (perhaps the best of the genre) and I for one am looking forward to Non-Stop Too, bitches. Curious side-note: tonight I watched Non-Stop for the second time, and it only took 3 Scotch Ales to thoroughly enjoy it as much as I did the first time.",7,0,0,29 March 2015
Once Upon a Time... in Hollywood," Another conflated, self-absorbed Tanantino Film
","I'm starting to believe we have convinced ourselves Quentin Tarantino is a bit better than he is. Reservoir Dog's was great and Pulp Fiction a masterpiece. But we now know Tarantino ripped off Roger Avery and took much of the credit for Pulp Fiction. Jackie Brown was good but not excellent, and Kill Bill, From Dusk 'til Dawn and Grindhouse were priceless. True Romance was another he ripped off from Roger Avery. But after all this, after he started solo projects; these films broke down to grandiose, self-absorbed entitlement. Inglorious Bastards and the Fateful Eight are prime examples of a narcissist without license, oversight or direction. They are boring, insipid, bloated and fatal, masked as marvels but sitting in our intuitive gut as failures. Once Upon a Time in Hollywood is the third installment of boring, far too long movies with excellent acting, cinematography and production that money can buy. But if you hated Inglorious and Hateful as much as I did, as the ultimate examples of movies as gaslighting, you will also hate Hollywood. I barely could stand it, writing this review as the gelatinous sand dune of a film progressed. We get the impression Quentin has his hand upon the beating heart of the culture and time period, and yet if we look closer, we see he perceives nothing at best, and a Martin Scorsese's Taxi Driver he is not-in fact, nearly the opposite of. I guess I wish Quentin would have just stayed with what he knows, epitomized in Kill Bill, instead of making these massive bore-fests. However, the worst insult of all is making Hollywood absent of the effect of Manson, relegating him and the murders to a mere suggested subplot. I'm boycotting all future Tarantino releases for this reason only.",4,4,5,11 December 2019
