movie_title,title,review,rating,helpful,total,date
The Rock," absolutely splendid action flick!!!!
","This is one of my all time whit none stop action and great actors:Sean Connery (my favorite Bond), Nicolas Cage (Face/Off & Con Air), Ed Harris (The Truman Show,Apollo 13) and also Michael Biehn (Aliens, The Terminator, The Abyss). The plot goes something like this a group of renegade marine commandos seizes a stockpile of chemical weapons and takes over Alcatraz, with 81 tourists as hostages. Their leader, a former highly-decorated U. S. general, demands $100 million to be paid in ransom, as restitution to families of soldiers who died in covert operations and were thereby denied compensation. Otherwise, he is threatening to launch 15 rockets carrying deadly VX nerve gas into the San Francisco Bay area. An elite SEAL team, with support from an FBI chemical warfare expert (Stanley Goodspeed) and a former Alcatraz escapee (John Mason), is assembled to penetrate the terrorists' defenses on Alcatraz and neutralize the rocket threat before time runs out.Michael Bay, the director has done three film and they are all produced by Jerry Bruckheimer and they all ROCK",10,1,1,31 October 1998
The Big Lebowski," A laugh riot!!
","Jeff 'The Dude' Lebowski is a bowler mistaken by a duo of mobsters for Jeff Lebowski, the millionaire. They demand repayment of a loan 'The Dude' knows nothing about. While he tries to explain their mistake, the millionaire's daughter is kidnapped, and the kidnappers send her a severed toe in the mail with a ransom note.From there 'The Dude´s' problems just grow bigger and bigger.It has been a long time since I have seen an actor completely envelop a role such as Jeff Bridges does for The Dude. Steve Buscemi(one of the best actors in the world) is his perfect self in the role of Donny (a nice polar-opposite to his role in 'Fargo.') And John Goodman is great and one of the best character. You just can't stop laughing this is a VERY good movie.:)",Null,1,3,7 November 1998
As Good as It Gets," A comedy from the heart that goes for the throat
","Jack Nicholson, Helen Hunt, Greg Kinnear, and Cuba Gooding Jr. star in this James L. Brooks hit comedy, AS GOOD AS IT GETS. Nicholson gives a show-stopping performance as Melvin Udall, an obsessive-compulsive novelist with Manhattan's meanest mouth. But when his neighbor Simon is hospitalized, Melvin is forced to babysit Simon's dog. And that unexpected act of kindness- along with waitress Carol Connelly- helps put Melvin back in the human race.It's refreshing to see that has faith in the fact that real people in real situations are interesting after all not some empty headed special effects films. Jack Nicholson turns in his best work since Cuckoo's Nest and Helen Hunt is also great.This film is just about as good  as it gets",9,0,0,24 October 1998
The Fifth Element," This one won't fade away
","Two hundred and fifty years in the future, life as we know it is threatened by the arrival of Evil. Only the fifth element (played by Milla Jovovich) can stop the Evil from extinguishing life, as it tries to do every five thousand years. She is helped by ex-soldier, current-cab-driver, Corben Dallas (played by Bruce Willis), who is, in turn, helped by Prince/Arsenio clone, Ruby Rohd. Unfortunately, Evil is being assisted by Mr. Zorg (Gary Oldman), who seeks to profit from the chaos that Evil will bring, and his alien Mercenaries. The Fifth Element should be seen by all sci-fi film enthusiasts. It is absolutely loaded with an incredible jumble of eye candy. One amazing spectacle after another leaps onto the screen to thrill us. It is laced with very rich imagery, and demands repeated viewing to take in all the details thanks to great direction by French director Luc Besson. The story is a disaster and I had to watch this film 2 times to appreciate it, and now I love it. Bruce Willis, Gary Oldman and Milla Jovovich are superb in their acting and there are only few problems with the film thatare not importent.",8,1,1,13 November 1998
Blade," Above Average
","Wesley Snipes stars as the tortured soul, Blade possessing powers greater than any man or creature of the night. Blade sharpens his lethal skills under the guidance of a professional vampire hunter. When the bloodthirsty Immortals' lord, Deacon Frost, declares war on the human race, Blade is humanity's last hope for survival. It´s a comic/action/horror/thriller/sci-fi movie and it´s captivating, furious and fast. Blade is known as The Daywalker because he can walk in the sunlight but is thirst for blood. Wesley Snipes is excellent as blade and Steven Dorff is OK as the evil Frost bud Kris Kristofferson does not fit in as Abraham Whistler. I did not like Stephen Norrington direction and the blood and gore is enough to fill several movies. The film is a lot like Robert Rodriguez's From Dusk Till Dawn so if you liked it you´ll love this one. I thought is was good and it made a great DVD.",Null,0,1,4 January 1999
L.A. Confidential," No question...brilliant!!!
","Well LA CONFIDENTIAL is a suspense tornado of lies and deceit that revolves around three very different police officer personalities. Officer Bud White is the brutish personality who doesn't feel he is very smart, so he forces the hand of whoever stands in his way. Sgt. Jack Vincennes is all Hollywood. Mr. Showbiz. He doesn't even dress like a police officer. Lastly, there's Sgt. Ed Exley, a clean cut college educated character looking for promotions. Exley understands the politics of police work in Los Angeles. I must say that L.A. Confidential is better than TITANIC(I think it is).If you haven't seen the film, and wonder, is it really that good, the answer is simply YES. This could be the best cop movie ever. Well written, well directed, well acted, and with cinematography and set designs that are simply spectacular.It is quite simply one of the best movies ever made forget Titanic. This is the best picture of the year! BELIEVE ME......",9,1,2,24 October 1998
"Good Morning, Vietnam"," classics comedy
","Stars Robin Williams in the role he was born to play: the irreverent, non-conformist deejay Adrian Cronauer. Imported by the Army for an early a.m. radio show, Cronauer blasts the formerly staid, sanitized airwaves with a constant barrage of rapid-fire humor and the hottest hits from back home.. The GI's love his style but the commanders aren't so thrilled with his comedy. Sidesplitting comic bombshells and studded with hot '60's hits, the film depicts Cronauer's raucous Saigon adventures amid a world gone mad. Williams is brilliant in his portrayal of Adrian as this seems like the part he was meant to play with his quick instincts and non-stop humor. Barry Levinson has done few good films and this is one of them. This is a mix of comedy,drama and war and is a superb entertainment and a classic comedy hit.",Null,1,1,13 November 1998
Armageddon," Underrated Masterpiece
","After a meteorite storm ravages New York City, NASA discovers that an asteroid the size of Texas is speeding toward Earth. With just eighteen days before impact, NASA executive director Dan Truman (BILLY BOB THORNTON) discovers that he has only one viable option -- to drill a hole in the asteroid and then plant and detonate a nuclear bomb hoping that the internal explosion will split the rock into two pieces that will miss Earth. Thus, Truman enlists Harry Stamper (BRUCE WILLIS) and his deep core oil drilling team, known to be the best in the world. Harry's got other problems, however -- most notably trying to keep one of his gung ho workers, A.J. Frost (BEN AFFLECK) ,away from his beautiful adult daughter, Grace (LIV TYLER). Even so, Harry realizes he has to go and save the world and agrees to do what he can. Thus, he and team -- which includes Frost; his best friend, Chick Chapple (WILL PATTON); a squirrelly geologist, Rockhound (STEVE BUSCEMI); big man Max Lennert (KEN CAMPBELL); and an odd assortment of other characters train for their dangerous mission.Blasting off into space aboard two space shuttles, Harry and his team are accompanied by NASA astronauts Colonel Willie Sharp (WILLIAM FICHTNER), co-pilot Jennifer Watts (JESSICA STEEN), and mission specialist Gruber (GRAYSON McCOUCH). There they dock with a Russian space station where cosmonaut Lev Andropov (PETER STORMARE) joins them after a calamitous accident. From that point on, the assembled team races toward the asteroid. Encountering various obstacles and bureaucratic blunders back on Earth, Harry and his team race against time to drill eight hundred feet into the rock, plant the nuke, and blast off before the asteroid plummets into the Earth, completely destroying it in a fiery Armageddon. This is a great film and one of the best that came out this summer with a great mix off action,comedy and drama and much more entertaining than DEEP IMPACT and if you like Michal Bay/Jerry Bruckheimer then you will not be disappointed. Well if I´m only gonna say this once THIS IS ONE OF THE BEST FILMS EVER MADE.....",10,1,2,3 November 1998
Terminator 2: Judgment Day," One of the best sequels on movie history
","Sequel to Terminator. Skynet, the 21st century computer waging a losing war on humans sends a second terminator back in time to destroy the leader of the human resistance while he is still a boy. His mother is the only one who knows of the existence of the Terminators, human-like robots that exist only to kill and are nearly indestructible, and Sarah, the boy's mother is currently in a state mental hospital because of her 'delusions'. A second protector is sent back to the past by the Human resistance to protect John Connor, their future leader, at all costs. This movie is state-of-art in special effects and Arnold is fantastic, He made a character unforgettable! Everybody will remember 'I'll be back' and 'Hasta la vista, James Cameron also great and here he directs one of his best film. Sequels often suck but this one ROCKS, Through special effects, dialogue, and ultimately style this film is just a bigger and better movie. Arnold is at his best!",Null,3,4,11 November 1998
Face_Off," The best action film in a long time..
","In this great John Woo action,adventure FBI Special Agent Sean Archer (Travolta) tries to find a biological weapon placed in Los Angeles by a sadistic terrorist-for-hire and criminal mastermind named Castor Troy (Cage). Archer has hunted Troy for the last 8 years, and is consumed by revenge because Troy is responsible for the death of Archer's son. To do this, Archer must 'borrow' Troy's face using a surgical procedure to go undercover as Troy, but things go wrong when Troy assumes the identity of Archer.This is great, big fun from the beginning to end. For fans of John Woo, Face/Off is everything you could want from the legendary action director. Great stunts,explosive action, rapid fire gunplay and some drama.This is the best action movie of 1997 and Travolta & Cage give amazing performances in this must see action film",9,2,3,29 October 1998
