movie_title,title,review,rating,helpful,total,date
Requiem for a Dream," **** 1/2 Harrowing, brilliant
","Harrowing, uncompromising look at the world of drug addiction, Darren Aronofsky's sophomoric effort is a masterpiece of visual elegance and hard-edged style that surpasses his witty but self-conscious debut, Pi: here the fast-paced cutting and frenetic energy do get wearing at times, but on the whole the psychotic carnival ride of images is so suited to the subject matter that it makes it all feel appropriate. Ellen Burstyn stars in a career-topping performance as an aging, lonely woman who gets addicted to diet pills when she becomes convinced that she's eligible to be a television game show contestant. Jared Leto is her son, a junkie trying to make it on the streets as a big-time dealer with his best friend (Marlon Wayans), but neither of them can shake their habits long enough to accomplish it. Jennifer Connolly is excellent as Leto's girlfriend, at first a promising young woman from a well-to-do family, but eventually a dope fiend who will really do anything for a hit. Brilliant as it may be, the film pulls no punches and is in no way easy, therefore a warning to sensitive viewers that they might consider thinking about this one before committing to it.",Null,0,0,22 May 2001
Erin Brockovich," ***** Easily Julia's Best Ever
","One of the best films of the year is this excellent biography of the true-life woman who brought about the biggest personal lawsuit case in American legal history. Julia Roberts gives the absolute best performance of anybody's career as Brockovich, a single mother who gets a job working for lawyer Albert Finney and stumbles across records of a case pertaining to nearby town residents who might have been poisoned by an oil corporation's faulty dumping methods. Steven Soderbergh continues his habit of filmmaking excellence, proving that even big-budget crowd-pleasers are not anywhere out of his reach, nor do they have to feel like glossy Hollywood sellouts.",Null,1,2,18 May 2001
Meet the Parents," *** Routine but hilarious
","One of the most successful comedies of the year is this charming little romance about a quirky nurse (Ben Stiller) who is brought to his girlfriend's up-state, upper-class, uptight house in New England to meet her parents. Things seem fine at first, but soon Stiller realizes that the menacing father of the house (Robert DeNiro) really is after his hide. Blythe Danner is lovely as the girl's mother, and Teri Polo (who remembers her from The House of the Spirits as the dead Rosa? I do!) is appropriately luminous as the lucky young lady. Features a hilarious cameo by Owen Wilson as a millionaire who does carpentry on the side to follow in the footsteps of Jesus Christ.",Null,0,0,18 May 2001
Billy Elliot," **** 1/2 Don't miss this movie!
","Those who are expecting the hilarious comedy in the vein of Four Weddings and a Funeral that is promised on the posters for this film will be severely shocked to see that they have been misled. Shocked, but by no means disappointed. Instead of the bumbling comedy this film could have been, it is instead a beautiful and poignant tale of a young man whose dreams are just too big for the town around him. Billy (an astonishingly good Jamie Bell) lives in Durham (Northern England) and one days finds himself captivated during boxing practice when a girls' ballet class finds itself sharing the same gym his team is using. When he's accidentally invited to dance with the young ladies, he finds himself unable to suppress his desire to release all the power inside him through his newfound ability to dance extremely well. Julie Walters is excellent as the teacher who guides him through his burgeoning self-discovery, a role that showcases her on this side of the ocean than any since her starmaking role in Lewis Gilbert's Educating Rita. Gary Lewis is equally brilliant as the ex-boxing champion father, now a miner on strike, who just can't understand the new direction his son has taken him. The film is gorgeously lush, rich with real emotions and endearing characters, fantastic choreography and always manages to be touching without ever resorting to sentimental treacle. Sort of a companion to this year's Dancer In The Dark (though by no means as upsetting): that film showed how music can be the very beat of a person's heart, while here it is the liberation of dance that does the same. Don't miss it!",Null,0,0,28 March 2001
Chicken Run," **** 1/2 Simply amazing!
","Hilarious claymation film from the creator of the always wonderful Wallace and Gromit series, Nick Park. In his first feature film (which took seven years to develop), Park takes us into the world of a chicken coop, where pensive hens lay in wait until they can escape the harsh reality that surrounds them: their farmer owners are planning to be bake them into pies. Julia Sawalha is excellent as the voice of Ginger, the lead chicken who decides to lead the exodus. Mel Gibson lends a bit of American marketing help as the voice of the handsome Rocky, a rooster who supposedly can fly. The best animated film of the year.",Null,0,0,28 March 2001
L.A. Confidential," ***** Best Film of the 90s
","Hands-down my favourite American film of the nineties. Curtis Hanson shocked the world by proving to be not only a great director but an auteur with this unbeatable adaptation of James Ellroy's terrifying novel about corruption and crime among members of the LAPD in the 1950s. The hard-boiled detective story angle is brought to life so beautifully, mostly because Jeannine Claudia Oppewall's production design recreates the dark underside of the 50s to such perfection that not even a Coke bottle label is missed. Add to that Dante Spinotti's stunning lighting that rides the fine line between artistic and believable comfortably (as all period camerawork should), Ruth Myers' costume designing and a script by Hanson and The Postman scribe Brian Helgeland (I know, I don't get it either) that pares down Ellroy's mammoth plot about a multiple murder in a local diner involving a policeman with suspicious ties without sacrificing the density of the story or the spiderweb of events involved with it, and you have the best movie of 1997, not to mention the most fascinating detective film ever made since Orson Welles' Touch of Evil. The cast is all brilliant, most notably Kim Basinger as a wordly prostitute who has not only a heart of gold but a mind of steel--Basinger is so strong in her character's every nuance you'll find yourself forgetting she's even acting--and Kevin Spacey as a Dean Martin-esque detective who not only solves an important part of the puzzle, he even discovers he possesses a soul beneath his flashy suits. I just can't get enough of this film.",10,114,160,17 February 2000
The Beach," *** Dumb but atmospheric
","Another film that took a beating from the critics but wasn't really all that bad. It has gorgeous cinematography of exotic locations and has what is probably the best soundtrack for a film that I have ever owned. What it has going against it is a cast of sniveling little teenagers who think that acting like hippies and smoking reefer on a beach that never ends is the equivalent to living a free-spirited life away from the concerns of a terrifying modern world. Leonardo DiCaprio plays a young twenty-something with nowhere to go in life who while on vacation in Thailand hooks up with two French tourists (Guillaume Canet, Virginie Ledoyen) and together they follow a treasure map given to him by the crazed man in the next hotel room (cameo by Robert Carlyle). Where the map takes them is a pure, gorgeous stretch of beach inhabited by the aforementioned hedonists who watched too many Brady Bunch episodes as children and just can't let them go. Since the destruction of this paradise is obvious from the beginning, every cast member's surprise at how things turn out is really annoying. Leo does alright though, and Virginie Ledoyen is quite lovely, but the standout in the cast is British actress Tilda Swinton, here starring in one of her first major studio films. Unfortunately for this film's box-office failure, it will be a while before mainstream American audiences get to know her, but I'm sure with her immense talent and beauty it will happen soon.",Null,4,8,27 March 2001
Cast Away," *** 1/2 Needs a middle
","Tom Hanks' amazing performance is the best reason to watch this excellent drama directed by Robert Zemeckis. The second of two films Zemeckis made in the year 2000 (the other being What Lies Beneath) this is definitely not the superior of the two but is still a worthwhile tale of a Federal Express supervisor stranded on a deserted island for four years after his company plane crashes into the Pacific Ocean. Helen Hunt plays the devoted girlfriend who doesn't know to wait for him back home. The film is painfully missing a middle, so once the scenes of isolation are (quickly) over, one is led to believe that Hanks' readjustment to the so-called normal society back home is really the heart of the story. Sadly, this aspect of the plot is also underdeveloped, leaving a good movie that doesn't quite know what it's about.",Null,0,0,28 March 2001
Pitch Black," *** Thrilling and original sci-fi
","Terrifying futuristic thriller about a prison-shuttle ship marooned on a distant planet inhabited by killer creatures that only come out at night. So you only have to worry about the sun going down once a day right? WRONG! A solar eclipse is coming along to shroud the entire planet in darkness for who knows how long, and it's up to the ship's crew led by Radha Mitchell and powerful convict Vin Diesel to keep everyone safe. Plot elements from the Alien movies are liberally borrowed here, but the film is so genuinely terrifying and the production design so convincing (shot in the deserts of Australia which enhances a truly alienating look) that no matter how far ahead you can see in the movie you'll still be thrown for a loop.",Null,0,0,22 May 2001
American Psycho," ** Boring and pretentious
","Dull as anything could possibly be. Eighties materialism, psycho fascination and American sexual frustration of all kinds have been dealt with many times before this and in many, MANY better ways. Mary Harron's latest does, however, have Christian Bale's dead-on performance as Bret Easton Ellis' titular hero/villain and some nifty production design, not to mention a terrifyingly good performance by Samantha Mathis as a dope fiend who provides Bale with a regular friend-it's probably her best performance ever. The film caused much controversy involving activists and censors for its graphic violence and glorification of serial killers, but in the end it was all much ado about nothing: there isn't enough resembling humanity to be offensive, and it's all undone by an ending that renders the entire film completely invalid.",Null,2,3,27 March 2001
