movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," Suspense film
","A very good suspense film, the plot is compact and organized, there is no slot in the whole process, it is very good-looking and highly recommended.",8,1,4,23 April 2020
Mulan," Mulan
",The film tells the inspirational folk story of Mulan's father in the army. The cartoons are also very attractive to children. Disney's films never let me down.,9,0,0,10 May 2020
Fight Club," Fight Club
","Finally know why the classic is a classic, because its plot no matter when to review will not feel old-fashioned, but also very charm",9,0,0,10 April 2020
12 Angry Men," 12 Angry Men
","When I first started watching, I saw a black and white picture and I was a little disappointed. I felt that the film was too old, but after reading it, I realized that no matter how old the film is, The touch will not be reduced at all",9,0,0,31 March 2020
12 Angry Men," The sentiment of the old movie
","When I first started watching, the lens appeared in black and white, and I was a little disappointed, but after reading the touch, it was still very big. No matter how long the old movie gave people the touch, it remained unchanged.",9,0,0,31 March 2020
Spotlight," Action film
","A very good movie, it is worth recommending.The martial arts action of the movie is very cool and very emotional.",8,0,0,1 April 2020
The Godfather: Part II," Distressed Old Godfather
","Recently relived this movie, the feeling is still the same, childhood memories, I feel the old godfather is so poor.",10,1,1,29 March 2020
The Lord of the Rings: The Fellowship of the Ring," Lord of the rings
","The Return of the King is a 2003epic fantasy film directed by Peter Jackson based on the secondand third volumes of J. R. R. Tolkien's The Lord of the Rings. It is the third and final installment in The Lord of the Rings film trilogy, following The Fellowship of the Ring (2001) and The Two Towers (2002).",9,0,0,5 April 2020
Terminator 2: Judgment Day," Action film
","This is an action science fiction film. In contrast, I prefer the action drama inside. It may be a character reason, but the science fiction elements inside are still very good.",9,0,0,7 May 2020
American History X," American history
",The drama of American history is a good example of the history of the special period of the United States and is recommended,9,0,1,5 May 2020
The Usual Suspects," Horror movie
",This movie is really good. The process of watching it is very exciting and interesting. It almost didn't scare me to death.,9,0,1,29 April 2020
Saving Private Ryan," War film
","The film's war scenes are very realistic, The plot description is also good and worthy of recommendation.",9,0,0,19 April 2020
The Pianist," Pianist
",I love the piano playing in this movie. The characters in it portray me well.,9,0,1,7 May 2020
1917," 1917
","A very shocking war film, I saw tears in my eyes, the scene is very touching, the actor's expressiveness is also good, it is a very good film, it is recommended.",9,0,2,8 April 2020
The Dark Knight," Dark Knight Knight
","When you gaze into the abyss, the abyss gazes into you.We must first carry out self-criticism and then criticize others.",10,0,1,30 March 2020
Pulp Fiction," Pulp fiction
","This movie has long been heard. I recently took the time to watch it. I It was a bit long. After watching the show, I found the movie a bit. Do not follow the routine. The plot is very exciting and fun",9,1,3,3 April 2020
Harry Potter and the Sorcerer's Stone," Harry Potter
","After watching this movie, I feel pretty good. It reflects the family's affection, and there are a few shots in the middle that scare me. It's still good",8,0,0,21 April 2020
The Lion King," Adventure film
",What 3D reproductions and special screenings are actually just a means for Disney to return to the old film after 17 years,9,0,0,3 May 2020
The Shawshank Redemption," A must-see movie for a man
","Fear makes you a prisoner, hoping to set you free. -'Shawshank redemption'",10,0,0,27 March 2020
The Lord of the Rings: The Return of the King," The Return of the Kung
","A very good action movie, special effects are also very good, it is recommended, in short, the touch to me is a comparison",9,0,0,2 April 2020
The Matrix," the matrix
","The film begins with Trinity's love for Neo and goes through all the pain of love: care, missing, trust, dedication, sacrifice, life and death together, until the last moment of the film, Neo comes back from the dead. A kiss with Trinity proves the love between the two.",9,0,0,12 April 2020
The Matrix," the matrix
","No matter what kind of movie 'Matrix1' is, if you understand that this is almost as great a love story as a classic romance, that's enough!",9,0,0,12 April 2020
The Godfather," Godfather
","The godfather story provides a terrible source of pleasure rooted in the hearts of americans, giving readers a close-up view of a thrilling dark and violent illegal class and a feast for the reader's dangerous lifestyle. Classic mob story!",10,0,0,28 March 2020
