movie_title,title,review,rating,helpful,total,date
The Ring," Whoa... ease up
","I really kind of liked this movie. No, it wasn't a heart-stopping, jumpy movie but there is no arguing that it is a well made, skin-crawly, creepy, atmospheric movie. I am the type of person that can enjoy both kinds of movies equally well and I do. Some of the scenes in the Ring are straight out of a nightmare and others are shown so briefly, you're not sure what you just saw - which only helps circulate the creepy atmosphere. I've read some of the reviews on here and have to say that I don't understand why some people take offense at remakes of foreign films. Granted, I usually like the original version as well but I can't possibly keep up with every foreign title. Or perhaps I'm just a lazy American but, sometimes it's difficult trying to get into the feel of a movie with having to read subtitles. Also can't watch dubbed movies, that's just plain silly. But if the remake is done well, what's the problem. I've seen both and thought them equally well made. In a way I am grateful to the people that bring some of these foreign films to the US mainstream. I may never have become aware of this, and other wonderful titles were it not for their Americanized cousins. Movies like Ringu and even Abre los ojos (Vanilla Sky) might still be unknown to me otherwise. That would be just sad. Cheers!",Null,2,4,13 March 2003
Minority Report," Minority Report card: I give it a big A
","This must be SS's apology for A.I. He seems back in his game again with Minority Report.  I found this movie very entertaining. It was fast paced and had a great cast and great special effects. But that was not the bulk of the movie. The great story is what really made this movie work. There are some great CGI scenes but they are needed to carry the story along. They are not gratuitous like in The Mummy Returns. Most of the special effects are scenes that were seen in the trailers. I especially liked how the futuristic gadgets were handled  as if they are part of everyday life: like the internet is to us today.The acting here was very good. As I've said before, I am not a big Tom Cruise fan. I think that may be changing. He has been scoring points with me ever since Jerry Maguire. I think he does a really good job here under Mr. Spielberg's direction. I will ask though, if, Mr. Cruise feels like he's being typecast as the man in the mask'? If you look at his last few roles, he's been playing a face-dancer for the majority of them: Eyes Wide Shut  he's in a mask for almost a ¼ of the movie, both MI's and a third one on the way will surely have him changing face again. Vanilla Sky had him in a mask or some prosthetic make-up for half the movie or morebut I digress. Suffice to say he worked well in this role. I should also mention Colin Farrell as Detective Ed Witwer: He did a superb job as far as I'm concerned. He really made you hate that character (I think the gum chewing helped it that respect). Samantha Morton was great and Max was, as always, Max.I usually don't outline the plot of movies on here and I'm still not going to, I think you get the gist by now. I will say that the plot is a little predictable in places, but the story is still very engaging. I've read a few reviews that mentioned a bleak, dark and even 'Godless'(?), soulless world that was created with MR. I say: If you've read anything at all about this movie, you should know by now that it is based on a short story by Phillip K. Dick. This is the same man who wrote the books that were the basis for Bladerunner and Total Recall. What kind of world did you expect here? If you've read or have seen either of the two afore mentioned titles then you should know he doesn't create a bright shining vision of the future. However, Mr. Spielberg seems to lighten it up a bit. There are parts where you can totally feel Mr. Spielberg's presence but surprisingly (and refreshingly) there are many instances were you totally forget that you are watching a SS movie (I can only guess that's because he didn't write it). So, perhaps some people should do a little research before seeing a movie, especially individuals who have access to the abundance of information as on this very website. Then, maybe, they wouldn't expect so much. Jeez, it is only a movie after all.All in all I found this movie very enjoyable and worth every penny spent to see it. I feel really good about Mr. Spielberg's directing abilities again. He had me a little worried there for a while. That's my take. What's yours?",Null,0,0,10 July 2002
Unbreakable," Right up my alley
","Another winner from M.Night Shaymalan. I love movies with twist endings and this one certainly blind-sided me. Unlike the end of the Sixth Sense, (which I figured out. Ok, just moments before it was revealed) Unbreakable's ending was a complete surprise for me. I loved the Sixth Sense but in that you were purposely distracted from the true nature of Bruce Willis' character. Not so much here. In this Bruce Willis plays David Dunn, the soul survivor of a passenger train accident. In fact he's not hurt at all, not so much as a scratch. Why? Through a cryptic note left on David's car, `when was the last time you where sick?' These and other questions arise. From here David starts a journey that will lead him to the answers he seeks and beyond. You as the viewer move along the same lines and make the same discoveries as David. You are not diverted from the main goal of finding the answers you seek. What feels like a movie about personal enlightenment, which it mainly is, turns also into something wonderfully unexpected. To me this was Samuel L. Jackson's best role since Pulp Fiction. Bruce Willis is as good as ever. The kid was ok but a bit annoying at times and Robin Wright was not in it enough. That aside, I think this film was brilliantly done. Some of the people I've spoken with about this movie felt suckered. They felt that the end was a let down and not consistent with the rest of the story. In my opinion it reached its intended destination I just didn't realize it until it had. If you like movies like Vanilla Sky, or if you liked the part in The Empire Strikes Back when Darth Vader reveals that he is Luke's father then you may like this one. That's my take. What's yours?",Null,0,0,20 March 2002
Fight Club," Woo Hoo!
","Thank goodness for Fight Club. This movie showed me that all movies don't have to be straight drama, straight comedy, straight anything. They can make fun of themselves. They can be wacky, intense and violent. They can play with the surreal and the unreal. The can be hip and innovative and all around good. From the very first frame I was reeled in. The story and characters are so great in this movie. They are played and directed so well. I really could relate to them uh oh. Then I find out what's really going on and I think I should check myself into the mental ward. Woo Hoo!  What a rush! I made all my friends see this movie. Then I bought it.Mr. Fincher, put down the Madonna videos and step away from the Alien sequels. You have found your niche!I urge every reviewer: please, please do not give away the end. That's my take. What's yours?",Null,0,1,20 March 2002
Monster," Look beyond the surface...
","I feel like I am one of very few people that went to see this movie for the story and performances. I've read so many reviews about the makeup effects in this film that I'm beginning to suspect that that was the main motivation for a lot of people to see this flick. In some of the reviews the opinion of this movie seems to hinge fully on the distraction the makeup caused for them. Now, I've had some issues with the poor use of makeup effects in movies also; Spy Game comes to mind. But, the problem I had with that was the lack of effects used. They never aged the actors in that film which made it unbelievable, not unwatchable and certainly not so distracting as to make it a bad film. I liked Spy Game. I just wanted it to be a little more believable. But this review is supposed to be about Monster and is turning out to be more of a commentary on the people that had a problem taking their eyes and minds off the way the two lead actresses looked.   The film is based on the killer Aileen Wuornos, as I'm sure you're aware. Though I think it's a stretch, she's touted as a serial killer and may very well be the first woman classified as such. That alone makes this an intriguing story. This is the story of a very misguided (or perhaps that would be better stated as unguided), delusional, dangerous woman, who, after years of hard living that leads to occurrences of brutality, snaps and begins a life of killing. Along with that, there is a story of desperate love and hopeless denial.   The performances are nothing less than exceptional; of course most of the kudos go to Charlize Theron. The make up effects help, but she really has become this woman. I have seen TV programs on this case with footage of Aileen and Charlize Theron has simply embodied her.   Another reviewer made a remark that she (Theron) watched footage of Aileen Wuornos and simply copied her mannerisms, voice and look. Hmm, wasn't that her job? And I doubt it was that simple or easy. I have to rely on these trained professionals to try and develop their craft enough to convince me that they are someone else. Mrs. Theron did this for me with out flaw.  I urge people to go see this movie only if they are interested in the story and/or film in general. If you go just to see a beautiful woman look ugly for a film then you'll most likely miss the great performances and messages this film conveys. And that's sad.   I really don't have the words, or time, to deliver all the feelings this movie brought up in me. I like to believe I got the messages and nuances of this picture and hope that others get it' too. Look beyond the surface. That's my take, what's yours?",Null,0,0,26 January 2004
Dawn of the Dead," WOW! That's all I can say
","Ok there's more..In the thick soup of seventies remakes one stands out above the rest. Dawn of the Dead. Not only is this movie far superior to the original but it is IMHO, The BEST zombie/post apocalyptic/horror movie I have ever seen. True, and I've seen a lot. I'll warn you if spoilers are coming.  The opening of Dawn of the Dead is quite intense and brutal gouts of blood, people running and screaming, zombies (of course) doing their thing and then the credits start to run and you just know you are in for one hell of a ride. I swear, I got goose bumps in anticipation of things to come. Dawn of the Dead works on so many levels I can't cover them all but suffice to say that it manages to be brutal and terrifying while injecting splashes of poignancy and gentleness. Sarah Polly has led me down the rabbit-hole before with movies like GO and No Such Thing; she takes us (willing) on a new, nightmarish ride and delivers the goods as usual. I think she is one of the best, most beautiful actresses today. For me, being familiar with, and liking, her past work made it easy for me to like/care for her character right from the get-go. This helped tremendously with getting sucked into the atmosphere. You can tell all the actors really got into making this picture. It must have been great fun. Ving is as great as always. But the real kudos have to go to the director and cinematography While the premise is disturbing enough and the actors veterans, I'm not sure it would have been as effective without the, up-in-your-face, shaky camera work. A lot of the film is shot in close, claustrophobic intimacy and then there are these shaky, off-focus, chaotic shots that put right in the think of the fight and violence, then wide panoramic shots that show you the full scope of this desperate situation. Some parts of this movie are nothing less than brilliant. I love true artistry in film and it delivers that as well. Great special effects, smart story elements, attention to detail (listen to the mall Muzak  perfect) simply a great movie going experience. I will accept no arguments on this.  Perfect 10.",10,0,1,1 April 2004
Billy Elliot," Can you feel it?
","Billy Elliott is one of those movies that you watch to pick you up when you're feeling down. What a pleasure it was watching this movie even though it's not set during the best of times for these characters. We come in as they are struggling to confront a recent death and overwhelming poverty all the while trying to retain some sense of dignity. Here we have young Billy living in a coal-mining town in Northern England with his father, brother and grandmother. His mother has recently died and his father and brother are on strike from the mines. Billy is in charge of looking after his grandmother, who is losing her mind while the others are at the picket lines. Billy is also is at that sexually awkward, adolescent stage. Times are tough to say the least. As Billy struggles to deal with all that is going on in his life he discovers he has a natural talent to dance. Urged on by the local ballet instructor (played wonderfully by Julie Walters), Billy faces the disapproval from his family for his love of dancing.When I first read about the story line for this movie I literally rolled my eyes. I thought, `oh boy, one of those predictable feel good movies'. And while it is a feel good movie, it was not as predictable as I thought it would be. And it was getting such great reviews from the critics and my friends alike, I took a chance. I'm glad I did.The cast really shines in this one, especially Jamie Bell. What a breath of fresh air he is to the field of young actors today. He really is a great talent.Bottom line: If you like movies with likeable characters sat in a nice mix of comedy and drama with just a dash of inspiration then this one might be for you. Easily one of my favorite movies. The soundtrack is great also. That's my take. What's yours?",Null,0,0,20 March 2002
Star Wars: Episode II - Attack of the Clones," I think digression is the word your looking for.
","My oh my, what have we got here? (some spoilers among the ramblings)  I thought this was gonna be the one'. You know the Episode that knocks my socks off Well I'm still wearin' my Wilson over-the-calf crews I was rather disappointed in this installment of the series. I think I may be in a vast minority here but I actually liked Ep.I better. There seemed to be a lot more going on story-wise. You could see an arch building to reach Ep. IV. I thought it was very interesting. All except for (again casting myself into the minority) the pod-race scene: it held no excitement for me. We know that Anakin is going to grow up to be Darth Vader so where's the threat of him dying in a pod-race? But we're here to talk about Ep. II, aren't we? Well I know my 2cents is coming in a little late, but I had to get this off my chest(**spoilers ahead**)deep breath, here goes. I'm not lacking in the appreciation of a good romance, but enough with the forbidden love stuff already we know they get together. get it over with and get on with the story. Get on with Anakin becoming the Dark Lord of the Sith. We only have one more Episode left, don't waste it! You could be explaining so much, like who the Sith are and why we should be afraid of them. Instead we get sexual tension. Ok, but we know they get together! We could be seeing the clone war and where that leads us or the construction of the Death Star or even more (spoilers) Yoda kickin some serious butt. But no, we get the young lovers rolling around in the grass for Pete's sake! What about Shmi? That whole part was so unfulfilling. Like, Hi, Mom' uchhh dead. Then, oh then, we only HEAR about what he did at the Tuskin Raider camp! I mean jeez, get on with the meat of the story. The battle between good and evil.  We KNOW THEY GET TOGETHER! But I digress or have digressed enough for one day. Hey, there were some good moments, right? (And I stress moments). Like, there were a couple tense scenes where you just knew this was when Anakin was gonna loose that hand!. And then there were the jokes like, Anakin is going to be the death of me.' That was good.. and of courseYoda. All hail Master Yoda! Yeah. So, in summary: as I think I've illustrated here, I believe too much time was spent on a plot line that held no suspense or mystery and a digression from one that began this whole ADVENTURE. Was this much time spent on Han and Leia's courtship in Empire, which still remains the best installment in the Star Wars saga for me? I think not.  But I'm beginning to digress again. That's my opinion, what's yours?",Null,0,0,12 June 2002
The Lord of the Rings: The Fellowship of the Ring," Blasphemy!
","What a great movie! The acting was top notch, the special effects were better than anything my imagination could have ever come up with and the sets were fantastic. Don't get me wrong, the special effects and sets aren't what make the movie but they are a strong influence on the overall scope of the picture. The cinematography was breath taking. I never saw such a wondrous place while reading the novels (which I loved) and I never felt the depth of emotion that the movie brought to the characters. That in my opinion is what really makes the movie. In many ways the movie was better than my memory of the book. Some may say that is down right blasphemy but that's just my humble opinion. Now that I have seen Middle Earth in this way I am going to re-read the novels and perhaps see them in a different light. The one and only thing I found disappointing in Fellowship of the Ring is the knowledge that I have to wait a whole year for the sequel. I have to admit that I was a little wary about the movie when I learned that Peter Jackson, the same guy that brought Bad Taste to the world, was directing but he has made one of the best movies I have ever seen. My hat goes off to him for having the vision and imagination that I obviously lack and for bringing this enchanting world into being. I have seen many, many movies, science fiction and fantasy are at the top of my favorites and Lord of the Rings now takes the place at the top of that list. Go see and then go see it again. What a trilling adventure!",Null,0,0,20 December 2001
The Matrix Revolutions," And to think I nearly missed this on the big screen.
","If I had heeded the advice of the first wave of idiots that said how bad this movie sucked I might have missed this very satisfying movie experience. I'm not really sure what some (if not most) of the people that disliked this movie were expecting, but it surely did p**s them off. I mean this was way, way, way better that those Star Wars prequels (I don't think I'll ever get over that disappointment). Perhaps a lot of people didn't understand these Matrix sequels. maybe they were too deep. That's really sad 'cause they aren't that hard to reach. I'll admit that I need someone to help me through a David Lynch movie now and then but come on. this is not like a psych exam without any prep. Yes, there is some philosophical babble here but it's just requires a little thought. Mostly there is a whole lot of hard hitting action that is completely satisfying. Also, I wouldn't call this the last installment of this franchise. There is more than enough room for a whole new series of Matrix movies. I say 'bring 'em on.' And if you whiny little dullards need someone to explain it all to you 'cause you didn't 'get it'; there's a message board on the subject going 24/7. check it. Sorry if I'm a little harsh, I just watched 8Mile.",Null,0,0,15 December 2003
