movie_title,title,review,rating,helpful,total,date
Mission: Impossible III," Smart, tense, and dark
","*WARNING MAY CONTAIN SPOILERS* Out of the three Mission Impossible movies I have seen, MI 3 is the best. It combines the intelligent, investigation aspect of the first film, but tosses in a little action for good measure. In a way it combines the best aspects of the first two movies. From MI 1 it gets the tension, and the break in scenes, as well as an intelligent plot, where you don't know who to trust, and we get some big reveals at the end. From the second movie, we get the action scenes (though much more toned down and believable) and we get an actual villain (though much better). This one also didn't feel like a Tom Cruise ego trip (yes, MI 2, I'm looking at you). Tom Cruise gives a much better performance in this one, as Ethan Hunt gets a bit more character, instead of just... agent. He had some personality in the first one, not much, but some, but by the second one, he was an awkward blend of James Bond and Neo. The romance scenes are a little cheesy, but I thought they were used well, as Hunt's romance is a major plot point. Cruise has much better chemistry with the new love interest than he did with Nyah from the second movie. Phillip Seymour Hoffman really delivers as the villain. While Sean from MI 2 served as like an evil version of Hunt, Hoffman's Davien is like the complete opposite of Hunt. Davien is ruthless, cold, uncaring, and cruel. You can tell he takes pleasure in what he does, even though he hides it under his calm demeanor. Hoffman really helped make this movie. Another person who deserves the credit for this movie is J.J. Abrams, one of my favorite directors. He really knows how to make a good tone for a movie, and he handles characters really well. This movie is no exception, Abrams is easily the best MI director so far. Brian De Palma shot the first one in such a weird way it looked like it was made in the 60's. And John Woo abused slo-mo something awful in the second movie. It's also nice seeing a moderate level of action, unlike the second movie which was just overloaded with action. The action sequences are also well handled, even though they do feel a bit choppy at times. In conclusion, I think Mission: Impossible III was a good movie, with a great villain, a good story, and some good action. Now, I think I'm finally on board with the Mission: Impossible movies.",7,1,1,15 June 2015
Star Wars: Episode I - The Phantom Menace," Great action and effects make up for the weak links in the acting
","*WARNING MAY CONTAIN SPOILERS* I've always thought that The Phantom Menace has been unfairly judged. The Phantom Menace had so much hype and nostalgia that had been built up from the first three movies, that nothing short of perfection could've lived up to it. Is this is a perfect movie? Definitely not. Is this a great movie? No, not really. Is this a fun movie? Yes. A lot of people have problems with the political side to the story in the Star Wars prequels, but I thought that was a good addition, it added a bit to the complexity of the Star Wars universe, making it much less simplistic. Now, I'm not saying the politics couldn't have been handled better, but Lucas certainly had the right idea. The Phantom Menace also gets a lot of heat for being too boring, which I can understand. Parts of this movie drag, but as I've said I do like the political side of Star Wars, so I'm not bothered by having a slower, less action-packed Star Wars movie. Okay, now let's get down to the really tough part: the cast. We all know about Jar- Jar Binks, and no I don't like him, but I will say that as a kid I loved Jar-Jar, so once again, Lucas did succeed partially. He made a character kids would like, he just needed to tone him down a bit and make him a little less... well, y'know. Jake Lloyd gets a lot of grief, but I think he believably portrayed an eight year old, it's the just the fact that Anakin is a kid that really bothers people from what I've gathered. I do think Ewan McGragor and Liam Neeson delivered solid performances and like able characters in this movie. They may not be as good as Han Solo, but their characters had enough subtle personality and characterization to make them interesting. Obviously, the action is the obvious point to bring up when listing positives for the prequels, and I agree. The action is top-notch, and very visually pleasing. I love the effects too, the CGI gives everything a sleek look to it, and the ships look much less clunky than they did in the original trilogy. But those aren't the only things I like about Episode One, the story is a little cluttered, but I think it is a good story. I will admit that Phantom Menace doesn't hold up on its own, you do kind of need the whole saga to really enjoy it, but it's still not as bad as people would have you believe. I also like the characters, though they are a bit bland. I'm not saying I can't understand some of the complaints, what I am saying is that the amount of hate against this movie is ridiculous and unfair, this isn't a bad movie. There I said it.",7,3,5,11 June 2015
Iron Man 3," Lazy writing; a big disappointment
","*WARNING MAY CONTAIN SPOILERS* I'm going to be honest, I am not the biggest MCU fan. I really like the movies in Phase one, I even like Iron Man 2 and the Incredible Hulk. Phase two... meh. That being the case, I was already on the side of Iron Man movies when I saw this, and am a big superhero movie fan, so for this movie to lose me as much as it did... that's a true feat. This time though, being a fan of the comics actually makes you like the movie less. Even though I hated this movie the first time I saw it, I have grown to enjoy it a little bit. That being said, I still consider this movie to be sub-par. Why? Well, here are just a few reasons. The Mandarin. Yes, this is what I meant by saying if you like the comics, you won't like this movie. The Mandarin is not a menacing super villain armed with alien technology, he's not a warlord, he is not in anyway THE Iron Man villain, in fact... he's not even a villain. The Mandarin is a figure head used by the real villain (more on him in a bit) to draw the attention of the U.S., and not only that, but they took the twist one step farther and turned him into a punch line; he's nothing more than a drunk actor masquerading as a terrorist. And that... no, just no. Look, I understand the comics have to be adapted, I get that, I understand even very popular characters might not be suited for the big screen, I get that too, but the one thing you shouldn't do is disrespect the source material. Taking a few jokes at the dumber moments from the comics is alright (even the actual comic books do that), but this isn't a poke at the comics, this is a slap in the face to the fans, and this instantly put me firmly on the side of against Iron Man 3. This could've been a good twist if they'd used like a c-list villain, but the #1 Iron Man villain? No, that just doesn't work. Another big problem I have with this movie is the massive changes to Tony Stark. I didn't like them. I like seeing Tony looking like he's in trouble, but it should actually be the villain of the movie who breaks him, not just the villain from Avengers. We should see Aldrich Killian (or preferably; The Mandarin) break Tony, push him to his breaking point, and see Tony come back, rise up, and defeat his enemy. A bit like TDKR, but that wouldn't be the only thing they copied from The Dark Knight Rises. Seeing Tony having panic attacks and anxiety issues over the mere mention of the events in The Avengers is a little too much though, and the real villain, Aldrich Killian, is a disposable bad guy for Tony to struggle with for two hours, he's not an arch-nemesis, he's not anything important to Tony, he's just another villain to kill off. Not exactly the way your trilogy you should go out. Another problem I had was all the plot holes, but I try to overlook plot holes whenever possible, because, I'm more interested in the story and characters than every little detail. Still, Tony not bringing out his suits earlier in the movie is a glaring issue that I have a hard time ignoring. Problem #5: the mechanized suits. I know this is in the comics, but having Tony pilot his suits by remote control, and making an army of suits that are easily disposable? I'm pretty sure this movie confirmed at least three of the Five Nightmares from that epic story line (c'mon, you know you wanna see Ezekiel Stane! A villain who could rival RDJ for screen presence? Oh yeah!). Also, it makes Tony not feel particularly special. He just builds the suits, why not just let someone else hold the remote? I have one last problem with this movie and with most of the Phase two movies in general. Joke overload. Seriously, there are too many jokes in this movie, and they are very ill-timed. I don't mind alleviating some tension with a bit of humor, but this movie just straight up has no tension, and that makes me lose interest pretty quickly to be honest. However, I still find Iron Man 3 to be very enjoyable, in a mindless kind of way. Once you realize it isn't very good, it's actually a pretty easy movie to have fun with. It's not like Batman & Robin bad, it's just not very good. In the end, Iron Man 3 is a sub par movie, with good action, good effects, lazy writing, a weak story, and a bad tone.",5,1,3,29 June 2015
Star Trek Into Darkness," Great cast and effects make up for plot holes
","*WARNING CONTAINS HEAVY SPOILERS* So after the first Star Trek movie which I really loved, there was a very long wait, and then finally, in 2013, after four whole years between movies, Star Trek Into Darkness came out, and, I was not one bit disappointed. That's not to say it's the equal of J.J. Abrams's original master piece, which showed the entire crew coming together and their first meetings and the start of the friendship between Kirk and Spock, but this does give us something else. A great villain. Benedict Cumberbatch plays that villain, and that villain is: Khan. And to be 100% honest, Cumberbatch has to be one of the best Star Trek villains of all time, he was just a very menacing and very memorable villain. Watching him just wipe out about twenty Klingon warrior single-handedly was a very entertaining action scene, and what makes it even better is that Khan just surrenders to Kirk, and then Kirk just starts wailing away on him, to which Khan stands there placidly, while Kirk keeps hitting him. That was a great scene. It's hard to get more menacing than just showing that the hero can do nothing to hurt you. I also like the parallels between Kirk and Khan, which was a nice touch. Of course the old cast is back, and they're all great. I liked the new dynamic between Kirk and Spock, where, you can tell they're friends, but they both have such different viewpoints, that there is a lot of conflict, and while Kirk is in control of a ship and more responsible, he's still the same guy as in the first one. I also liked that despite all the time they spent telling us how irresponsible Kirk is that by the end of the film, he finally comes to accept his responsibility as Captain, and is willing to sacrifice himself to save the ship. Bones isn't as good in this one, he barely has anything to do, but Karl Urban was still good. Carol Marcus is a nice addition to the cast, as is her father, Admiral Marcus, who makes for a good villain as well. I also think the tone of this movie was really great, it's dark, and you can tell things are dangerous for our heroes, but it's still a fun ride, it's not just all gloom and doom. The terrorist stories they've introduced in the more recent Star Trek stories is a good touch, since Star Trek's whole thing is dealing with current social issues. However, there were some things that were not good, and one of those is the pacing. I'm not sure if that's the right term, but this was a glaring issue later in the film. Okay, so first of all, Scotty disables the Vengeance, and Admiral Marcus sends security to deal with him , Kirk and Khan. Those guys get wiped out in like five seconds, and then... in the entire time it takes the heroes to reach the bridge, Marcus and his crew are still just sitting there, doing nothing. Or, later in the film, when Spock damages the Vengeance and Khan is going down with it, there's like ten minutes with the crew trying to save the Enterprise, and then, we finally get back to Khan and the Vengeance. It's like they just forgot about him, and then just shoved him in there to set up for the finale. And then there are the plot-holes. You can beam someone down to Earth, but you can't beam someone back up? Huh? Or, why Can't Bones just use one of the other Augment's blood to save Jim, does it have to be Khan? There are also numerous shout-outs to Wrath of Khan, some work, others feel too goofy. Kirk's sacrifice, that works, Spock yelling, 'KHAAAAAN!', that felt pretty silly. Still, they were a nice touch, and I thought this film was a worthy successor to the original Star Trek, and I'm looking forward to where these movies go next.",8,1,4,20 July 2015
Batman Returns," A great cast, but the direction and story telling leave much to be desired
","*WARNING CONTAINS SPOILERS* Batman Returns, for me, is a movie of sharp contrast. Some aspects of the film I love, while others I think are just plain bad. Before I get into the negatives and positives, let me just say that I still enjoy Batman Returns quite a bit, and I think for the first hour and fifteen minutes, it was a worthy successor to the original Batman movie in 1989. So, the negatives. Tim Burton's directing here is not good. I understand he likes doing weird stuff, and that was prevalent in the original Batman movie more or less. This one... goes a little too crazy. I like the dark and ominous tone this movie sets up, but unfortunately at times it just throws that out the window to have a scene that's just like... what? At one point in the movie Penguin puts a little control device on the Batmobile that allows him to control it, instead of Batman. Penguin controls it by driving a recreation of the bat-mobile, that looks like it's a kid's ride at a carnival. And throughout the scene Penguin has a TV screen that he uses to taunt Batman with, while making some truly horrible jokes. Yeah, it gets that crazy. And another thing, does anyone else notice just how many stretches there are where a central character disappears completely. Batman's in maybe thirty to forty minutes of the movie (okay, maybe that's an exaggeration, but c'mon! It's called Batman Returns, not Batman shows up in a few scenes here and there). Catwoman disappears for a good twenty minutes towards the end of the film, and then just shows up at the end without any explanation. It's just...bizarre. Too many scenes that seem as though they're supposed to be taken seriously just come off as laughable, such as Penguin shooting his rebellious henchman who just stands there stupidly, or the police officers who open fire on the Penguin on sight, y'know, the former mayoral candidate. Then there's the cast, and this is where the movie really shines. Christopher Walken is delightfully over the top as Max Shreck, and is a joy to watch throughout the film, as he tosses lots of great dialogue around. 'Next time I'll push her out a higher window!' he remarks, after discovering Selena Kyle is still alive. Michael Keaton is still a great, if underused Batman, and then there's Michelle Pfeiffer of course, who is just a great Catwoman. Her and Keaton had some great chemistry together in this movie, and the scenes between them were easily the best things in the movie. Michael Gough is great as the dignified Alfred, and he and Keaton share some good scenes. And then... there's Danny Devito as the Penguin, who I just... I don't know why, but I just did not like him. He was kind of funny for a while, and even managed to be fairly sympathetic, but later on he just got too goofy, and he really doesn't do all that much, despite being featured so strongly. He was basically just a figure head for Shreck. Later on he hatches his own schemes, but the fact that he straps rockets to the backs of hundreds of penguins and sends them out controlled by radio waves to destroy Gotham doesn't help his case much. There are some good action scenes though, such as the fights between Batman and Catwoman, not to mention the numerous times the circus gang shows up and Batman has to fight them, such as the acrobats who he gets into some pretty fun martial arts duels with. On a side note, Batman killing people is something that kind of irks me, and I kind of like. Change is good, and I like that there's some difference to this than the Nolan movies in regards to themes, but seeing Batman killing people is just...weird. In the end, I really liked the first chunk of this movie, and absolutely loved Keaton, Pfeiffer, and Walken in their roles, but I really didn't like the end, the directing, or Devito. However, it was still entertaining, so I would recommend watching this movie if you haven't already.",7,0,0,10 July 2015
Terminator Salvation," A weak installment in a great franchise
","*WARNING MAY CONTAIN SPOILERS* Terminator Salvation has a pretty bad reputation, but I'm a Terminator fan, so I absolutely had to watch it. Well... it's not all bad. I am not against shaking up the formula; eliminating the chase format the first three had all had was a bold move. That's not to say it was necessarily a bad choice, it could've worked, it just... didn't. I did like the decision to show us some of the war with the machines, but unfortunately the war we are shown here is like five years after the start. Seeing John Connor organize a resistance would've been a lot of fun, but instead we just get some generic war stories that involve John Connor (y'know, the leader of the resistance) having to commit mutiny to save his father and subordinate, Kyle Reese. This movie has absolutely none of the fun of the originals, I know Terminator 3 gets heat for tossing in too much comic relief, but at least it didn't take the whole thing so dead seriously. There's no humor to liven up the proceedings, and what's worse, there's no heart or soul to this movie. The whole thing is just so bleak and depressing, and the washed out color scheme only adds to the effect. Well, what about the cast? I was really excited to see Christian Bale as John Connor, but his talents felt really wasted here. He had little more to do than talk in a deep voice and brood. And then finally at the end he got to actually do something, but even then it was all just soulless action, there was no character to it. Who would've though the role of John Connor would be so thankless. Bryce Dallas Howard plays his wife Kate Connor, and she's perhaps the most like able character. I don't know why, she just seems to have so much more soul than the others, because she's never just demoted to blasting Terminators with machine guns. She gets to support John throughout his struggles, and the actress does it well. Of course, we can't forget to mention Sam Worthington's nearly emotionless performance. Yes, he's a Terminator, and he plays the part of an emotionless machine perfectly, but not in a good way. I didn't care about this character, or his totally replaceable girl friend, so the main story of the movie was unrelateable to me. The sub plot with John and Kyle wasn't too bad, I had some interest in that, but the entire Sam Worthington arc was just boring to me. But to be brutally honest, the John Connor story line wasn't even all that good. For one thing, having John not actually be the resistance's leader is pretty lame, and also the entire operation to destroy the machines's stronghold just feels so by the numbers. It's just like someone will say, 'hey, we need to do this!' and then they do it. Next scene! There is almost no time for any character development or any passion to be put into this movie. Well, surely a Terminator movie can at least have some good action right? Let me just say that if you thought Arnie on the crane in Terminator 3 was over the top, you won't last five minutes in this movie. The final battle where John fights the Arnold Terminator was good, but it just kept going on and on and on... Until I just got bored. In a fight involving Christian Bale as John Connor and a CGi recreation of Arnold Schwarzenneger as a Terminator, I got bored. That is actually impressive. I'm sorry to hate on this movie so much, I wanted to like it, but I just couldn't get invested in this movie whatsoever.",5,1,4,1 July 2015
Captain America: The Winter Soldier," Thrilling, action packed, and smart
","*WARNING MAY CONTAIN SPOILERS* Captain America: The Winter Soldier is the sequel to Captain America: The First Avenger, and complements it nicely. Most sequels just go for the overused formula of bigger equals better, which rarely works out well. This time, the second movie is the continuation of the first, contrasting the differences between modern day and the time Captain America lived in. Things aren't so black and white in this movie, for awhile Cap doesn't know who to trust, and is just going off his guy instinct about what to do. This movie is about everything Captain America believes in being torn down, with SHIELD and with the Winter Soldier. Spoiler: The Winter Soldier is Bucky Barnes, Steve's best friend, so watching Steve have to fight him, is very emotional. Not only that, but the Winter Soldier is a very menacing villain. So, yes, I really liked the way they played off of the first one with this movie, and I thought that was a very good dynamic. The cast is great this time, even better than in the first movie. Chris Evans is better than ever in the titular role, and Scarlet Johansen delivers once again as the Black Widow, though her role isn't as well written this time around. Samuel L. Jackson also reprises his role as Nick Fury, and he and Cap play off of each other really well, because they each have their own contrasting ways of doing things, and as you can imagine there's a lot of friction from that. Anthony Mackie's The Falcon is a good addition, as he brings some extra charm to the movie. And, to go back to what I said earlier, I think The Winter Soldier is the perfect villain for this movie, and I much prefer him to the Red Skull, as he provides some actual menace to Captain America, as well as his numerous allies. And for the hard-core comic book fans, there's even a minor role of Crossbones. I also think this movie boasts some better action scenes, with car chases, shootouts, and three different super-heroes all running around and using their own gimmicks. The most noteworthy are (though it is very brief) the elevator scene where Cap dispatches at least a dozen Hydra cronies in an elevator, after giving them all the chance to back out. So cool! The final battle between Cap and Winter Soldier also delivers on some really hard-hitting emotion as well as a very tense duel, as they are standing on a cat-walk, really high in the air. This is the quintessential Captain America movie here, but then again so is the first one, it's just that they each tell a different type of Captain America story, each one equally iconic. Most superhero movies in a series tell a very similar story, so it was very refreshing to see something so different. I just hope that the Civil War will live up to the first two, giving us something original, instead of just two and a half hours filled with poorly timed jokes and so many characters you need an index to keep up with them. Which brings me to another point: the tone. There are jokes in this movie, but they are timed well, and they feel more intelligent. These feel like things real people would say, not jokes bordering on fourth-wall breaking. I also like the way they handled such a large cast, in that each character was well developed, but we had a clearly defined main cast. In the end Captain America the Winter Soldier is a great movie, with a stellar cast, great action, a great story, a good tone, and makes for a great follow up to the first one.",9,0,1,10 June 2015
Star Wars: Episode II - Attack of the Clones," Slow at times, but the story and action make up for the flaws
","*WARNING MAY CONTAIN SPOILERS* If you remember, I was one of the few who did not hate The Phantom Menace, in fact, I gave it a positive rating. If you'd like to get a different opinion on the prequels, please be sure and check that review out as well, but now, let's talk about The Attack of The Clones. This movie has a few rough spots, Hayden Christensen and Natalie Portman don't have very good chemistry together, despite both of them giving decent performances in the rest of the movie. No, Hayden Christensen isn't that bad, he's a bit wooden, but I think he plays a believable confused young man who has been isolated all his life. In fact, I think that most of the hate surrounding Christensen is less about how he plays his role, and more about what role he's playing. People don't want Vader to be a bitter and over- reacting teenager, but in the scenes where Christensen is able to show who he'll become, he's great. Besides, this is all about how Anakin becomes Vader, he can't start out as Vader in Episode II. The movie also gets heat for other stuff, too boring, too much CGI, etc. The CGI effects look great, it makes it look like a more advanced culture, by having surroundings that we can't yet physically create. Now, maybe a few practical effects wouldn't have been amiss, but I think the use of CGI is a relatively minor complaint, and one that doesn't really effect the over-all quality of the film. The plot may be slow at times, but don't forget, we have lots of action in here as well. A full scale battle at the end, a high speed chase through Courscant, a duel between Obi-Wan and Jango Fett, etc. Yes there are slow stretches, but there are also plenty of scenes that are really fun. I know Yoda fighting with a light-saber, you know, a Jedi's weapon, is supposed to be just like heresy or something, but I can't take that complaint seriously. How else would Yoda have fought? With a stick? It's not like he doesn't use the force or anything! But enough with the negatives, let's talk about why this movie is genuinely good. Ewan McGregor as Obi-Wan is great! He brings the right level of sophistication and intelligence to the character, while still managing to seem like a less experienced version of the character in A New Hope. Jango Fett is a really good villain, he brings in great action and is just over all a really cool character. I already said I like Hayden Christensen, who I think accurately displays youth, and provides a relate-able character for everyone who's ever been a teenager ever. The action is top-notch as well. The speeder chase on Courscant is a great start to the movie; humor, good effects, and very fast-paced. The finale is very well done also, and it's a blast to see the first full scale battle in a Star Wars movie (the gungans don't count). The story, thought admittedly a bit muddled, is interesting enough (let's be honest, Star Wars isn't story based, it is driven by characters and action). I understand very few will agree with this review, but I wanted to give my own opinion on the Star Wars movies, so, I started reviewing them. I'll try to have my Revenge of the Sith review up soon!",7,39,61,19 June 2015
Captain America: The First Avenger," Classic fun
","*WARNING MAY CONTAIN SPOILERS* Captain America: The First Avenger is a fun movie with lots of action, and a touching story line. We as the audience grow to care about Steve Rogers because we see him as a guy who is down on his luck. That way, when he does become the superhero, we feel a sense of triumph, because we see this little guy becoming the ultimate fighting force for freedom. This is a common theme in superhero movies, but this movie nailed that perfectly. The choice to set this in the 1940's and show us Cap's golden years before he came to the modern day may have been a turn off for some, but I thought it was handled excellently. The fact that this guy really believes in the good o'l fashioned American ideals is hard to swallow for every character in this movie. And they play off of that really, really well. The final scene where Cap is forced to crash the plane and ultimately send himself into the present day is very tragic, and Peggy's reaction to hearing him die over the radio is heart- breaking. As I've already hinted, I think Chris Evans is really good as Captain America, and I think they handled his character next to perfectly. The supporting cast is great, we have Tommy Lee Jones, Hayley Atwell as Agent Carter, and Howard Stark. We also have a villain for parts of this movie: The Red Skull. I like Hugo Weaving's Red Skull, but I don't think they handled him all that well in the movie. The Red Skull should just be the anti-thesis of Captain America, and he is, but they don't ever really drive that point home. It's just there, and it doesn't really go anywhere. Really, he just feels like a generic Nazi super-villain with super- strength for Cap to fight. I still like the character, but I just have a few gripes with how he was handled, that's all. In the end, Captain America: The First Avenger is a good, fun movie, with a great cast, some great action, a great theme, a good tone, and a good story.",8,2,3,10 June 2015
Man of Steel," Good effects and visuals, but some obvious weak links
","*WARNING CONTAINS SPOILERS* Man of Steel was a very divisive movie, some people loved it, some hated it, and there were a few who were just like 'meh'. There is a lot to like about Man of Steel, it's got good action, the cast is all good, and it is nice to finally see Superman actually fight stuff. The problem though, is that this doesn't feel like Superman. I'll explain more in a bit, but just let me take a brief detour to say that, I wasn't overly bothered by the destruction. It was a too much at times, and done in such a realistic way that it isn't fun to see, but having destruction in there didn't bother me. What bothered me was that Superman didn't do anything about it. This movie would go from good to great if amidst all the destruction, Superman had to save people. Like in the fight with Zod, he flies over an oil-tanker Zod hurled at him which proceeds to destroy an entire building. Superman wouldn't do that. Superman would've stopped the tanker, even though it would've left himself vulnerable to Zod. What makes Superman a hero is that he's more that his powers. He's not just a brawler, he saves people. He does save the planet in this movie but he never actually saves individual people (aside from Lois and his mom). The whole Superman killing Zod thing didn't bother me, though. In that situation, Superman would've had to kill Zod. There was no other way out of it, it was Zod or well, everyone else. I hope it is used as a plot point in future movies, such as helping to develop Superman's no killing rule. But there is still a lot to like about this movie. Michael Shannon is a great Zod, and brings some actual personality and depth to the character. Henry Cavil is a good Superman as well, despite the flaws that I already mentioned (which is more a fault of the writers). Kevin Costner and Diane Lane are also good as the Kents. The flashbacks are actually done really well, as it shows us how Clark became who he is. And what I really like seeing in Superman movies is the exploration of his character (which is more complex than most people realize). Amy Adams also does a good job as Lois Lane, who is finally portrayed with some intelligence. Laurence Fishburne is a good (if underused) Perry White. So, yes, I still liked and enjoyed this movie, even though I think it is obviously flawed.",8,1,2,23 August 2015
