movie_title,title,review,rating,helpful,total,date
Scarface," Al Pacinos Acting Shines more then the Film does.
","The movie is about a 7 out of 10.Al Pacino the Cuban man with a hot head, headed to the top and will stop at nothing to get there is inspiring, cool, and puts the film at 9.Maybe his best performance ever. Even right on par with Michael Corleone in the Godfather and as the Good Cop in Heat. Serpico, A scent of a woman and of course Dog Day Afternoon are some of Als other great performances but his role as Tony Montana is an inspiration to so many excuse me for saying thugs. Thugs I know in town, thugs in the media, thugs in the main-stream like rappers.They all look up to Tony, a fearless man that says all he has in this life are his balls and his word, and he do not break them for anybody.One of the greatest lines in the film is THE WORLD IS YOURS.A neat little message, my favourite scene in the film is right before Tony takes Michelle Pfieffer and about to start his life as the boss half-way through the movie he looks at that blimp flight from American Airlines and the words..THE WORLD IS YOUR flash across the blimp and he takes a drag on his smoke all wounded thinking, I finally made it.This is my time.It also shows what happens when greed, power and coke get to your head. He double-crosses the guys he promises not too...When it is all said and done this 7 out of 10 movie, is pushed to a 9 for Als Performance as the Cuban Tony Montana.A great film and one of the most historic movie characters in the history of Cinema.Pacino shines...the World is Yours!",9,1,3,11 March 2013
The Hangover," A Classic yet a tad overrated IMO....
","Do not shoot.I still gave it 8 out of 10.The second one was ridiculous since it was so similar (even if that was the point) and the fact they are making a third is beyond ludicrous. Just trying to suck in the sheep to make a quick buck, the script will probably suck but I wont judge till I see it.Back to this one, I saw it opening night with little expectations, I only really knew of Bradley Cooper from Hes not that into you, the dick from Wedding Crashers and a cult horror film, Yes Man Midnight Meat Train.This was clearly Coopers time to shine, after this he went on to do thinks like date Anniston, appear in Limitless and Oscar nominated movie which was great Silver Linings Playbook. (Two movies with my favorite actor De Niro to boot)Ya know this was my sisters favorite comedy at the time right after she saw it, claiming it was the funniest movie ever. It did not end there...my brother saw it 6 times in the theater, he never DOES THAT AT ALL so he must of liked it obviously. It really helps me and my friends just stayed at Caesers Palace the year before I saw this and I am from Canada and do not travel a lot. What was also cool was I went to Vegas a month after opening night of this film once again and stayed at MGM and every time I passed by Palace I thought of the film.I do no think this is as funny as Superbad, Knocked Up, Horrible Bosses or even 40 Year Old Virgin, and of course my favourite comedy the Big Lebowski by the legendary Coen Brothers. If you enjoyed the movies I just named, perhaps you will agree that this movie is arguably close but not better then what I named. Well maybe it is right on Par with bosses. I like to class this movie in the likes of classic comedies like There is Something About Mary, or Meet the Parents.Great Fun just not the funniest movie of the decade like some claim!",8,0,2,10 March 2013
The Big Lebowski," Want to get lost in a great movie?
","Unbelievable.I have seen this movie at least 100 times (pretty sure anyway) and I'm not kidding. If your having a bad day, week, year or say you just feel plain angry one day, just simply pop this film in and all your problems are gone for at least 2 hours if not more, in the same sense where you feel good post sex, or post working out. This is also an enjoyable ride thst surely could give you an after-glow so to speak...You notice something new with each viewing, you learn to love the characters and everything their about and you are amazed at how one movie can have so many elements to it (and a comedy at that.) Some people don't understand this movie or they might think it's 'SLOW' if their new to it...but if you have an open mind and you watch this a couple of times it will quickly become a favorite, it's pretty impossible for it not to be.Check it out..you WILL not regret it...man...",10,1,2,27 May 2007
Fight Club," The Best Film of all Time-Life Changing......
","How could a movie entitled, FIGHT CLUB be so deep, so complex, so witty, so flawless....I do not know but I have fallen in love with this movie almost a decade ago and make a point to watching it every couple of months.It is my all time favorite movie, a ten out of ten in every way.The twist is amazing, re-watches make a lot more sense each time and the acting by Pitt, Norton and even Carter put David Finchers Fight Club to a whole new level.My favourite film just ahead of Sixth Sense from 1999, and obviously it is as I just said it is my favourite ever.SO Quotable and so ground-breaking. How deep this movie is breaks all kind of boundaries.PLEASE see this with an open-mind and realize it is not all about fighting, although the CLUB is a major aspect of the film, hence the title.If I could of named it, I probably would of named it Tyler Dudren since it is about Pitts character quite a bit.Like I said I thought I would say something about my favourite film which is a 10-10 but I do not want to give anything away.ENJOY!",10,0,0,10 March 2013
Knocked Up," Realistic Humor, One of the best Comedies Ever Made IMO
","When I went to Knocked up oh, about six years ago in the theatre I was expecting a decent comedy at BEST. Maybe it was because of these low- expectations that it blew me away the way it did. I was not familiar with Apatow at the time although I have seen his other films now that I look back at his credits. I just thought to myself, here is the guy that was funny from 40 year old Virgin (Rogen) and he is getting his own movie, alright well see how this is. The trailer was not very good but I just wanted to be entertained, bottom line.Not only was I more then entertained, but this is actually a good all around film. Could of used without all the Spider Man 3 plugs but it is hilarious, almost every scene. I could totally relate to Rogen and his friends and with how realistic the dialogue was. It is vulgar but then again so is Dumb and Dumber and Something About Mary and are not they comedy classics...surely this is as well.Knocked Up is one of my favourite comedies and I think it is Rogens best film ever and he has had many good ones, in fact this is my favourite Apatow movie also.I re-watch at least a few times a year, Rudd is great as well but Rogen steals the show. This is his finest hour, I love so many of his lines in the flick!Check it out! Awesome movie.",9,0,3,7 March 2013
Horrible Bosses," The three Bosses were more entertaining then the three leads...
","What a great comedy this one was. One of the best of the last few years. I was laughing all the way through this one.But what really stole the show, was the three evil bosses. Jen Anniston FINALLY plays somebody other then Rachel, well I guess she was different in the film Derailed, but she is COMPLETELY original (for her) here.Kevin Spacey is awesome as always as the guy you just want to punch, or KILL I guess would be appropriate here.Colin Farrell is the most surprising one as the cokehead.The three leads had their moments but the bosses were the strength of this one. Very good indeed.A solid 8-10.",8,0,1,8 March 2013
Shutter Island," Awesome Film, Awesome Twist, Awesome Acting
","A film like this is appreciated with repeated viewings, much like the Machinist, The Prestige, Fight Club, Memento, The Uusual Suspects, The Sixth Sense, Psycho, Saw, Identity, basically anything with a real good twist.Not a lot of Scorcese movies have big twist outside the Departed but that was just because of what happens to the characters rather then a plot twist.The twist here makes so much sense. I have seen this film four times now and have liked it more each time.The whole movie you just want to know what is going on. You want to know why is everything so mysterious, why does Leo have these headaches, why are people being sketchy outside of it being a hospital for the criminally insane.A lot of visually striking, eerie shots in this film. Scorcese does a wonderful job as always, and Leo is Leo. Top notch acting, one of his very best performances.This movie is in my collection now and very high on my list. You will not regret seeing this movie, it is not for everybody but you cant help but respect it.A great, great story!9 out of 10",9,0,2,11 March 2013
Forrest Gump," Absolutely amazing in every Way. A top 10 film ever
","Okay, Tom Hanks literally is Forrest Gump and I could write for hours about how good his performance is but instead of doing that why not just briefly write about how perfect this movie is.A mentally challenged (although not fully retarded) man in Forrest who is slow on learning lives the American Dream all meanwhile meeting and being apart of some of the biggest American Moments of the last half century. Ebert was very right when talking about how good the editing in this film was, but not only was it the editing, it was the themes, the amazing soundtrack full of pure nostalgia, it all fit perfect.The Dialogue, quotes, script, acting, direction, music, cinematography were all AMAZING. This film is perfect.It is a REAL movie.It is a tear jerker.You need to put the past behind you in order to move on.I have worn lots of Shoes...It is funny how you can remember some things and some things you cant..Sometimes there just is not enough rocks...This film is incredible. Those above were just some of my favorite quotes.His running scene is a top 10 scene ever. This is a top 10 film ever. And a top 10 performance ever.This film won best picture over Pulp Fiction and Shawshank in 94. Enough Said.10-10.",10,1,1,10 March 2013
Burn After Reading," If you like the Big Lebowski from the Coens or Clooney, Pitt or Mcdormand
","You will like this.Also did I mention John Malkovich who is absolutey hysterical as the fired guy with a drinking problem who freaks out on everyone.What makes the Coens brothers films so successful in comedies is how irrelevant everything is.In the Big Lebowski it was the Dude (Jeff Bridges) having his carpet soiled, and a kidnapping plot with a lot of ins and a lot of outs, while his bowling buddies Buscemi and Goodman help him out.In this movie it is about Malkovich losing his job and then writing a book or a memoir about his life which Brad Pitt and Francis McDormand (both hysterical in their respective roles) steal and believe it is high, top notch CIA material they call Sh**. Malkovich informs them both their in over their heads but the stuff that takes place is just all too hysterical.The Coens have hit comedy gold again, them and Scorcese have to be my favourite directos out there. Nolan and Fincher I enjoy as well.Awesome Comedy here. Not for everybody but that is just how the Coens are. You appreciate it more when you realize the script is supposed to be irrelevant, there-in lies the comedy gold!",9,2,3,10 March 2013
American Beauty," Uh yeah, it is depressing but it is a PERFECT MOVIE and one of the most PUN:INTENDED- Beautiful movies ever!
","Kevin Spacey knocks his role out of the park.Anette B does very well also.The guy who plays Ricky Fits and Colonel Fits are both superb as well.It is a very depressing movie because it is all about people having a difficult time.But its only after disaster that one can come back to life better then ever.Once Spacey has nothing to lose you feel so good and he changes his entire life around. A motivation to us all.His closing sequence at the end is one of the most beautiful scenes in Film History, arguably the greatest ending to any movie ever.This movie is nearly perfect.It proves that no matter how bad your life is going, it is never to LATE to get it all back.One of the most important quotes we can all live by.",9,0,2,10 March 2013
