movie_title,title,review,rating,helpful,total,date
The Double Life of Véronique," Mesmerizing.
","Starring Irene JacobDirected by Krzysztof KieslowskiWritten by Krzysztof Kieslowski and Krzysztof PiesiewiczImagine if each of us is matched somewhere in the world, by our exact double - someone to share our thoughts and dreams.I loved this one. It is quirky, different and beautifully shot. There are no car chases or murderers on the run, just a wonderfully crafted and mesmerizing movie. It's a work of art as much as it is a movie and it had me glued to the screen. This was right up my alley, it's just the kind of oddball, quirky thing that I enjoy.Brilliantly acted by Irene Jacob and she is incredibly beautiful as well. I can't praise this enough. I must watch more foreign movies, especially directed by Krzysztof Kieslowski.Mesmerizing 10/10",10,1,4,31 October 2015
Changeling," A pretty dull affair.
","A mother is reunited with her missing child but she is convinced he is an imposter.Starring Angelina Jolie and John Malkovich. Written by J Michael Straczynski.Directed by Clint Eastwood.When I first read the premise of this I was drawn in. It sounded like it would be an interesting movie, especially as it was based on a true story.Sadly though I found whole thing distinctly average.The first thing that struck me was how lacklustre the acting performances were. Angelina Jolie was so robotic it felt like she was doing a terrible impression of Joan Collins all the way through the movie. And as for John Malkovich, I just wanted to poke him with a large stick to make sure he was still breathing.The whole production was dull and pretty lifeless. I wasn't surprised at all to get the to end credits to realize that it was directed and part produced by Clint Eastwood. He was a fantastic actor but maybe that doesn't always mean you will become a brilliant director? I'll have to watch more of his movies to find out.Only a few positive things I can say about Changeling.I really liked the exterior shots of LA in the twenties. I loved seeing all the old cars and trams floating about. So a big credit to whoever designed that. Also the only acting performance with any real life in it was Jason Butler Harner who sadly only appeared towards the end. His performance as Gordon Northcott was the film's saving grace. A bright light in a very dark and gloomy tunnel!6/10",6,0,3,21 November 2015
Skyfall," Best Bond film for a long time.
","I haven't been a great fan of Daniel Craig's Bond so far. He's a great actor and you can't blame him for any of the story lines but for me his first few films have been overcomplicated and unnecessarily pretentious.This is Bond back to basics though. Lots of great action sequences and a decent (not over convoluted) story line for once. The plot is good although it has a few ropey moments but that didn't detract me from my enjoyment. Every bond film has to have a few ropey plot holes, it wouldn't be Bond without them.I particularly liked the idea of Bond going back to his family home at the end of the film. It felt like we were learning a bit more about him and that's a great addition.Overall this is the best Bond film for a long time.",8,2,6,13 February 2015
The Hangover," Curl up on the couch and enjoy.
","Two days before his wedding a guy goes to Las Vegas for one last blow up.Starring Zack Galifianakis, Bradley Cooper, Justin Bartha and Ed Helms.Written by Jon Lucas and Scott Moore.Directed by Todd Phillips.There's nothing not to love about this. It is hilarious and the perfect thing to watch whilst curled upon on the couch. Get yourself some popcorn and a drink of your choice and enjoy!It is silly and well acted and it is so good and easy to watch it's almost over as soon as you've pressed play.If you want to have a giggle without having to think too much, this is perfect. I want to watch it all over again!10/10",10,1,2,10 December 2015
Erin Brockovich," Look up the word average in the dictionary and you'll find Erin Brockavich
","A woman's fight against water pollutionStarring Julia Roberts, Albert Finney and Aaron EchhartWritten by Susannah GrantDirected by Steven Soderbergh.When I read the tagline for this one I wasn't overly excited and I wasn't wrong.This is average at best. Everything about it spells the word average. Average story, average acting and an overall average production. I've seen much better courtroom drama's than this and I'm not really a fan of court room dramas.The story just about kept my interest but the whole movie seemed to drag and I was literally struggling to keep my eyes open. My son went to bed.Julia Roberts was better than I thought she would be but there are no Oscar winning performances in this one. Probably the most interesting thing about this film is that it's based on a true story and I will probably google it.6.5/10",6,0,3,9 August 2016
Citizen Kane," Something completely different.
","The rise and fall of a publishing tycoon and the search for a lost word.Starring Orson Welles.Written by Herman J Mankiewicz and Orson Welles.Directed by Orson Welles.I'm guessing this was way ahead of it's time. I've seen a few old movies but none like this.I found it really annoying in the beginning and the constant use of flashbacks and news reels was pretty off-putting. It did get better as the movie progressed and it more or less kept my interest, if only to find out the meaning of Rosebud!It was well acted and the story is okay. It was quite artistic and stylish and definitely something a little bit different.Maybe it doesn't stand the test of time as well as a lot of old classics but I enjoyed it.7/10",7,0,1,11 January 2016
Coraline," Incredible. Best movie I've seen for ages.
","A girl discovers a universe where her parents treat her like a Queen but all is not as it seemsVoiced by Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, John Hodgman and Robert Bailey JrWritten by Neil Gaiman (Novel) Screenplay written by and also directed by Henry SelickAt last a great movie!The whole thing is just incredible from the story to the voice actors to the unbelievably good animation. Right from the beginning credits ( which are superb by the way) this movie sucks you in and it doesn't matter how old you are. Neil Gaiman is gaining a top class reputation as a writer and this has all the hallmarks of his imagination. I haven't read the book or most of his books, so I don't know how it compares to the novel, but this works brilliantly as a movie in it's own right.I am in my forties but I enjoyed this movie just as much as any kid would. In my opinion it manages to create a magical world within a magical world much better than anything I've seen from the hands of Tim Burton or anybody else.It's fun and totally hypnotizing.10/10",10,0,0,9 August 2016
The Fan," An average film carried by a great actor.
","Sometimes baseball can be more important than life itself.Starring Robert De Niro and Wesley Snipes.Written by Peter Abrahams ( Book ) and Phoef Sutton ( Screenplay).Directed by Tony Scott.Sometimes a very average movie can be carried by one great acting performance.It's never been truer said than in this one. Everything else about The Fan is distinctly average. The plot has been done to death. Obsessed fan becomes a dangerous fan. Obsessed fan has newspaper clippings pinned to his walls. Obsessed fan resorts to murder.Most of the acting performances are average as well, including Wesley Snipes in what I'm guessing is one of his early acting roles. Or maybe it's more of a case of actors being miscast?I didn't buy the plot. For the first half of the film the main character is just a terrible husband that seems destined to screw up his relationship with his ex and his son. And then suddenly the movie jumps the shark and he turns into an obsessed fan with a pair of binoculars and a taste for murder. The whole production is a bit of a damp squid but Robert De Niro delivers a good performance that manages to stop the film from hurtling over the edge of a cliff.An average 6/10 but mainly because of Robert De Niro.",6,0,1,23 November 2015
About Time," Love Actually meets Groundhog Day. Good movie.
","A man discovers he can travel in time and sets out to find loveStarring Domhnall Gleeson, Rachel McAdams and Bill NighyWritten and directed by Richard CurtisWell I am a sucker for any movie that includes time travel so how could I resist this one?Okay it's more Love Actually than The Time Machine if you add a dash of Groundhog Day, but it's a really good feel good film. It's funny and witty in all the right places and it's really cleverly written. It more than keeps you interested for every scene. Normally I wouldn't really consider myself to be a rom-com kind of guy but this is an exception.Domhnall Gleeson as the lead is a little bit of a wimp and the part could easily have been played by Hugh Grant but that aside he still played a good part as did everybody else.This is one I would recommend.Enjoyed 9/10",9,2,3,22 August 2016
Cloverfield," Edge of your seat stuff.
","A group of friends in New York set out on a rescue mission but the city is under attack.Starring Lizzy Caplan, Jessica Lucas, T.J Miller, Michael Stahl-David, Mike Vogel and Odette Annable. Written by Drew Goddard.Directed by Matt Reeves.This is a movie that I've heard about but never got round to watching.I wouldn't say it was a truly scary movie, I didn't find it too scary, I didn't even get creeped out even though I watched it alone with the lights out.But it is really good. It gripped me from the beginning and it's real edge of your seat stuff. It's more exciting and entertaining than it is scary and it's a great twist on the old monster movies. It's like King Kong or Godzilla but an up to date and darker version. You just get to know the main characters enough to keep the whole thing going without getting bogged down with back story. You don't always know what is going on or which character is which but I guess that was intended because of the chaos that develops in the plot.The whole thing is allegorical of 9/11 just like Godzilla was apparently allegorical of the Hiroshima attacks and even some of the outside shots were based on TV footage from the tragedy. For me this movie worked although it's probably not everybody's cup of tea. The monster was well designed and the cinematography was terrific.A fun movie.9/10",9,0,1,18 December 2015
