movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," I wish I hadn't known
","When Blair Witch was released in Europe, it was inevitable to go to see it with a high level of curiosity and expectations, given all the rave reviews and incredible box office numbers it got in the States. Unfortunately, one of the things we were hearing about it was not correct: that it was a horror movie.Because I don't think it is, or at least that it doesn't respond to the perceived conventions of that genre. Blair Witch IS a superb exercise of growing tension, suspense and anguish, with an increasingly oppressive atmosphere which gradually grips you and drags you into the nightmare that these three kids, normal people like you and me, suddenly find themselves in. You know as little as they do, and you don't need any more, because your imagination does the rest. And your perception of the film gets even better the more you think and reflect upon what you have seen. I was entirely satisfied. But this is undoubtedly an arthouse film, and it seems to me that many people had misguidedly gone to see it expecting a slick, popcorn-friendly, Kevin-Williamsonish scare-fest with lots of surprise shocks and a blood-drenched grand finale. Which it certainly is not. Therefore, I can understand why so many complain about it having disappointed them so much.For me, only one thing could have made it better: having been able to see it without knowing it was fake, like the first people who saw it in the States did. When I came out of the cinema, a couple of ladies behind me, who had somehow managed to avoid all the hype and press coverage, were asking with worried faces '...but did they ever find the bodies?'. And I envied them deeply.",7,0,1,5 November 1999
The New World," Pure Malick... and it almost worked!
","SPOILERS GALOREI went to see this film knowing full well what I was getting into. I know that Malick's unmistakable style can be both a blessing and a curse; he is able to create absolutely beautiful scenes that have the power to stay in your mind, but his storytelling pace and his penchant for getting distracted with a tiny flower growing at the edge of the road can be infuriating. I was ready to be enchanted, but I also knew there was a high risk of, well, being bored. Still, it's Malick, and I had to see it. And the thing is, during the first half of the film, I wasn't bored at all, I was enjoying it tremendously. You could recognize Malick in every carefully constructed frame, of course, but I felt the pace was brisk (at least by his standards), things kept happening, and this story, about culture clashes, communication without words, life in the wild, and the assault on an environment, was an absolutely perfect fit for his particular filming style. And the falling in love was beautiful... nobody does intimacy like Malick. It felt like it was going to be a great variation of Romeo & Juliet (it even has the detail of the girl's brother getting killed by the enemy). And I thought I was finally going to thoroughly enjoy a Malick film from start to finish, something I've always wanted to do but have found myself unable to. But alas, it was not to be. And the problem for me was not in the pace, but in the story. We suddenly enter a second half in which John Smith leaves, and the love story is over. All we're left with is Pocahontas's loneliness, her progressive adaptation to western life, her passionless marriage to Rolfe, and the inexorable growth of Jamestown. Which is all fine, and I suppose also more or less historically accurate, but just not nearly as interesting. The story just loses its drive. And even when Pocahontas learns that her true love is still alive... well, nothing much happens either! So once again I found myself feeling bored, despite my efforts not to, and despite Q'Orianka Kilcher's magnificent performance. A pity then, because it is a fine film, as you would expect, but it feels to me like an opportunity missed. Still, it has many virtues and eventually I will want to see it again, because I know I always appreciate Malick's films better in a second viewing, when I'm aware of the turns that the story is going to take. And we're probably gonna have to wait 10 years for the next Malick film anyway..!PS: Oh, and I LOVED James Horner's music. I didn't know where to mention it, but I just had to say it!",6,3,6,25 February 2006
Mission: Impossible III," Breathtaking, non-stop action... sets a new benchmark for the genre
","M:I 2 was, frankly, crap, so I had difficulty finding friends who were willing to pay the price of a ticket to see this one with me. But I suspected that, after the disappointment that was the first sequel, they wouldn't have bothered making another one unless they had a really good idea for it. Boy was I right! I am a seasoned cinemagoer, and I love action films, so I've seen my share of them and then some. You'd think I would be ready to handle more or less anything a screen could throw at me...As I came out of the cinema from seeing this, with my mouth just gawping with awe, a friend in the group asked me for the phone number of another friend who wasn't there. And as I fumbled with the keys of my cellphone trying to find it for her, I realized why it was being so difficult: My hands were trembling. In fact, my whole body was feeling weak and shaky from all the pent-up tension. No other movie, ever, has done that to me.There is an old adage in movies that says that, to make a good one, you start with an earthquake and go upwards from there. Well, it may be a joke, but M:I 3 achieves almost exactly that. It is a smorgasbord of non-stop action, a roaring juggernaut which just never gives you a break to get your breath back. Every time you think it has reached a point where things will have to slow down, something happens and you're gripping the arms of your chair once again. Such is the abundance and quality of the action scenes, that at one crucial point of the adventure, the movie is so daring as to momentarily stop following Hunt's quest altogether (!), probably because what is happening at that time would look tame in comparison with with what comes before and after... And it's not just the action per se, you understand. All those scenes would mean nothing to the viewer if they weren't backed up by a gripping and twisty story, which this time includes such a personal element to it that it is almost impossible not to openly cheer for Ethan Hunt when he gets something sorted, or squirm in anguish when he seems to reach a dead end.I have always considered Die Hard to be the best action film ever made, but now I see this as the only contender strong enough to instill some doubts in that conviction. That's how good it is.",10,1,2,7 September 2006
Unbreakable," I'm sorry but M. Night Shyamalan has no sense of rhythm
","PLOT SPOILERS AHEADOK, so I didn't figure out the twist this time, even though it was basically the same mechanism as in the Sixth Sense (there's a gifted person and a mentor, what if the gifted guy's gift is applied on the mentor as well). And thank God for that, because if I had, again the experience would have been quite pointless. I admit this time I enjoyed it a bit more, one or two scenes stood out (the kid with the gun, Jackson facing the stairs) but still: The problem with Shyamalan's two films is that they are ideas, high concepts, which I think would be great for a short or a medium length feature, but they're just too thin for the two hour movie format. They rely too heavily on the final revelation to make sense, and while you wait for it to come, they lack any semblance of pace and go awwwwfully slowly. If at least Shyamalan was able to come up with other engaging plots to ease the wait, but his attempts (the stories of each ghost in SS, the shaky marriage and the psycho squatter in this one) are just too weak and go nowhere, on top of that Shyamalan seems to need to make time by coming back to things again and again (OK, I'll try my gift on the cameoing director and.. oops no, it didn't work. But after remembering something I already knew anyway, I'll try again and hey, what do you know, in two minutes I found a weirdo psychopath). I was downright bored at times and the only thing that kept me in my seat was the knowledge that Shyamalan would come up with something good for the end. But you know that's not the way it should be.I hope Shyamalan drops the formula for his next film and does something more solid, or else I'm going to stop buying the hype and wait for the videos.",7,0,1,13 January 2001
12 Angry Men," This film should be taught to children in schools
","Anybody in the world who wants or needs to learn something about the concepts of justice, democracy, freedom of speech, fighting against prejudice, reasoned thinking and plain common sense, should see this film. Which means that everybody in the world should see this film. And not just once, but every so often, so that we can keep reminding ourselves of how important these ideas are for a human society to work. Because, using the metaphorical space of a jury room, this is what this film talks about. Many others do as well, but none can reach the viewer as convincingly, with the power, the directness and heartfeltedness of '12 Angry Men'. And that is simply because it is so unbelievably good. This is a masterpiece on not only one but two accounts: Artistically, as the perfect script, the perfect cast and the perfect direction simply cannot be improved upon; the film grips you from the first ballot count to the last minute with such vice-like grip that you almost feel like you are right there sitting in the room with the jurors; and ideologically, as this unsurpassable quality and capacity to absorb the viewer gives it the strength to drive home a moral lesson worthy of a Martin Luther King or Nelson Mandela speech. I hope one day this film will stand alongside 'Catcher in the Rye' and the like in children's school syllabuses the world over, as I consider it one of the great Works of Art of the century and essential viewing for any person who wants to improve his or herself.",10,0,1,16 January 2001
Alexander," It may be as historically accurate as you want, but it's just plain boring
","It seems, as many reviewers in this section rave about, this film is surprisingly historically accurate for what we are used to in Hollywood epics (although not enough for some!). In that respect it is quite didactic, and I thank Oliver Stone for informing me about the life of a very relevant historical figure who, I admit, I didn't know well enough. But taken as a movie, and not a history lesson, I'm sorry guys, but it is boring as hell. And, before you start, I'm not yearning for less 'talky' scenes and more battle scenes. In fact, I found that even the few battle scenes (specially the second battle) became a bit boring in the end. I don't mind large amounts of dialog in a film, in fact I enjoy it (my favourite movie of 2004 was Before Sunset, which is nothing but a dialog), AS LONG AS IT IS INTERESTING TO LISTEN TO! And that's the problem here: much of what is said is just not interesting, because it is too convoluted, or too obvious, or too irrelevant, or too repetitive, or too arid, or too obscure, or too adorned, or just doesn't make any sense. And when you have to listen to this kind of dialog for three hours, you just get bored. Stone has fallen into the same trap as in Nixon: he doesn't know when to stop, when to cut, when to just hint instead of giving you speech after speech. In the end, his biopics become farragos, too arduous to follow. I prefer his lighter films, like U-turn, which may be less profound, but much, much more entertaining.",4,3,4,13 January 2005
Terminator Salvation," Visually spectacular, narratively nonsensical
","As a Terminator fan, I am divided. On one hand, it was undeniably pulse-quickening to finally witness the full rage of the war against the machines depicted with such brutal intensity. The action and the effects were just spectacular, and even though the design of the new robots obviously borrowed from other movies such as Matrix and Transformers, they were still pretty cool. Full marks to McG for the visuals and the direction of the action sequences. But on the other hand, I could not possibly forgive the veritable avalanche of trailer-truck-sized plot holes, which not only disrupt the internal logic of the film itself, but also severely contradict the previous films of the saga, particularly the first one, so close to my heart. Therefore, even though I really wanted to like it, ultimately I cannot approve this installment. Others not as concerned with the canon as myself might not be so bothered...",5,0,1,13 June 2009
Juno," Nothing... happens...
","'A 16 year old girl finds herself pregnant, and decides to give the baby up for adoption.' That might sound like the setup for a movie. You would assume that this sentence would be just the starting block for a story, and then lots of other things would take place. But not in this case. This sentence is actually the synopsis of the entire movie.There is almost no conflict at all in this story. Everybody loves everybody, everybody is supportive of everything, everybody is just fine most of the time; the one glitch that comes up along the way and which enticingly threatens to derail the proceedings, is swiftly resolved the next minute without much apparent consequence.So it's all very nice and heartwarming, but not really conducive to an engaging experience for the viewer. I'm not saying it is a terrible film, actually it flows along pleasantly (if you can put up with the inordinate abuse of quirky incidental music with absurd lyrics, which I sometimes had trouble with), but it barely makes a ripple as it goes.",5,46,94,6 February 2008
Match Point," Best movie of 2005, hands down
","The perfectly fine Crash may have taken the Oscar, and equally good Brokeback Mountain most other awards, but I would say that Woody Allen's first London film was without a shadow of a doubt the best one I saw last year. It is one of the very best Allen has ever made, and that's saying a lot given the man's impressive record. It just kept me constantly on the edge of my seat, asking 'will he or won't he?' at every turn, at every situation and every decision that the despicable character Chris Wilton had to face (and the terrible thing was that I'm pretty sure myself I would not be able to resist the temptation posed by Scarlett Johansson's ravishing beauty, so I couldn't help but empathize with his predicament a bit...). And the ending. Oh my God. What an ending. I didn't see that coming and it was fantastically clever. The film really drove the (very real) point home of how luck plays such a part in everybody's lives... The only weak link in this masterpiece was Jonathan Rhys Meyers's performance; I found him flat and at times not quite believable in his delivery. My girlfriend suggested that this might be due to his efforts not to speak with his Irish accent, and it might be true, for he speaks with an English accent (which is weird, because his character is supposed to be Irish!). This minor glitch is what reduces my grade for the movie to a 9 instead of a perfect 10, but it is minor enough for me to still consider it a masterpiece and recommend it wholeheartedly to everyone.",9,2,4,15 March 2006
Sweeney Todd: The Demon Barber of Fleet Street," It managed to turn me to the dark side for a little while there...
","I am not a big fan of either Tim Burton or Broadway musicals, so a combination of the two sounded VERY unappealing to me and I avoided this film for a while. Just a as expected, when I finally sat down to watch it, for the first twenty minutes or so I could hardly stand it, and was very tempted to just stop the DVD player and forget about it. But I decided to hold out until my beloved Sacha Baron Cohen showed up (I'm a big fan of the guy), just to see him, and then the plot started to kick in, and slowly but surely I found myself having to admit I was being entertained (apart from Cohen's appearance, the mid-movie song about the various professions was another high point). The movie indeed gets better and better as it advances to its tragic, macabre climax, and that final image before the credits was rather haunting. So, still no masterpiece in my book, but I'll concede I'm glad I saw it.",6,1,3,24 May 2008
