movie_title,title,review,rating,helpful,total,date
The Twilight Saga: Breaking Dawn - Part 1," An overload of swoony, cheesy romance, but that doesn't make it not good.
","The twilight films are always going to be the easiest film franchise for people to make fun of, but honestly I don't think they are that bad, well New Moon was pretty bad, But Twilight, Eclipse and this are all rather good. People have complained that the story is split in to two parts but I think for a book as long as Breaking Dawn there's no other way it could be done.Being split in two parts allows the first film to concentrate on the very melodramatic but still nice romance between Bella and Edward, the wedding and honeymoon scenes are quite lovely to watch. I'm guessing that all the action is being saved for Part 2, which is wise I think, putting it in this film would have been too much I think.This is easily the darkest and most adult of the franchise, it has some truly awesome scenes, in particular the dream sequence at the beginning and the birthing scene, they are both pretty messed up. The only thing I can say is bad is the acting by most of the cast, Kristen Stewart is the only one with any type of acting ability,this may sound silly but I think if this weren't a twilight film people would be wowed by her performance, she's exceptional and the heart and soul of the film. The same can't be said about Ashley Greene though, she is a terrible actress *ahem Summers Moon ahem*, she's kinda laughable as with the rest of them.The sex scene is a bit of a cop out, but we can always hope and pray for a directors cut DVD. Hooray.",9,2,10,30 November 2011
The Hunger Games," Jennifer Lawrence was born to play Katniss.
","When the wonderful Jennifer Lawrence was cast in the much coveted role of Katniss Everdeen there was a lot of uproar from devoted fans of the novels on which this film is based, I however think that she is perfectly cast. From the early images which surfaced online all the way to the trailer and the final poster I thought she looked the part, and after seeing the final film it's safe to say she nails every facet of this wonderful character. Miss Lawrence is a supremely talented young actress and it's great to see someone with mega talent being rewarded by getting the big roles. She just absolutely nails it as Katniss, from the emotional side to the violent tough side, she is the character.The movie itself is a fine adaptation, all the best parts of the book are present and accounted for, a few bit and pieces have been omitted but it doesn't affect it majorly, the beginning of the story is set in a barren land known as district 12 and it is presented exactly how I imagined it, this chapter is only slight though which is really the only disappointment, i would have liked to see a bit more of that but oh well, the middle part of the story is hilarious with Stanley Tucci stealing every scene, again the eccentric Capitol is presented in great detail, again exactly the way I had imagined it while reading the books. And finally the third act, the one every has waited for is a truly action packed adventure, it's non stop action and you don't fare tear your eyes away even for a second.The romance element is very very slight and not overdone thankfully, I'm glad they didn't over do that, the rest of the cast are mostly great, Josh Hutcherson is nice to watch and you care about him just as much as you do Katniss, and Elizabeth Banks like Stanley Tucci is a scene stealer and great comic relief.All in all the film is excellent, a great book has been treated with care and it's paid off, fans of the book and just general movie goers will love it. Excellent excellent excellent.",9,11,32,21 March 2012
"Crazy, Stupid, Love"," Not as great as everyone says but it's still a notch above the usual romantic comedy.
","After seeing the trailer a million times at theaters I was looking forward to seeing Crazy Stupid Love as it has one of my favorite actors in it, Julianne Moore. It looked to me like a smart romantic comedy for adults with a bit of an edge, which is exactly what it is, the story is fresh and appeals to a broad age range, the Steve Carrell/Julianne Moore storyline appeals to the older married demographic and the Ryan Gosling/ Emma Stone storyline appeals to the younger hipper generation.Steve Carrell gives a terrific performance as the poor guy whose life just seems to go from bad to worse, I think he will be nominated for a golden globe or something like that, he is a very funny guy to watch no matter what role he is in, the rest of the cast is fine also, Miss Moore once again proves she us an actress with a spectacular, Ryan Gosling and Emma Stone have excellent chemistry together which makes them entirely believable as lovers, however one person steals the show and that is Marisa Tomei in all her nutty glory, her scenes are exceptionally funny but they are too few and far between.This movie does have it's flaws, the end twist is too far fetched and unbelievable, I think it would have been better if they gave you some clues as to how the story all comes together in the end, the Gosling/Stone relationship isn't given enough time to make you really care, and also it's a tad too long. But other than that this is a nice, funny and overall enjoyable film to watch.",6,19,28,8 October 2011
Midnight in Paris," Just like the 20's, this film dazzles in every way.
","The trailer for Midnight In Paris is so deceiving, I saw the trailer and thought oh great another film about Paris, the city everyone but me seems to love, but the when I sat down to watch it I was so pleasantly surprised at just how different this movie is to what you would expect.Firstly I have to say that the story of a man traveling to another era after midnight is terribly clever, it took me a second to realize that the main character has actually time traveled and hasn't just run into people who are dressed in 20's attire for the evening. It's even different to the usual Woody Allen material, it's highly original in every way imaginable.The cast in this movie is exceptional, I'm not usually an Owen Wilson fan but I found him wonderfully likable, he is so at home in this type of film, it's nice to see him in an intelligent comedy and not a cheap silly one. The entire supporting cast are wonderful, Rachel McAdams playing against character is great at making you dislike her character almost instantly, the same can be said for Michael Sheen, the 2 supporting cast members who were the best were Alison Pill as Zelda Fitzgerald, she's hilarious and just plain fantastic, Marion Cotillard is lovely and sweet as well, all of them are great, they all get a great scene, another worth mentioning is Adrian Brody as Dali, another hilarious encounter. Woody Allen sure knows how to write fir all his characters, no one is left unmemorable.It's kinda hard not to like this movie, I loved it in every way, I hope you will too. The best Woody Allen film since Match Point. :)",10,2,6,10 October 2011
Horrible Bosses," Jennifer is EXCELLENT. The rest is lame!!!!!
","I never thought I'd say it, but yes, Miss Aniston is the only thing great about this movie. If it wasn't for her tremendous comic timing I would have fallen asleep plenty of times throughout Horrible Bosses, it's great to see her playing against character.The rest of the movie is pretty mindless, the 3 male leads are flat, the gags are cheap, the ending is so far fetched I felt insulted the filmmakers expected us to fall for it, with each new movie I see Jason Sudekeis in I dislike him mote and more.I think in a better directors hands this movie could have been great, also replace the 3 leads and it may have been a tad better. There's not much else I can really say, it's just so disappointing. I do hope Jennifer Aniston dies more roles like this though, she shines.Thoroughly disappointing.",2,5,11,30 August 2011
Hugo," Lush, beautiful to watch, great acting but a tad boring in parts.
","Hugo has been lauded as a modern masterpiece and I can totally see why it has got the great rap that it has, Martin Scorcese is a director who doesn't do anything half great, it's always perfect and exceptional, and Hugo is no exception to that, however I do think that there is a severe lack in plot. The gorgeous look and feel of the film didn't override the fact that for 2 thirds of the film I was somewhat bored and uninterested, the plot doesn't seem to really take off until the third act, after that it is a truly wonderful film going experience.The production of this film is just exceptional, from the opening scenes of Paris to the closing scenes of the automaton the way the film looks can simply take your breath away. The music is divine and beautiful to hear as it is perfectly suited to the time and place. And the acting is wonderful, Asa Butterfield who is in pretty much every scene is a great young actor who I'm sure will be mega, and Chloe Moretz impresses with a very different role to her usual roles, she is already huge and just seems to get better and bigger, she will definitely be winning awards very soon I think, and the supporting cast are swell, none really standout but they are all great.A few other things I had a problem with was continuity. I picked up on quite a gee things that didn't match up, and also Emily Mortimer's role was very underwritten, I think for a tiny part such as hers it should have been played by an unknown, not a distinguished actress who is far beneath a tiny role. I mean if you can forgive it for it's few tiny flaws, it's slow pace and it's lack of plot you will really enjoy Hugo, it does pay off in the end.But really it's worth seeing purely for the way it looks, and in 3d it's even more beautiful to watch. Give it a go. I'm sure you will probably love it.",6,19,35,18 January 2012
The Girl with the Dragon Tattoo," Rooney Mara carries the whole film, and wow does she carry it well.
","Everyone had their pick of who they wanted to play the Lisbeth Salander in the American remake if The Girl With The Dragon Tattoo, there were slot of really big names and a lot of great actresses who came very close to bagging the role, but Mr Fincher did the right thing and chose a little known actress who had the acting chops to make this difficult role something memorable, it must be said that Rooney Mara is phenomenal in this movie, I would go so far as to say that she out does Noomi Rapace, which is saying slot because she was also amazing in the original.Remakes of foreign films are either hit or miss, sometimes they can change it too much and it is just lame, or sometimes they can stick to closely to the original and it seems kinda pointless, this remake however is pretty much perfect in sticking to the story but bringing it's own little bits and pieces to it that make it different, it's pretty much the exact same storyline and all important scenes are almost identical, it's just the right amount of same and different. Daniel Craig is rather good as Mikael Blomkvist, but he really us no match for scene stealer Mara.Sweden is shown in all it's freezing cold glory and it's presented in an equally inviting and non inviting way, im glad that Fincher decided to keep it set in Sweden and not transfer it to America, it wouldn't have the same vibe if it were any different. Another awesome thing about this film is the epic opening credits, your eyes and ears are attacked by dripping tattoo ink and Miss Karen O's screeching voice, it's truly epic and sets you up for the film you are about to watch.Fans of the original and fans of Fincher will be impressed, it is a worthy remake of an already excellent film but it also stands as a film on it's own. And long live Rooney Mara, she is the pure driving force and Im praying they remake all 3 films as her as that character is acting gold, so tough, so perfectly cast.Check it out.",6,7,17,20 December 2011
Drive," A great film which surprises right up until the very end.
","When I recently saw Drive I went in with not much of an idea of what it was about, just that it had Ryan Gosling in it, he's one of my favorite male actors so I was happy to watch a film with him it. The storyline is something very different than what you'd imagine, once the plot gets going it's certainly a story you are interested in seeing unfold.Mr Gosling plays a tough as nails and confident as he'll Hollywood stuntman who doesn't say much, but in trying to help out his friendly neighbor gets himself caught up in a crime ring, and let me tell you these crime guys are people I'd never want to be associated with. The are read badass guys. But like I said, Mr Gosling is a tough bitch.I found the film to be quite beautiful to watch, it has a stillness too it similar to someone like Sofia Coppola or David Lynch, the use of David Lynch's composer is a mega plus also. The female characters is the film are somewhat underused which is a tad disappointing because Carey Mulligan and Christina Hendricks are great talents, Hendricks has a bit more if a gritty role but both the females are fine with what they have to work with. Another great thing about this movie is the slow techno soundtrack. So if you're after an intelligent film that isn't just car chases and race scenes and more of a quiet study of humans, this one is for you. Enjoy.",7,0,2,5 October 2011
The Mist," A good film in the long list of mediocre Stephen King films.
","The first thing that must be said about this movie are three little words, Marcia Gay Harden! She is phenomenal! Her performance in this movie is probably the best I have ever seen her. Not very often does a supporting character out shine every other cast member in a film and that is exactly what she does in this movie.So I'm sure I'm not alone in saying that in recent years the film adapted from Stephen King novels have been extremely underwhelming, so it's good to see one that hits the mark. The story is adapted from a novella about a small town that is overtaken by a mysterious fog that inhabits supernatural beings, who I might say are chilling.Thomas Jane is great as usual as the leader of a group of people who escape from the mist in a local supermarket. The film is primarily about the must and what horror it has brought to the town but there's another element if this film which is great, the human instinct to turn against each other in stressful situation, this is when Marcia Gay Harden really starts to shine, her character, the psychotic and super religious Mrs Carmody is equally as terrifying as the beings that inhabit the mist.The production of The Mist is excellent, the scenes where the locals venture out of the supermarket into the mist is so edge of your seat stuff. Excellent.It's great to see a horror film that doesn't rely on blood and guts to produce the scares... A+",7,0,1,26 September 2011
Friends with Benefits," A comedy like all the rest, but still fun.
","Who doesn't love Mila Kunis? Not many people! She's so compulsively watchable that it's hard to think of an actress more popular with males AND females at the moment. Her teaming up with JT makes Friends With Benefits everything No Strings Attached wasn't. Obviously the two films have the same plot line, there are a few bits and pieces which are different but all in all pretty much the same, the characters in this film are so much more fun, sexy and worth your time.There's a bit more raunch in this movie which I think adds a lot to the plot, the fact that the characters actually do seem like friends is definitely a plus for this movie, for me the chemistry between Mila and JT is electric.Full props to Justin Timberlake too, he gets better and better with each film, he has made the transition from music to film quite well. Patricia Clarkson is divine as usual, I take it that she's a friend of the director, now being in 2 of his films, the other being Easy A, she is fantastic in these wacky parent roles. Speaking of Easy A, Emma Stone's cameo at the beginning of the film is priceless...... I was on the ground in stitches, I've been yelling 'John F**kin Mayer' at random times ever since. Love Emma Stone!!!!!!!!!!In closing, Friends With Benefits is a fun romp to be had with friends or your partner, it towers over NSA in spades. Well worth the price of admission. :)",6,2,5,23 August 2011
