movie_title,title,review,rating,helpful,total,date
The Rock," Patently unrealistic plot but many spectacular crashes and explosions
","The plot is laughable, with as many holes as swiss cheese, but the acting is good and the action fast paced. The basis for all of the action is an extortion threat against the government. In exchange for $100 million in payments to the families of marines who died on secret missions and thus (supposedly) were never recognized by the government, a bunch of renegade marines led by a highly decorated, capable, experienced marine general will not destroy San Francisco.Before the movie begins this renegade marine combat unit captured the former Alcatraz Island Prison, 'the Rock,' and has about 80 civilian tourists hostage on the island. They also brought with them surface-to-surface guided missiles and missile launchers(on the Alcatraz ferry or some other unstated means of transport). Although the US military has no weapons with lethal chemical or biological warheads, the missiles in this movie are armed with deadly mass destruction chemical warheads. The missiles apparently have aerodynamic controls, and are not ballistic missiles, because they can radically change direction in mid-flight. As such, US fighter aircraft, if deployed in time, could easily shoot them down after they were launched, but that solution is not considered in the movie. (Perhaps the chemical would be released into the city's atmosphere even if the missiles were destroyed in flight, but the possibility is not even discussed by the authorities. Nor is the option discussed of using the military's knowledge of the missiles' remote control communications to redirect the guidance systems via appropriately coded radio commands.) The major action is then about a seal team's attempt to forcibly recover and disable the missile warheads. A second action sequence is the escape of the Sean Connery character, who is a prisoner held incommunicado by the White House, and a violent chase through the hills of San Francisco with lots of crashes and fireballs.The premise of the script has major problems. In any extortion threat, both the criminal and victim lose once the threat is carried out. That is, once executed, the bad guys no longer have bargaining power. For extortion to work the victim has to believe that whatever he is afraid will happen will occur if he does not comply with the criminal's demands, AND WON'T occur if he does comply. That point is lost on the criminally insane marines commanded by the Marine General, ably played by Sam Harris, and by the inept or uncaring script writer. The bad marines want the money and think that if they launch the missiles after their deadline is up that the government will then send them $100 million, like paying a ransom AFTER learning that a kidnapped victim is dead.Another problem with the scenario is that the script fails to address how the bad guys expected to be able to have access to the $100 million even if the government agreed to give it to them. After all, they would still be on an island in the middle of San Francisco bay. The government could transfer money to accounts designated by the criminals, but the government could also then freeze those accounts or arrest anyone who tried to use the money. The plot outcome is also predictable. The character played by Nicolas Cage is obviously going to be the hero who will survive. Whether Sean Connery will also survive is not as sure, but it is easy to predict that he will not fail in his mission. Also, there is no doubt that San Francisco will not end up being destroyed. In the movie the government elects to keep the threat secret, so as to prevent panic among the citizens. The movie could have been made more interesting by having the government experts argue over notifying or not notifying the public, and, if the decision was to notify the public, whether to recommend evacuation or the alternative of staying indoors with wet blankets covering windows or other places that outside air could get in. (This was what Israel advised its citizens to do in the first Gulf War when under attack by Iraqi modified SCUD ballistic missiles.)I know crashes and explosions are expensive and dangerous to produce in a movie, but having seen many of these I find new ones rather repetitive and boring and not a reason to see a movie. I'd prefer the producers had used the money instead to get a better script.",2,4,9,8 April 2007
Love and Death," Not very funny
","I'm a big fan of Woody Allen, but I found this one boring to the point that I considered not watching the whole thing. But it got better and I'm glad that I saw it through to the end. The most interesting parts for me were when Woody's and Diane's (still in her hippy period) characters debate philosophical meanings. Is there a God and does He care about us? What is love? Are moral standards absolute? In 'Love and Death' Woody Allen relies more on physical (as opposed to cerebral) comedy than he does in his Annie Hall and subsequent masterpieces. For example, Boris being accidentally shot from a cannon and weapons that break when Boris tries to use them. There are plenty of individual Monte Python quality comic bits, but that kind of comedy has for me by now lost what edge it once had. Much of comedy comes from the unsuspecting audience being surprised by the punch line. Of his early films that use a lot of physical comedy, I recall really liking 'Everything You Always Wanted to Know About Sex.' I haven't seen it in decades (perhaps not since it was first released) and wonder if its humor still works today? However, some of the shticks in 'Love and Death' still feel fresh, such as the comically attired Angel of Death, and the messages that newly dead people give to our protagonist. Some of the physical comedy bits, such as Boris being accidentally shot from a cannon, reminded me of Buster Keaton. Buster Keaton and Ernie Kovacs (his early TV show) were the best at physical comedy.",4,2,6,2 August 2008
Howl's Moving Castle," Regular viewers won't care that film students and professional critics think it not as good as Miyazaki's earlier work
","I caught this wonderfully animated family film when browsing Independent Film Channel (IFC) on cable TV in 2009. IFC claims all the films they shown are uncut. I had no preconceived ideas about the film, never heard of it before hand, and was not familiar with director Miyazaki or his previous work. So my review is based on how I felt about the movie, not how it stacks up against classics or film technique.Although I am an elder adult and watched it alone, not with my grandchild, I found it engrossing and enjoyable. (Although it is as suitable for young viewers as 'Snow White' and 'Sleeping Beauty.') The story, an anti-war fantasy or fairy tale, was original and unpredictable, which I like. The wizard Howl (who turns out to be the main male character of the film) says at one point something to the effect of 'The problem with a war between rulers is that the bombs fall on the innocent civilians.' The villains turn out to be complex, not just pure evil, and sometimes not evil at all. The scenery and costumes are done as a period piece, sort of Victorian era Europe. Even if just viewed as a series of still paintings with no story they would still be interesting to look at.In keeping with the imaginative story, I think with some imagination they could have come up with a more romantic English title than 'Howl's Moving Castle.' The moving castle certainly is interesting and plays a huge role in the story, but I would have liked something that suggests a struggle between wizards, a struggle over love and hate, and a struggle over war and peace.",8,1,2,9 September 2009
The Incredible Hulk," Even the special effects stink
","If this version of the Incredible Hulk was done in the fashion of an animated cartoon perhaps I would have liked it better. Graphic artists really know how to draw monsters.Here the monsters look like some kind of monster suit a kid might get for Halloween. They are so obviously artificial! The special effects of the monsters throwing cars about also seem ridiculously artificial. Am I being picky expecting a comic book character to appear realistic? Well, they did it in the original TV series. They used a simple technique. Instead of costumes (or whatever) the TV series used super-sized Lou Ferrigno as the hulk, just painting his skin green. But a Ferrigno sized hulk apparently was too small for the makers of this film.In the interests of full disclosure, I have to admit I am not a big fan of action films. There are some I liked, including about everything by Quentin Tarentino. I liked Superman and Batman films, but got bored by too many sequels. But the main reason I wanted to see the Incredible Hulk was to see how the they handled the transformation, expecting something outstanding what with all the technology advances made in the past decade.",1,6,12,8 August 2009
In Bruges," Think 'Pulp Fiction' but darker
","We visited Bruge once. Its memorable and exhausting spiral staircase medieval bell tower is featured in this comic tragedy. There is even a glimpse of the rope that substitutes for a banister. Some of the action also takes place on its canals.'In Bruge'has something of a film-noir feel, but with humor added. The 2008 film's story about Irish hit men (Brendan Gleeson and Colin Farrel) brought to mind Vincent Vega (John Travolta) and Jules Winnfield (Samuel L. Jackson) in 1994's 'Pulp Fiction.' But I thought 'Bruge' a darker movie. It seems more tragic, and the humor more subtle, than 'Pulp Fiction.' Still, the more I think of it, the more I can see similarities. For example, in both films lesser criminals make the mistake of crossing paths with them. 'In Bruge' has encounters with incidental 'color' characters who show up again later in ways more significant to the plot.From other reviews I now guess the hit men are supposed to be part of a criminal gang; however, my initial impression from their skill, discipline and ethics (accidentally killing innocents is a violation of their code) was that they were an IRA cell.I thought the movie dragged a bit in the beginning, but then picked up steam.",9,0,4,14 December 2008
Unbreakable," Unbreakable is barely bearable
","Some other reviewers have compared this to the 'Sixth Sense,' an earlier movie starring Bruce Willis. The problem is that the writer and director of the Sixth Sense knew what their story was about and developed it beautifully. This is not the case with 'Unbearable.' The director put together a film that is dark, dreary and slow paced, with an irritating omnipresent dirge as the sound track. The story is disjointed, confusing and unbelievable. I mean at times I thought it was supposed to be some avant garde surreal or experimental film, where everything is some sort of symbolism. I usually don't get what the director is trying to say in those modernistic movies. Unfortunately, 'Unbreakable' was not that good and no easier to follow.Bruce Willis plays a security guard with a wife and child that he is apparently simultaneously estranged from and living with. In college he had a promising football career until he and his wife (its not clear whether they were married yet) were in an auto accident that ended his football career. Most of the movie is spent with his son and Samuel Jackson (playing the security guard's polar opposite, a brittle boned and accident prone comic book collector, trying to convince the security guard that he is really supposed to be a superhero.Eventually he is convinced to spend an evening as a kind of vigilante looking for some evildoing to thwart, sort of like a neighborhood watch volunteer who goes on patrol with no cell phone to call 911, no flashlight, and no weapon. We are shown a brief sequence of crimes that he ignores. In addition to being 'unbreakable,' he is apparently unwittingly psychic and gets some idea of who is thinking about a criminal act. At about that time we hear one of the family say something such as 'at last its over.' I hoped that was the final scene but no such luck. There is a final twist which apparently we are somehow supposed to figure out from newspaper clippings on a wall. It is clear from his horrified facial expression that the security guard understands the twist and then lets the audience in on what the clippings mean.The only reason I didn't shut this off before it was finished was I had invested time watching it and wanted to at least learn where the director was going with this. What a waste of good actors!",1,5,9,28 March 2009
Seven Years in Tibet," A Tibetan version of 'Lawrence of Arabia.'
","Like 'Lawrence of Arabia', the scenery (Tibet and the Himalayan Mountains) add to the appeal of this film. But there is also a story line connection -- a British office/Austrian mountain climber with personal psychological issues becomes adviser to Prince Faisal/the Dalai Lama. That's about as far as I can stretch the analogy because Lawrence led the Bedouins to victory over the Turks while Heinrich Harrer (Brad Pitt) was not a military adviser and Tibet was had no victory over Communist China. I thought that Brad Pitt did a splendid job of showing arrogance, disdain and sensitivity at the appropriate times of the story. David Thewlis is perfection as Peter Aufschnaiter, a more disciplined and sensitive leader of a German mountain climbing expedition. Harrer, who already is recognized as a champion European climber, is a member of Aufschnaiter expedition to conquer Nanga Parbat in British India. During the climb they encounter adverse weather conditions. Harrer want to continue to a higher level that he hopes will be above the storm, but team leader Aufschnaiter insists on descending instead. At the bottom they are imprisoned as enemy aliens as World War II has begun and Germany is now an enemy of the British. (Note:Austria was annexed into Germany before the Allies declared war on Germany.) They plot to escape but have limited options of where to escape to. Tibet is the closest independent nation but no foreigners are allowed in Tibet.",10,1,2,19 March 2014
Black Book," World War II from the viewpoint of a resistance fighter
","There have been many films about World War II's European Theater. Among the best ones I can recall at this moment are 'Saving Private Ryan,' 'Schindler's List' 'The Great Escape,' 'Patton,' and 'The Longest Day.' But none of these were from the viewpoint of a resistance fighter. 'Black Book' fills that gap and is as powerful a film as any of these. Unlike the others, this one apparently is a work of fiction. Because the film is a flashback from a kibbutz in 1956 Israel, we know that the protagonist, Rachel Stein aka Ellis de Vries, survives the war. But what she goes through to survive is so dreadful and yet seems so believable. The story keeps you at the edge of your seat all of the time. I don't think there is a dull spot in it. Sometimes it is the suspense of will the partisans accomplish their mission or will they be caught. When battles break out who will survive? If that is not enough to keep you alert, there is also a considerable amount of nudity and debauchery. The film is mostly believable, but by the end there are so many twists and betrayals that it loses some credibility. However I didn't realize how far fetched it got until it was over and I began to think of all that happened and why the Nazis didn't just destroy the resistance cell without waiting for the partisans to attack before springing their trap. As done, the Nazis as well as the partisans suffer casualties in the traps the Nazis set for them. Nevertheless, the chaos at the end of the war with vengeance seeking Dutch mobs and with the victorious allies (Canadian soldiers were the liberators) trusting the wrong people seemed all too realistic. Carice van Houten is terrific as Rachel Stein/Ellis de Vries. Although much of the film is in German and Dutch with English subtitles, there are times when it is appropriate for English to be spoken.",10,2,5,11 February 2009
MASH," Sally Kellerman was key to this movie's success.
","I just finished watching the movie (whose title, like the TV show that started in 1972, was spelled M*A*S*H) and found it just as good as I had remembered from seeing it, originally, in the movie theater. I also have read the book on which the picture was based, and have seen many episodes of the extraordinarily popular TV series.  I liked the movie much better than the series, while recognizing that the series was better than other seriocomic TV series.  As everyone is aware, M*A*S*H was more about the Vietnamese War than the Korean War it was set in. In many ways the series was more serious, more blatantly anti-war, than the movie.  But there are many serious anti-war undercurrents in the movie, such as blood pulsing from a patients mouth during an operation, the shots of the the football players smoking grass on the sidelines, and even the long hair and facial hair of the doctors.  Audiences in 1970 were not used to graphic depictions of woumds and surgery.  Pot and long hair were 'hippy' make love not war symbols.  So it was definitely an anti-war movie.
But the reason that I am posting this comment is that in my recent viewing of the picture I first realized how critical Sally Kellerman's performance was to the picture's success,  She is not only damn good looking but her acting is terrific.  While her cheer-leader scenes help keep the picture from stalling during the football game, it is her initial arrival at the base, and, later, her bathrobe clad complaint to Col. Blake, that attracted my attention regarding the quality of her acting.",9,0,3,17 July 2003
Pan's Labyrinth," Engossing but not for children
","This film is often called a fantasy. Fantasy is correct only in that a part of the film takes place in the imagination (or, delusion) of a girl who is escaping from the horrendous reality of a brutal civil war in which fascists were the victors whose dictator (Franco) ruled Spain long after the end of the German and Italian fascist regimes. It is definitely NOT A FILM FOR CHILDREN. Aside from the fantasy portion being mostly as dark, ugly and dangerous as a horror movie, the lengthier reality portion presented chilling shots of torture and an unfeeling sadistic commanding officer.Nevertheless, for adults, it is an engrossing, if disturbing film. Although in the film the leftist Republicans have a local victory, defeating the Fascist military unit sent to hunt them down, in real life the war ended with the victory of the right-wing rebel forces (with military support from Nazi Germany), the overthrow of the Republican government, and the founding of a dictatorship led by General Francisco Franco. After the civil war ended in April 1939, all right-wing parties were merged into the single Fascist party of the Franco regime.I read where there were parallels between the fantasy and the reality portions of the movie. Perhaps the moral is that despite the real death of the heroine (the Republican regime), it was not completely forgotten and eventually its sprouts and blossoms grew again.",10,3,12,30 September 2009
