movie_title,title,review,rating,helpful,total,date
The King's Speech," A good period piece
","Tbe king finds his voice (The Kings Speech)is a feel good movie about a man who finds his voice and along the way finds the strength to be king. The movies plot is King George VI(Colin Firth)has a speech impediment and his wife(Helena Bonham Carter) seeks help from Lionel Logue(Geoffrey Rush)who takes on the case. The story tells how he becomes king and finally finds his voice to lead the realm into war.The film looks good and much detail is made to make it feel like the 1930's the acting is top notch especially Geoffrey Rush's part. the downside is that the subject material is just not all that exciting, to me the movie comes across something I would see on Masterpiece theatric/Grade C-",7,0,0,7 May 2011
Black Swan," a journey into madness
","A ballerinas journey into madness. Black Swan is a riveting tail of a dancer Nina Sayers (Natalie Portman) who gets the lead role in Swan Lake/ leading up to her debut of the show she becomes more paranoid eventually loosing her grasp on reality. Expertly directed by Darren Aronofsky he really makes the journey into madness all to real, The story starts out with Nina living at home with a controlling mother(Barbara Hershey) who lives life through her daughter. Thomas Leroy(Vincent Cassel) is producing a new version of the classic Swan Lake. Nina wins the lead but while able to do the white swan is having problems with the black swan do to her inability to be passionate. In the meantime a young dancer from San Francisco Lilly(Mila Kunis) is made her alternate and she starts becoming paranoid that she is trying to steal her part.The movie moves along at a good clip and you see the dark side of being a ballerina.Grade A-",9,1,2,7 May 2011
The Birth of a Nation," A piece of history
","Watching this movie is like being placed in a time machine and being transported back to 1915. I was absolutely shocked that president Wilson thought this movie was historically accurate. The first half was fairly true to the civil war, but the second half is complete fiction.The movie is about 2 families one northern the other southern. The kids are great friends and it shows how the war and reconstruction affected both of them.The movie was the first feature length feature film made in Hollywood. Griffin used the most advance techniques available at the time, and really helps keep the interest of the movie going. The racist overtones of the movie is a look at what was acceptable in parts of America just prior to WWI. It is strange by the time this film was made the klans power was waining, but prejudice was still so commonplace, otherwise the film would not have grossed as much as it did.",7,0,2,20 March 2011
Inglourious Basterds," A good but not great film
",Quentin Tarantino's alternate take on World War 2 is a mix of the old Hollywood western and B movie gore fest. The story has 2 plot lines one is Shosanna Dreyfus / Emmanuelle Mimieux(Mélanie Laurent) who escapes being killed by Col. Hans Landa(Christoph Waltz) she then makes to Paris where she inherits a cinema which is chosen to premiere a propaganda film where all the top Nazis are in attendance and Shosanna plans to burn down the place killing all the Nazis. The other story revolves around the Basterds lead by Lt. Aldo Raine(Brad Pitt) who are tasked to kill Nazis. They get wind of the premiere and plan to kill all the top party officials.The film has a feel y spaghetti western with parts of old spy movie thrown in. The movie is way over the top in showing violence a Tarantino trade mark. I must say the first scene is the best one where we really get to see Waltz shine as an actor. The movie does drag in a few places with a lot of dialog in French and German. Overall I enjoyed the film but it is not my favorite Tarrantino film.Grade B,7,0,1,14 May 2011
Iron Man 2," Not bad for a Skell
",Robert Downey Jr. is again brilliant as Tony Stark in Iron Man 2. While not as fresh or interesting as the first Iron Man this movie has much to recommend. The pacing is good and the characters are brought to life with some very good acting.Gwyneth Paltrow reprises her role has Pepper Potts and has a love/loathing relationship with Tony. Again there is a list of bad guys Ivan Vanko(Mickey Rourke)who plays the main antagonist. His main beef with Tony is that his father was cheated by Tonies father. The other bad guy is Tonies industrial rival Justin Hammer(Sam Rockwell) who wants to get his hands on either Ivan(who has the knowledge to build an Iron Man suit) or one of Tonies Iron man suits to sell to the military. There is also a secret organization the Avengers headed by Colonel Nick Fury(Samuel L. Jackson)who sends Natalie Rushman(Scarlett Johansson)to protect him. This is the basic set up of the film.What works well in this movie are good special effects and solid acting on all parts. The fact that Iron Man is vulnerable and actually getting sick from the poisons of being Iron man makes Tony act with abandonment which helps move the film along. Some of the disappointing parts of the film is that transitions seem unnatural and some of the charm that endeared us to Tony in the first film.Overall grade B.,7,1,2,5 May 2011
Prince of Persia: The Sands of Time," OK popcorn movie
","Good action with some nice art direction is what you get with Prince of Persia: The Sands of Time. The acting is adequate for this type of popcorn movie and the story is old and been done many times before so don't expect any surprises.The stories main hero Dastan (Jake Gyllenhaal) is an orphan who is adopted by the King of Persia, he along with his brothers are fooled into attacking the holy city of Alamut (a real place in Iran) by his uncle Nizam(Ben Kingsley) who desires a magical dagger that can turn back time. The dagger is suppose to protected by a guardian of the artifact Tamina(Gemma Arterton) who also becomes the love interest of Dastan. Nizam murders the king and frames Dastan for it who escapes with Tamina. Dastan has to clear his name and learns about the dagger its history and his uncles treachery. OK so I know this sounds like a million other action adventure flicks and with just adequate acting this movie comes off a little light a popcorn movie that is forgettable. Nothing about this movie is memorable it's not irritating just nothing special.Grade C-",6,0,1,23 April 2011
The Expendables," Typical Hollywood action flick
","The Expendables is a very typical Hollywood action flick, nothing more and nothing less. I wont bother going into the story because it really is inconsequential to the movie, just to say it is cliché and basic having been done 100 times before. The movie is fast paced and really moves along so it is not to boring and before you know it it's over. You will probably have a hard time remembering anything about the movie after viewing it. It's really that much fluff. The best part of the film are the shoot outs and explosions which are really load and really big.Grade C-.",5,5,11,6 May 2011
Harry Potter and the Deathly Hallows: Part 1," A fairly enjoyable film
","Harry Potter the Deathly Hallows part I is an enjoyable film. The production values are first rate and the 3 main lead actors have really matured.To be honest I have never read the books(I'm a little to old to be reading Harry Potter) and I've only seen the first film in the franchise. This film moved along at a good pace I did not find it boring it did slow down in the middle a bit, but it allowed me to understand the characters a little better, and it set up for the 2nd part quite well.Grade B",8,0,3,12 May 2011
54," 54 A look back
",54 is the story of the famed New York night club by the same name. The movie was OK at best. The main problem is that the characters do not live up to the excitement of the famed club.The story revolves around Shane (Ryan Phillipee) WHO is a Jersey boy and lands a job at the club. He is soon promoted by Steve (Mike Meyers). I have a problem with this for what boss promotes someone to bar tender with no previous experience. Well Steve is skimming money from the till to hide it from it from the IRS. In the mean time Anita who works in the coat check (Selma Hyak) is aspiring to be a singer.While Meyers gives a very good understated performance as Steve the rest of the characters are only marginally interesting. So the movie just kind of winds down to the eventual conclusion. Making this a rather forgetful movie experience.,6,1,1,25 March 2011
No Strings Attached," Ashton Kutcher still can't act
","One of the most hum drum movies ever produced No Strings Attached is a lackluster comedy that plods along to its very predictable ending.The story revolves around the friendship with benefits between Adam(Ashton Kutcher) and Emma(Natalie Portman). They try to keep up this purely physical relationship but it is not long before the emotional attachment kicks in. The rest is predictable.For a romantic comedy there are very few laughs in this film and Ashton Kutcher is one of the most one dimensional non actors to ever become a star, every film he plays the same slacker trying to find love. There is little chemistry between the 2 principals in the film which makes for a dull film. Only worth seeing on Saturday night at home.Grade D+",4,3,5,12 May 2011
Scott Pilgrim vs. the World," A guilty pleasure
",A stylish visually enthralling film with one very silly story and even sillier characters makes this my guilty pleasure. Scott Pilgrim vs. the World stars Michael Cera as Scott Pilgrim who breaks up with underage high schooler Knives Chau(Ellen Wong) to be with Ramona Flowers(Mary Elizabeth Winstead) who has a tendency to change hair color every other day and who is also emotionally disassociated with anything or anybody. Well Ramona has baggage in the form of 7 evil ex-boyfriends who Scott must battle to the death with.The movies strong points are good graphics with exceptional use of editing and cutting to intensify the film. The downside is that the films silliness sometimes threatens to smother this film into mediocrity Grade B+,8,1,5,16 May 2011
