movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," real or fake? who cares?
","I must add a comment to all those who are involved in the big to-do over whether this film is fact or fiction. I have read too many posts from people who are only interested in BWP if it is 'true' and insist that they will feel cheated or hoaxed if it turns out to be otherwise. To any such person I say: forget it. Put all that aside and just experience the film as it is presented to you, without worrying whether or not you're watching a 'real documentary'. What you *are* watching is one of the finest exercises in relentless fear and unspeakable mystery ever set on film, and whether or not it really happened or these kids were truly lost in the Maryland woods just doesn't matter to that experience. X my heart it doesn't.",8,1,2,21 July 1999
The Blair Witch Project," Intense, suspenseful gem
","OK, if you're looking for a shock ride this is not the scariest movie ever made, but it beats any shock-ride movie I've ever seen for sheer breathtaking horror and dread. **SUPER intense!** I **mean** it! A bit slow getting started, but tightens the noose steadily and inexorably. Wonderful use of black-and-white photography and of the simplest possible - but terribly effective - visual devices to suggest primal nature magick and relentless pursuit by night. As the bewildered, terrified kids begin to collapse from hunger, hopelessness and exhaustion you are right there with them, and I guarantee you will *not* be breathing during the tremendous final ten minutes. Cripes, what a climax!--BWP is a pure triumph of filmmaking simplicity and understanding of basic human psychology over multi-million-dollar monster effects, and I hope its lesson - which was well known by directors of decades past - is well remembered by filmmakers now and to come.",8,0,1,21 July 1999
Unbreakable," Absorbing and fascinating
","An early holiday gift from a top-notch storyteller. M. Night Shyamalan's 'Unbreakable' is a fascinating, totally absorbing film that does for the tale of superhero vs. super-villain what 'The Sixth Sense' did for the ghost story. It refreshes a done-to-death film theme and draws it completely into our own real world with thoughtful, sympathetic writing and performances of wonderful subtlety, humanity and depth. It is so exquisitely spare and minimal - especially in its dialog - and so careful to pick up every thread it lays down, that it puts 98% of the crowded, messy, noisy flicks out there to shame. Anyone who's turned off by the idea that this might be a 'comic-book movie', PLEASE put that thought aside - this is not about explosions, special effects or black/white solutions, but about the very nature of heroism and villainy (and I do *not* mean 'good and evil'), and the searching of soul that extraordinary beings must do before deciding what their work in the world should be. And the results of their search can be both inspiring and chilling, as we see here. Willis and Jackson are absolutely perfect, Willis' painful and troubled everyman honesty exactly contrasting Jackson's steely conviction and laser intensity (every fan will cheer the scene in which he icily rebuffs a sorely misguided gallery customer!). But no one here is a toss-away character, even the adversary's mom has importance. And the expected twist ending is a beauty; some apparently saw it coming sooner than I did=), but I was completely blindsided and loved it. --Again: if the idea of a movie with a comic book theme bothers you, please take my word on this and don't let it keep you from seeing 'Unbreakable'. You'd be missing something far too worthwhile.",10,0,0,25 November 2000
Cloverfield," Top-notch 21st century monster flick
","I was really looking forward to this movie, and it didn't disappoint me a bit. It's got everything I hoped for: an original monster, a breathtaking pace, genuine shocks and scares, some poignancy, some mystery, and absolutely no snarky condescension or cheesiness. This is a stripped-down, kick-ass dynamo of a movie experience unlike any giant creature flick I've ever seen, and I've been watching them since the 70s. It takes a little time to set up and get rolling, but once it's out of the gate it doesn't let up for a moment. The use of the hand-held camera gives it terrific immediacy and believability, since we see only as much of the creature and its rampage as the characters underfoot do. They're a pretty typical batch of well-heeled kids, used to getting immediate information on everything, and when they're suddenly plunged into violent chaos they react with terror and confusion. Yet despite that, they attempt a heroic rescue, acting with the kind of courage ordinary people show in the face of disaster every day. (Yes, some sequences do evoke the imagery of 9-11, but I wish people would quit sounding so indignant about that; surely it's off the sacred list and into the pool of legitimate film topics by now. The Cloverfield/9-11 = Godzilla/Hiroshima analogy ought to be enough to settle the point.) I liked them a lot more than I expected to (in fact I completely choked up when one character had to give his mom some very bad news) and felt completely pulled into the headlong rush of the story. It's as convincing a portrait of an event like this as I can imagine, and will leave you gasping for breath. I only have two credibility quibbles, in fact: the overly-helpful soldier and the apparent army of available helicopters. But those are minor. [[--I'm not going to say anything about the monster, except that it's none of the things people have been speculating it was, it's 100% cool, and I can't wait for the action figure.]] --I can't imagine anyone who really loves daikaiju cinema being disappointed with this: it's a fine, scary piece of work. Too nihilistic? Could be, but these are dark times, and we already know this film was intended to mirror the right-now dread and tension of our War on Terror landscape. There's no reassurance from those in power, the military doesn't know any more than the characters do, and all you get in return for facing the worst is the close-up rush of the adventure. Which, after all, may be all you ever get.",9,1,4,20 January 2008
Corpse Bride," the dead have much more fun!
","It's plain to see which side of the life-and-death divide Tim Burton's heart is on. The living, in Cousin Tim's universe, are stuffy, status-obsessed, grey people who frown upon music, deviations from the norm, and the frivolous notion that couples about to wed should--the very idea!--LIKE each other! Whereas downstairs in the land of the dead, skeletal barkeepers sing up a storm, there's hot jazz, dancing, bright colors, and (maybe not so surprisingly) very warm hearts. Heck, the dead even have cuter dogs (a common Burton theme and true again here). Victor, a very proper young man so non-morbid that he collects--and then releases--butterflies, accidentally finds himself married not to his living fiancée Victoria, but to the winsome and lovely Emily--whose only failing as a wife is her residence outside this mortal coil. (Tell ya the truth, though, he's not good enough for her; he's just too uptight, and the never-ending party vibe in the Ball & Socket Tavern seems to give him, well, butterflies.) How did sweet Emily end up a Corpse Bride? Will she be avenged? Can Victor and Victoria find their way back to each other and a subdued, proper, contented (but bloody boring!) life? You will have a great time finding out, cos this is a complete gem, funny, touching, dark and sweet, with the prettiest ending I've seen in years. It really did make me both laugh and cry, and I hardly ever get to say that. Tim, darlin', I forgive you for Willy Wonka; this one will go straight into Goth hearts worldwide and last for ages. (footnote: kids in the crowd we saw it with actually got up and danced in the aisles to the cookin' jazz in the closing credits! ever see THAT before? maybe the dead can even show us living stiffs how to have a good time. =)",10,5,7,25 September 2005
Burn After Reading," Can't believe this is supposed to be a comedy
","Nasty and mean-spirited. Only one sympathetic character in the whole thing, and he doesn't survive. Some of the native DC paranoia bits are funny, but when you can't care if a single person in the film gets what he or she wants, it's hard to enjoy any of it. I know lots of people love 'The Big Lebowski', but I know what I thought of it: unpleasant people doing awful things to each other for no good reason at all. This one's much the same.I swear, the Coens are brilliant when they're good, but when they aren't.... phew. And this is the only Coen film I've ever walked out on.",4,13,46,14 September 2008
The Fast and the Furious," A genuinely great B movie
","..and I really mean that. I was very pleasantly surprised to find that its scorching visuals and enormous kinetic energy were backed up by a fine, sympathetic performance by imposing Vin Diesel and, overall, what I like to call 'a good heart' --a film that isn't nihilistic and bitter at the core but has humanity and a sense of values. I had no trouble understanding why our cop hero, himself once in trouble with the law, slowly gravitated away from his chilly bosses and toward the vitality and warmth of the street racers' family unit, with its backyard picnics, protection of weaker members and strong internal loyalty.  I won't go into a lot about the plot, not because it doesn't have one but because you don't need to know: just know that if you get sick of movies where people do bad things for no reason, this one will make you feel better. And do NOT leave before the credits!",8,0,0,24 June 2001
No Country for Old Men," Bleak, wrenching, haunting film
","This is a film that will make you ask some big questions. Questions like 'what creates people with no human feelings?' and 'what can one person do about the existence of true evil? is there anything? should one try?' Tommy Lee Jones' character, honest and decent Sheriff Ed Tom Bell, is a long-time lawman from a long line of lawmen, but the kinds of crime and criminals he faces these days have left him emotionally, mentally and spiritually exhausted and bewildered. (--Like, I dare say, a lot of us.) His helplessness in the face of the grisly handiwork of the superbly played, formal and ice-cold psychopath Anton Chigurh (Javier Bardem--and I will throw things at the screen if he doesn't win Best Supporting Actor for this stunning performance) is for me the emotional bedrock of this movie. I know people are impressed by Josh Brolin in this film, and I agree he's good, but for me his performance had nowhere near the complexity and subtlety of either Jones' or Bardem's: one good man whose moral compass no longer gives him the guidance he needs, and one man so simply relentless that for him good and evil are decided by the toss of a coin. They're not so much adversaries as polar opposites, the forces of law and chaos playing against each other at a distance, and I'm glad the Coens didn't settle for some falsely conclusive confrontation between them. It's a movie that doesn't give answers because there may not be any, a movie with no winner or loser; a movie that sets these painful questions in a gorgeous southwestern landscape and just looks at them, and helps you look at them too.I love the Coen Brothers' work (well, except for 'The Big Lebowski'), and I set this one right up on the shelf with their best. It's one I think no thoughtful person should miss.",9,1,5,26 January 2008
X-Men: The Last Stand," What was Marvel thinking?!
","This thoughtless, reckless, noisy mess is an insult to the X-Men, their history, and anyone who has ever cared about them. I simply cannot imagine the line of thought that led to tossing aside one of the finest comic book story lines ever written--the deservedly famous Dark Phoenix Saga--in favor of this travesty. It would take me a lot more than 1000 words to go into any detail on just how much is wrong with this movie, not only as an X-Men adventure but even as competent film-making (is it day or night when Magneto performs his biggest stunt of the film? Why can't Rogue and Colossus hold onto their respective accents for more than a word or so per sentence? Why, for heaven's sake why, does Jean/Phoenix spend 90% of the movie JUST STANDING THERE?--except when doing things she would not, EVER, do?),--Man, it's sad to know Marvel has so little respect for one of its most successful and best-loved teams that it will let them be treated this way in public. (Yes, I know this movie made metric tons of woolongs last week. Yes, I know Marvel was thinking 'ka-ching' and not 'our beloved X-Men deserve the best'. But...can't help but wince when the people you grew up with behave so heartlessly at the first excuse.) (Good things: 1. Kelsey Grammar's entire performance. 2: Ian McKellen's wonderful voice. Bad things: Everything else. I mean everything.)",4,0,0,5 June 2006
Hellboy," most of these comments seem far off the mark to me...
","I'm seeing far too much use of the words 'corny' and 'cheesy' to suit me here. There was VERY little cheese in this flick as I understand the word (and I am a devotee of MST3K, so I think I know cinema du fromage when I see it).  OK, so maybe we've seen enough movies with Nazis as occultist villains: still, Mignola wrote it that way, and I am happy to see a movie follow its source material so closely (points for including a Spear of Destiny that looked just like the bloody real thing!).  I have seldom seen Lovecraftian monsters done so effectively--only LOTR's Watcher in the Water comes close. (And as a lifelong Creature from the Black Lagoon fan, I was personally delighted to see old Blacky updated as a bookish recluse with a Threepio accent.) I thought Perlman's world-weary, stoic workingman attitude was *far* from the melodramatic, 'tortured lone hero' pose that some are accusing him of--he's just a hardworking guy who's unlucky in love and tired of watching TV alone with his kittycats. (Nowhere near the stock, pasted-on torment of a cardboard character like Blade, IMHO.) I suppose one *could* say that having him fight off monsters with one hand while saving a box of kittens with the other was corny, but (a) we already knew he loves cats, and (b) it was sweet, darn it!  C'mon! Show me where it says big red bruisers can't do the sweet thing sometimes. =) I'll even admit that the last five minutes had me scratching my head--I get really tired of the 'Vast Enormous Evil Universe-Destroying Ritual Foiled At The Last Instant' plot--but, well...Overall I just loved this movie.  It is so good-natured and well-intended (all Hellboy's important motivations spring from love for someone), its humor is so gentle, and it just doesn't have that cold hard internal edge that I am so weary of in big SFX action movies (Blade, Blade II, Underworld, ad nauseam..) . Like its hero, it's a big powerhouse with a soft heart.",8,0,0,11 April 2004
