movie_title,title,review,rating,helpful,total,date
The Ring," Finally something that is actually scary.
","A lot of horror movies make three very common mistakes.Mistake #1: The suspenseful approach.With this approach, the filmmakers basically have a character- or characters- wander around in a decidedly 'creepy' location. The location is made 'creepy' by various, mysterious sounds, poor lighting, and ominous music. The ominous music and creepy sounds all slowly rise in volume until they reach a climax. We sit on the edge of our seats, waiting for something to happen. They tease us a little, having the character(s) jump at harmless shadows for a little while. Finally, the 'evil thing' comes out and gets somebody.The problem with this approach, is that they're not really scaring us. By forcing us to wait so long to see 'the evil thing' and by taking advantage of the natural reactions that occur in our brains when we hear certain sounds, they make us 'edgy.' Edginess does not constitute fear.Mistake #2: 'Let's startle them.' I guess some filmmakers started realizing that several viewers are now able to tell the difference between suspense and fear, so they've decided to try and startle us in the theaters. They cut the music, the lighting and the jumping at shadows. Now, they just have things pop out at us with nearly no warning.The entire audience gasps, and you might even hear a few shrieks here and there. I can almost see the filmmakers smiling triumphantly.The problem with this approach? Again, that's not fear- it's a natural human reaction to react violently at sudden, loud noises. So for a few minutes, we actually believe we are in danger, drawing us into the film- but then, soon enough the feeling vanishes.Mistake #3: They try to gross us out.This is an ages old mistake, and still hasn't been remedied. When all else fails, the filmmakers load their movie down with blood and gore.Too bad more of us aren't afflicted with hemophobia.Oh, and let's not forget the hideous, misshapen, occasionally-vomitting creatures. We turn away in horrified disgust. Of course, because I don't want to see some slimy, decaying thing ripping the head off a screaming victim I must be just terrified by your movie.That's not the only problem with that, though. It- like the first approach- has become predictable, as the more disgusting things they show us the more desensitized we become....Now you -probably- want to know what my whole point was, besides that I am immune to 'fear' so incorrectly named. My point really was that one movie rose above the sea of monotony and crowned itself king in the world of horror.That movie was The Ring.The movie starts off with showing us 'the film.' The film itself, instead of being overly gruesome, is instead rather mysterious, disturbing, and strange. This film inadvertently causes the death of Rachel (played by Naomi Watts)'s young niece. Yet even that death was done nicely. Though we do understand something ominous is going to happen, we don't understand what or why. This gives a sense of eeriness to the film that would not have been possible otherwise. In fact, they don't even actually show the young girl's death. They skip straight to the funeral, where we're given clues of the horror of the whole thing- yet we still have no idea what's going on.A favorite author said, 'There is nothing more powerful as what is left to the imagination.' The Ring proves this with increasing cleverness as the film goes on. Journalistic Rachel tries to discover what happened to the young girl. The only one who witnessed her death was confined in a mental institution- but we see that later.Meanwhile, Rachel goes to the place where her niece was the week before her death, after discovering that all of her friends that had been there died in the exact moment that she did. Rachel had heard about 'the film' from two acquaintances of her niece at the funeral, and decided to go to the cabin where it was located and watch it.After she watches it, she is visibly frightened. Then she receives that ominous phone call around which the film is based.'You have 7 days left to live.' So that is the core of the movie. Rachel tries to find out what the movie is about and what it is, at the same time trying to save her own life. Eerily, one the scenes in the movie become manifested in reality for everyday that passes. First, Rachel walks under a ladder. Next, as she's making a copy of the film for study purposes, the fly from the film becomes real. Next, nosebleeds- and it goes on and on.This is meanwhile building suspense as well as mystery, without utilizing the 'characters jumping at shadows' stereotype. To our surprise, also, it starts to frighten us.Fear...that ominous pain that fills our stomachs at the thought of the unknown; that shiver in your skin. For me, it's not manifested by seeing hideous things, perhaps more suited to scaring a young child than a well-informed adult (or adolescent). For me, it is an intellectual experience. The more the fear makes sense or feels 'real' the more afraid we feel inside. The Ring forces us to use our imagination again, to think beyond what we are used to experiencing. It touches the fear inside us all.In order for a movie to feel scary, it must haunt me long after the pictures have finished showing. The Ring does that excellently, by forcing us to watch the movie Rachel does before the actual movie starts. We see what she has seen, and so, we fear that what she has feared may come upon us.To this day, when a fly flies near any electronic screen- whether computer or television- I cannot suppress a shudder.",9,1,2,15 April 2006
Pirates of the Caribbean: Dead Man's Chest," Why have I been reviewing all of the part twos?
","That will remain a (partial) mystery. Why this movie was not as good as the first, however, will not be.The movie was just a little too 'goofy' for my tastes, in that typical Disney fashion. It failed to balance comedic silliness with seriousness as well as its predecessor.Secondly, for the first time, I started to truly dislike Will's overly virtuous character and his often ill-timed showings of bravado. Whether the fault lies primarily with Orlando Bloom or his character is unknown, but I felt that Bloom's performances were a little too wooden this time around. In addition, Will's oft-brash behavior seems to lack consequences. When you see his run-ins with the villain of this movie, a squid-like version of Davey Jones, you will understand my sentiments.In general, Davey Jones was a 'suitable' villain for the second film, being neither perfect nor absolutely terrible. I feel that Barbossa from the original movie was more balanced and fun. He was a 'bad' guy who wasn't exactly bad, thus providing ample excuse for his lack of cruelty. Davey Jones, on the other hand, is heartless- in the full literal sense if you get what I mean- and because of this, the writers are forced to give him some out of character moments to prevent him from killing Will. He's also paired with the typical idiotic crew, perfect for holding back the otherwise unstoppable villain enough to allow the heroes juuussst the wiggle room they need to escape all the disastrous situations they seem to get into. The writers also saved Davey Jones from total character-suicide by making him have a curse (which was never explained) that prevents him from getting on land, or even within 10 feet of the shallows. This means he is forced to depend on the aforementioned stupid crew, rather than be stupid himself.The plot of this movie was at least as good as the original, with even more twists, and the much-welcomed reappearance of a two very specific characters from the first film. The major problem with judging the plot, however, is that we don't even get to see how it all ends! This movie follows a trend set by the first two Lord of the Rings, ending exactly where the first film is going to start off with no warning whatsoever. I found this a little disappointing- especially since I embarrassingly didn't know about the third one for some reason when I was watching the second. Still, it wasn't enough of a pain in the butt for me to detract any points from the film's rating.If you feel like I haven't said very many good things about the movie, well, keep reading- that's coming. Then right after that, a few more bad things, then my conclusion.The good news is this; that wonderfully piratey theme song that gave the first Pirates a lot of its appeal is back in full force. The stunts and choreography in the film are still as amazing and tasteful as in the first- if you detract the few goofy ones close to the beginning of the film. Jack Sparrow is as witty, endearing, and as drunk as ever. Elizabeth, still gorgeous and kick-ass without being annoyingly pro-girl-power, is taking an even bigger role in this movie than in the first one. I for one do not mind.In fact, one of my favorite scenes in the movie was Elizabeth and Jack's discussion about 'curiosity'. I think Johnny Depp and Keira Knightly stole the entire show and left Orlando Bloom standing in the dust.Good news aside, I am now free to address the one scene in this movie that left me grinning in a combination of embarrassment, annoyance, and amusement.I was proud of Pirates of the Caribbean for introducing its own unique flavor, spirit, or whatever it is you choose to call it into theaters and DVD shelves everywhere. This is why I wondered exactly why they chose- like Superman Returns, V for Vendetta, the One, and other films that I cannot at this moment recall- to incorporate Matrix-like effects into their movie. In just the film where I thought that I was safe from incredibly slow-moving flying bullets, they sneak one in.Sure, it was well timed, and it was just one bullet. There were no slow kicks or time-defying dodging of sword thrusts and/or punches in the film. Still, it was just a little over the top, and worthy of detracting a tiny fraction of a point.Well, despite all, I still loved the film, I still recommend the film, and I still desperately want to see the last? installment.",8,0,2,31 January 2007
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"," Better than I ever imagined.
","I absolutely LOVED this movie- I have not been able to say that in a long while. As soon as it started, the environment, music- everything about it easily lulled me into a deep nostalgic peace. My favorite character was little Lucy. Georgie Henley acted absolutely brilliantly, and so did Skander Keynes (Edmund).Sometimes the Christian undertones of the movie are a little more evident in some places than others, but to avoid spoilers in this review I will not expand on that thought. (though, griffins and phoenixes definitely wouldn't be Christian symbols- at least I doubt it) The only reason this movie escaped a 10, was because of what I considered some moments of cheesiness/choppiness within the main battle. It seemed to go slowly sometimes and it seemed there should've been more attack directed on the main characters (you would need to see the film to understand).Aside from that, this movie is perfect, both for the young and the young at heart.Having seen both the Lord of the Rings and Narnia, I'm going to say that LOTR is probably a more 'serious' or 'mature' film. Both, however, do have a central theme of the main character(s) having to take up a burden that at many times seems too heavy. The similarity, however, ends right there, and any comparisons to battles, plot, etc., are unfair to make.",9,0,0,9 April 2006
The Notebook," Pretty good for a romance film.
","I'm definitely not an expert on romance movies, because I tend to generally avoid the romance genre- in both films and books. To avoid cheesiness, predictability, 'syrup' and endless stereotypes I've always found it more tasteful to combine romance with another genre. That way, you avoid a story's unrealistic obsession with the two main characters. That's not to say that I hate the romance genre altogether- there are some exceptions and times when a story seems to be built at least half-realistically and can actually move me.In this case, although I'd put on my 'skeptic glasses' I at the same time had a lot more expectation than I usually would because I'd heard so many great things about the film.At first, when I see Noah, I think 'What's the matter with this guy?' and was about to write him off as a caricature, but his character made me laugh and with a little hesitation I accepted him as actually being realistic. I related to Allie's reaction to him maybe a little more than most because I would've treated him exactly the same way! Through the beginning of the film they kiss...a lot. Again my skeptical goggles are on, and I'm starting to suspect that this is another cheesy romance based on lust carefully- or perhaps, not so carefully- disguised as love, and patiently wait for the characters to mature. On the other hand, I think, they are teenagers, and just because they're horny doesn't mean they don't know what love is. Additionally, I would expect a bit more than that from the intelligent and sometimes sassy Allie and the bat crazy but pretty down to earth Noah. (No, seriously, he's crazy).Anyway, the movie continues on. I don't know if I'm particularly enthralled by the plot, but the actor's and actress's performances are flawless as far as I can see. Especially Ryan Gosling's. The way he looked at Rachel McAdams was a perfect combination of awe and longing, and it made us really believe that what we were seeing was real.Back to the plot: Some of the morals in the story are questionable, but when I say things like that I always battle with question in my mind of whether or not the actions of the characters are always meant to teach us a lesson, or whether or not some of the time they're simply there to display reality. Yes, there are times when Allie could've been more sensible, but really, how many of us haven't been insensible from time to time? As for whether or not true love could've sprang from Allie and Noah's 'summer romance' is questionable as well. Perhaps even the intervention of Allie's mother in their relationship wasn't as detestable as some might immediately begin to think. I loved this movie in that it didn't take advantage of pathetic stereotypes and create supporting characters just MADE to be hated. It didn't have the 'tunnel vision' that some romances have, where they almost force you to root for only the two lovebirds by making everyone else a total jerk. Instead everyone had some depth in them, and even though we didn't 'vouch' for them all the time, we could understand and relate to them.Either way, sometimes they say 'the end justifies the means' and the ending of the movie was what really touched me. No, I'm not going to spoil it for you, and no, I didn't shed any tears- I very, very rarely do over movies- but this really made me think somehow.This wasn't 'the best romance ever made' for me- or even really close to it- but it was an enjoyable enough film to watch and it had some pretty emotional moments to it. It even had a little comedy in it (though I must warn that I tend to laugh a lot at films). Again, I must repeat, the performances of Ryan Gosling and Rachel McAdams were flawless and actually very amazing, and that was the main enjoyment for me.",7,0,1,14 August 2006
Spider-Man 2," Even better than the original.
","Spiderman 2's predecessor set the scale for all of the other modern superhero movies to be made after it- at least for me.I think that the magic of the Spiderman series is that it is not a 'superhero' movie as much as it is a 'human' movie. A lot of the time in the first movie was spent developing Peter Parker's character as a person and his everyday life.That theme continues in Spiderman 2, with even more force. Peter begins to question whether or not saving the world is worth sacrificing the things that are important to him in his life. His job, his school, his friends, and most importantly, the long-time love of his life, Mary Jane Watson.Spiderman 2 stands out as a superhero movie that behaves more like a drama than an action movie- which is typical of a lot of second-rate superhero movies. It isn't all about the villains and the flashy battles scenes- though those remain.So in a way, the movie provides double-gratification. I get to enjoy all the unrealistic, fantasy elements of a superhero film without having to sacrifice a great plot- and even a carefully threaded in moral. There's something for everyone in Spiderman 2.As with the first movie, the acting remains excellent. Tobey Mcguire and Kirsten Dunst are still excellent as Spiderman and Mary Jane. James Franco's performance is actually stronger than it is in the original, with his behavior in a certain scene (which I cannot mention to avoid spoilers) particularly impressive.Even after seeing it a second time, Spider-man 2 is still my favorite movie.",10,2,2,14 January 2007
My Neighbor Totoro," Rather disappointing.
","The movie, although it had some fairly cute moments, had an extremely weak plot. There are no dramatic events within it, and thus, no room or place for the characters to grow. In fact, the movie doesn't even attempt to include those subtle moral themes that are so typical of most children's films- which, contrary to some beliefs can be a very good and important thing when done well.Instead of being the mysterious and wonderful film it was supposed to be, it seemed rather...bland. Adventures with Totoro seemed very aimless and could've been done a lot more colorfully.Also, what was up with that gigantic smile (and equally colossal roar) that Totoro had? Instead of being friendly, it appeared rather ominous. In fact it reminded my older siblings and I of the grin of Ghostly from Pokemon.I'm fairly sure, though, that somebody, somewhere, will be enchanted by this movie despite what I say. Seeing how my 4 year-old sister was enraptured by the film- and seemingly not at all disturbed by Totoro or his cat-shaped bus- I perhaps have the bias that comes with being skeptical and teen aged. I would, however, highly recommend those enchanted-creature-hungry-folk to leave this one and pursue one of Miyazaki's other films, or, Alice and Wonderland.So, after taking all factors into account, I've decided to be generous and give this movie a 7, whereas personally, it was more like a 6 for me.",7,1,16,15 April 2006
The Prestige," It absolutely blew my mind.
","The trailers for The Prestige carefully concealed it as a light-hearted film about a magician- nothing more, nothing less.I did not expect the dark, deep, and involving film that played out after I popped in my DVD.The opening lines, narrated by Michael Caine who plays the patron magician 'Cutter', are a big key to understanding the movie. Cutter explains that there are three important parts to a magic trick- the pledge, the turn, and the prestige. Throughout the movie you will see how this law applies, as the 'secrets' to some of the tricks are revealed.The second part of the beginning of the movie follows. We see Robert Angier (Hugh Jackman) trapped in a water-filled glass tank below stage, struggling to get out. Alfred Borden (Christian Bale) goes underneath the stage and discovers him there. The movie then skips ahead to a trial, in which Alfred Borden is being charged for the murder of Robert Angier- he evidently drowned to death in the tank. Alfred Borden is found guilty of murder and sentenced to die.A rich lord sends a messenger stating that he will take care of Borden's young daughter in exchange for the secret to Borden's greatest trick. The messenger is also sent to give Borden Angier's diary.That, is how our story really begins. We see through the point of view of Robert Angier as Borden reads through the diary.Robert Angier and Alfred Borden worked together underneath Cutter, until a tragic accident caused them to go their separate ways. Some time after they separated, Alfred Borden released an amazing trick. Angier, consumed with jealousy, did everything inside his power to find the secret to the trick. In fact, he began to doubt that it was a trick at all, but rather 'true magic. He was in constant competition with Borden, always trying to outdo him as a magician.Hugh Jackman does an excellent job in portraying Angier's passions, delusions, and melancholy. He completely blew me away with its vibrant showing of his true talent in this movie. After seeing the X-men films, I was almost certain that he was trapped as Wolverine, but when you watch this movie you will think absolutely nothing of Wolverine and absolutely everything of Robert Angier.Christian Bale, as always, was also excellent. I have not seen an actor so diverse, so adept at playing a variety of completely different roles in as long since perhaps Johnny Depp. Yet Christian Bale even outshines Johnny in that department. You will be reminded as little of him as Batman as you will of Hugh Jackman as Wolverine. He truly put on the character and he put him on with brilliance.The entire movie is a mystery up to the very end. We do not know if perhaps the rivalry did get out of control and Borden murdered Angier, or if Borden's magic is real and not just another clever illusion. What I can tell you, however, is that the conclusion will shock you, and you will be talking about, and thinking about the movie for long after the credits roll.",10,4,7,18 April 2007
Butch Cassidy and the Sundance Kid," Finally, I've seen the movie.
","Butch Cassidy and the Sundance Kid was an interesting film, and one that stands out for its uniqueness in my memory.The movie sometimes plays more like a really long music video than a traditional western, and the soundtrack- which includes 'Raindrops Keep Falling On My Head'- is wonderful. The movie sometimes takes intermissions to display long passages of time through a series of photographs- all accompanied by the music, of course.The movie is undoubtedly a comedy with only a few serious moments. We follow the trail of the kindly, talkative 'Butch Cassidy' (Paul Newman) and his polar opposite, the dark, quiet, 'Sundance Kid' (Robert Redford), and The Sundance Kid's girlfriend, Etta Place (Katherine Ross), who, in typical western lass style fits in perfectly with the two men.Our stars are the outlaws, and as is natural in this kind of film, we find ourself rooting for the 'bad guys' and hoping that the mean, mean government people (why can't they understand it's not a crime, just another way of life?) don't catch up to them.The movie is a lot of fun, and leaves little to be desired, although it fails when it comes to matching the depth and seriousness of other westerns when it comes to the plot, and may bore some viewers.Oh, and of course, it is missing the famous 'draw.' Considering Sundance's god-like abilities with the pistol, though, that may have just been for the best.8/10 stars.",8,0,2,7 December 2006
Bridget Jones's Diary," A delightful romantic comedy.
","I really didn't know what to expect when I tuned into Bridget Jone's Diary on ABC Family.Though when I saw the very first scene, which features Bridget lip-synching hilariously to a depressing love song whilst watching an equally depressing movie on her television, I figured that it couldn't be that bad.I was right.Of course, for this to be a really good review, I would have to address the things I learned about the movie after watching it. I learned that some see in it a totally adorable woman they can relate to, and others see sexist trash.To say that Bridget isn't a terribly desperate single gal would be a total understatement. As a result, I must warn those of you females who feel that the portrayal of any such female- who, I MUST remind you still actually exist- is a jab at your independent womanhood, to stay out of this one.Although the plot in this movie can sometimes be a little predictable, Bridget is not. You never really know what is going to come out of the woman's mouth at any time- and neither does she, which adds to the entertainment.Additionally, the story is not entirely about Bridget Jones. A decidedly tongue-in-cheek side story involving her dysfunctional parents is present as well.I loved the performance of the actors in this movie. First of all, Renee Zellweger, of course, and second of all Hugh Grant, as he seemed perfect for the charming-yet-decidedly-perverse Daniel Cleaver.I certainly think that this movie is worth giving a chance to.",8,1,1,25 January 2007
Edward Scissorhands," More than skin deep.
","The one word that comes to mind when I think of this movie is- beautiful.The movie begins in a dimly lit room, where an elderly woman begins to recount the story of the life of a man with scissors for hands by the bedside of her young granddaughter. His creator died before he was able to finish him, leaving the man alone in his large estate.From there on out, the entire movie plays out like a kind of modernized fairytale- and the environment has everything to do with it. The town in which the story is set is utterly suburban and utterly isolated, as if were the only neighborhood on the planet. Every house is a different color and shape, but there is a kind of treeless sameness between them that pulls them all together, making them seem unoriginal and conformative. The same could be said of the cars, and how they all file out each morning in a bizarrely choreographed fashion to take the men that we hardly see to work.Yes, the film is mostly about the women of the town, all different, but who all share the common ailment of gossip. Peg (played by Diane Wiest), one of the film's main stars is a bit of an outsider. She is tidy, hard-working and sweet.After a particularly unsuccessful day of work as the local Avon saleswoman, she decides to try her luck at the oft-unvisited mansion at the end of the street. It is an almost exaggerated contrast to the sunny and ordered neighborhood right beside it. It is dark and towering, and the clouds hang over it so intensely that it almost looks to be in a different world. And that is probably what it represents.It is here, that she finds the shy and awkward Edward Scissorhands. Being the sympathetic person that she is, she invites him into her home. Thus begins his adventure into maturity, acceptance, rejection and love.We have to pause for a moment to make a note of the brilliance of Tim Burton. He created a character that looked like he's walked straight out of a horror movie, and is yet perhaps one of the most gentle and endearing characters you will ever come across. Edward's appearance is no mistake at all. Tim manages, to, without saying it overtly, challenge us not to judge on outward appearances and behaviors.Edward basically desires two things. For one, he wants to have regular hands, so that he can be 'complete' and normal like everyone else. The various ways in which he is treated display colorfully a myriad of stereotypes and opinions. More than one person tries to refer him to 'someone who can help him' and others see his unusual hands as something that makes him special.The second thing he desires is to be acknowledged by the girl that he is in love with- Peg's teenage daughter, Kim. It is through this that he gains more and more human emotions, such as heartache, jealousy, and anger.Johnny Depp shines once more in this role. Yes, that's right- this is the same Johnny who bravely battles the undead in Pirates of the Caribbean as Pirate Jack Sparrow. His performance as Ed is flawless and displays his absolute attentiveness to detail. From the quirky and quick way that he walks to his everyday pursed lips, to the heart-wrenchingly pained look in his face when he is misjudged, it's all made to try and clue us in to how Edward is feeling inside.Winona Rider did a great job as well in playing the part of Kim. At first she seems frightened of Edward, then annoyed at him, and later, sympathetic.The supporting actors and actresses all do well in their respective roles, especially Kathy Baker as the neighborhood 'maninizer'. Whether you loved her or hated her character (I simply thought she was plain whack) I think you will probably have to acknowledge that she played the role to perfection.It's sad that so many films seem to include a stereotypical Christian who sees evil in everything, but, alas, I even begrudgingly admit that Olan Jones was a good Esmeralda.Even with a great setting, and a great cast, the movie would be incomplete without an excellent soundtrack- which is exactly what it possesses. The music has an eerie, wispy tone to it, and it fits beautifully with the surreal feel of the movie.So what can we say in the end about Edward Scissorhands? I think it is a movie for the kind of people who like films that have an unconventional way of getting their point across. (Think, 'The Butterfly Effect'). Outwardly, it's just a story with a guy who has hands for scissors in a really bizarre-seeming setting. If you stop there, you might not enjoy it at all. Yet if you look deeper, you see that it is really a poetic love story. It's also not about Edward's scissor hands- it is about people who are different, and who feel incomplete. It is about people who feel that they are misunderstood because they don't quite know how to speak up, and the judgments that we often incorrectly make about them. Yet it portrays all of this in a concealed, and sometimes actually funny way.Unfortunately, as poet K. Bradford Brown said, 'The problem: We see us by our thoughts, intentions, and ideas; They see us by our actions.' So true.Equally true: This is a really good movie.",9,0,0,18 August 2007
