movie_title,title,review,rating,helpful,total,date
Abraham Lincoln: Vampire Hunter," Abe Lincoln & vampires.....interesting
","I didn't read the book and I didn't even know there was a book. That being said, I went in with no expectation of liking it. Going by nothing but the title, it sounds dumb and not interesting at all. I really liked this movie. Such an odd combination of Lincoln history & vampires. Who thinks this stuff up? It presents as a serious Lincoln biography, except there are vampires intertwined in the history..! For me , it's what I call mindless summer fun. However, it wasn't mindless and I never found myself bored or not caring or looking at my watch. It's action filled, I connected with the characters, I loved the detail in the costumes and sets. Oh, and ya, there are scary vampires and gory vampire killings. Think of the zombie killings in the TV show The Walking Dead because this is what I was reminded of. More like zombie killings than vampire slaying, but what's the difference anyway and does it matter? No. If you've never seen vampire/zombie gore, you may not like this aspect of the movie. And during the last scene where Henry is asking Abe to consider immortality and the conversation between he and Mary, I had a solitary tear weld up in my eye. For me, that is the sign of a good movie. Don't over-analyze it. Just go and see it for the fun of it. My demographic: 51, married woman. PS>>>> I'm editing this review to address all the reviews that say there is no story line in this movie. Get out your American History books, kids! The 'story line' was pre written, even before the novel was. No, really, it was! The vampires are just an added bonus. Sheesh!",8,1,2,1 July 2012
A Star Is Born," Bradley Cooper is the Star
","Movie is good, slow moving, so much so that my husband was making the snoring sound more than once. Music is good, Gaga's voice is great, as always. But for some reason I found her distracting me throughout the film. Bradley Cooper is Thee Star of this movie. Seriously unrecognizable and magnificent! I rarely if ever thought about it being him playing the role of Jackson Maine. He WAS Jackson Maine with all the pain and suffering that person holds on to. Wow! Truly set a new highbar for himself. He should win an Oscar. He is the reason to go see this movie. Also, fun to see Sam Elliott again. 
I'm 57, husband 65.",6,48,108,7 October 2018
Gravity," Visually Stunning
","I give it a 9 for the visual beauty of this movie. You haven't seen anything like it. I don't just mean the anti-gravity in space-type stuff floating around. Although all that made us shake our head.... how'd they do that!! *spoilers* Rather, I mean the scene shot from the perspective of being inside the space suit helmet looking out. The scene when she finally gets into the space capsule and floats in the fetal position. Even the very last scene when she's clutching the sand and the shot of her standing from the feet up. All very different and powerful. I am not at all a fan of 3D. I usually get dizzy and motion sick with it. This 3D is very different, on par with Avatar only better. I forgot I had the glasses on until it was over. Not distracting and totally enhancing. There are a couple of parts, one in particular, where there's a flaw in the physics of space and how matter would react in it. But if it wasn't for my husband, I wouldn't of noticed it myself. Short movie at 90 minutes. But long enough. I know I'm possibly the only person in the country who doesn't really like watching Sandra Bullock movies, but she did well in this movie albeit still hanging on to her usual facial expressions and awkward out bursts of emotion. George Clooney is just goofy (as always), but effective",9,3,5,5 October 2013
The Hunger Games," We didn't fall asleep....
","I'm 50, my husband is 58. We never read the book, but have been hearing about this movie for a year from our 18 year old daughter. We went to see it on her recommendation. It's a good movie, and as my husband states, it held his interest, he didn't fall asleep, killed 2 hours and he didn't leave feeling like he was once again ripped off of money spent on a bad movie. The movie The Truman Show kept popping in my head throughout. I'm sure many of the target demographic have never seen that movie. And at the end, with the berries, The Blue Lagoon popped into my head. So not entirely original plot lines. What I couldn't come to terms with is the plot line of killing 23 teens each year as penance for causing an uprising against the government. And why exactly would people want to watch this and allow it? Husband says they explained it at the beginning, but I missed it, I guess. Another point I didn't fully grasp was the caricature, cross between Cirque costuming and the DR Seuss-esque dress and make-up of the people living in the capital. Weird. But again, I didn't read the book. The actors did do a great job and many of the scenes really added to the movie, notably the scene after Katniss was stung by the wasps, and the way Rue's death was handled. Woody Harrelson was great as he usually is. Lenny Kravitz was a nice surprise and also did quite nicely. I just can't get past the fact that these teens were made to kill each other for sport.",8,4,11,25 March 2012
The Lost City of Z," Save for PPV
","SPOILERS Very, VERY slow movie. What I loved were the period costumes, I LOVED the wife, good actress, and he should've brought her along when she asked, The sense of adventure and awe as the group set out the first time, And the second time, the Beautiful scenery all around, The portrayal of the savages and their village, just perfect & fascinating in every detail. What I DIDN'T like and found extremely distracting and just plain wrong was the time line of the movie. I found my self thinking about the kids way too much and how old they were and how old I thought they should be considering the previous dialog or scenes. Although the director did give us time stamps throughout the film, I couldn't reconcile them with the children's ages and the age progression of Percy Fawcett. Also, I was personally let down by the fact that we never do see the lost city. It is post scripted that now in modern day there has been evidence found showing indications of a lost city in both the location and in detail of what Fawcett was searching for. But what about the compass?? DID he and his son make it to the city of zed and then held captive so no other White Man would ever know, OR did they chose to stay until their end of days?? OR were they boiled and eaten?? Life is mysterious.....Married female 55",6,1,4,23 April 2017
Bohemian Rhapsody," I was blown away
","This is a great movie, in spite of what the professional critics say. I either had the goose bumps or tears in my eyes throughout most of the film. Movie portrays the exciting and extremely SAD life of Freddie Mercury. He was a genius who birthed the vision for QUEEN. Those reviewers who state the movie is Fake because it doesn't represent his true life.... Look, we all know his life and how he lived it. They respectfully show enough tidbits of his inner demons and pain to make one remember-AH, yes, he was out of control, but kept the emphasis on the music, the band, the relationships, the feeling. You don't need to see more, you get it.
The LiveAid ending of this film will be remembered as one of the greatest movie endings of all time. No kidding, we were clapping, arms in the air, gasping in disbelief, crying. It was truly a moment.
Of course it MAY help if you were of age back then in '85 and actually saw it happen. But even if not, by this point in the film, if you have a soul or a penchant for nostalgia, you will gain much from this ending and leave with nothing but a feeling of melancholy & Love in your heart.
Long Live QUEEN!",9,5,6,6 November 2018
Man of Steel," Superman?
","Way, WAY too much CGI.Too fast, too choppy. Too much destruction. Hard to follow. The final battle scene is way too long and CGI that keeps changing in size proportion is extremely distracting and quite frankly, amaturistic (don't think that's a word). And not necessary. Not sure what or whom Zack Snyder was going for. Movie is much more action-adventure than super hero. I found it extremely weird the casting of Diane Lane & Kevin Costner (really?) as Clark's earthly parents. I mean, what was the last movie these two were in and how long ago? Hello...it's the summer of 2013! Russell Crowe did very well as Jor-El. He's always a pleasure. I did enjoy Superman. Henry Cavill did a very nice job, wore the suit well. I also enjoyed seeing all the 'hidden' references to both the last incarnation of the Superman franchise and the TV show Smallville, which I loved. I had higher hopes, but movie fell flat. Audience connection and emotion doesn't come thru with all the special effects commotion happening. I did shed a tear during the tornado scene, even though I can't understand why he didn't just run out and save his dad? I still contend StarTrek is the best movie of the summer. Iron Man 3, a distant second.",Null,1,3,16 June 2013
Silver Linings Playbook," Great movie
","This is a great movie. Although my husband's take away was that it is a chick flick, it is really a movie about mental illness. Yes, the ending is chick flicky and contrived but Bradley Cooper plays an awesome Pat Solitano, a man in his own head with his own demons to work through. I guess I identified with this movie because I have a 'Pat Solitano' in my family and he's married to my sister. Not that she's cheating, but the irrational rages, yelling, repeatedly saying 'Can i tell you something?', the OCD, the craziness when his mind gets set on a task (like finding a wedding video) . He won't take any meds either. As portrayed in the movie, it stems from the family. Examine the Robert DiNero character and his marriage relationship with his wife, mostly the way the wife manages the marriage to keep her husband and his own illness at bay. She's on edge, always smiling, everything is OK, when it's anything but. Bradley Cooper played this part spot on and I'm sure he did much research before filming. It is very difficult to play someone with a non-recognized mental illness effectively and convincingly and so emotionally grabbing without over acting it. He deserves recognition for this roll. I appreciated the way the Tiffany character, played beautifully by Jennifer Lawrence, kept him grounded by bringing his illness right smack into his face, all while going through her own grief and time of uncertain despair. If the ending was handled differently I would've given this movie a 10. But really an important film to see and maybe even take 'that' family member or friend with you so a conversation can be started.",9,2,5,9 January 2013
Paranormal Activity," Not worth the time
","Let me start with my personal demographic which I wish others would do when writing a review. Female, 48, Tucson AZ. I will also say that I was very close to walking out of 'What Lies Beneath' so many years ago because of the fear factor. I'm an easy scare, eyes covered, head buried in neighbors' shoulder if ever there is the slightest hint of approaching horror tension. I sat thru this movie arms folded in front of me, chuckled a few times, never once jumped or gasped. The first hour is extremely slow and boring. The guy character is dumb as a rock. The girl plays her roll better, but as someone else said above, couldn't they call in a priest, rabbi, maybe Another demonologist in southern California?! The progression of anticipated fear and terror is not as described in previous reviews. It's just not done well. It's just silly. And my boyfriend, 56, totally called the whole ending to me 15 minutes before it happened. It could be that 20-30somethings see this movie with different eyes, which is why I would like ages included with reviews. But if you're in my age range, Zombieland is a way far better bang for the buck, and lots of fun too.",3,10,19,25 October 2009
Titanic," 'See it again for the first time'
","I love the way people write 'May Contain Spoilers'. Are there folks out there who have never seen the movie in theater, on TV, on DVD or VHS ? Are there folks that don't know the story? Makes me chuckle. But I digress.... This movie is one of the best ever made and I was thrilled to see it again on the big screen. I do not believe the 3D adds anything to the film, as much of it is still in 2D with the 3D element in either the foreground or back round. I am not that observant to notice that the brightness of the film is 20% diminished due to wearing the glasses, as others have mentioned. I am spell bound by the story telling.... documentary/love story/action disaster movie. I have see this movie more times than I can count , including no fewer than 8 times in the theater when it first came out. I still cry every time, starting when Jack takes rose flying off the bow of the ship, heightening when the string quartet starts playing 'Nearer,My God, to Thee' and I don't stop until after the credits roll. Every element of this film holds your interest, characters are spot on, once the sink sequence starts it is edge of your seat, heart pounding as you see special effects that you can't believe before your eyes. And for me personally, shout out to the costume/wardrobe outfitters because I love the clothes in this movie. Cameron's attention to detail is unmatched. Bravo to his work ethic! I guess that's why it takes him 10 years to make his blockbusters. But, hey, when the films make over $100mil, you don't really need more than 2!",10,4,10,7 April 2012
