movie_title,title,review,rating,helpful,total,date
The Benchwarmers," Great Fun!
","The benchwarmers is a funny, feel good movie that guarantees lots of fun. It is about three young men, two have never played baseball in their life and one is a professional. Somehow, with only three players they end up making a team. They make it to beat bullies and to show them that they shouldn't be mean to other children.The Benchwarmers is a very enjoyable movie with some great slapstick moments. It stars David Spade (The Emperor's New Groove), Jon Heder (Napolean Dynamite) and Rob Schneider (Big Daddy).Anyway, have fun watching this great movie.8/10",8,0,0,21 October 2006
Ali," Will Smith holds up a very strong role in a good movie
","Ali is a very entertaining and beautiful movie that stars Will Smith as Muhhammud Ali. The plot is simply the life of Muhammad Ali and his amazing boxing career.One thing that I thought was very interesting was the fact that Will Smith has jumped from mildly silly parts in movies such as Men in Black and also in the T.V. show 'The fresh prince of Bel-Air' to a brilliant performance in a difficult part. His physique is also quite amazing as he is usually not muscular at all but he is very big in this movie. Jami Foxx also co-stars as his sort of coach and also gives a very good performance.Overall, I thought that Ali was a very entertaining and good movie with a strong cast and great acting.8/10",8,1,2,26 October 2006
Memento," Original, well written, WOW!
","Memento is a very original movie that stars Guy Pearce as a man with short term memory loss which means that he can't make new memories since the 'incident'. Leonard is on a quest to find the man that assisted in his injury but the only way he can remember anything he has learnt is by tattooing vital clues on his body and by Polaroid photos. Carrie Ann Moss co-stars as Natalie, a bartender that is helping Leonard find justice. It also has Joe Pantoliano as a shady cop who is also assisting Leonard.Memento is a great movie that is unbelievably written. If you are looking for a movie that is interesting, original and that will keep you thinking about it for the next week then I highly recommend Memento.10/10",10,0,2,3 September 2006
12 Monkeys," Stunning movie that displays Gilliam's amazing talent
","Twelve Monkeys is an insane time-travelling, action packed movie that stars Bruce Willis who plays James Cole, a man who is sent back in time to collect information about the devastating plague that ensues in November of 1996. Unfortunately, he is sent back too far to the year 1990 where everyone believes that he is insane.This movie is thrilling and has great acting performances from Bruce Willis, Brad Pitt and Madeleine Stowe. Twelve monkeys is one of the greatest time travelling movies that I believe anybody can enjoy. Terry Gilliam has created a true masterpiece10/10",9,0,0,31 July 2006
Shaun of the Dead," Man this movie's funny
","Shaun of the is absolutely hilarious. It is pure brilliance. It is stupid, ridiculous but still magnificent. The plot is basically that zombies start taking over the earth and some Average Joe (Simon Pegg) has to decide what he's going to do about. This movie is gory, rude but downright great. It has some great one liners with some subtle humour. The whole movie is basically crazy. Edgar Wright and Simon Pegg have done a very good job on writing this movie. I hope to see and hear more from both of them. This may be one of the best movies to come out of the United Kingdom.Overall, I would would definitely recommend this to anyone who is looking for a hilarious, fast-paced roller-coaster ride of fun and a whole bunch of hilarity.9/10",9,0,2,28 October 2006
Pirates of the Caribbean: At World's End," Great, but not if you like short movies.
","Pirates of the Carribbean 3 is definitely better than the second in the instalment. The plot keeps you hooked till the end and the acting is great as well. The amazing music still stands strong and all the effect and clothing still look magnificent. The third instalment was also a lot more violent than the first and second movies (watch out for hangings) However, this is not for anyone who does not like epic movies. At 2 hours and 50 minutes you need some food with you to keep you going. None of the film is particularly boring but the time doesn't just speed by like it does in other long movies. I also suggest you watch it with a friend as it will make the film all the more fun if there is someone to talk about it with afterwards.To sum up, I highly recommend this film to anybody who does not mind sitting through a long movie. Bring a friend, so you can have more fun and enjoy! 9/10",9,1,1,27 May 2007
Spider-Man 3," Great film but a bit soppy
","Don't get me wrong, Spider man 3 was a pretty great film but I have to say that this sequel was too soppy. Too many moments where (if it were on e4) you would hear a track going 'aaaaaaaaaaww' when what they should be saying is 'woah!'. This was definitely the funniest of the three spiderman films with Tpbey Maguire's new look and hilarious personality.Great performances by most actors - mainly James Franco as Harry Osbourne. Excellent baddies throughout the film (there were many) including Sand Man (Thomas Haden Church) and Venom (Topher Grace).Overall, I give this film a 9/10 but for it to get 10/10 they need to cut down on the soppiness.",9,1,2,12 May 2007
Snatch," Excellent movie
","Snatch is just hilarious. Wow. Great stuff all round. Brad Pitt is great as usual. Jason Statham is hilarious. And also, this may be my favourite Vinnie Jones film ever because personally, I don't consider him the greatest actor ever. Anyway, back to the film, as I was saying, it's great. Snatch is all about two guys who are involved in illegal boxing and one day they decide to buy a new caravan and all of a sudden it turns into a rip-roaring ride of hilarity which is full of revenge, back stabbing and downright stupidity. The cast is great (even though there are sooooooo many characters), the plot can be a bit confusing but it doesn't matter because it's funny. This movie is slick, funny and bizarre all at the same time. If you are looking for a movie that will keep you laughing for hours after it has finished then I highly recommend Snatch.Enjoy it. 10/10",9,1,2,22 October 2006
Corpse Bride," Beautiful
","Corpse Bride was a work of art. Its beautiful animation, character design and colours created an amazing and dark atmosphere. The models were beautifully crafted and you can see the time, care and attention they put into the designs. The feeling throughout the whole film was very dark and eerie.The plot was entertaining and well written but I thought this film was all visual.I thoroughly enjoyed this film and would recommend it to everyone.Director: Tim Burton8/10",8,0,0,23 February 2008
The Bourne Identity," Great action movie!
","The Bourne Identity is one of the few great modern action movies.It stars Matt Damon as Jason Bourne, a man with amnesia and does not even know his own name. On his quest to find his identity, the CIA send assassins to kill him. Why? Well watch it and find out.The Bourne Identity is the greatest action movie since Braveheart. It has some e action scenes, some high speed car chases and much much more. It also has some great performances from Brian Cox, Julia Stiles and Clive Owen.Watch this movie if you are looking for a roller-coaster ride of action packed fun! 10/10",9,1,2,23 September 2006
