movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," A masterpiece for our time, a reflection of our future
","Bladerunner 2049, like the original, is a concept art movie whose DNA is pure introspection wrapped tightly in a silk of ambiance. Various other movies have attempted to introspect on what it means to be human... What humanity is... Bladerunner is among the best of those, but it doesn't stop with just that question. When you analyze the Bladerunner movies together you find yourself sensing metaphors and symbols and outright injections of racism, sexism, elitism, commercialism, and 'isms' I haven't even thought of; exploitation, environmental negligence, invasion of privacy, neglect, police corruption, and abuse of power. It was a frightening glimpse at ourselves today, at our inner nature, at fears ranging from xenophobia to claustrophobia to phobias that haven't been invented yet. Those are the negative things, but you can also find human ingenuity, art, innocence, and the need for love and nostalgia, all but lost like tears in the rain. The pacing of the movie was ponderous because it needed you to digest all of this brain food and eye candy, and it used the music and sound effects and visual effects to keep your attention. The music helped to glue you to the thoughts the movie was injecting you with - and some of them were on the level of subliminal advertising.It remained consistent with the original movie, in continuity with the atmospheric theme but allowing us a more diverse glimpse outside the urban waste-cage and the clutch of overpopulation. But there is no improvement to be found outside the city: it is a lonely place with or without the crowds. The barren desert landscapes, the angry ocean waters, the garbage heaps of San Diego littered with desperate children, and the decadent remains of a sepia-baked Las Vegas were no improvements, and yet the eyes drink it all. The assault of personal space and by unregulated advertisement and human debauchery that sticks to you in like filthy grime was set in stark contrast with a distinct isolation on the outside, no better and no worse, and all welded together with stunning sounds. Both Bladerunner movies are a war between perfection and imperfection: our struggle to create a perfect world for ourselves results in a world decidedly imperfect. This is a world- build set on the unstable ground of organic, cultural, technological and industrial blemishes, the kind we turn our eyes from and pretend they don't exist. Watch both movies and you find yourself buried in things that fail or do not work quite right... Shorting out, dying, rotting, falling into disrepair, scraped up, beaten up... It is the future through the lens of today, rather than through the rosy glasses of yesteryear.There are scenes in the Bladerunner movies (and others) in which the characters really aren't doing anything but thinking or taking a journey. The plot doesn't move and the characters don't develop. When that's done on purpose (see Under the Skin for more-than-enough of that technique) and when the actors and Director of Photography and Sound Designer and Composer aren't on board with what the director is trying to do, it fails. Even if they ARE on board it could fail, so it's a risky art, especially with an enormous amount of studio money, in a system where the studio people can intercede to 'protect' their investment. I felt that this cut could use a little trimming here and there, as we lingered on a person thinking for a few seconds too many, or waiting (without any suspense) for Deckard to finally say, 'Rachel,' and as I waited, in my mind that police loudspeaker was saying: 'Move-on... Move-on... Movie-on...'The question of Deckard's humanity, and the ambiguity that drives everyone to debate it, is the metaphor of ourselves. He is the 'everyman.' What makes us human? Aren't' we all machines, striving for perfection, losing to imperfection, tangled in a war against death for a life of despair we can't seem to win? The unicorn has been used in mythology to symbolize the incarnation of Christ, able to bring back the dead and offer immortality. It did not make an appearance in the second movie. Or did it?",10,6,14,16 October 2017
Pirates of the Caribbean: On Stranger Tides," An unspectacular follow-up
","On Stranger Tides wasn't nearly as 'strange' as the third installment, At World's End, nearly as crippled with plot holes, and not even half as spectacular as Dead Man's Chest. While it brings back everyone's favorite two battling pirates, Jack Sparrow and Hector Barbossa, who were played out in all their colorful glory, none of the supporting characters were of great interest at all. Probably most disappointing was Blackbeard, who looked like any other pirate and didn't stand out to me as being a very imposing villain. Compare him with Barbossa when he was a ghost, Tia Dalma and especially Davy Jones. Lots of missed opportunities here. First of all I would have made his beard BLACK, and something you can't take your eyes off of (hence the name), and I would have given him more magical power and sinister dialog. He should have been made into the nastiest, least honorable pirate alive. And I would NEVER have given him a girly daughter.The mermaids were interesting as an idea, but as characters they played too small a role to sustain my attention. The Fountain of Youth was promising when they crossed into it but failed to deliver after they arrived. It was about as visually appealing as... well, an ordinary cave spring, only with a hint of ruins standing within.The movie had many amusing moments, but they were strung together by the traditional pirate clichés and more sword fights that offered nothing we haven't seen before. The background pirates were hardly even noticeable. No lovable sidekick pirates like Ragetti and Pintel or mascots like the undead monkey.All in all it was fun to see Johnny Depp play Jack again, one of his most compelling characters, and Geoffrey Rush's ingenious Barbossa, but if you're looking for something to top Gore Verbinski's trilogy you'll be disappointed.",6,2,5,21 May 2011
World War Z," It was worth seeing, but was it worth making?
","When I first saw the trailers for World War Z, I thought, 'Seriously? More zombies?' Just when I thought the genre had been done to death. I figured the TV series The Walking Dead pretty much capped it. Can't get much better than that for a zombies-are-taking-over-the-world scenario, not because there is anything about the zombies that hasn't been done before, but because The Walking Dead is a very well scripted survival series with an excellent cast playing well developed characters.I honestly had not read the novel on which this movie was based, itself a sequel. And I was quite surprised that there was a bidding war over the rights to it. Could it be really that different from everything else? Well, it's not remarkably different. There is nothing particularly unique about these zombies, or in the story. They have their own particular spin, and set of rules. They bite, and that spreads some kind of disease. Seen that before. They're quick. Seen that before too, but I think this is the most tireless I've ever seen them portrayed.But they aren't technically zombies... That is, you don't have to die first, and they don't seem to be 'eating' people, just biting them. It's more like a super-virus with zombie-like characteristics, infecting people extremely fast (within seconds), while they are still alive. Once zombified, the victim exerts energy that would make the world's greatest athletes jealous. They are fast, tireless, feel no pain or emotion, somewhat strong, and really hard to 'kill.' There is also a way to walk among the zombies without being attacked, which is slightly unique. In some zombie movies you just have to act like a zombie, or disguise yourself with zombie stench, but World War Z introduced its own take.At any rate, it's a fast-moving plot with several visually spectacular sequences. Brad Pitt carries the film.As a writer myself, I think the screenplay missed the opportunity to vastly increase tension. They should have kept his family on the brink of danger. Instead, his family was given relative safety. I wouldn't have done that. There is nothing more stressful to a father and husband than to put his children and wife in danger and keep him from helping them. This would have been much more suspenseful and emotionally engaging.World War Z was a fun movie to watch, and while it didn't 'redefine' the subgenre, it moved the needle a little bit by creating EXTREME zombie energy. (These guys are DESPERATE to bite people! They reminded me of a blend of army ant and killer bee behavior.) So it was worth seeing, but I have to wonder why it was worth making? Did the genre really need this? Was it worth the risk for Plan B (Pitt's company) to win the bidding war? Not so sure.For Pitt's sake I hope it does well enough for him but I would sure like to sunset the zombie subgenre because I'm getting fairly tired of it.",7,0,7,21 June 2013
Alien," Classic Gothic Horror
","Alien (by Ridley Scott), despite some opinions to the contrary, is an exceptional piece of film-making. It is, in fact, an icon of horror science fiction, better than anything of its kind until that date (1979). Bad films are ignored, and this portrait of character has been anything but ignored. It is therefore by popular opinion a significant and memorable work of Gothic horror. Those who disapprove of Alien are generally eager for action horror, and this is not an action horror. Aliens (by James Cameron) was an action horror - a very different kind of movie. Alien 3 was a Gothic horror once more, but not even comparable in quality as Ridley Scott's vision. Alien Resurrection was an action horror, but not even comparable in quality as James Cameron's vision. If you are interested in the *aesthetic* use of film in this sub-genre, there are few movies that surpass this one. Prove me wrong.",10,1,3,1 August 2009
Pacific Rim," Sappiness dragged down an otherwise cool concept
","Ever since the original Gojira in 1954, a serious movie about a giant monster tearing down our civilized world, I've been hungry for an epic movie with the same treatment.The wait goes on. And the reason is because the subject matter is rarely taken seriously. In fact movies of this ilk are intentionally goofy or tongue-in-cheek, and Pacific Rim is well within that range. It's as if the storytellers feel that there is no way to treat the subject matter in a serious way. After all, it's ridiculous to have giant monsters rise out of the sea and knock down buildings, right? So why not make movies about it that are just as ridiculous?Really bad thinking.All of the Godzilla movies made by Toho since the 1954 movie were dumbed down, made for kids. The Roland Emmerich Godzilla in 1998 was full of ham. Cloverfield was serious, but the found-footage hyper-POV format killed the epic, global flavor that I wanted.I had high hopes for Pacific Rim, but I was very disappointed. The scientists really killed it. They were so ridiculous I was embarrassed every time they had a scene.Also, Pacific Rim is as much about giant fighting robots as about the giant monsters. The movie began by summarizing an entire history wherein these creatures attacked us, with a few glimpses of them, and jumped forward to begin our story when we already were at war with them using giant robots. It rubs me the wrong way to tell stories in this manner, but I keep an open mind on a case-by-case basis. District 9 used that format, wherein it started long after the aliens have already arrived, rather than chronicling the arrival itself. But I was fine with it. But in Pacific Rim I felt like I was watching a sequel to a movie that was never made.The battles between robot and monster were very hard to see. There was always darkness, pouring rain, splashing ocean water... I felt like I rarely got a good view of the monsters.But all of that I would have forgiven if they had expunged it of sappy scientists acting like cocaine addicts and spouting things that made no sense.I look forward to Gareth Edwards' Godzilla treatment next year to see if he finally breaks the trend.",7,6,15,14 July 2013
Kung Fu Panda 2," Even better than the original
","Po is a kung fu legend who can't seem to act like one. He's a goofball with a good heart, and tries hard to fill a serious role, but he thinks that also means being cool, which unfortunately never works out for him. You have to give him credit for lack of embarrassment. He's not ashamed of himself, because he knows he's doing the best he can, and people look up at him anyway.The story naturally fills a gap left by the first movie that we didn't realize was there, so it did not feel as though it was repeating itself. His lesson is a new one, and the lessons fits well with the adventure that has been thrust upon him this time. Funniest animated feature since Tangled, and well worth an afternoon with your kids!",9,0,3,29 May 2011
Bad Teacher," Bad Teacher, Worse Movie
","A truly uninspired comedy with lackluster writing, weak plotting, and very little comedy. Apparently conceived to capitalize on the bathroom-humor fad, this entry by the makers of The Office should have gone through more rewrites, and perhaps -- dare I suggest it -- given to some other writers for some fresher comedy and character arcs that actually make sense. Cameron Diaz plays Elizabeth Halsey who has no interest in teaching. When the movie opens, she's already been there a full year. I can't imagine how she made it through the first year without anyone realizing how horrible she was. She quits the job because she's found a rich boyfriend and is using him for his money, but her boyfriend's mother wises up and their pending wedding is canceled. So she must return to her dreaded job, and based on what we see on screen she's so incompetent that it seems ridiculous that the principal and the school board never notice. It would have been far more believable if she had been a new teacher who was forced into the role for some clever reason. Maybe she should have been trying to make moves on the principal, who became love blind and pulled strings to get her the position -- which she didn't want but needed to take in order to get something out of the principal she needed. She's a user in the extreme, superficial to the last, with no moral values that I can see. So it makes no sense for her to have ever pursued teaching as a career.Now, it is normal for characters to grow and transform as the story progresses. That is what story's are all about, in fact. But Halsey doesn't grow or transform at all. She only 'tries harder' at teaching so that she can win a contest to get money to pay for a boob-job, which she believes she needs to attract another teacher who comes from a wealthy family. When her students seem to be failing to meet the standards she needs, she finds a way to steal the answers to the school tests so that she can train up her students on how to pass it (they don't show how she manages this). This plot works, but she is caught by another teacher. Does this teach her a lesson? No, she adds blackmail and other tricks to her list of crimes and wins that battle too. By the end of the movie she has not redeemed herself at all, and I had to wonder how these writers can consider themselves professionals.I'm giving the movie a 5, which is being nice. Cameron Diaz is too good for roles like this, she needs to choose more carefully.",5,2,7,30 June 2011
Saw III," Can't say as the posters make me want to see these movies, but the movies are great fun!
","As I have said before, I am not a big fan of chop horror... There are very few exceptions. The Saw series is just brilliant for its genre, because the 'bad guy' is completely opposite the expected norm. He's a dying man who doesn't 'directly' kill anyone, but is so brilliant that he knows how to manipulate people into killing others by not sacrificing themselves. He is, of course, a murderer in any court of law, but he doesn't think of himself as one. He says he despises murderers. That is what is smart about this franchise, because the character of JigSaw is not unlike some psychopathic murderers in the real world, who do not see that they are really doing anything wrong. In contrast they may even see themselves as doing something very right.This unconventional series continues to engage in suspenseful plot twists that keep you wondering what JigSaw has up his other sleeve.As for the posters, which are intended to attract people into the theater? GASP. I did not watch Saw II and III at the theater precisely because I thought the poster was revolting and I have no interest in torture-fests (ala Hostel, which was dreadful). Gosh, you'd think I didn't have to say that torture is not entertainment, but I guess for some people it is. It's not the torture that is good about Saw III, it's the plot twisting and the character of JigSaw himself. But except for the first one, I managed to catch up on the series on DVD.",8,0,0,1 August 2009
Unknown," Worth your money
","An ingenious script that echoes concepts, plotting, pace and intrigue from mysteries such as Nowhere Man, Frantic and The Bourne Identity. Once again, Liam Neeson shows his prowess in choosing projects of high interest and executes a performance that connects well with his audience.To put this in context, mystery thrillers are very hard to pull off anymore. Filmmakers must create layers of mysteries that the audience cannot easily second guess, peel them back one by one to reveal answers that themselves sometimes turn into mysteries later, and resolve all of them in 2 hours without seeming contrived or obvious. To make it more challenging, the characters must be empathetic, the action sequences satisfying, the pace agreeable, the dialog convincing, and the setting compelling.Director Jaume Collet-Serra has pulled it off again, following on the heels of another successful thriller, Orphan. This director is a rising star.",9,43,84,19 February 2011
Super 8," Fun, Sweet, Funny, Scary, Nostalgic SF
","Coming out of Super 8, I felt as though it was the early 80's again, or sometime in my own childhood. That is not because it was set in the early 80's, however. It's because J.J. Abrams engineered a style of film that reminded me of a monster movie formula of the 60's combined with a science fiction formula of the 70's and early 80's. It definitely has a Spielbergian echo, with thematic homages to movies Spielberg directed like E.T., Close Encounters of the Third Kind, and Jaws, and produced in his early years like Poltergeist, Gremlins, and The Goonies (when he was more creatively involved). Monster movie motifs were found all over the place, ranging from zombie flicks (the type of Super 8 movie the kids were making) to Them and Earth vs The Spider, as well as cult SF alien invasion movies like Invaders From Mars.Abrams thankfully avoids the shaky-cam trend of modern movie making and takes more time setting up shots and angles that work in the moment, another Spielberg and Hitchcock style I wish more directors would adapt.That is not to say that Super 8 isn't original. Every child carries genes of his or her parents, grandparents and ancestors, but is still unique. It is a great adventure movie featuring a group of kids doing things not unlike what I tried to do when I was young (but with a lot better resources than were available to me), and so it reached me personally not only in style but in content.For younger audiences, who may not have even been born until the mid-80's (or later), and who haven't taken the time to watch movies from earlier years, should find it fresh, fun and interesting, and unlike your typical Michael Bay action film, easy to watch.No matter how it performs in today's box office climate, I think Super 8 will prove to be a classic in later years.",9,3,7,11 June 2011
