movie_title,title,review,rating,helpful,total,date
Black Swan," It's 'Eraserhead' for stupid 16 year old girls
","This review has massive spoilers.This movie can be split in two, kinda like the white and black swan analogy. About 15% of it deals with the world of Ballet, in a crude, sort of realistic manner. This part of the film demanded acting, which the whole female cast delivered. It demanded some major dancing, which Portman delivered in a way no other actress has - she really did her homework and delivered an awesome rendition. Wynona Ryder disappears in a great supporting role as well. These 15% alone grant this movie a 6 out of 10, it's that good.The rest... Well, 5% of it are unnecessary masturbation scenes. The other 80% are a stupid mess, mixing the clichéd 'unreliable narrator who is hallucinating and things will show up as they are in the end' with uncomfortable, awkward scenes and a weird 'pseudo-horror' vibe. Like Jack Nance in Eraserhead, Nina goes from one awkward and disturbing moment to the other. All the way through the whole film. It's over the top, it's self indulgent and, aims for an ending that looks like it came from M Night Shyamalan's rejected ideas bin. It's so confusing, we are absolutely lost in the character's madness in a way that takes away the joy of the movie. We are treated to unnecessary injury shots, and the whole Kafkaesque hallucinated metamorphosis too literal (and bizarre) to be taken seriously.And how the hell did she manage to dance with a fatal wound for half of a presentation? How convenient she managed to bleed only at the end.Al in all, it's not that bad of a movie, it's watchable, but don't give it too much credit.",6,1,4,4 February 2011
Star Wars: Episode I - The Phantom Menace," The worse Star Wars movie
","If you go watch this movie as 'The Phantom Menace', than you can say it is quite good. But if you watch it as 'Star Wars - Episode one', than you have a piece of crap. It is indeed the worse Star Wars movie, but ISOLATED it's good. 'The Phantom Menace' - 3 of 5 'Star Wars - Episode one' - 1/2 of 5",3,1,2,19 February 2000
Gravity," Gravity's charm is in it's bare simplicity, but it brings along flaws
","This is how I would explain Gravity to someone who has not seen the movie, without spoilers, but explaining exactly what they will see:First, take a regular, Michal Bay-ish screenplay about a space disaster. Got it? OK, so now, you take the first 20 pages off (usually the first act), and throw them out. Now, rip off the last 10 pages (the conclusion of act 3), and also throw them out. Now, you get a black marker pen and cross out every single reference or dialog involving:* Any character except George Clooney's or Sandra Bullock's. * Any scenes set in Houston or at other space stations. * Any references to explosions, any references to how things should sound.Now, you get what is left and rewrite it to make it 3 times simpler, but keeping any actions scenes you had.OK? Now, it's time to shoot this baby. So first, you gotta have Cuaron (the director) watch 4 movies over and over again in order to get the feel and the references:1- Pixar's WALL-E. 2- Alfred Hitchcock's Rope 3- Any space walk scene from Brian de Palma's Mission 2 Mars 4- His own Children of Men one shot car sequenceOK, now, make sure you get the best technical crew in Hollywood - because this movie needs to look GREAT.When it's time to mix the audio, all the audio channels with noise, mute them. If the audio guys complain, threat to fire them.Jokes aside...This is exactly how this movie feels. A bare basic second act of a great action film. Yeah, there are technical inconsistencies and plot holes. Yeah, George Clooney is playing himself again... But the charm of this movie is how Cuaron kept the good parts, and only the good parts, and made it work. It's half of an action script with scenes that reminded me of (the awful) Mission 2 Mars, but done in a good way. However, it's simplicity and stripped elements bring the feel that 'something is missing'. Movies have a structure that takes decades to change, and although I am all in favor to change, this is a bit too much in a single direction. As for the long shots, it feels gimmicky sometimes.All in all, a great theater experience, but not something generally amusing to see on a TV or, heaven's forbid, your cell phone. Go watch it.",7,1,3,6 November 2013
Captain Marvel," Captain Mary Sue
","As usual with Marvel movies, this is yet another chapter of self indulgent pseudo-entertainment focused at Millennial man-childs (or, should I say in this case, 'woman-childs'). A pointless story about nothing, just goobidy gook tech mumbo-jumbo and aliens flying around, running around, making jokes. This flat, pointless piece of ego-massage self insertion has Captain Mary Sue, played by who cares, facing the obvious true villain (Jude Law, who surprisingly still gets roles).Obviously any remarks about the quality of this piece are pointless, as it's audience has already decided it will swallow anything their favorite brand throws at the silver screen.Avoid it.",2,91,164,17 March 2019
Midnight in Paris," Brilliant plot idea, superb acting, incredible art design - but lacks humanity
","Midnight in Paris is a movie that really deserves all awards it could possibly get, including best picture of 2011, and yet, I feel it's a movie that does not quite deserve the Best Screenplay award (unless, of course, the competition is too weak).I don't need to go on about the movie itself, as other reviewers already done so. It is technically perfect, the casting is spot on, and the art direction has an unusually high standard, at least for Woody Allen films.However, I feel this movie could be so much more. Why doesn't Gil research a bit more about Adriana apart from randomly finding a diary? Why doesn't he seem torn apart his fiancé and his love from the past? Why does Paul simply vanishes from the movie at the point he is supposed to be flirting with Gil's fiancé (thus bringing the audience more reason to have him follow Adriana, and his decision not to be much more painful)?It feels like one draft away of a perfect movie - and it feels much of the original emotional punches and the character arcs were left in the cutting room floor. Pity. It is very good, but could have been MUCH better.",8,0,0,1 March 2012
The Matrix Revolutions," Why? What happened?
","I enjoyed the first Matrix movie. It had a few characters, the plot was not all that complicated, and it was based on a very cool concept (humans traped into a virtual reality program). It was an action movie that made you think about life and its meaning.On Matrix Reloaded, it got complicated. A lot of characters. Zion. Meetings between characters I didn't know the name. Programs and more programs (Keymaker, Merovingian). Smith got loose, somehow. Complicated and obscure plot. The Architect (what the...). BUT... it was a great action movie. For me, the amazing action scenes compensated the confusing, obscure plot.I saw Matrix Revolutions yesterday. Well, how can I say it... It sucked. The plot is even more obscure. Every questions from Reloaded kept unanswered (like Persephone's kiss). The action sequences were clichéd, and boring. Even the fight between Neo and Smith (which was supposed to be the final combat between good and evil, the most amazing fight in all 3 movies) wasn't so good at all, it felt like a bad, bad, bad DragonBall episode. All in all, it was... disappointing. Just disappointing. No genius plot twist. No amazing action sequence. The characters were flat, the dialog was terrible (sometimes I felt Keanu was reading from cue cards, and I felt like Fishburne appeared in about 10 minutes in the whole movie).Will the Wachowski brothers ever release any good (and by good, I mean profitable) movies ever? Will they ever recover from the Matrix? will they ever give an interview again? I belive not.",3,1,1,9 November 2003
Cast Away," Survivor movie
","Cast Away is, in fact, a good movie. A man all alone in an island trying to survive, there are quite few movies about that.The movie is slow, even when Hanks' character isn't on the island, and that's a real problem if there is almost no dialogue in most of the movie. But Tom Hanks did it very well, specially his 'insane' dialogue with Wilson.I think Cast Away is the perfect movie to watch on a DVD, but too slow to be seen in the big screen.6/10",6,0,1,25 January 2001
Captain America: Civil War," The idiocracy dictated by movie tickets
","This latest chapter in the never-ending 'Disney Secure IP Investment' saga has the usual cartoon characters (such as Captain Return of Investment, Iron Rehab Man and Sony-Deal-Man) quickly moving and jumping through the screen to amuse millennials who are bored with their current smart phone for 150 minutes. This 'film' adds up a new lineup of heartbreaking sell outs such as Martin Freeman, Daniel Bruhl and William Hurt, all whose their threshold between dignity and bank account have finally been crossed, joining previous familiar sell outs such as Paul Bettany, Scarlett Johansson and, inexplicably, Don Cheadle.The nonsensical, incomprehensible plot follows Formula 1 pilot Niki Lauda (Daniel Bruhl, reprising his role from 'Rush') arranging an elaborate, over-the-top revenge scheme against the cartoon characters, forcing them to fight for our enjoyment, like a 21st century Mandingo fight for children, a plan only vaguely possible due to uncontrollable and unforseable events such as the United Nations resolution. Under a man-child prism of the world's politics, the script takes the cartoon characters to move between exposition scenes and action storyboards, all in the very awkward dichotomy of juvenile writing and over-expensive 'film making'.Any little enjoyment that can come from this movie requires accepting the dooming idiocracy that controls our world, economy, politics and fate; embrace your inner idiot and laugh at a giant cartoon character holding a small, tin-man character.How many insightful, meaningful and intelligent films we could have produced, under the realms of real talents, with this 'film's' budget? How many excellent pieces of cinema, inspiring and motivating, touching and thought-provoking, could have been made if the masses preferred content over shiny objects? Ten? Twenty? Fifty? We may never know; we may only cry for the lost art that will never be.Watch it in the unnecessary headache-inducing half-assed-converted 3D.",3,95,194,3 May 2016
Toy Story 4," Sequel-hungry Disney once again forces Pixar to produce mediocrity
","Unnecessary. Forced. Repetitive. Redundant. Mediocre. All words I could easily use to describe Toy Story 4, without fear of being unfair. While not as bad as other previous Pixar misfires, this sequel sadly does a disservice to a perfectly crafted trilogy that had its sunset... but now is reborn out of necessity and not quite as well-shaped as its predecessors.I had to see Toy Story 4 because I believed the producers would not allow their prized movie series to be tainted by Disney's requests for cash-grab sequels. Surely they had something in mind that could surpass the third installment. What could it be? I had to see it. Sadly, it was nothing worth it.The movie repeats the previous movie's general plot (lost toy tries to go back to it's kid), but not as cleverly. It's tiring and repetitive, with the same rescue scenes again and again, making the whole thing seem tiresome and badly paced. There was nothing new that was brought by this film that wasn't already covered or portrait in previous films, but they just had to do it. It sticks out as a bad outlier, as an anticlimactic finale.While not necessarily bad, it pales in comparison, suffers from pace issues, has a terribly unmemorable antagonist and taints the third film's ending and purpose.Like Kingdom of the Crystal Skull, I say, stick with the trilogy and forget about this one.",6,8,15,30 June 2019
"Crouching Tiger, Hidden Dragon"," Warning: This is not Jackie Chan nor Jet Li!
","When I went to see 'Crouching Tiger, Hidden Dragon' I was expecting some sort of Jackie Chan kind of movie. How wrong was I. This is a good movie, but here's a warning to those kung fu movies fan: this is NOT a Jackie Chan or Jet Li kind of movie!The movie is very beautiful, and very well directed. The fighting scenes are great, but not the best ever filmed. The problem is that sometimes this movie gets slow, and some other times it gets VERY slow. But hey, this is an art movie, not some mindless action movie like kung fu fans are used to see.I do recommend 'Crouching Tiger, Hidden Dragon' for those who like a good martial arts sequence and like a good old slow paced drama. I think it is a good movie, but overrated...",6,0,0,18 February 2001
