movie_title,title,review,rating,helpful,total,date
Star Wars: Episode I - The Phantom Menace," You Thought the Ewoks Were Lame?
","The little teddy bears from Jedi were actually pretty cool when compared to Jar Jar Binks, the single worst character in the history of the Star Wars franchise. He's even more annoying than Hayden Christenson's Anakin Skywalker, which is saying a LOT. This was the first Star Wars movie where George Lucas brought in what were essentially cartoon characters, and there were times I didn't know whether I was watching a Star Wars movie or a space alien version of Roger Rabbit. I have the same complaint about this flick as I have about the other two 'prequels.' Poor acting (except of course for the great Liam Neeson), boring characters (kind of goes with the bad acting, but also with poor character development), banal dialog, and a plot that takes a backseat to all those neat effects coming out of Skywalker Ranch. Plus there are too many unnecessary characters, Jar Jar being a prime example. But also, Liam Neeson notwithstanding, the Qui Gon character didn't need to be there either. They could have had Neeson play Obi Wan..he certainly would have been more interesting than Ewan McGregor, and Neeson's age was more in line with where Obi Wan's would have been 30 years earlier, given how old Obi Wan looked in the first Star Wars. Mcgregor was too young looking, which hurt the story's continuity. Ditto Anakin Skywalker. He should already have been a teenager at this stage. That said, as much as Jake Lloyd got panned for his performance, I actually thought the kid did OK with what he had to work with (especially when held up next to Christenson in the subsequent flicks). There were also unnecessary plot devices which added nothing to the story (i.e. Padme's 'double.') The bottom line is that I didn't care much about what happened to any of the characters. No amount of action and dazzling computer effects can make up for that (I had the same problem with the old Battlestar Galactica, which had Star Wars type of effects, but again, characters that did not draw me in). On the plus side, besides Liam Neeson, one of the finest actors of his generation (like Alec Guinness, he can take boring dialog and make it interesting), Phantom Menace has the single best light saber sequence in the history of the franchise. You don't realize how slow and lumbering the sword fights in the first three movies are until you see the Mach I pacing in this one. Other than the fact that he looks like a multi-horned Satan, Darth Maul is actually pretty bland until you see him fight..ninja style with his double ended light saber. Fun stuff.Overall, Phantom isn't bad..but it could have been better.",6,0,3,5 January 2013
Spider-Man 2," A Worthy Sequel
","Spidey is back, and this time he's battling Dr. Octopus (aka Dr. Otto Octavius, played by Alfred Molina). Doc Ock is transformed via a nuclear fusion experiment that goes horribly wrong, fusing 4 virtually indestructible mechanical arms to his nervous system via his spinal cord..and destroying the inhibitor chip which prevents them from controlling his mind. You see Peter Parker back once again as a hard-on-his luck geek, when he's not chasing bad guys. The problem is that all that time chasing crooks has left him exhausted..to the point where he's failing in college and can't hold a job (and as such can't keep up on his rent at the dive where he lives). He's still hung up on Mary Jane, who, much to Parker's chagrin, is now dating J. Jonah Jameson's astronaut son. His buddy Harry Osbourne is still obsessed with getting back at Spider-man for the death of his father. And Aunt May's home is in foreclosure. All these distractions get to Peter, and he finds that his spider powers aren't always working (and they pick some really bad moments to go out on him).Spider-man 2 has generally been reviewed more favorably than the first installment. I disagree. It's got great visual effects, but it's a bit tedious in places. When the action does get going, it's great, but there's a LOT of talking in this movie..too much (except for the parts featuring the insufferable Jameson, once again played perfectly by J.K. Simmons). And Spidey 2 doubles down on the 'Peter Parker's a hard-luck nerd' angle. OK, first off, he wasn't that nerdy in the comic (I know, I'm being picky here, but nonetheless), but even assuming he was, it gets to the point where it's enough already..we get it. There's one scene in particular where Peter's heading for class (late, as usual) and is constantly getting knocked over and walked on by the other students. Part of that was to emphasize how exhausted he was from chasing bad guys, but still, it was too much.All criticisms aside, this is still definitely a superior effort as super hero movies go. All the performances are good. Alfred Molina does a fine job as the doomed Dr. Octavius. The effects are VERY good. There's a lot of CGI, but it actually isn't done to the point where it looks like a video game. Doc Ock's mechanical arms in particular look frighteningly real.Overall, a fine follow-up to my favorite comic super-hero movie. 8.5",8,0,1,23 June 2013
Star Wars: Episode VI - Return of the Jedi," Star Wars Begins its Descent
","I have several problems with this third installment in the Star Wars story (OK, to the Star Wars geeks, the 6th installment). As much as I can't stand those awful Ewoks, the worst part about this Star Wars is a script that sucks the life out of the main characters..especially Han Solo (you get the sense that being in carbon freeze for who-knows-how- long softened his brain). Luke's no fun anymore either. Hamill tries too hard to sound like Alec Guinness as Obi Wan did in the first one, and it doesn't work. Then there's the emperor, who is not just evil, but obviously a narcissistic a-hole who loves to hear himself talk. In several scenes he says pretty much the same annoying stuff (telling Luke that Luke now serves him, blah blah). I think the audience got the point the first time he said it. There are basically two parts to this one. The first is Han Solo's rescue from Jabba the Hut, which is great once it gets going. The problem is that it seems to take forever and a day to get going. Then there's the attack on the new Death Star, with three different scenarios: the actual attack with the fighters, the raid on the forest moon to get the shield down, and Luke's confrontation with Vader and the emperor. The scenes with the fighters attacking the Death Star were certainly involved. George Lucas threw everything but the kitchen sink in effects-wise, to the point where I felt bombarded by it all. It was too much. Then you have the Endor scene, which had those stupid Ewoks (what the hell was Lucas thinking?), but also had a really cool 'motorcycle speeder' chase scene. And then you have the confrontation with Luke and the head bad guys. Luke probably wasn't very happy to find out that the emperor could do more than fight with a sword..he can also shoot what amounts to lightning bolts from his fingers. But does Yoda warn Luke about this? Noooooo, Yoda simply says the cryptic, 'do not underestimate the powers of the emperor.' Lucas (and Richard Marquand, who directed) were obviously going for full-on drama in the Vader/Skywalker/Emperor confrontation, where Vader is as conflicted as Luke, if not more so. It doesn't work well. The sword fighting is fun, but the emperor's pontificating just gets tedious. And Vader is nowhere near as much fun as a good guy.For all its faults, Jedi still manages to be an entertaining movie..better than any of the 'prequels' which would follow years later.",7,0,1,6 February 2013
Fast & Furious 6," Check Your Brain at the Door
","OK, you would think that by now I would have grown up a bit. Haven't I had enough of mindless car chases and smoking hot scantily clad girls? NAAAAAAAAAH!Vin Diesel, Paul Walker, Dwayne Johnson and the rest of the bunch are back for FF 6, including Dominic's ex g/f Letty (Michelle Rodriguez) back from the dead (don't you love how they do that in movies?). The plot has something to do with preventing some international bad guys from getting the final piece to some dreaded weapons system, and...oh who cares? What's great about FF 6 is, like it's last couple of predecessors, it doesn't take itself too seriously..at least not too often..or get too distracted with silly things like a story. There are a few obligatory moments of feigned drama, but it's once you get past those and get to the racing that the movie really gets fun (there's one bad-ass racing sequence in particular, through the streets of London). Racing, shootouts, cool cars and hot babes bending over..what else do you need?Stay tuned for FF 7.",8,1,2,17 June 2013
Star Wars: Episode II - Attack of the Clones," The Worst of all the Star Wars Movies
","Attack of the Clones hit the theaters a week after the first Spiderman movie did. It was after watching the two movies one after the other that it hit me as to why I didn't like the Star Wars movies anymore (and why I loved the first two in particular so much). Spiderman had good dialog, a compelling story, and interesting characters who I cared about. Conversely, in Clones I didn't give a damn what happened to anyone in it. In all three 'prequel' movies we see George Lucas' journey into special effects and cartoon character/CGI excess, but it's on display the most here..or maybe it's just that the dialog and characters are so weak that it just seems like it (Sith takes the prize for the most bells and whistles effects-wise). I realized that without fun, likable good guys and interesting bad guys to root for and against, all the effects and shoot 'em ups are pretty boring. Make that REALLY boring. And then Lucas tries to do a love story on top of that and proceeds to butcher it (I remember when he used to be able to direct..think the first Star Wars and American Graffiti). You should be able to do something with a doomed love affair to make it interesting, and Lucas does everything he can to suck the life out of it. Anakin Skywalker and Padme are so boring (and in the case of Anakin, irritating) that you wonder how they could possibly be Luke and Leia's real parents (switched at birth perhaps?) I also fault the performances, and Hayden Christenson's portrayal of Anakin in particular, but in his defense he had nothing to work with script-wise. The only remotely interesting character is Christopher Lee's too-little-seen Count Dooku. Otherwise, it's Lucas and his world of CGI cartoon characters and video-game action sequences. And Ewan McGregor is NO Alec Guinness.",5,1,3,28 December 2012
Spider-Man," Greatest Super Hero Movie Ever
","Spiderman took me back to when I was 11, when I read the Spidey comics. More than any other comic-based movie, this is the comic book come to life, and it's better than any super hero movie I've seen before or since.I know, I know, a lot of Dark Knight enthusiasts will poo-poo this assessment. Fine (I'd rank The Dark Knight at #2). The thing is, I like movies that balance the serious stuff with a sense of humor (the Spidey comics did this), which is where the Dark Knight franchise falls short. For example, the man-on-the-street stuff leading up to Daily Bugle editor J. Jonah Jameson's initial rant had me absolutely rolling. The ill-tempered and insufferable Jameson was done to a T by J K Simmons ('We can get a picture of Julia Roberts in a thong, we can certainly get a picture of THIS weirdo!'). He actually did the comic book character one better; his performance definitely was the straw that stirred the drink mid-film. This is a good thing, as Spidey isn't quite the wise-ass in the movie that he is in the comic (my only complaint, and it's minor).That said, Tobey McGuire does a fine job of balancing Peter Parker, the nerdy science whiz kid, with his genetically-mutated Spiderman alter-ego, creating a bona-fide hero that the audience can root for. It seems every super hero has something that drives them to be a crusader for justice, and in Parker's case it was the guilt over failing to use his new spider powers to stop a thief who would go on to murder his Uncle Ben (Cliff Robertson in one of his many reliably good performances), who was also his only real father figure. As Parker's love interest Mary Jane, Kirsten Dunst is sweet and likable, with just the right amount of sex appeal tossed in. James Franco is good as Parker's spoiled best buddy Harry Osbourne. This leads us to..wait for it..Willem Dafoe, whose portrayal of Harry's father Norman, the arrogant scientist and CEO of Oscorp who puts his own personal ambition ahead of safety for himself and his test subjects, leading to his transformation (via ingesting/inhaling an experimental 'performance enhancing' drug) into the thoroughly evil, wildly insane and megalomaniacal Green Goblin, is frighteningly convincing, so much so that you can easily look past the cheesy exo- skeleton outfit he wears. Again, I felt like I was seeing the comic book come to life.As for the effects/action sequences, I know, they've been panned by some (notably Roger Ebert), but they looked good to me. I actually liked the fact that they weren't overdone. Ebert in particular criticized the CGI in this movie, but to me, ALL CGI looks phony and cartoonish. I thought the effects looked just fine as CGI goes, and the action sequences were first rate. One scene in particular where Spiderman is hanging by his web while holding onto a train car full of kids, and at the same time trying to save Mary Jane, is exceptionally gripping. It all leads up to a nice payoff at the end, with the final confrontation between Spidey and the Goblin.The fact that this movie came out within a week of the disappointing Attack of the Clones served as a reminder to this former fan of the Star Wars franchise exactly why I like these kinds of movies. It's not about the special effects; it's the people and the story (pity George Lucas forgot about that. Unfortunately so had Sam Raimi by the time he made Spidey 3). What makes Spiderman such a great movie comes down to a good story (lifted from the comic but adjusted to fit the times), along with fun, likable characters you can root for, compelling villains to root against, and good peripheral characters to stir things up (aside from Simmons, Bruce Campbell makes the most of his screen time as a wrestling ring announcer (Ann: what's your name kid? Parker: The Human Spider. Ann: The Human Spider, that's it? That's the best you've got? Parker: Yeah. Ann: Aaaahh, that sucks!) See this again, and don't bother with the reboot.",10,3,4,13 January 2013
Batman Begins," Batman Reboot Scores Big Time
","We all know that the reason that movie studios sanction reboots and sequels upon sequels is to make as much money off of a franchise as possible. But the question regarding reboots is does this movie improve on the previous ones? Are there technological advances worth exploring? Is there a new angle or wrinkle to the story that's worth telling? In other words, is there a LEGITIMATE reason to make this movie at all? After seeing Batman Begins, my answer is a definite YES.In spite of the departure from the original story (among other changes Batman was never a Ninja in the original comics, and he invented all his gadgets himself), this edition of Batman is far superior to any of its predecessors, including the first Tim Burton Batman (which up until this one had been my favorite by far). The reasons start with the actors, and boy are there some good ones here, playing interesting and compelling characters I cared about. There's Christian Bale, who is the best Bruce Wayne/Batman ever to grace the big screen. Bale's version is definitely more overtly angry and obsessed than in previous Batman films, but at the same time is truly heroic. Michael Caine performs with his usual understated brilliance as Alfred, the loyal servant who essentially raised Bruce after his parents were murdered. Liam Neeson, one of the finest actors of his generation, turns in another stellar performance, this time as (spoiler alert) main villain Ducard aka Ra's Al Ghul. Morgan Freeman turns in a terrific performance as Lucius Fox, the inventor at Wayne Enterprises behind most of Batman's cool toys (Fox is such a strong character I can live with the change from the original story). Cillian Murphy is creepy as the other main villain, Dr. Jonathan Crane/Scarecrow, who uses a weaponized panic- inducing drug to drive his enemies insane. Katie Holmes does as well as she can with the one really annoying character in this movie, Bruce's childhood friend/love interest Rachel Dawes (the fact that Katie is such a cutie doesn't hurt). Gary Oldman, another actor's actor, is flawless as Sgt (and future commissioner) Jim Gordon, one good cop in a sea of corrupt ones.Speaking of corrupt, this version of Gotham City is like 1930 Chicago, a sewer of a city run essentially by a crime boss named Falcone (Tom Wilkinson), with everyone from police to judges and city officials on his payroll. Bruce, obsessed with the murder of his parents and driven to be a crusader against evil, has gone to the far east to learn about the criminal underworld and work on his fighting skills. It is there that he meets Ducard, who convinces Bruce to train to be a Ninja with the League of Shadows. Problem is, Bruce comes to find out that the League plans to deal with the crime ridden Gotham City by destroying it. Bruce escapes and burns their compound down, subsequently heading home to rid Gotham of crime his way. Little does he know that the League has already been busy prepping for Gotham's destruction, using Falcone to sneak in the panic inducing drug used by Crane, surreptitiously adding it to Gotham's water supply.The effects and gadgets in this movie are amazing. OK, it took me a while to get used to this version of the batmobile, which is called a 'tumbler' and looks like a tank (appearance-wise nothing could look cooler than the batmobile in Burton's two movies). Notwithstanding, the tumbler is loaded with all kinds of cool tricks, not the least of which is its ability to scale buildings and hop from rooftop to rooftop (Gordon, upon seeing it for the first time: Oh, I've GOTTA get me one of those!).Christopher Nolan really pulled out all the stops in making Batman Begins a reboot truly worth seeing. The acting is superior, the characters are interesting and draw you in, the story is taut and imaginative, and the effects are nothing short of superb. This Batman is much more dark and grim even than Tim Burton's movies (which seem like black comedies by comparison), but it keeps you riveted from start to finish.",9,0,2,9 July 2013
The Dark Knight," Very Dark and Grim..but Never Dull
","I have a tough time with this flick because it is so dark and depressing in places it almost undermines the action, which is the best of any comic book movie to date. I think part of the problem..and I put the blame partially on critics for this..is the demand for something 'more' than a comic book adventure. Hate to break it to you snobs, but no matter how much drama, conflict, and misery you put into a comic book adventure, that's still what it is. To try and make it something else kind of defeats the purpose.That said, The Dark Knight is one awesome tour-de-force, with some of the finest action sequences ever shot (even the CGI looks good..and I HATE CGI). Add to that a very good story and compelling characters, and what you get is one helluva ride. Christian Bale picks up right where he left off with Batman Begins, as the finest Bruce Wayne/Batman ever to grace the big screen. In this movie, Batman's whole belief system gets tested to its limits..and beyond..by Heath Ledger's Joker (WHAT a performance), who takes evil to a whole new level. This Joker is the very definition of a monster; a complete psycho who kills and maims not for money, or vengeance, or a cause. He does it purely for kicks. The only thing he's out to prove is that other people can be just as evil as he is if you just push the right buttons, which he's more than happy to do. He does this by creating scenarios which result in moral dilemmas for Batman and the rest of the 'good' people of Gotham City (i.e...two people are about to die, and I'm only giving you time to save one of them..which will you choose?). To quote Alfred, he just wants to watch the world burn. Speaking of Alfred, chalk up another great performance from Michael Caine, who provides most of the very few moments of levity in this movie. Morgan Freeman is also outstanding as Lucius Fox, the guy who creates most of Batman's toys. Fox also finds himself with a moral dilemma when Batman uses one of his innovations to turn every cell phone in Gotham into a listening device. Maggie Gyllenhaal does as well as she can with the one really annoying character in this particular Batman series, Rachel Dawes (I was able to tolerate Rachel when Katie Holmes played her in the last movie because Katie was so damned cute). Gary Oldman (another true actor's actor) turns in one of his usual flawless performances as Gordon, one good cop in a cesspool of corrupt ones. And then there's Aaron Eckhart as the doomed Harvey Dent, crusading DA-turned-disfigured homicidal maniac Two-Face. His performance is heartbreaking; even with all the horrible things Two-Face does, we still feel bad for him, even as we watch him turn into the very thing he waged war against. Unlike the silly Jones/Schumacher version in Batman Forever, Eckhart and Nolan got Two-Face right. I would have liked to have seen a bit more of him. As for the story itself, it's complex enough to be interesting but not so much that you can't follow it (as opposed to, say, Vanilla Sky). The Dark Knight is a harrowing 2 hours and 32 minutes, without a dull moment. That's an achievement. The acting, characters, and story are all top notch. So are the effects and the sets. The seedy, dark backdrop of Gotham City (this version done in Chicago) is perfect. Painstaking attention to detail was paid to every aspect of this movie, and it shows. Like said backdrop, this movie is grim, depressing, and violent (not for younger kids). Personally, I prefer a bit more levity in movies derived from comic books. Maybe I'm not being fair. Given the nature of this story, there really isn't much room for that. Whereas Tim Burton made Batman almost a black comedy (as he tends to do with a lot of his flicks) and Joel Schumacher's versions were silly and over the top, Christopher Nolan went in completely the opposite direction..maybe too far..into comic film noir. But I'll still take it. Nolan gets a lot more things right about Batman than his predecessors did (Two-Face is the most obvious example). The Dark Knight may not be a happy movie, but it is a great movie..almost as great as the first Spider-man.",9,0,3,2 February 2013
Die Hard," Greatest Cop Action Movie Ever
","Die Hard is a non stop thrill ride from beginning to end. That's not what makes this movie so special though. It's the story, the acting and the characters. NYPD Officer John McClane (played to hard boiled perfection by Bruce Willis) is the walking definition of a hero: a regular guy who gets thrown into a dire situation and reacts well to it. McClane has flown to LA to see his estranged wife Holly (Bonnie Bedelia) for Christmas, and meets her at the building where she works, at her company's Christmas party. They waste no time in getting into yet another spat, when suddenly a group of terrorists seizes the building..and everyone on the 30th floor. At least it seems like terrorists at first (we find out that these 'terrorists' in fact have something else in mind). McClane slips away unnoticed by the supposed terrorists, with his gun (if not his shoes..and yes, he regrets that one later), and proceeds to wreak havoc on the terrorists, led by Hans Gruber (played by Alan Rickman in a performance that's nothing short of superb), and his right arm Karl, played by a really angry-looking Alexander Godunov. When McClane isn't taking the bad guys out one at a time, wriggling around in air vents and the elevator shaft, he has to deal with an idiotic deputy police chief (a classic illustration of the Peter principle), a couple of equally clueless FBI agents, and a conniving co worker of Holly's who tries to turn McClane into Gruber by telling him who he really is (up to that point Gruber didn't know his name). There's also an ambitious dirt bag of a TV news reporter played by William Atherton, who ends up giving Holly's identity out over the air.Die Hard is a rarity among action flicks in that the action is actually plausible (unlike the various sequels). The characters are believable too (yes, even that moron of a deputy police chief)..and interesting. This more than keeps things going during the short breaks in the action. All this makes Die Hard the best movie of its genre ever made.",10,1,1,7 February 2013
Star Wars: Episode III - Revenge of the Sith," Merciless End to the First Trilogy
","I recently watched Sith on Spike TV after having not seen it for a while. Right after that they showed the first Star Wars (or to Star Wars geeks, Episode 4, A New Hope). There was absolutely no comparison between the two movies..the original Star Wars was that much better. There are a number of reasons, but it boils down to this. In Star Wars and Empire, the effects supported the story and the characters. In the three 'prequels,' and in particular this movie and Clones, the characters and story are more of an afterthought to support the massive amounts of CGI/effects and cartoon characters invented by George Lucas.In Sith, the episode which is supposed to be the lead-in for the original Star Wars movie, all the pieces seem to be there for a compelling space opera..tons of effects, all kinds of weird space alien characters, lots of action sequences, and it does tie together the first trilogy of 'prequels.' Yet it doesn't work, at least not for me. The primary reason is that, like in Clones, I couldn't care less about the main characters, especially the now thoroughly annoying Anakin Skywalker. It gets so you WANT him to freaking go over to the dark side and get it over with so we don't have to listen to his incessant whining anymore. Anakan is such a sniveling obnoxious little punk you just want to reach through the screen and smack him. And when he does ultimately turn into Darth Vader, he lacks the one element so essential to Vader's character: Menace (amazing given how many people he kills..including a bunch of kids training to be Jedi). As Vader he continues to behave like a petulant, obnoxious kid who got sent to bed without his dinner. Much of the blame has to go squarely on the shoulders of Hayden Christenson. Yes, the lines he had to read were awful, but his rancid performance made it far worse.Ewan McGregor's Obi Wan is bland (unfortunately, he couldn't do what Alec Guinness could do with boring dialog). Ditto Natalie Portman as Padme. Just one example: She and Christenson take the scene where Padme confronts Anakin about the evil he's done, which should be powerful and poignant, and manage to make it boring. That took some doing. As I stated in my review of Clones, it's hard to believe that Luke and Leia's parents could be such dullards. OK, as far as Yoda goes, I have to admit that unlike other Star Wars fans, I never did like the sanctimonious little muppet-turned-CGI image, but unfortunately he's one of the few semi-interesting characters in this movie. Also, Ian McDiarmid as Palpatine/Darth Sidious is evil enough, but he doesn't come off as scary so much as like a little a-hole you just want to punch. There were other problems. Too many elements going on at once, and too many characters (General Grievous in particular was not only lame but unnecessary). One thing that really bugs me is how it is that Yoda and Mace Windu, for all of their knowledge of the force, don't see ANY of this coming. They don't even SUSPECT what Palpatine is up to until it's too late (they should have been immediately suspicious when he got 'emergency powers' in the previous flick). And how exactly is it that Yoda and Obi Wan 'lost?' OK, they had to lose to lead into the next movie, but come on. All Obi Wan had to do to Anakin-turned-Vader was KILL HIM. His legs are gone, his body is burning...JUST TAKE YOUR LIGHT SABER AND CUT OFF HIS FREAKING HEAD ALREADY!!!! Yeah yeah, I know, he can't bring himself to kill his former apprentice and buddy, but he can watch him burn instead of mercifully ending it all? Against the emperor, Yoda just kind of gives up. He gets knocked down and falls for a long way, but is far from dead or beaten, yet comes to conclusion that he has 'failed.' OK, so everything's on the line and you just throw in the towel and wait for Skywalker's two kids to come along and fix everything 20 years later? Nope, I'd say not much thought was put into the actual plot.What's sad about this and the other Star Wars 'prequels' is that they could have been REALLY good..like the first two Star Wars flicks were. But they had actors that couldn't act, scripts with dialog that went beyond insipid and a creator/director who was so caught up in his CGI and cartoon characters that he lost sight of what made his first two movies so special. Lucas once said that a special effect without a story is a pretty boring thing. Time to listen to your own advice George. I give Sith 5 out of 10 for the effects and action sequences. If they rerun it on TV go ahead and watch, but don't waste your money on the DVD or Blu Ray.",5,3,6,31 December 2012
