movie_title,title,review,rating,helpful,total,date
Star Wars: Episode I - The Phantom Menace," Great-looking, otherwise empty
","Something about PHANTOM MENACE seems unfinished.  With all the time and much of the money in the world, Lucas has fashioned a movie which engages the eye much more than the heart (except anger, perhaps justified, at the shameless exploitation manifest in Jar Jar Binks).  Palpatine is good as a sort of Iago, coming off as the most fully realized character -- which is not saying much.Lucas was brave to make what is essentially a socio-political film about taxation and blockades, but he should have salted the thing with characters we might actually care about.  Nobody is bad here, but no one really has a chance to shine, either.  Harrison Ford jumped off the screen in the first -- er, fourth -- film, and Alec Guiness was very impressive; here, the players are rather dull and flat.  This hurts.Perhaps all this will be more interesting in retrospect, when the second and third installments are released.  Still, the movie needs to be able to stand on its own, and this one, with some pleasures, is oddly lifeless.",5,0,1,21 June 1999
The Big Lebowski," Unexplainably entertaining
","This movie means absolutely nothing, goes absolutely nowhere; the pitch hovers somewhere around vulgar, and every character is a flake.  How, then, is it so entertaining?Jeff Bridges holds the thing together like glue.  He plays the unflappable Dude -- who gets flapped aplenty -- with such wit and grace that he pulls off plenty of schtick, making this cartoon utterly believable and convincing.  (Oh ho! -- he writes checks for less than a dollar!  He smokes a joint and says 'bummer'!  He lives to bowl and yet never rolls!)  The Coens were dead right to cast Bridges; any actor who misstepped would have sunk the ship.Even still, a quarter or more of the scenes don't work, but what does is very entertaining, very funny.  Probably as much foul language per frame as GOOD WILL HUNTING, but at least here it seems to make sense; the Coens don't cram it into everyone's mouths unilaterally.",7,1,2,2 July 1999
Memento," haunting and powerful
","I'll be a gentleman and not spoil anything, but I would like to address a criticism I've heard, which is that MEMENTO is a hollow exercise lacking emotional substance.  I think the film is haunting, and that would be enough, but when we reach the denouement -- the beginning of the story -- we see that Nolan has something powerful to say about how rage can motivate us to do the things we do.  There's a series of decisions Leonard makes in that scene which he knows he'll forget, and those decisions are recognizably human, and there's some terrific reverberation, particularly to a scene in which Natalie goes out to a car to wait.  Obviously I'm being obtuse, but those who have seen the movie will know what I'm speaking of, and probably agree.  I was stunned and thrilled by this one, and my friend and I had a great time hashing things out afterward.  And you know, we still don't know for sure on some points, and that's great.",9,0,0,2 April 2001
L.A. Confidential," wildly overrated
","The most overrated movie since LEAVING LAS VEGAS.  Wildly improbable plot turns, especially the bedding of the hooker.  A ridiculous contraption. Take a gander at the memorable quotes page for this entry; if that looks like good writing, I've got some leftover Shane Black screenplays for sale.Comparisons to CHINATOWN indicate that, well, the reviewer is just desperate for something as good as that classic.  A double feature would swiftly reveal this to be the hollow pretender that it is.",3,11,29,30 June 1999
Sleepy Hollow," has its problems, but pretty terrific
","(This review includes spoilers.  Not MAJOR spoliers, but spoilers nevertheless.)SLEEPY HOLLOW may not be quite great, but it's pretty close.  Burton works with one if his better - if somewhat conventional - scripts, and that helps; if there is a dash of Simpson/Bruckheimer plot device, at least there's none of the muddiness of Tim's BATMAN films.  Johnny Depp is terrific as Ichabod Crane - seems this very versatile actor can do little wrong - and his humorous scenes somehow blend nicely with the very creepy Horseman moments. Usually, directors strain to achieve horror/comedy and it doesn't quite come off; SLEEPY HOLLOW manages this well.  The campy elements work fine.Some of the scenes - I'm thinking particularly of the flashbacks - aren't necessary and slow the pace slightly.  But other details are terrific: the Horseman has a terrific signature flip he performs with his sword just before he strikes; I imagine we can thank Ray Park for that. 
-- The Horseman.  Burton and his actors (more than one play the part) manage to make this villain a fully-formed character.  Indeed, I believed him more after his beheading than before.  The first time we see him leaping horseback from his lair is astonishing; the charging tilt of his sword is beautiful and frightening -- almost noble in determination.Much has been made of the cinematography, and rightly so.  The film is shot in dusty, washed out earth tones and purples, and I enjoyed seeing the occasional dashes of color - one book among a pile drawing the eye.  And the splashes of color: yes, the blood does stand out, and this one's not for the squeamish; I was cringing and curling away from the screen more than once.An interesting note: there's the fashionable Christian-bashing going on (why are ministers always adulterers, torturers, or child molesters?), yet a house of God is the one place the Horseman can't enter.  Doesn't stop him, though; this is a crafty Hessian from Hell.",8,0,0,25 November 1999
Star Wars: Episode II - Attack of the Clones," The worst Star Wars film to date
","I'm stunned that so many people like this movie.  Lucas has linked a few psuedo-set pieces together, drained all of his actors of the least shred of charisma, and used horrible dialogue, motivation, and plot advances as the mortar.  Yes, an awful lot of the dialogue from the earlier movies was poor, but folks like Carrie Fisher, Harrison Ford, Alec Guiness, James Earl Jones, and Peter Cushing made it work.  Here, none of the story works -- everything is absolutely on the nose.SPOILERS:  There are huge problems with the characters behaving inconsistently with the framework.  Amidala needs to go into hiding and so hands her vote over to the one person who has proved most unreliable in the past?  Anakain was a fiesty but basically okay kid in PHANTOM MENACE, and now ten years of the universe's most elevated spiritual training has turned him into an insufferable, reblious brat?  Obi-Wan stumbles onto a planet which is hatching a conspiracy, and the aliens basially just lay out the welcome mat and guide him through everything, entirely unsuspicious of his obvious ignorance? -- after they haven't seen any money or had any communication with their employer in ten years?  Yoda suddenly turns into a rabid ferret, incredibly agile and limber, only to sigh and return to limping about with his walking stick when the fight is over? Monsters just happen to attack the prisoners' chains first, freeing them for a fight?I could go on and on.  This was the first Star Wars movie in which I was actually bored the entire time.  The only thing that kept me from walking out was that so many people had written about the last thirty minutes or so being incredible.  It wasn't, except in terms of hubris.  RETURN OF THE JEDI was a silly, hammy mess, but it had drive; PHANTOM MENACE was terribly flat, but it was at least interesting; ATTACK OF THE CLONES is empty, soulless, and visually packed in a way which cries desperation.There is one moment of wit -- one.  Obi-Wan encounters a man in a bar selling deathsticks (subtle, eh?).  He performs his mind trick on the man, sending him home to rethink his life.  That was funny, and that was all.",3,0,0,30 June 2002
Forrest Gump," overlong, one-idea movie
","I suppose that because FORREST GUMP uses fantastic technology to trot out its one joke and gimmick again, it gave the illusion of somehow being original.  The feather and the feather only is great in this movie; the rest is capable at best (Hanks' performance, some of the cinematography) and hackneyed at worst.  This is the sort of movie, like THE SOUND OF MUSIC, which cues its sentiment so strongly it's insulting.  It's interesting to take a movie like this and compare it with something like BIRDY (which has certain thematic similarities); BIRDY's premise is so much more far-fetched, and yet the movie has an authenticity GUMP can't manage.  Almost everyone involved here has done better, if not stellar, work elsewhere.",4,1,2,2 July 1999
Cast Away," good idea, wobbly execution: spoilers?
","The premise for this one intrigued me, then I went and saw the darned thing. Hanks gets stranded and we see his ingenuity as he figures out some survival skills and befriends a volleyball; this seems to take place over a period of maybe a week, maybe a month.  Cut: four years later, and he's the master of the universe, Crusoe-style.  It's a jarring leap, and I felt a little cheated.  Sure, I could fill in some gaps and surmise this or that, but... Then he's off the island on a treacherous journey and loses his volleyball.  Sorry, but I never fully bought that, and when he's screaming furiously and choking sobs over this loss, I had to wonder why he never developed a similar affection for the photo of his fiance.  Just a thought. His return and reconnection with the fiance (Helen Hunt) are absolutely awful.  Hollywood and Hanks are actually expecting her to break up her home to run off with him; when Hanks realizes she won't, his tone is accusatory. Not to worry; there's another dame, another tide rolling in, so he can trade off.  Yech.",5,0,2,23 December 2000
Being John Malkovich," Interesting; pretty far from great
","BEING JOHN MALKOVICH has an interesting premise with implications it follows unerringly.  It also has an unfortunate core of unpleasantness -- a cast of characters almost entirely with negative qualities, ranging from pathetic to evil -- which hurts quite a bit, I think.  I don't wonder that these folks would be desperate to shuck off their own personas for fifteen minutes, or that their own morality would allow them to exploit Malkovich; what would have been interesting is the idea of the decent person seduced by such an idea -- that might have led to a Hitcockian setup in which the hero is often 'punished' for being bored and wishing something, anything, would happen. 
There are funny jokes and great touches here and there: Malkovich tries the portal himself to hilarious effect; Diaz's character bumping her head and she moves murderously through a doorway.  Overall, the movie is overrated probably because it succeeds in not being stupid, and there are genuine surprises.  Could become a cult film, or be properly revisited and dismissed much as WILD AT HEART was.",5,1,2,30 October 1999
Pearl Harbor," unbelievably poor in every way
","I just lost three hours plus travel time on this movie, so I'll be brief here to spare myself a bit.I'd read the reviews and properly lowered my expectations because a couple of friends wanted to see PEARL HARBOR.  Even those lowered expectations weren't met.  This souless thing... yeesh.  Blows every opportunity it has. It saps the buildup toward the Japanese attack of any mounting sense of dread, manages to make four love stories unbelievable (including Ben and Josh's -- hey, folks, 'best buddies' is a love story whether you like it or not), makes the full-on attack pretty tensionless, and insults the first decorated black soldier by pinning it on him while he's still alive.  Jon Voight is pretty good as FDR, I'll say that, but even his makeup in his first scene is bad enough to be pretty distracting (it smooths out later).My buddies wanted to see it for the action, and we all came away disappointed.  The cinematography is mostly expert, though the decision to use a flawed lens in a key hospital sequence was, well, flawed.  It muddled things to have characters drifting in and out of focus as they moved about in the frame, and rather than evoking (as TRAFFIC did), it distracts.  Brave idea, though.I dearly hope I've put someone off seeing this.  My sacrifice will have been worth it.  And if you've decided you'll just wait for the video, I'd strongly suggest not even bothering then.  It really is that poor: poor of imagination, poor of craft, poor of humanity.  With an epic war movie and love story, this kills.",2,0,0,26 May 2001
