movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," What scares us? This film knows.
","If I asked any horror film connoiseur what the single greatest moment of any horror film is, I would certainly hope the answer would, almost unanimously, be the infamous Shower Scene from 'Psycho,' by Alfred Hitchcock.  Why bring this up in a review of 'The Blair Witch Project, ' you ask?  Because there is something that Hitchcock understood and is evident in everything he did, especially this particular scene.  What this great genius of cinema understood (and many other filmmakers, such as Wes Craven, have forgotten) is that what is truly frightening on screen is not what is seen by the audience, but what is not seen.I'd like to personally thank Daniel Myrick and Eduardo Sanchez for not only making a modern film masterpiece, but for helping movie-goers remember what it's truly like to be scared.  Not just grossed out, mind you, but truly sincerely scared out of our minds.  'The Blair Witch Project' has done just that, and has done so with startling originality and what I feel is true genius.  While other films may garner more critical acclaim or Oscar nominations, I know of no other film that is as original or as creative as this masterpiece.  Finally, somebody has remembered what Hitchcock learned, and has made this marvel out of it.One truly sad thing about 'The Blair Witch Project' is that it is much too simple and risky for Hollywood.  This film could only have been made independently with first time directors and actors, people who are willing to try anything, and don't know any better.**** out of ****.",10,1,2,6 August 1999
Star Wars: Episode I - The Phantom Menace," The Force really wasn't with Lucas this time.
","Now, I really can't say that 'Star Wars:  Episode I - The Phantom Menace' is a terrible movie, because it isn't.  However, I also can't say that it is in any way a fitting companion to such masterpieces as 'A New Hope,' 'The Empire Strikes Back,' and 'Return of the Jedi.'  It is, in my opinion, a bad movie that could have been so much better.  Allow me to elaborate.George Lucas is, truly, an enigma.  Not many people can envision characters like Darth Vader, Luke Skywalker, Indiana Jones, and Howard the Duck (sic). Also, not many seasoned, experienced filmmakers can make a movie that fails as much as this one.  Lucas has terminally forgotten to write dialogue, and the result is a cast of characters about as deep and profound as their cardboard cut-out counterparts.  Lucas has also forgotten how to hone in on the films strengths.  Namely, these are (1) the special effects, (2) Liam Neeson, and (3) Natalie Portman.  Predictably, the film is a visual wonder, but it is shallow.  The effects are present only to make the audience ooh and ahh in breathless wonder, and it works for a few minutes, but in the long run, they fall short of what they should be.  Liam Neeson is, of course, an outstanding actor.  If you doubt, recall, if you will, 'Schindler's List.'  This film wastes him as yet another shallow character which aspires to be another Obi-Wan Kenobi and fails miserably.  Natalie Portman is, besides being one of the most beautiful young actresses working today, immensely talented.  Well, we've already covered the fact that Lucas doesn't recognize talent, but he also doesn't recognize beauty.  Portman's angelic face is successfully hidden underneath a despicable makeup job which, I think, tries to make her look ugly.  Also, as Princess Amadala's 'alter ego,' Portman is so understated that she fails to make much of an impression.  I admit, having a nice face in this film wouldn't have lifted it up from the depths of failure, but it certainly wouldn't have hurt matters any.  Lucas has also forgotten to try to make the least of weaknesses.  In this case, those are Jar Jar Binks and Jake Lloyd.  Now, I have nothing against computer animated characters, but Jar Jar Binks should rot in Hades.  He is obnoxiously, annoying, and altogether hideous.  Enough about him.  Also, I really don't want to hurt Jake Lloyd's feelings here, but his character was overused.  Lloyd is truly an adorable kid, and very scrappy, but it also seems as if he studied at the Mark Hamill School for Acting, pulling off one 'aw shucks' after another.  Also, he said 'Yippee!!!' about three times too many for my taste.Oh, this film does have one redeeming factor that I can tell.  John Williams' score is, of course, fantastic.  That's about it.So, what am I really saying?  The 'Star Wars' extended trilogy should certainly be continued, but I seriously think our friend George Lucas should stand aside and let someone else try his hand at making the next two films. Trust me, it will help.** out of ****.",Null,0,1,16 November 1999
Citizen Kane," The #1 film ever made? Sure. Why not?
","The A.F.I. list came out not too long ago, and so everyone clamored to see what the number one film ever made was.  Of course emotions were high, as well as tempers.  Of course different people were rooting for different films, as to be expected.  I remember the exact moment when I saw the list. It is actually in the latest issue of Newsweek magazine.  Right there, in black and white, in the number one slot...  'Citizen Kane.'I had never seen 'Citizen Kane', actually, and the list prompted me to do so.  When I saw the film itself, I was shocked.  Here was a slight film, understated, and very simple, really, that had obviously rocked critics everywhere, that had done the impossible.  Here is a first-time filmmaker trying something new, experimenting, if you will, and he ended up making what is considered the greatest film ever produced in America.I wasn't disappointed.  Welles' performance, as well as all of the others, were right on the money, the script was remarkable, and Gregg Toland's camera work took everything I thought to be reality, crumpled it up, and threw it away, never to be rediscovered.I really see little reason to review 'Citizen Kane' as a film.  That has been done enough times, goodness knows.  What I do see fit to do is recommend it.  The average viewer will be bored, of course, because there is no action, no real adventure to be found.  But there is drama, especially for any who see film as film, not so much as a story.  There is suspense, I think, so many times, simply because of a camera move or a well-timed change in placement.  This is film as film, not as anything else.  Absolutely do not miss.**** out of ****.",10,2,4,18 August 1999
Shakespeare in Love," Why bother comparing it to any other film? It's great on its own right.
","Lots of people don't like John Madden's 'Shakespeare in Love,' I think, mostly because it beat out Steven Spielberg's 'Saving Private Ryan' for the Best Picture Oscar.  But I'm not going to talk about that.  Why?  I'm not going to change anybody's mind, that much is obvious.Well, if you want my opinion, 'Shakespeare in Love' is a superb motion picture.  It is, from every standpoint, a flawless piece of craftmanship. For starters, there is the acting, which is simply top-notch.  This is clearly Gwyneth Paltrow's breakthrough performance, in which she truly delivers an Oscar-worthy performance.  Her character is rich, vibrant, and wondrously alive.  As is Joseph Fiennes' take on Shakespeare.  Even though the Academy didn't see fit to honor him with even a nomination, that is not to say that his performance is bad by any means.  I predict that Fiennes will become a leading man in his own right, thanks to this film, because it is now completely obvious that he is an actor of great depth and enthusiasm, which is something Hollywood greatly needs today.  And who could forget Judi Dench?  The lady is, I think, simply brilliant.  Give her seven minutes of screen time and she turns out a virtual instruction manual on screen acting. Her take on Queen Elizabeth is witty, smart, daring, outrageous, and yet, deceptively simple, that is, all the things the Virgin Queen was herself. And, of course, there is also Ben Affleck and Geoffrey Rush, among others, whose work here sparkles with originality and vitality.But lets get to the real core of what makes 'Shakespeare in Love' a great film.  There is John Madden's effortless direction, and, above all, the amazing script by Marc Norman and Tom Stoppard.  Seriously, I can imagine people being left in the intellectual dust when they come face to face with this film, because it is what so many films aren't.  It manages to be blazingly intelligent, romantic, exciting, funny, serious, light, profound, historical, and farcical all at the same time, among other things.  The dialogue crackles with energy and originality, and the writers are clearly playing a sort of mental tennis match with the audience.  In the end, both sides win, and it is a glorious victory.**** out of ****.",Null,6,10,25 August 1999
Dead Poets Society," Carpe Diem!
","There are several lessons to be learned in Peter Weir's 'Dead Poets Society,' and while I could go into all of them here, the film teaches them far more eloquently than I ever could.The movie also has several layers.  For instance, there is Professor John Keating (Robin Williams).  He's the new kid on the block, the teacher nobody quite trusts.  He's willing to try absolutely anything to reach his students, and he does.  As I watched Keating work his magic, I was reminded of all my greatest teachers, and it is obvious that Keating is largely taken from real life.  Writer Tom Schulman only made up part of him, because there really are teachers as powerful and as daring as him.  I've had many of them.There are also the students played by Robert Sean Leonard, Ethan Hawke, and others.  They are accustomed to book teachers, those who move through a text simply for the sake of doing it, with little or no concern for whether the students grasp any of it or not.  Then they meet Keating, with his suggestions for changing our points of view, and his cries of 'Carpe Diem!' Of course they change.  They really have very little choice in the matter.I refuse to spoil the ending.  I will only tell you that it will blindside you if you have a heart, that you will realize all in one fell swoop that the teaching worked, that the students learned something, and, in the process, you learned a lot too.**** out of ****.",Null,0,0,19 August 1999
American Beauty," Life is Beautiful (with apologies to Roberto Benigni)
","Yesterday had, for me, the potential to be a really bad day.  My schedule was hectic and, truly, there weren't enough hours in the day for everything that had to be accomplished.  Under normal circumstances, I would have complained the entire day.  However, I just saw Sam Mendes' 'American Beauty,' so the circumstances were anything but normal.  I honestly couldn't complain because of how much beauty was in the world.This is, in a nutshell, the basic philosophy of 'American Beauty,' one of the finest films any of us will ever see.  Like most summaries, the above is also a gross oversimplification.  The movie is so much deeper, so much more eloquent than any words I could ever say.The movie is, I think, completely flawless.  And, to think that director Sam Mendes and writer Alan Ball are rookie filmmakers!  The film appears to be the work of seasoned veterans who got especially lucky in the studio.  In addition to that, experienced cinematographer Conrad Hall delivers a predictably outstanding visual production.  The acting is marvelous across the board, particularly from Kevin Spacey and relative newcomer Wes Bentley. All of the characters are seen as real people, and the audience is, of course, electrified.A warning is, of course, in order.  While 'American Beauty' is a superb piece of film, it is also decidedly adult.  There is a great deal of profanity, sexual content, and nudity, but it is never gratuitous.  This is not a film for children.  However, whoever can handle it will experience a truly phenomenal film.  The circumstances are not extremely realistic, and they are not meant to be.  But I guarantee, you will identify with the characters despite the absurdity.'American Beauty' is, in my opinion, a profound cry for meaning in life, for beauty.  There is plenty to go around, because I now realize just how beautiful life really is.**** out of ****.",Null,0,0,9 November 1999
Man on the Moon," Good, but should have been better.
","Several hours have passed since I saw 'Man on the Moon,' and I'm still not quite sure what should be said about it.  It is a peculiar film, to say the least, and it is unique in that it is a comedy with a sad ending, even though it is not really a comedy.  ('American Beauty' is a similar film in that it is a tragedy with a happy ending, even though it is arguably not really a tragedy.)I should say first that 'Man on the Moon' will doubtlessly receive a great deal of critical praise, and the main reason will be Jim Carrey's performance.  As a sort of a low-level movie buff, I can honestly say that I've seen a lot of movies, as well as a lot of great performances.  I do not think it at all presumptuous to say that Jim Carrey's performance as Andy Kaufman is not only the best performance of this year, but one of the best of any year.  I never thought I'd be able to say this, but I think Jim Carrey is one of the finest actors working today, as well as one of the most courageous.  Sure, 'Ace Ventura' may not have come even close to making the A.F.I. list, but Carrey has grown and matured.  The first sign of this was with 'The Truman Show,' a fantastic film which set a precedent for Jim Carrey performances yet to come, and 'Man on the Moon' is certainly up to the standard.  Carrey deserves an Oscar for this role.  As a comic figure he will probably not get it.  The Academy never has taken comedians serious enough, so why should they start now?  In summation, it is unfair to say that Jim Carrey plays Andy Kaufman, because the performance is seamless. Rather, Jim Carrey IS Andy Kaufman.  Despite Carrey's immensely recognizable face, one forgets that it isn't Kaufman himself on the screen.  Perhaps the most amazing thing about Carrey's performance is that we still do not understand Andy Kaufman after seeing it.  If any other actor would have played Kaufman, they would have put their own unique stamp on him, making the audience think they understood Kaufman but in reality only understanding one actor's interpretation of Kaufman.  Here, Carrey steps into Kaufman's shoes and changes nothing.  In other words Jim Carrey is Andy Kaufman, not Jim Carrey's version of Andy Kaufman.Enough about Carrey's performance.  On to the actual film.  A fan of much of Milos Forman's earlier work (particularly 'Amadeus'), I was immensely disappointed with 'Man on the Moon.'  The overall quality of the film is jaunty, disjointed, and rather nonsensical.  Perhaps Forman's real flaw is that he realizes that Andy Kaufman is an unusual character and jumps to the conclusion that a film about him must be unusual as well.  The result is a mass of characters whose motivations and thoughts make no sense to us and a film that is flawed at best.  We should not understand Kaufman, but we should understand (mostly) everybody else, and this simply doesn't happen.In a nutshell, 'Man on the Moon' is a half-rate film which benefits immensely from a phenomenal performance by Jim Carrey.  My rating of this film is very high, I know, but this is largely due to Carrey.  If anybody else had played Kaufman I probably would have given the film closer to two stars.***1/2 out of ****.",Null,0,0,27 December 1999
Saving Private Ryan," As close as I'll ever get to combat.
","It may be silly to say this, but I feel like I just survived World War II. But that's silly, of course I never fought in World War II.  I'm only eighteen years old.  But I still feel like I survived the war, because I just watched Steven Spielberg's 'Saving Private Ryan.'With most reviews I write for IMDB, I begin writing with a sense of purpose. I know what I want to say and how I want to say it.  This time I'm at a loss.  'Saving Private Ryan' shocked me out of any senses I had left, it disturbed me more than many other movies films ever had.  In fact, the only comparable film I can even think of is another by Spielberg, 'Schindler's List.'  Both classify as what I call 'super-realism.'  The film is so realistic, so believable that one immediately forgets that they are watching actors on celluloid and is transported to the actual event.Such is the case with this entire film, especially the opening D-Day invasion.  The outstanding acting crew of Tom Hanks, Edward Burns, Tom Sizemore, among others, become real soldiers.  We fight along side them. When people suffer, we cannot help but feel their pain.I think the most striking thing about this film from a technical perspective was the phenomenal cinematographer of Janusz Kaminski.  As he did with 'Schindler's List,' Kaminski achieves a consistent newsreel effect, but this time the camerawork is more frantic, more likely to take us by surprise. Particularly during the D-Day sequence, we are as confused and blind-sided as many of the actual soldiers, and this adds to the intensity.  Beyond Kaminski, everybody involved deserves a standing ovation, or perhaps more fittingly, a salute for making a film this great.I feel like I'm getting hysterical, and I really don't want to.  Suffice it to say that 'Saving Private Ryan' is a phenomenal film capable of extraordinary emotional impact, able to make us week, tremble, and practically scream out with near-agony.  This film conveys the truth about war, and only those who do not fear the truth will be able to watch it.  Of course, a warning is needed.  Few films are as graphically violent as this one, but few have as much of a reason to be.If nothing else I've yet said made any sense, maybe this will.  See 'Saving Private Ryan.'  Or better yet, experience 'Saving Private Ryan.'**** out of ****.",Null,0,0,5 January 2000
Schindler's List," Flawless, moving. A masterpiece.
","Let's set the record straight, once and for all.  I do not like 'Schindler's List.'  I do not enjoy watching it.  If I'd have my choice, I'd never see it again, ever.  But of course, I don't have any choice in the matter, because it's simply too disturbing to never see again.  I don't believe there is any finer monument to the horrors of the Holocaust than Steven Spielberg's 'Schindler's List.'  People may tell us of the horrors, of the concentration camps, of the deaths, but this film puts us there, among the survivors.This is, of course, Spielberg's crowning achievement.  As far as I am concerned, there is no other film ever made anywhere that has the power and emotion of 'Schindler's List,' least of all the technical expertise that is so evident here.  For instance, Janusz Kaminski's frenetic camera work whips us through the ghettos in such a way that we can not help but be terrified, and yet is calm enough to let us catch a breath, cry a tear.  This is also, in my opinion, John Williams' finest score.  It is so sparse, so beautiful. For any classical music fans, I can only compare this score to Henryk Gorecki's Third Symphony, 'A Symphony of Sorrowful Songs.'  But I'm getting off the topic.The acting is flawless, with performances from the likes of Liam Neeson and Ralph Fiennes.  And, of course Steven Zaillian's moving script that puts us everywhere, from the heart of the horror to the outskirts of it.Let me go back to what I said at the beginning of this review.  I do not like 'Schindler's List.'  I love it.  And yet, I don't love it quite it the way that I love any other film.  What I can do is recommend it without reservation to anybody who has never seen it.  There is no better film than this.  Period.Of special note, Spielberg apparently donated a copy of this film to every American high school.  I can not thank him enough for that, because it was in class that I first saw 'Schindler's List.'  I just pray that others have been as affected by it as I have.**** out of ****.",10,9,13,19 August 1999
Dumb and Dumber," This Is A Dumb Movie. I Loved It!
","First, let me make this abundantly clear.  'Dumb and Dumber' is a movie for guys.  That is, this is a really really bad date movie.  Girls just won't find it funny, in fact, they'll mostly just find it sick and tasteless. That's because it is sick and tasteless.  Then again, so is all really good guy humor.  Another reason not to see it with a girl is that you'll end up feeling guilty for laughing at it, simply because the girl is there.I'm a guy.  Still, I am a bit ashamed to say the honest truth:  I love 'Dumb and Dumber.'  And I don't mean that I kinda-sorta-maybe-a-little-bit liked it.  I thought it was hilarious from start to finish.For starters, it's dumb.  That much is obvious from the title at least. I'll try to get beyond that, even though it isn't easy with a movie like this.'Dumb and Dumber' stars Jim Carrey and Jeff Daniels as complete idiots.  I'm not saying this to be mean or politically incorrect, but to be truthful. They're just dumb.  However, I also encourage you to rent 'Gettysburg' and 'The Truman Show.'  Here are the same guys in intelligent roles, and they're still good.  This is the proof of great acting!  The fact that these intelligent men can act like idiots puts both of them on my top ten list of actors.Where do I go from there?  Well, the comedy is typical bathroom comedy, with bodily function jokes, sex jokes, and then more of both of the above.  Is it really funny?  You betcha.So, what am I really saying here?  Just this:  Guys, get a bunch of your guy friends together, get a pizza and a huge bottle of Coke.  Sit around for a while telling dirty jokes and stuffing your face, and then watch 'Dumb and Dumber.'  Be proud of your guy-ness, of your immaturity, of your testosterone!  Here's to guys!P.S.  Bring along a few Mel Brooks movies too.  Guys love them.*** out of ****.",Null,0,0,19 September 1999
