movie_title,title,review,rating,helpful,total,date
The Legend of Bagger Vance," It's Metaphysics 101
","If you think this movie is about golf you probably don't know what metaphysics is. Metaphysics is about things that are beyond our limited physical world. There are an increasing number of people who believe in metaphysics which has its roots in Eastern philosophies. By far and away the largest number of openly practicing metaphysicians are in California with the Los Angeles area having many large metaphysical churches.Over the years I have noticed metaphysics creeping into more and more film plots, overtly in 'Powder' and 'Phenomenon' and more subtly in the seemingly violent and gory 'Gladiator.'Bagger Vance could well be shown in a Metaphysics 101 class. All of the basics are there - the Force is within us - Each has to find their own path - as you really believe, so it is - our souls live on (as in Titanic's theme song) - you have to get out of the way and let the Force (in this case the Field) take over - and of course from decades ago, the Force is with us always.Whether the teacher appears as an old bearded white guy named Obi or a young black guy named Bagger is relevant only to illustrate that it is not the surface, but what lies beneath, that is real. If you happen to be tuned in to any form of metaphysics at all, DO NOT MISS this wonderful film.  If you are firmly rooted in this earthly reality, you will probably see Bagger Vance as a boring, ridiculous movie about golf. You will find plenty of comments posted here to support that position.Regardless of your own philosophical, spiritual leanings, you should find the film well directed, well acted, well photographed, and well scored. If you pay close attention, you might even catch some insights of Truth.",10,0,1,6 November 2000
Training Day," Give me a break!
","I got this DVD to see what it was that Denxel Washington did that was so much better that other roles he has played outstandingly. What a disappointment! Consider Denzel's Oscar this year for his body of work, to open the door for more non-white winners, to avoid the threatened botcott, or whatever but puleeze - not for his outstanding performance in this run of the mill violent cop flick. I am reminded of Sylvester Stallone in Copland which was a much better film in this overworked genre. Denzel's performance unfortunately did not add much.By contrast, Will Smith was robbed because his performance as Ali was great and different. Sean Penn was no Dustin Hoffman but did better than Denzel. And of course, in spite of his off screen behaviour and like him or not, Russell Crowe was the best in A Beautiful Mind.Don't waste your time on this film, that is unless you want to see the real Best Supporting Actor performance, a really great turn by Ethan Hawke.",2,30,63,26 March 2002
Memento," Not entertainment in my book!
","I suppose there are two kinds of movie watchers. Those that watch to be entertained, to see good photography and to feel really good at the end of the experience. That's me. Then there are those that do not like the trite, formula movies I love, but rather enjoy being jerked around with something violent, morose, moralistic but above all - different. That definitely includes all critics and apparently most voters on this site. If you fit this latter description Memento is a must.If you want entertainment, then skip this for sure. I am glad I got a 2 for 1 at BB Video so I did not waste any money on this drivel. Yeh, yeh -- I know it was different, novel, and ground breaking. But for me the ground it broke was the grave I toss it in. If they ever compile a movie of segments of recently acclaimed downer films like this (and many others), it sure should not be called 'That's Entertainment X.'",1,10,19,16 February 2002
Pearl Harbor," For my money, this is right on target!
","Contains spoiler!I am compelled to write something positive since there are so many negative comments posted here.  My guess is that they were written by people who simply do not relate at all to real events or understand how Hollywood should portray them.  Also I would guess that most are written by people who were not alive when it all happened.Compared to Private Ryan and Titanic, this is better.  It is better entertainment.  It does not grind your nose in the gore.  It does portray rather accurately the moods and feelings of the time, and I know because I WAS alive then.  A little too young to have participated but old enough to be seriously affected and to know what was going on.Yes, Tora and Midway are great documentaries and the more personalized 30 Seconds over Tokyo were good movies for their time.  But this combines the best of all those films with the movie technology of today and I found the results outstanding.The love story was much better and more likely than Titanic's contrived unlikely pairing of a steerage passenger with a first class passenger. And Fatso Kate of Titanic does not hold a candle to Pearl's Kate.  Leanardo DeCrapio also is not in the same league as Affleck and Hartnet.The concept of two people getting together after thinking a common person has been killed is very real. A close personal friend of mine was shot down in Viet Nam and after four years was presumed dead.  His wife was granted a divorce and married one of his squadron members.  When the POWs were released in 1973 he was among them. He subsequently married the wife of a squadron member who was killed in action.Compared to CTHD or all the other forgettable films of 2000, this is a real crowd pleaser from my point of view, certainly the best of 2001 so far!",10,0,2,28 May 2001
Remember the Titans," Outstanding film!!
","Although I really enjoyed this film when I saw it in the theater, I found the DVD version even better.  If you do not have a home theater setup with 5.1 surround sound and good speakers, then start saving your pennies for one.  The sound in a small room is fabulous and you feel like you are right in the action.  Further there are two commentary tracks - one by the director and one by the real people - the two coaches who lived the real life story. I was amazed how much the real coaches sounded like the people who portrayed them on screen.  I was also very impressed that the coaches said that almost all the story was accurately converted to film.  They point out a few small differences and why - e.g. The white coach had four daughters, not just the one, and the one was not quite as outspoken and involved in real life.  But most all the rest was accurate. the coaches even commented on how well the actors resembled and acted like the real people. Sounds to me like the head of casting for this great sports flick deserves an A+++.",9,0,0,5 April 2001
Mission: Impossible - Ghost Protocol," Absurdly unreal and over the top!
","If you like this kind of action film featuring everything that utilizes the latest in filming technology, then you will enjoy this. Obviously based on the 33,300 plus votes, a whole lot of you rate this right up there with the truly good movies. Close analysis reveals that the target audience is extremely unbalanced with males, especially those age 18 to 44. While people over 45 constitute a large potential audience, only 1264 rated this film.If you are 45 or over, you might want to evaluate my own review. I am 77 and been a movie buff for 65 years. I have seen black and white, Cinerama, CinemaScope, 360 (as at Epcot), IMAX in Smithsonian, and many other places, and 3-D at a number of amusement parks. I thoroughly enjoyed all of these leading edge technologies, primarily because of the technology plus they portrayed real people doing real things.I went to our local 12plex because they had remodeled two of the 12 theaters to show IMAX and 3D. Not wanting to see animated films, we finally saw this one because I did enjoy the original MI TV series.This was in my opinion a terrible script depicting old James Bond movies with regard to primary plot. You have to suspend judgement to even come close to relating to the film.As it turned out the theater had installed a crystal clear screen and projecting equipment. The real problem for me was this ultra good sound system. For about half of the rather long film the sound system was running at full blast. Most involved showing something on the screen that literally shook the theater. It was impressive , at first, but got to be very old and disturbing.For older folks I suggest you pass on this. They have 3-D digital TV systems that you have control of. You won't be seeing movies anything like How the West was Won, Sound of Music, etc. in this era and media.",2,20,41,31 December 2011
"Crouching Tiger, Hidden Dragon"," Give me a break!
","Yes the cinematography and special effects were excellent, but forgive me for probably being politically incorrect, but I like American movies, period.  For a while we were subjected to a series of supposedly good English movies that were barely understandable.  Then there were a series of Australian movies that were supposed to be great.  I guess it is Chinese time now.There is no way this lame movie should be even mentioned in the same sentence with Gladiator, Titanic, As Good as it Gets, etc, etc.  Sure it deserves to be given the oscar for best FORIEGN film of the year - but best picture of the year - Give me a break!!No matter how many oscars this movie happens to win, don't see it with high expectations.  It just does not cut it for me and yes, I did understand all the multiple plots and subplots, and yes I appreciate, and practice, eastern philosophies including meditation.  But this movie does not have any real depth.  It is simply a female Bruce Lee movie.  Go at your own risk. 
I am disappointed that people on this site have rated this film #10 all time.  That is the most ridiculous thing I can imagine!! Absurdity reigns!",1,6,14,22 March 2001
Mulholland Drive," That's entertainment???
","Increasingly I suppose in order to get a good rating a movie has to be different, even if it makes hardly any sense at all and what sense that may be devined from it has to be very dark, negative, abberant and violent with no obvious redeeming value.Mulholland Drive sure fits this bill. If this is art reflecting society then I fear for its existence. For my remaining relatively few years on this planet, I will choose to see the good old movies that had a plot a reasonable person could follow and an ending that made you feel at good in some respect.If you like decent movies, don't even bother with this one on Video.",1,4,10,11 May 2002
For Love of the Game," The best of Costner's sports efforts - a home run
","I liked all the other Costner sports flicks a lot (It is his forte), but For the Love of the Game is tops! Bull Durham was a whole lot of baseball with a dose of romantic comedy. Field of Dreams was 100% baseball fantasy-drama. The current effort is a perfect mix of baseball and romance. It is really two movies woven skillfully into one which accounts for its relatively long runtime(137)for a film of this genre.This is easily Costner's best effort in a long time and Kelly Preston is perfect opposite him. It's funny but every time I see Bull Durham again, the fact that Sarandon is now 'with' Tim Robbins destroys the Sarandon-Costner chemistry for me. Fortunately Travolta is nowhere to be seen, so the Preston-Costner mix plays very well, especially since it is heavy on romance and very light on sex.This is one of those movies I walk out of wondering what it was that caused it to be PG-13.  No drugs, not a hint of violence, and no nudity.  In retrospect, I suppose there was a gratuitous swear word or two at most and what romance doesn't have a suggestion of sex.  For my money this is more G rated than what you see on network sit-coms these days, especially Fox. Take the family and enjoy!!!",10,0,0,20 September 1999
The Greatest Game Ever Played," A disappointment to me
","I went to this movie with great expectations. That's never a good ides and was especially so in this disappointing film. First of all the only spoiler I can tell you is that there are no spoilers! If you have seen the trailers and know the true story, then that's it.The golfing scenes take up way to much time and are a very poor knock of the scenes from Legend of Bagger Vance, my gold standard for sports movies in general and golf movies specifically. Photograohy is mediocre, the story line is very weak, trite and not well developed and the acting very average or worse.With no star power I expected a great story line and directing. Unfortunately the acting, if you can call it that, was akin to a bunch of extras and C-level actors struggling for something that was simply not there. Too bad Bill Paxton did not appear in the movie instead of his son. Bill should give up directing and stick to acting! The sparse 'love story' is given very little development and absolutely NO denouement. The 'what happened to statements' printed at the end provide incomplete closure at best.",3,7,18,30 September 2005
