movie_title,title,review,rating,helpful,total,date
Walk the Line," Blur the line
","This is not an homage piece, a la 'Ray.' There are too many praise-worthy aspects of the biography left out of this for that to be the intent. This one is about performance, and its relationship to real life. About walking the line, the fine line between the two.The gist is that June and Johnny live their 'real' lives, then allow that experience to overtly reflect in their performances on stage. And sometimes the performance drives the real life, culminating in a marriage proposal (and acceptance, finally) in the middle of a performance. All aspects of their public images are deeply rooted in experience, exaggerated and replayed on stage.But between 'performance' and 'reality,' which is which and is there even a line between the two? How much does performance play a role in our marriage proposals, our troubles, our joy? Our 'real lives?'--An aside. Reese is not a good actress. She's all head and hands. All exaggeration. The style of a stage performer transplanted into films. But here she plays a stage performer, which fits nicely.",6,0,2,14 January 2006
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," Some Guy from Out of Town.
","Sure this is funny. Hilarious. But underneath that overwhelming layer lie two others that are actually more interesting and in fact highly intelligent.Cohen has mastered the skill of almost forcing his subjects into brutally honest reactions to his antics. Normally, people will only offer as much of their own prejudices as they deem will be acceptable, given whatever situation they happen to be in at the time. But what he has learned to do is to create context in which ANYTHING is indeed acceptable, thus freeing his subjects' opinions from their formerly oppressed state. That, along with putting them on the spot with extreme unpredictability enables him to draw out their opinions in a stream-of-consciousness manner.The other (and most interesting) layer is that of uniquely ambiguous narrative. Is this a Kazahkstani documentary? A 'making-of' the documentary? A feature film about the 'making of?' A video travel journal? Truth is, it's bits and pieces of all of these and more, complete with stock-footage, pseudo-stock footage, etc. I feel that this narrative mish-mash lends an air of reality which results in an extremely engaging experience. And that's the trick that makes it so side-splitting. Footage of a comedian accidentally destroying valuables in an antique shop can be enjoyed in multiple contexts: ---Fully-staged movie scene in which all players are acting their parts ---'Candid Camera' style prank in which a put-on is staged and some actors are used while others are unknowing ---Caught-on-tape incident in which an authentic accident is recorded We get the humor of these levels simultaneously, and it overwhelms.I'd like another example of a film in which almost every 'character' was played by an 'actor' who was actually oblivious to his own role. Pretty unique stuff here. It's enthralling to watch someone step outside their own movie and into someone else's, especially someone this foreign to them.The template for this was surely Henson's 'Muppet Movie,' another landmark in narrative ambiguity (and another road movie). See the two back to back.",8,1,6,15 April 2007
United 93," Pointless.
","Films exist on various levels and serve different purposes. My favorites are commonly ones which exist on a visual/cinematic stratum. This film does not abide in that category. Another impetus for creating a film might be to deliver some sort of message or political stance. These are lesser experiences, but still can carry some weight if the message is particularly profound or artfully delivered. This group is where 'United 93' should belong. Should.At this writing, it's been nearly 5 years since 9/11, an event which altered the course of human progress. That said, I think it's inexcusable that the producers of this film had absolutely nothing to say about it that wasn't immediately obvious in the days following the attacks. All we have here is a sterile real-time account of events that we all know by now. The only point seems to be that it was dramatic and horrifying for those involved. And?The truth is that this movie actually resides in the most pointless of all classes. That is, the kind that is strictly a business venture. So until you hear that all profits are being given to victims' families or the like, avoid this mess. Or pay for tickets to a different film and sneak into this, if you must see it.",2,9,27,1 May 2006
The Notebook," Directed by you and I.
","What portion of the ultimate makeup of a Hollywood product is driven directly by the viewer? An interesting topic for debate, and this film has a lot to say within the context of that debate.One can easily see what happened here. The end is so obviously incompatible with the rest of the story it jars. We suddenly have this business about love's miracles and God. The book this film was based on has no death, a detail which test audiences will subconsciously sniff out nearly every time. And I believe that's what happened here.Try to quickly think of a modern film drama with no instance of death within. It's not that easy a task. That's because as the lineage of film progresses, more and more is demanded by the viewer to qualify a movie as engaging drama. Death lends a tone of seriousness that is nearly prerequisite these days. This tacked on variation of the original ending was clearly (at least partially) created in our own imaginations, that of the viewer.So what we end up with is a film that is ostensibly about love, inwardly about memories that ends with an incongruous statement about God, via beautiful death. The love element is provided by our book's author (Sparks), the memory slant by the filmmakers and the ending thanks to you and I.A side note: The overly sugared down tone of the film has been criticized as too safe and wholesome, but it works effectively for me considering that these memories are from the minds of the elderly and presented as an elderly person might wish.",5,3,4,14 January 2006
Madagascar," Kids beware.
","I take a vested interest in what we feed our children's minds. They deserve to be challenged to think. They need abstraction. Levels of thought. Something to exercise their brains and help cultivate their own senses of creativity. That said, Dreamworks should be ashamed of marketing this dreck to children.The whole world knows by now that if one has the 80 million dollars worth of backing, he can produce any half-presentable CGI animated feature, aim it at children and produce a profit of at least 5 times the investment, apparently even if the film is laced with primarily adult content, as displayed in this film. (How many 8-year-olds had a clue what the 'American Beauty' sequence was all about?)The Dreamworks formula is a simple, 2-faceted approach. First (and foremost), adults first. More energy is spent in attempt to entertain the 30-something demographic than any other. That way, parents are more willing to accompany the kids into the theater, doubling ticket sales. After all, the ultimate choice whether anyone will see the film lies with the parents. That's why these things are packed with campy disco hits and references to old films and TV shows, none of which the kids have a clue about.Second, inject just enough vacuous slapstick and physical comedy to appease the kids. It only takes a few laughs to make a child expect the DVD upon release.Oh, and if you have time, slap in any old excuse for a moral, in this case the thin statement about not giving up on friends.That's all there is to this, folks. Another Shrek, just a lazier version. Downright insulting to a child.Look no further than this observation: There is a scene in which the film's main characters gaze at the heavens, aghast of the universe's limitless possibilities. Oddly, this very film seems oblivious to that notion.Dreamworks can't escape from their zoo.",2,21,36,15 January 2006
Superbad," Something Like 8%....
","How does one evaluate the intentionally bad? This project is along the same lines as the student who gives a speech about how NOT to give a speech, thus securing inevitable success.There is a nested story within this which mirrors the film proper. It involves a child with an overwhelming impulse to sketch one phallus after the next, an impulse the character shares with the film-makers themselves. Each scene in this movie can be seen as another gratuitously vulgar sketch drawn by an immature child. A vomiting cop. A menstrual stain. A teenager's erection. And on and on.I imagine this was the impetus for this project, to create a truly superbad film, and it could have worked somewhat, had it actually been funny. Or clever in any way. Besides, the vision has been bent by market forces, a quaint moral being obviously tacked on by the monetary powers that be. Lenders, after all do have their own formulas to attend to. It's simple risk management.I didn't get that whole funk music connection, either. Guess it's just one false detail on a fake ID.",3,15,26,12 February 2008
Knocked Up," Exposed Stitching
","The only value in this project is that it is such an obvious lesson in how advanced the study of demographics really has become.The two largest groups film-makers (at least studio-subservient film-makers) aim for are men, and women. It's a risky and delicate practice to try to appeal to both within the same film, and there are various approaches to doing so, and the most common is to find some common ground between the sexes and exploit it. For instance, Spielberg's wild success came from appealing to the child in each viewer, a common ground shared across gender lines.This is different, in what seems a modern fashion, revealing its highly-engineered skeleton. Here there is no common ground. Instead these guys have attempted to merge two genres: the romantic drama (for the ladies,) and the stoner comedy (men enjoy a good laugh at themselves, you see.) To pull this off, a delicate interweaving of elements is required to tie the two genres together seamlessly, a requisite which fails here. Th result is jarring in that the two characters (from different genres) seem wholly incompatible. It's just too unrealistic.I personally thought the chick-flick half was done more competently. Great comedy is born of pain, but when that pain is emphasized the comedy saddens. And this is sad comedy to begin with.I also disliked 'Superbad' but feel it's a notch better than this one, given the fact that it doesn't make this same mistake of taking itself seriously.",2,0,2,7 June 2008
Ratatouille," A Gourmet Peasant Dish.
","What do you do if you find yourself in the wrong skin? If you find yourself in an environment so plebeian to your own exceptional senses and skills that you'd rather leave for a new world?Evidently the answer is that you make a movie about it. And the story continues that you leave for a more sophisticated place where you will take on the best in your craft, and succeed. Further, you will find your success by pulling puppet strings, or 'animating.' And on.The parallel nature of filmmaker's story/main character's story is no accident. Pixar pulls this multi-level trick in every film they make.As for all the other aspects of this film? Craftsmanlike.(I saw an animated character animate a character of his own just twice before, in Curious George, and first in 'Duck Amuck,' which is brilliant.)",9,1,2,11 August 2007
Shrek the Third," You Can Dress Up an Ogre All You Want, But....
","Interesting, this. With this series, Dreamworks has somehow built a seemingly unstoppable franchise on a foundation of unoriginality. In fact nearly every element of these is a reference to some other film. Instead of writing a joke, these guys simply refer us to another joke we remember from some other movie. We don't laugh, we re-laugh.The mainstream movie business seems to be leaning this way. Entire films are being shot as I type this based on nothing more than fond remembrances. Thin nostalgia. It's actually shrewd business tactic at its best. The idea is to double your demographic: Target kids AND their parents. Whatever was a fad for you when you were 7 years old is sure to re-emerge when your kids are that age. It's also the opposite of what say, Pixar does, which is to actually engage the viewer on a deep level. To take our imaginations somewhere instead of just our memories.Until this. Well, sort of. This is the first offering by Dreamworks Animation Studios that I know of that at least tries. That it fails is beside the point. They should be applauded for effort.It's their first attempt at clever construction, and here's the idea: The story here is told on 3 levels simultaneously. The first (and most annoying) is our collective experience in movie-land. Second is the movie proper, the irrelevant tale of an ogre and a future king. Third is the staging of a play, which is actually based on the other two levels.If the first two levels are mild celebrations on movies themselves, the important third is a lavish ticker-tape parade, and was the missing element in the first two Shreks. Ultimately though, I'm not sure it's possible to pull this off when you're constantly dragging your audience's intelligence down with all those toilet jokes. Maybe next time they'll lower their poop-joke quota.Wonder if Dreamworks has a future king in their midst.",5,0,0,28 May 2007
Million Dollar Baby," Casting choices.
","I am always captivated by how many different approaches to acting there are, sometimes within the same film even. Here we have three completely separate approaches, and the casting agent deserves a nice portion of the credit for why this film works.--Hillary. Everything she has done to date is founded on collaboration with other actors. She works, fighting to create a give-and-take style chemistry between herself and her costars. Constant eye contact. Seemingly no peripheral vision.--Clint. His acting is of and for the camera. One can easily see his awareness of the camera at all times. Scarce eye contact. He is after all the cinema's consummate tough guy, and his catalog of genre films has demanded this of him. Be aloof and emotionally out of grasp. Mug for the camera.--Morgan. This guy works in one direction: inwards. Watch him forcing his character to think--to react to others' lines as if he has never heard them and needs time to digest the words before answering. Always thinking, introspective. That's what makes him Hollywood's reigning narrator.So we have three wildly varying approaches all cast to fit their characters snugly. Someone had some real casting insight I think.The movie is a bit of a mess as a whole (especially the overly-cliché-ed script), but in the end it is the rich stew of acting that carries the day and pulls tears from us despite other flaws.",6,0,2,23 January 2006
