movie_title,title,review,rating,helpful,total,date
Black Swan," This a bad movie
","Oh, this is a horrible thriller, the movie doesnt explain the scenes.",4,2,6,1 May 2019
12 Angry Men," I love this movie
","It makes us think, and question, about judging people before having the evidence of prosecution, even old the film is quite captivating and manages to entertain quite, unfortunately did not win Oscar but without doubt a great film.",10,1,1,1 May 2019
Juno," Juno - The badgirl
","A film, with good color palette, however it seems that people are an alternative world to Juno and the father nothing worries that being pregnant as well as this nothing affects the character, making it a great experience.",7,0,0,1 May 2019
Forrest Gump," The 10/10 Gump
","One of the best films, well portrays the 60.70.80 years. It shows various social movements in the United States, discussions about loyalty and love of neighbor. 10/10 cinema masterpiece with certainty",10,1,2,1 May 2019
The Godfather: Part II," i love this movie
","A sequence, the second best movie ever. I love godfather trillogy <3",10,1,1,1 May 2019
Dreamgirls," OK!
","A film, very well set, a beautiful biography of American singers, the film is a wonderful musical, recommended for people who enjoy music.",6,0,0,1 May 2019
Avengers: Endgame," The best Marvel movie ever
","Go to the movies and watch, the best movie of the all time marvel, an incredible way to end this saga.",9,1,7,30 April 2019
No Country for Old Men," A very good movie
","I love the tematic, the actor Javier is very good. Good movie TOp250 ever.",8,0,0,1 May 2019
One Flew Over the Cuckoo's Nest," The good movie!
","Amazing movie, unexpected ending, great performance by Jack (for me the best), wonderful scenes. Great experience",10,0,0,1 May 2019
The Last King of Scotland," A good movie.
","The film is based on facts, but only in part many things are other truths invented, nevertheless a film that tells the story of the real dictator of Uganda Idi Amin in a realistic way. Assistir will not waste time.",7,1,2,30 April 2019
The Reader," This movie is ok!
","A common film, story that has a 'sad' ending however a very simplistic story with an OK ending. Not one of the best, but still a good movie.",7,0,0,1 May 2019
The Queen," The obscure side of royal family
","Film about the death of Diana, and how the royal family reacts, not so good movie but shows a dark side of the British royal family, which has pledged me enough, in the whole a film ok neither so good nor so bad.",5,1,2,30 April 2019
Toy Story 3," lovely
","A mix of emotions, fear, love, compation, comedy. A great movie.!",9,0,0,2 May 2019
Madagascar 3: Europe's Most Wanted," Good movie for kids
","Cartoon is my passion, and this film is a masterpiece when it comes to this subject, a simple yet lively story, suitable for children and also for adults who just want to spend time.",7,1,1,30 April 2019
The Social Network," A regular movie
","The history of zuckerberg, not a great movie but is a good movie.",7,0,0,2 May 2019
The Godfather," The best movie ever.
","Epic scenes, captivating characters, incredible story, masterpiece of cinema.",10,0,1,26 April 2019
