movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Above average motor racing drama
","Enthusiasm for this movie will no doubt vary according to your interest in motor racing and the cars and drivers that make it. If, like myself, the sound of a 4.7 litre V8 on full song is akin to Beethoven's 5th, you will not be disappointed. Otherwise there is still much to be enjoyed here.The story revolves around Ford Motor Company's ambition in the 1960s to build a legendary racing car (the GT 40) capable of beating the venerable Ferrari team in Europe at the Le Mans 24-hour race. Loosely based on the real events, the thrills of speed, brilliantly portrayed in some superb racing footage, are complemented by the human drama as the racing team struggle with the monstrous Henry Ford 2 (superbly played by Tracy Letts) and his cronies and their own personal relationships. Matt Damon and Christian Bale make a great contrasting pair as all-American racing maestro, Carol Shelby, and cantankerous British racing ace and master engineer, Ken Miles, with tremendous performances from both. The strains of top-flight motor racing are excellently depicted via Miles' relationship with his supportive wife, Mollie (Catriona Balfe) and adoring son, Peter (beautifully played by Noah Jupe).Everything proceeds at a cracking pace and, unlike some car movies, the visuals are not overburdened with flash-and-crash CGI intrusions. A few cliched moments do not detract too much from the excitement and, at times, poignancy, of this highly enjoyable film. Vroom-vroom ....!(Viewed at Screen 3, Odeon, Warrington UK, 30 November 2019)",8,0,2,1 December 2019
The King's Speech," The King Speaks Loud and Clear
","At last! - a movie that one can unashamedly applaud. Superficially, this is a historical drama about the Abdication Crisis and its effects on the Royal Family of the day. What it is really about,or, if you prefer, at a deeper level, it is the story of one person's struggle to conquer the inadequacies of their upbringing and confront their deepest fears. It is also a film about commitment, loyalty and friendship - and their opposites.The acting is high quality throughout, though Timothy Spall as Churchill is stretching the casting somewhat. But he and Elizabeth Bonham Carter, Derek Jacobi and Guy Pearce are very much in supporting roles. It is Colin Firth, as George VI, and Geoffrey Rush, as Lionel Logue, the speech therapist, who carry the film. The acting is superb from both, but it is Rush who is utterly outstanding.You may need to be English to fully appreciate the nuances of this movie (e.g. the manner of the Queen's deft side-stepping of Logue's wife's invitation to stay for dinner). But anyone with a little life experience can identify with the predicament of being in a demanding situation not of one's choosing and through no fault of one's own - except that in the King's case, there was nowhere to run and nowhere to hide. A great and moving example of 'grace under pressure'.",9,0,1,11 February 2011
First Man," This Right Stuff is Out of this World!
","There can hardly have been a more dramatic adventure since the Age of Exploration than the 1960s U.S. mission to send 'a Man to the Moon'. Neil Armstrong was that first man, and the story of his preparations for this venture and subsequent success are told here to great effect. This movie is both exciting and poignant, weaving together the astronauts' professional and personal lives, revealing the enormous mental, physical and emotional pressures and tensions exerted not just on Armstrong and his colleagues, but also their families; the ever-present risk of death hangs over the mission as the astronauts prepare and compete to be the First Man. A story like this hardly needs dramatisation - it is itself amazing - and the understated approach adopted by Damien Chazelle works very effectively. Although in danger of lapsing into sentimentality now and then, generally the movie avoids the schmaltz traps. This makes the emotional impact of the story all the more powerful, epitomised by the way the ending has been treated. The performances are generally good, though perhaps not outstanding, and the cinematography and FX are quite brilliant. CGI excesses and bogus sci-fi scenarios have been avoided, putting this film in a league well above, for example, The Martian.At 2hrs 21mins, this is a lengthy film. But I found it so engaging - you train with the astronauts, travel with them, land on the Moon with them, and feel every rattle and groan along the way - that it did not feel excessively long. And in its portrayal of the massive forces required to carry humans beyond the grip of Earth's gravity, and of the phenomenal courage of those space pioneers who subjected themselves to those forces, it has done justice to the magnitude of their achievement.Not to be missed!(Viewed at Odeon, Warrington, U.K. 15 October 2018)",9,0,1,16 October 2018
The Notebook," Titanic minus the icebergs - drowning in its own slush!
","One of the many problems with this movie is the implausibility and predictability of the story (maybe that's two of the many problems!). Girl takes up with guy from the wrong side of the tracks. They are separated by her parents and by war; she takes up with a worthy suitor; but she eventually returns to his arms. Kind of Titanic minus the ship, the icebergs and most of what made that movie so good. They live happily ever after until she winds up with dementia in the Arnold Schwarzenneger Home for Retired Very Wealthy Californian Gentlefolk and forgets everything, including him. He jogs her intermittently back into the present by reading from a mysterious book which is (hey, we would never have guessed that!) their story. They dance, just like they used to, and indulge in heart-shredding exchanges of the 'I will always lurve you' variety. There is a point about 10 minutes from the end when you think (with relief) that the movie is over. It certainly would have been a good place to stop; there's nothing more to add to the story. But no. The director has to go on and rub in the schmaltz just in case we thought the movie might display some subtlety. The guy wangles his way past the night attendant at the Home and into his demented partner's bed where they expire together. A perfect ending - for them, perhaps, but not for us. Not a movie for grownups. Don't waste your money.",2,11,18,11 August 2008
The Danish Girl," Cold as a Copenhagen winter
","Set in Copenhagen in the mid-1920s, this film tells the story of the first person to undergo gender reassignment surgery, a story which does not, sadly, have a happy ending. Einar Wegener, a Danish painter, has been married to a fellow-artist, Gerda for six years. Gradually he becomes obsessed with the idea of becoming a woman, a quest which leads him to submit to untried medical procedures which eventually prove fatal.It does not take much imagination to appreciate how challenging it must be to find oneself stuck in the 'wrong' body and impelled to rectify this situation by resort to surgery. Perils loom on all sides - the physical risks, the psychological anguish, the threats to personal relationships, the fear of social ostracism or worse - and smooth passage seems improbable. How much more so given the state of medical and psychological knowledge in the 1920s and a less liberal moral climate than prevails today. Surely such a prospect must make for rich and vibrant drama. Yet, despite its dramatic potential, the Wegeners' story is given such a flat treatment by Tom Hooper that the movie verges on boring at times.A bleak note is struck from the start and continued with little respite. The mood is cold and gloomy, emphasised by the colourless, sparely-furnished interiors (light-grey walls in their apartment, harsh white wall tiles in the clinics and consulting rooms - only when Gerda visits Paris do we see some gorgeous period interiors), the bare wintry landscapes of Copenhagen, and the minor-key music. The tempo is one-paced and the dialogue is often stilted and dreary. Can this really be someone engaged in a momentous struggle with their identity and, consequently, with their personal relationships and their position in society? Indeed, when Einar first steps out into the world as Lili, she seems barely noticed by those around her despite looking far from convincing as a female.Einar and Gerda never explore with each other in any sustained way what is happening to him and its implications for their relationship. Partly because of this we get little understanding of Einar's self-perception, little sense of his insights into his condition. Similarly, we don't encounter the desperation of someone in crisis except very late on when Einar is battling with the immediate after-effects of his operations. Mercifully, we are spared visual details of his exposure to the surgeon's scalpel.The lead characters are surprisingly one-dimensional and seem to be narrowly self-obsessed. The emotional range is equally constrained for while we witness neediness, longing and lust, there is no real passion, no sense of warm affection or love between Gerda and her husband. Nor do we see real anger displayed, despite there being much for the characters to be angry about. Lili's quest for transformation seems to bring no one any lasting pleasure.The exaggerated and awkward manner that Eddie Redmayne brought to the character of Stephen Hawking, and which worked brilliantly there, does not really do so here. Instead it proves a distraction. Lili repeatedly responds to male attention with little more than shy downward glances and simpering expressions which become rather embarrassing to watch. Perhaps only a more accomplished actor than Redmayne could carry off this highly demanding role successfully. Alicia Vikander does much better as Gerda but cannot shine so brightly in Redmayne's shadow.There is clearly plenty of talent associated with this film and the story of the Wegeners seems worth telling. But this movie fails to hit the mark.Viewed at Home (successor to The Cornerhouse), Manchester, UK, 03.01.16.",5,53,77,4 January 2016
Life of Pi," Unusual and Enthralling!
","I had not read the book and so came to this movie without preconceptions. We saw it in 3D and there are many visually stunning moments that really work in this format. One marvels at the technical ingenuity of the film-makers and the imagination of the story's author. Superb acting from Suraj Sharma, as the adult Pi, who must have spent an awful lot of his time during the making of this film soaking wet!The movie would have attracted a higher rating from me but for a few failings. It was too long and could have been shortened to good effect; the plot is not as tightly constructed as it could have been; and the ending is something of an anti-climax. After all the drama and visual fireworks that precede them, the closing scenes verge on the dull, which is a great shame as there is much that is brilliant here.It must have been a great challenge translating this tale from the book page to the cinema screen. The result has certainly produced a unique and very enjoyable viewing experience.(Viewed at The Cornerhouse, Manchester, UK, 13.01.13)",7,0,1,21 January 2013
The Revenant," Revenge and survival in a savage world: gory but gripping!
","The story of The Revenant is pretty straightforward. A frontiersman, Hugh Glass (Leonardo DiCaprio), who is acting as guide to a group of fur-trappers, is attacked and seriously injured by a bear. The group's leader, Captain Henry (Domhnall Gleeson), decides to leave Glass to either recover or die while the rest of the party continue their journey to a distant outpost.Glass is left in the care of a cynical trapper, Fitzgerald (Tom Hardy), an inexperienced youngster, Jim, and Glass's own half-breed son, Hawk. After the main party's departure, Fitzgerald decides to finish Glass off but Hawk tries to stop him. In the ensuing struggle Hawk is killed. Fitzgerald then persuades Jim that Glass is dying and that they must abandon him for fear of Indian attack. They leave and eventually reach the outpost where they are reunited with Henry, telling him - untruthfully - they left after Glass had died.Unbeknown to them, Glass gradually recovers from his terrible wounds and embarks on his quest for revenge on those who murdered his son and left Glass himself to die. Glass has become the 'revenant', one who 'returns from the dead.' Set in the early 19th century amid the rivers and mountains of a wintry Montana, this tale of wrongs and revenge is fairly straightforward. But it is as much a story of survival in a brutal world in which violent death is a familiar prospect for human and animal alike. Hence we witness several graphically depicted scenes of bloody violence, the bear attack being one of the most gruesome and terrifyingly convincing. Here nature is 'red in tooth and claw', the spectre of Jack London (The Call of the Wild, To Build a Fire, etc.) hanging over the entire proceedings.What lifts this movie out of the ordinary is Emmanuel Lubezki's superb cinematography which draws us into every scene. The mountain landscape in all its bleak wintry majesty resonates perfectly with the kill-or-die ethos of the living creatures that struggle to live there. Yet the story is laced with moments of spirituality and hints of transcendence; Glass has visions of his dead wife and lingering skyward shots of silent towering trees point us to whatever - if anything - that lies above and beyond.If you look too closely at this tale you see that Glass is an improbably durable man, surviving what in reality would be impossible circumstances. But so spell-binding is the combined effects of the visuals, the music and the acting that we willingly suspend our disbelief, at least until we emerge from the movie theatre and return to the reality of daily life.Leonardo DiCaprio is little short of magnificent as Glass, ably supported by Tom Hardy and Domhnall Gleeson. Both DiCaprio and the director, Alejandro Inarritu, look well-deserving of awards for this stunningly atmospheric movie. Recommended - but be prepared for blood and guts! Viewed at HOME (successor to The Cornerhouse), Manchester, UK, 17th January 2016.",8,0,2,21 January 2016
Mamma Mia!," A great musical experience for tone deaf karaoke lovers
","After so much hype, and having seen the stage show which was brilliant, I was hoping for something special from this movie. How wrong of me! It is a disaster - not because it is a flawed creation but because it has taken a superb piece of artistry and wrecked it, wonderful songs reduced to cinematic karaoke. Surely it would occur to the makers of a musical that the most fundamental requirement of it is that it should be musical! But no. All too obviously the producers have gone for the star names, presumably hoping that the audience will know and like them while being too young to have seen ABBA at work for real. It's all so embarrassing: Meryl Streep, looking like a demented retiree who has escaped by dressing up as Andy Pandy; Julie Walters, whose talent is totally wasted here; Pierce Brosnan, whose hairy chest cannot make up in my mind for his appalling 'singing',-it's too depressing to go on. Amanda Seyfried seemed to me to be the only actor who came out with any credit. The story is thin, but that's fine insofar as it is merely a scaffolding on which to hang ABBA's music and wonderful lyrics. But their legacy is trashed, most painfully when Streep tries to sing 'The Winner Takes It All', one of ABBA's most moving songs. The thought that this movie has made so much money is dispiriting to say the least. Benny and Bjorn were wary of letting this project go forward. They should have followed their gut instincts.",1,7,12,27 January 2009
The Theory of Everything," Brilliantly realised story of triumph over adversity
","I approached this film knowing something of Stephen Hawking's life and work but with no real interest in watching a full-length movie about it. But I'm glad I did see this wonderful film. For his deeply-moving story is a revelation, exquisitely realised by Eddie Redmayne, as Hawking, and Felicity Jones, as his wife, Jane, under the direction of James Marsh.Here is this amazingly bright young man on the verge of a brilliant academic career as a cosmologist. He falls in love with a beautiful, intelligent girl and she with him. Their life is set on course for a glittering future when he is struck down by a tragedy of Beethoven-like proportions - a man who may well be about to produce the 'theory of everything', the holy grail of physics, is diagnosed with an incurable terminal disease and is given but a short time to live.And yet somehow, against all predictions, he does not die. Not only that, he manages to fulfil and exceed all expectations, both professionally and personally. He writes books, he wins prizes and accolades, he fathers a family. With the loving support of his wife, Jane, he becomes truly The Man Who Refused to Die. But even then there is still a heavy price to pay ...It is no surprise to see that Redmayne won an Oscar for his performance here. His portrayal of Stephen Hawking's gradual faltering collapse is totally convincing, as is Felicity Jones's depiction of Jane Hawking as the exuberance, optimism and energy of youth are eroded away as the years pass and the sheer strain of keeping her husband and family functioning leaves its mark. How cruel life can be!But there is nothing mawkish about this film. It looks unflinchingly at the sadness and the joys, the successes and the failures, the beginnings and the endings. Highly recommended.(Vieweed at the Warrington Odeon, UK, 11th January 2015)",10,0,0,25 February 2015
Lincoln," Good in parts but a disappointing History-according-to-Hollywood.
","Although titled 'Lincoln' this Spielberg movie is not a biopic but the story of the passing of the 13th Amendment, abolishing slavery. In so far as it focuses on the culmination of Lincoln's life and political career it might indeed be said to be hagiography, a piece of hero- worship which presumably will have more appeal to American patriots than to others. We actually learn very little about Lincoln's background , early life and rise to power, which is a pity as they make a fascinating story in themselves.Visually it is an absorbing film, replete with period detail and atmosphere, and Daniel Day-Lewis's portrayal of the beleaguered President is stunning (although his accent reminded me of Walter Brennan's 'Stumpy' in Rio Bravo, an incongruous comparison). But for me the man who steals the show is Tommy Lee Jones as Thaddeus Stevens, the rabble rousing leader of the Radicals, whose performance is ever watchable.Although there are a few battlefield scenes and glimpses of Lincoln's family life, the movie revolves around the debates on the Amendment on the floor of the House of Representatives. I was struck by the resemblance to those court-room dramas beloved of Americans, punctuated by cries of 'Objection!' and 'Clear the court!' 'Lincoln' could, perhaps, be seen as a scaled-up courtroom drama, with Lincoln the man on trial and the congressmen the jury. A noticeable weakness in the dramatic structure, however, is that the 'accused' himself never appears in the 'courtroom' (presumably that would be un-Constitutional) so that the 'trial' is conducted through intermediaries. Dramatic tension is further weakened because we already know the outcome - the Amendment is passed, slavery is abolished, the War is ended.Many of the interchanges between congressmen, although passionate, are perhaps overly-long and complex unless you are a keen student of American history. On that point, there are several scenes which would presumably resonate much more strongly with a US audience (e.g. the surrender at Appomattox) than they did with myself. It also did not seem clear quite why abolishing slavery and ending the war were in direct conflict with each other, the raison-d'etre of Lincoln's personal and political dilemma. The movie's ending is baffling. We all know that Lincoln was assassinated by a gunman while watching a theatre performance. Fine. We see a theatre performance and expect to witness the ghastly deed. But no - the central character is absent once more. A man rushes onto the stage to announce that 'The President has been shot!' Where? We're in the theatre but we didn't see it! What's going on? Did I miss something? Cut to scene of Lincoln on a bed, being pronounced dead by a physician. Seems we were in some other theatre where his young son is in the audience so that we can witness his pain on hearing that his father is dead. We've been fooled but not in a good way.The movie is not without clichés - swelling music as the Amendment is passed, some rather self-absorbed story-telling by Lincoln, slightly sycophantic admiration from the younger generation, and a kind of beyond-the-grave finale. It's all a strange mixture.Not one of Spielberg's best movies but some patience and a little preparation on the historical background may enhance enjoyment. Even so, still worth a look.(Viewd at the Odeon, Westbrook, Warrington, UK 04.02.13)",6,0,1,5 February 2013
