movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Genius!
","I seem to be in the minority when it comes to my fondness for 'The Blair Witch Project'. However, it is the pure genius of it that I admire. The film makers, on a beer budget, produced and marketed a gold mine. Very few films prior had utilized the first-person-shooter aspect and I can think of no other film that successfully delivers the scare factor without any gore or ever showing any villains.I guess what it comes down to is which Horror camp you're in. Blood and gore camp, this is not your film. Scary monsters, nope, skip it. Psychological thrillers, then like me, you might wanna' check this one out.",9,1,2,26 February 2008
Sucker Punch," Sin City Meets The Matrix
","Sucker Punch plays out like a video game/music video, and although some of its tactics are questionable, it proves to be somewhat of a unique and wow-inspiring experience. Young girl (20? yeah right! Try more like 17) is committed to an insane asylum by her evil, pedophile stepfather after a rape attempt goes awry and she accidentally kills her little sister. The stepfather bribes one of the orderlies to put a rush order in for her unwarranted lobotomy, but during the week-long wait for the procedure, imagination propels her into an alternate reality consumed by action-fantasy. Accompanied by a handful of hotties, she does battle with colossal demonic samurai, ferocious orc-like Nazi stormtroopers, metropolis-destined WMD's, and even a fire-breathing dragon, all the while dressed in cleavage-boasting tops and schoolgirl miniskirts. It is a teenage boys dream come true.Not over-overwhelmingly original, the trip is fun, the effects are cool and stylish, and I really dug the backdrop tunes. But I like video game flicks and admittedly, I found myself contemplating which of my library I was going to slip into the PS3 once I got home. To that end, the film was a bit of an inspiration.I disagreed with the PG-13 rating. Responsible parents beware. The movie is packed with strong sexual under and overtones. Now before all you anti-censorship zealots get your panties crammed into wedgies, I agree that to take away from its extremely sexy seductiveness would leave it naked and rather impotent and I am merely suggesting it should have received the R-rating it deserved. Never mind that the matinée I hit held 50+ year old men as the majority in attendance (hmmm)... This is an exploitation flick flaunting young, scantily-clad, cuties wielding swords and kicking ass while trying to escape a whorehouse. I just don't think the little kiddies should be Sucker Puch-ed. My only real exception, as is true with any film dealing with similar subject matter, is the making light of pedophilia. This movie opens disturbingly with a dirty old man about to rape a young, preteen girl. Something of that nature has no business even being insinuated or associated with ensuing images clearly intended to titillate and peak the libido.",6,1,8,25 March 2011
The Ring," Scared the HELL outa' me!
","There are thrillers that vacate your thoughts as soon as the credits roll and then there are thrillers that sink deep into your subconscious and remain with you for days, weeks, months... dare I say years after the credits roll. 'The Ring' takes its rightful throne in the latter category.When her niece dies a gruesome death, journalist Rachael Kellers (Naomi Watts) investigation leads her to a mysterious videotape. As soon as she views the tape the phone rings and a malevolent child's voice warns 'seven days'. When she rings her old boyfriend into watching the tape and their young son decides to have a peek too, thus begins their desperate search for the truth.'The Ring' scared me. It scared me for weeks. I unashamedly admit that I slept with the light on and moved the TV out of my bedroom. I have one word for you. Samara.",9,1,1,20 October 2008
Hostel," Intriguing premise, extremely poor execution
","Admittedly, I was deceptively seduced by this film's trailer and movie poster into believing that this film would cross the threshold into uncharted territory of the horror genre. OK, OK, I know. That's the desired effect the movie makers hope to accomplish with those two vehicles. However, the disturbingly haunting advertisements were so reminiscent of dark films such as The Shining, The Exorcist, and even The Texas Chainsaw Massacre (all three breaking new ground in cinematic horror), that I took the bait. Unfortunately, as is all too often the case, I was disappointed. When will I learn my lesson? What worked for me: I found the premise that wealthy perverts pay Slovakian mobsters big bucks to torture and murder kidnapped tourists to be quite chillingly possible, just as films like Hardcore and 8mm exposed the feasibility of 'snuff' films. I must also confess that I found the blatantly gratuitous lovemaking scene extremely hypnotic. Two beautiful and quite nude Slovakian ladies writhing to The Sneaker Pimp's 'How Do' playing in the background was intoxicating. Please forgive the male hetero dog in me.What didn't work for me: the director, Eli Roth, failed in his obvious attempt to assault me with an 'over-the-top' sado-sexual exploitation film. Sure, there were a couple times when I winced and said 'Yuck!' (such as when a victim's eyeball is torn from its socket and left dangling whilst she screams), but at no time did this film remotely deliver the fear it promised. Even the violence was an overall shock-less 'blah.' Character development was so non-existent that I felt not a smidgen of sympathy for the protagonists. Roth would have had better luck if this film had been geared towards a public health message warning 'keep it in your pants and don't sleep around or you might have your fingers cut off and your eyeballs ripped out of your head', as the two protagonists come off as a couple horny imbeciles looking to score on anything female, awake or passed out. The ending was not only inconceivably unrealistic, but I found myself shaking my head in disbelief at such a botched attempt at irony. The only irony I enjoyed was reading the film's tag line: 'Welcome to your worst nightmare' as I left the theater. There was no art here, only the greedy intent to capitalize on violence looking for their next fix. I enjoyed Cabin Fever more than this film, and I hated Cabin Fever.I'll leave you with this: if 'I Spit On Your Grave' floated your boat, then you'll probably see this film as a masterpiece, and if you do, I have two words for you: Get Help!",7,1,2,5 December 2006
Closer," Yada Yada Yada
","When I watch a film, I hope to get one of the following out of the experience: a) be entertained, b) learn something, or c) benefit somehow spiritually. If the film provides me with two or even all three of these, all the better.'Closer' did not provide me with any substance from any of these aforementioned areas. As far as being entertained, aside from enjoying the sight of Natalie Portman seductively writhing in lingerie, this film scored 'B' for boredom. Perhaps the only thing that kept me going was the hope of more scenes of Portman scantily clad. I learned nothing I did not already know from the film. When someone cheats on their significant other, it causes irreparable pain, and is very selfish and cruel. Duh! The only spiritual benefit I received from the film was the reassurance that I wasn't as shallow. weak-willed, and depressed as the characters on the screen. OK, so maybe there was a lil' positive influence.But seriously folks... there just was nothing intriguing or even remotely interesting about this film. Portman, Clive Owen, Julia Roberts, and Jude Law all gave fantastic performances. Unfortunately, it was talent completely wasted on a nowhere story.",5,2,4,24 August 2007
Saw III," Enough was enough!
","The first SAW was intriguing. Although it was so obviously derived from Seven, I still thought it was clever. One of its traits I admired was that it made me flinch from the gore without actually displaying any gore. In my humble opinion, that is an example of the art of movie making. I admit, the ending caught me off-guard, and in a fun I-can't-believe-I-didn't-see-that-coming sort of way.Saw 2? Not worth the breath required to cast a comment.I heard great things about Saw 3. Of course, I had heard great things about King Kong (2005) too. I was disappointed. In fact, I had to literally force myself to watch the film. I saw the ending coming within the first 15 minutes. I felt absolutely no pity for any of the characters, save the poor chap who was forced to swim in pig guts. The gore was disgusting in an obnoxious and irritating kind of way. Saw 3 is a prime example of a film franchise that needs to be put down to sleep... permanently.",4,1,3,10 January 2007
Across the Universe," Very Good but Had the Potential for Excellence
","I grew up watching musicals. 'Oklahoma', 'Singing in the Rain', 'West Side Story'... These were great films with great stories and great musical performances. They tended to be on the longer side, but no one noticed while watching, because everyone was transfixed on the film. The fact that so many folks have praised 'Across the Universe' in their reviews indicates that musicals, with quality production, could make a magnificent comeback.The music and the visuals were wonderful. I especially enjoyed T.V. Carpio's rendition of 'I Want To Hold Your Hand' and Joe Cocker and company with 'Come Together'. The choreography as a whole was excellent! More than once, I found myself singing along.For me, the music sequences were able to sustain an otherwise ridiculous storyline that reminded me of 1978's 'Sgt. Pepper's Lonely Heart Club Band' or 1980's 'Xanadu'. In the case of 'Across the Universe', the plot is haphazardly shaped around the lyrics of many Beatles' songs. There is (Sexy) Sadie and (Dear) Prudence, JoJo (Get Back) and (Hey) Jude, and even Lucy (In the Sky With Diamonds). It's all fun, sure, but the script lacks any serious creativity. The story's backdrop seemed to me an attempt at Forrest Gump meets 'John, Paul, George, and Ringo'. For me, it just didn't work as planned. About 30-45 minutes out from the end you start looking at your watch, but the finale leaves a very pleasant taste that lingers well after the credits have finished rolling.I would love to experience this film in an Imax as so much of it is an amazing combination of sight and sound. It could have been a masterpiece, but is still very good.",8,0,2,16 February 2008
The Mist," Compelling, but nothing new...
","A storm wreaks havoc on a small north-eastern community. The following morning, after he inspects the damage, David Drayton (Thomas Jane) and his son (Nathan Gamble) go into town to purchase some essentials only to find themselves held captive by a menacing mist teaming with all sorts of slithering nasties, flying uglies, and creepy crawlies.There is nothing unique about 'The Mist'. The film is 'Jumanji' meets 'The Fog'. Let's see... we've got our military experiments gone awry along with Stephen King-typical religious fanatics and small town hicks. Thomas Jane as the main protagonist does a decent job here. However, I was disappointed with the fragmented and haphazard way Andre Braugher's character, the paranoid litigant, was yo-yoed in and out of the film. I was equally disappointed by the idiocy of William Sadler's character, the local yokel simpleton bully, and especially Marcia Gay Harden, who played the part of the religious zealot. I found her as distastefully obnoxious in this film as I did in 'Mystic River'. Yes, I know she is meant to be obnoxious, but she runs with it all just a bit too far, in my humble opinion.The only true horror of the film is its ending. I won't rob you of that experience, but be prepared to be unprepared. It is trademark King. Many folks have voiced strong dissatisfaction with the ending, claiming it as nonsensical, too disturbing, leaving them in a sickened and perplexed mood. I suggest that the ending of this film is horror in its purest sense, and horror doesn't have a name, doesn't feel warm and fuzzy, and definitely is void of logic. The ending is also quite congruent in the way King habitually concludes his short stories and novellas. Unfortunately, as is almost always the case with films adapted from King's novels (The Mist was a novella) 'The Mist' was an overall flaccid exercise.",5,1,5,1 December 2007
Mulholland Drive," Strange Just To Be Strange Is Ho-Hum
","Let's be honest. David Lynch films are cult films and cult films are popular because their cult films. It doesn't mean that they're very good film making. 'Plan 9 From Outer Space'... I rest my case.Initially, Lynch's method for generating ideas seemed to be: a) Drop acid. b) Remember your trip. c) Make a movie out of it.Now the method seems to have changed to: a) Drop acid. b) Watch one of your own films. c) Pretend that what you saw is something new. d) Make a new movie out of it.Granted, I am intrigued by Lynch's films, but then I have never dropped acid. Is there some connection there? Perhaps, but once you see one Lynch film then you have basically seen them all. They're all bizarre, but I suspect only for the mere sake of being bizarre. Further, Lynch has done the same 'bizarre' over and over to the point that it isn't even bizarre anymore. He's become his own clichÃ©.For me, 'Mulholland Dr.', of all the Lynch films, was one of his better efforts. It did not have the snail pace of some of his others, such as 'Lost Highway'. Naomi Watts was excellent in her portrayal of a Hollywood hopeful who cares for a strange woman suffering from amnesia. The story floats around their relationship and their investigatory efforts to discover the woman's identity.Just as in other Lynch films, people trade bodies, lives are threatened, devilish figures speak in riddles slowly, and women get naked. To the latter, the couple of scenes with Watts and Laura Harring getting down and Sapphoian might delight the nude-celeb groupies out there, but beyond that, they are shamefully... embarrassingly gratuitous. C'mon!",5,3,7,7 September 2007
Paranormal Activity," The Paranormal Activity is in the ratings...
","Ten years ago, two guys, Daniel Myrick and Eduardo Sanchez, put together a scary little film on a peanut-shell budget and utilized the still-fledgling Internet to create a seemingly 'paranormal' phenomenon which became known as The Blair Witch Project. The film was shot from a first person perspective of an amateur film crew out to investigate 'paranormal activity' stemming from a spooky little backwoods legend. The effects were simple, yet spine-chillingly effective and many folks began re-thinking the whole camping idea. It was an amazingly original idea and to this day, I still consider the film and its marketing campaign a work of genius. It was something new and without a doubt, prompted the whole 'reality' scene we are all too familiar with today.Now, fast forward to present day and we have been shelled with a film which attempts to capitalize on all the elements that made Blair effective. This time, however, the gimmicks are a mere hodgepodge of unoriginality from its shallow introduction of the protagonists to the dragging around on the floor REC (Quarantine) style, to the open-ended questions that are meant to linger in our minds when the final credits role. To boot, there is this very suspicious marketing campaign that borders on the edge of unethical where screenings and online reviews more than likely have been staged by greedy film execs to hype up that which just isn't worthy of the hype. Let's seeÂ… we have shadows, doors opening and closing, chandeliers swinging, sinister voices, and a whole lota' screams from the female lead. We even have a Ouija board. I am not kidding. They are pulling all the stops on all the haunted house gags this time. I found myself wondering when Abbott and Costello were going to run through the room chased by a dangling skeleton. The most fun you might have watching this little venture is if you bring along a pad and pen and jot down which film each of the overplayed 'scares' are stolen from. Then, however, you still are forced to endure the most boring of sequences to make it to the next evening all the while dismissing all logic to believe a couple would even remain in this haunted house.Frankly, I am very disappointed. I had hoped for a fun and scary ride with Paranormal Activity but it turned out to be nothing more than pretentious in an annoying sort of way. What is most 'disturbing' is this clatter and clang of borderline heresy I keep hearing that suggests Paranormal Activity gauges up there with films such as The Exorcist. If you can look me in the eye and keep a straight face while trying to convince me that such fear can be derived here, I will most certainly wince with a disgusted perplexity and reply, 'Surely you jest...'",2,28,56,22 October 2009
