movie_title,title,review,rating,helpful,total,date
The Avengers," Joss does it again
","I'm a big fan of Joss Whedon since Buffy days, love Firefly and Serenity, so when I heard he was directing an Avengers movie I started to have faith that it would be done right. Once again Joss didn't disappoint.Leaving aside the obvious opportunity for ridiculously good action sequences that an Avengers movie can have, and this film has a lot, it was important that whoever directed this captured the different personalities that make up the team, and the way they clash. Joss has always been good at writing for his characters, which is why here he's pretty much perfectly grabbed each hero's personality. The dialogue between them is great and believable and being the fan he has been of The Avengers since the 60s, he has a good idea of their background and what drives and motivates each of them. There's some great exchanges between them as they work out their differences and when we reach the climax and they finally come together and work as a team... what a treat.The actors that have portrayed their characters in past films are now set, you can't see anyone else playing the characters they play. They're all fantastic, work brilliantly as an ensemble and the new addition - Mark Ruffalo as Banner/Hulk is a great choice, bringing that air of a man who's come to terms with his plight and learned to be calm and relaxed, but with the temper just brimming below the surface. This is the best film featuring Hulk to date, and because Hulk this time was based on Ruffalo's movements and not entirely CGI, it's the most realistic Hulk we've received to date as well.I'd also like to mention here that Joss is great at writing humour into his stories and this film isn't short of some truly laugh-out-loud moments. Anyone who's a fan of his work in the past will recognise his brand of humour in this film.To sum up, anyone who's a fan of superhero movies will love this, it has everything you could've hoped for in an Avengers movie. It's great to see some of our beloved comic book heroes given their dues in some great movies lately, such as Nolan's Batman films and X-Men First Class and this film is up there with the best. I'll be looking forward to the sequel, especially after the sequence during the credits.Highly recommended.",10,2,6,29 April 2012
Pirates of the Caribbean: At World's End," Disjointed
","I would've liked to give this film a higher rating, I can't say that it was disappointing but at the same time I didn't think it was all it could be. Maybe my expectations were too high, maybe I wasn't really in the mood to see it, maybe it was the fact that I finished about a litre of coke 15 minutes in, but I had trouble sitting through some bits of this film. The abstract whiteness of the afterlife (or Jack's afterlife), the strange rocks that turned into crabs, the fact that Calypso's power seemed to be limited to a whirlpool and a bit of rain after all the buildup... just didn't really grab me. I think it was just an excuse for some fancy special effects. It was overly long, and the ending was predictable too.Marks for the acting, Depp and Rush are fantastic, and the last half hour is fun to say the least, but for me it didn't have the charm and the character of the first film.",6,8,12,31 May 2007
Match Point," Compelling
","Going through the abundant and recently updated collection of my mother's DVDs, fighting to stave off boredom, passing the many titles I'd seen before and the ones I didn't want to see, I came across Match Point. I didn't know anything about it, but seeing that it had the endlessly sensual Scarlett I thought that even if the film itself was a loss I'd have something to watch. Oh, and the rundown on the back sounded interesting enough. I've only just discovered who the director is, and it's been quite some time since I've seen it. My painfully clear lack of attention to detail aside (and please don't take that as a reflection of my comments, it's there when it counts), I liked this film a lot. Well acted, well scripted, well shot and quite thought-provoking. The story is believable when it needs to be, the plot builds perfectly and the characters are real, well developed and likable. Rhys Meyers does brilliantly as a suitably self-confident prat (almost annoyingly so at times, which adds to his character's depth) and is great at conveying the fact that his character is cool and always in control, even when things start going to hell. If you didn't follow the actions and behaviour of his character from start to finish, you'd think he knows instinctively how to handle any situation and it's only through the ending that we're shown why, and what a great ending it is. Unexpected, definitely. Implausible, certainly, as some of the other comments have pointed out as a negative, but for me that just makes it better. Highly recommended.",8,2,4,4 April 2007
Lost in Translation," It's all been said...
","So I can't really add anything, just wanted to give my rating of this film, one of my all-time favourites that I must've watched more than I can count on each digit by now but every time I think of it still makes me feel as warm as when I first saw it, and I look forward to my next viewing all over again. To give my rating I have to fill up more lines for the review, so to say it couldn't have been better just doesn't sound right, to say it's perfect is selling it short. Leaving aside the backdrop, performances (I was a fan of Bill Murray before this film, he has since ascended to the top of my list of favourite actors), dialogue, story, all the 'tangible' things you can judge a film on, all of which would receive full marks from me separately... this is a true masterpiece, with a quality as rare as a diamond, that awakens and touches on something inside you can barely touch on yourself.",10,1,3,22 June 2010
Gran Torino," Unbelievably overrated
","That's it. I give up. Clint Eastwood's films have lost it for me. After the predictable, boring, clichéd tripe that was Million Dollar Baby I risked seeing this as again I was taken in by all the good reviews... never again. Come on, when are people going to stop humouring this boring old fart? Drag his character over from MDB, make him a hate-filled racist as well as a scowling misogynist, and you have this guy. Don't you just want to see the angry, growling old git inevitably get reformed in the most painfully predictable, clichéd way by the most painfully predictable, clichéd characters imaginable, yet again? Please say no.At least MDB had people that could act, can't say the same for this. Watch the kid screaming to get out of the basement after the dirty old man's locked him in there, you'll see what I mean. I also would've gladly punched the girl in the face as well, to the point of being envious of the people that eventually got to do it in the film.What I hated about this... I don't even know where to begin. Started off boring, like MDB. Got even more tedious through the middle, most of the scenes being obvious set ups for all the 'emotional, hard-hitting' stuff later on, like MDB. The utterly inane and predictable build-up and ending fell jarringly flat, like MDB. By the end I was as angry as Eastwood himself. The film did reach a high point for me then, I had a LOL moment as Eastwood started singing (yes, singing) some puke-inducing crap song about his car through the closing credits, which I guess was supposed to be sad and emotional. The funniest comedies don't make me laugh that hard, the goriest horror films don't make me feel as sick. Thanks Clint. Now go back to bed and stop bothering people old man, don't get up again. You're just embarrassing yourself.Seriously, I'm lost for words as to why this is so highly rated. I can't understand why people insist on eating up this one-dimensional crap. Are they scared to say they don't like it? I'm not. I hated this film. Worst one I've had to sit through in a long time.",1,62,125,26 September 2009
The Illusionist," Shallow and predictable
","Ouch! For all that this film promises, I got way more of a surprise seeing the rating it has on this site than anything I saw in the film itself.The respectable cast do what they can with their bland, boring characters, and the setting is beautiful, but that wasn't nearly enough to keep me interested. An hour or so into the film, I knew how it was going to turn out, and I didn't really care. By the end, I was downright annoyed. I didn't build up enough compassion for the 'hero' and 'heroine' and I didn't dislike the villain enough to justify where the film sees them end up. Don't get me wrong, the villain was evil enough, but the reasons we're given to hate him seemed to be thought up and thrown in with clichéd subtext and a few clichéd scenes at the last minute and some of the decisions he makes later in the film are inconsistent with earlier parts. Maybe I'm a sucker for the bad guy, but I just ended up feeling sorry for him and I guess it's because of that I didn't end up liking the good guys. There's no character development here. Biel's character is insipid, shallow and annoying and Norton does his job well but seems bored most of the way through. Giamatti is as good as ever but his character is at times annoyingly inconsistent too. Sewell didn't have much to work with. If you want to see him as a much better villain in a much better film, see A Knight's Tale.I was expecting this film to grab me a lot more than it did, but it turned out to be more of a disappointment than anything else.",4,12,18,4 April 2007
Event Horizon," Stays in your mind
","I thought this was a passable horror film, not much that's original, but scary enough. Good, suspenseful music, visions of dead people, all the usual stuff in an immersive sci-fi setting and the film does it all well.There's one thing I have to give it credit for that sets it apart... it has THE most disturbing depiction of hell I've seen in any film, before or since. The images go by in a split-second, on screen barely long enough for your mind to register them, but they managed to stay in my mind long after the film was over. They really drive the point home that hell is really NOT a place you'd want to visit, ever. Way more impact than the fire and brimstone version.Quite disturbing and very, very effective.",6,0,1,7 April 2007
Clash of the Titans," Trash of the Titans
","Leaving aside the mythological inaccuracies of the film, which for any fan of Greek mythology is understandable, or the fact that it's a remake, this was still disappointing. The original definitely did the actual story of Perseus more justice, had way more character development and a better storyline.Nothing more than a hack-and-slash action flick, further to the complete lack of any character development the stab at romance falls really flat. Don't expect to garner much emotion for any of the characters or for the storyline itself. The first film's story where Perseus' actions were driven by his love for Andromeda worked a lot better and was more fitting to the mythology. Why they changed it into a strange story of revenge, I really can't fathom. Perseus and Andromeda barely talk to each other in this version, and the Kraken in this film seems to be more an excuse to show off lavish CGI than anything else, and I didn't like the way it was done. You know it's going to finally show up at the end, it makes its way to the city almost instantly once it's released and then proceeds to writhe around in the water for ages conveniently waiting for Perseus as he sets himself set up to kill it. It was supposed to be suspenseful, but wasn't in the slightest. It just went too long, and for some reason it left me feeling sorry for the Kraken.Also, in the midst of the Kraken attack why did the annoying preacher guy stab and kill the king when all he did was express anguish that his daughter was strung up as a sacrifice? That was very strange and random. He was already annoying, no need to create another reason for us to hate him even more.Why did they bother with the 2 minute 'training' scene? That was also random and really reeked of being just thrown in. It had no point and didn't serve to show us anything we didn't assume or know already.Add to this a painful comic relief axe-wielding blatant Gimli ripoff and his equally annoying friend, who leave halfway through much to my delight because things are getting too serious for them, only to have them appear in the midst of the climax in a horribly gratuitous act of formulaic 'heroism' we've seen dozens of times before, which never really works any more and as a result worked even less here. Their bit at the climax was probably the most annoying thing I saw in the film. It left me literally shaking my head and made me want to switch off right there.The film ended with a blatantly obvious lead-in to a sequel, where Liam basically says to Sam word for word 'the bad guy's gone now, but he'll definitely be back and madder than ever' and that was it. I was left with an overall feeling of dissatisfaction as the credits rolled, and a sense that the whole thing felt way too rushed.On the acting front, there's nothing to really mention. They all do their job, I guess. Mads and Liam stand out as the talent. I can't help thinking that all Sam Worthington was trying to do was a bad impression of Russell Crowe in Gladiator. He'll never have that same intensity, so don't even try. Continuing on the impression front, Ralph Fiennes seemed to be doing an equally bad one of his much scarier looking/sounding/acting Lord Voldemort. He definitely wasn't taking his role in this film as seriously, and it showed.A few points for the effects, but as good as they can be effects are no longer enough to carry a film in terms of quality (unless they're of groundbreaking Avatar-like quality, and the effects of this film don't even come close to that). Unfortunately effects alone are enough to carry a film at the box office and probably always will be so until that changes we'll continue to get films like this, devoid of anything much more than said effects. Don't go into this film expecting much else.",3,3,6,13 July 2010
The Dark Knight," Very good
","I was looking forward to this, I'm a fan of comic book movies and I like when they delve into the psyche of the hero, aka Spiderman 2 and Batman Begins, and this didn't disappoint. I actually had trouble remembering this was a comic book movie. It gets very in-depth and doesn't pull any punches. Action, storyline, effects, mood, everything is very well done, and keeps you on the edge of your seat the whole time, waiting to see what's gonna happen next. Normally I have trouble sitting through a film that's more than 2 hours long but I was sorry when this finished.I've been a fan of Heath's since Two Hands and his tragically cut-short development as an actor since then definitely shines through in this. You can tell he put his heart and soul into this and while his death certainly adds to the hype there's no doubt he does amazingly well with a very disturbed Joker. His performance is pretty much flawless and his presence on screen is palpable. The voice, mannerisms and just his general menacing aura definitely hit the mark and will do his memory justice for years to come. It's a pity he won't get the chance to reprise his role but I'm glad he went out on such a high note. Baille is excellent but almost takes a second fiddle in this film, don't get me wrong it's still very much about Batman but the other characters are so developed and well done. Eckhart is great, Caine and Freeman are always good and Maggie Gyllenhaal does her job well. Gary Oldman is one of my favourites, he is one of those actors that can pretty much assimilate into any role and this is no different. I'd say aside from Heath he's the best thing about this film in terms of acting, his naturalness and talent are apparent every time he's on screen.Hats off to Nolan, he's done a great job (again). After the incredible disappointment of Indiana Jones, I'm happy to say this is the best film I've seen so far this year.",9,4,9,16 July 2008
Transformers: Revenge of the Fallen," What I expected
","I'm amazed at some of the reviews on here. Seriously, what did people expect outta this film? Shakespeare? The English Patient? You go to see this for the ridiculous action, awesome special effects and just to have a good time, which is what I had. Yeah, it did seem to overindulge slightly and was slow in parts. Yeah, the humour's cheesy, sometimes painfully so. No surprise there though, let's remember we're watching a film based on kids' toys, not a Bronte novel. It ain't perfect, but if you expected it to be, I'm glad you're feeling let down. For me, it didn't try to be anything it shouldn't have and what it needed to do right, it did.Mindless, thoroughly enjoyable fun, just like the first one.",7,162,279,29 September 2009
Inception," It's no masterpiece, but...
","It's refreshing to see something at the movies these days that's original, for a start. It all seems to be remakes, sequels, and generally ideas that have been done before with a couple of aspects changed to make them supposedly 'original'. This isn't the most amazing film I've ever seen, doesn't move to the top of my all-time favourites list, it can certainly be faulted but at the same time I can't deny it was interesting, well written, decently acted and tells a pretty good, definitely original story. The last hour or so of the movie was brilliantly done in my opinion and while it got a tad predictable right towards the end it was definitely entertaining. I feel that it sometimes got lost in itself trying to be too multi-layered, it was always going to be a fairly in-depth story but I felt certain aspects it could have done without or maybe done a bit differently and it still would've been just as good. I felt it jumped around a bit too much at times. It didn't change my life or make me question my own reality or anything like that, maybe that's just me but I was certainly entertained and on the edge of my seat for two and a half hours by an original story and some great, smartly done action scenes and for that, I think it was money well spent going to see this film.",9,4,10,1 August 2010
