movie_title,title,review,rating,helpful,total,date
Requiem for a Dream," This is a 'true' horror movie
","When I finished watching this movie last night, it was 2 AM and I was alone. I was practically shivering in horror at what I had just seen, and I felt like curling into a ball with my pillow in hand.  Watching this movie is like watching a close friend deteriorate before your very eyes.  I had to hit the mute button during the ending montage and peek through my fingers at the TV.  I normally don't watch films like this, but this one had been tempting me for months, so I finally gave in.  I'm really glad I did, but part of me wished I hadn't.'Requiem' is such a powerful film that deserves the acclaim it has  gotten. Drug addiction is the obvious element here, but there's much more underneath: love, betrayal, loneliness, and desperation.  Ellen Burnstyn does a superior job as Sara Goldfarb, an aging widow and mother who lives alone in her apartment.  Her son, Harry, makes his living dealing drugs with his friend, Tyrone.  Harry's girlfriend, Marion, who's also an addict, are living together and trying to establish a good living.  Ms. Goldfarb knows nothing of her son's real life, and fantasizes about his future, as well as her own when she receives an offer to appear as a contestant on a television show.  Her story alone makes this film - it's heart-wrenching and traumatizing to watch.  The three kids got what they deserved, in my opinion, but Sara was the innocent, loving mother who didn't deserve such a fate.The incredible, albeit a bit cartoony, camera cuts work very well.  I loved the music in this film and how it was used.  It was unsettling to hear the music all discordant when the characters began their respective freefalls. The ending montage, if you have the guts to watch it, unlike myself, is a visual wonder, from the little bits that I saw.  If the film could be stripped of its nudity, this would be an excellent film for at-risk teens and high school students.  This is where the three young adults' stories are powerful.  Drugs might be fun for a while, but soon you're hanging onto a train and you either keep riding it 'til your life gives out, or let go and face a long, hellish recovery.  But in this case, the train stopped, leaving the kids out in the cold.  Witnessing what they have to do to feed their addictions is truly sad and it's something every teen should see.This is a harsh film, very horrifying and not good for sensitive viewers. Did I enjoy it?  Not really.  Is it a brilliant film?  Absolutely.  I knew this was an excellent film when it was over, but I didn't enjoy it much. Though, honestly, this isn't a film to be enjoyed, because what you see is isn't at all joyous.  It's a film to be experienced, and what an experience you'll get!  I won't give this film a grade, it's not a fair measure with a film like this, but I highly recommend it.",Null,0,0,6 February 2003
Star Wars: Episode I - The Phantom Menace," Good movie, but doesn't quite fit with the originals
","Having been a huge Star Wars fan since a child, I was thrilled when Phantom Menace came out.  I saw it 4 times in the theater and loved it just the same.  But with Episode II almost in theaters, I feel a need to defend Episode I.  It was very different from the original trilogy with a variety of new elements.  Episode I showed children for the first time in the entire series, something I don't think many fans realized.  Jake Lloyd did the best he could with the character that was meant to act like goofy kid and not a lifeless slave.  Yes, the midiclorian-thing is rubbish and Jar Jar is the worst thing to ever happen in the series, but if you look past that, you'll see that Phantom Menace was a pretty good movie.  I think hype is what killed it.  I've noticed the hype around Ep. II is pretty subdued compared to Ep. I, and that's a good thing.  The biggest problem with P.M. is that it tried to be too many things at once.  It tried to please the older fans of the original trilogy by introducing a cool villain, light-saber battles, a complicated Trade Federation plot and the inclusion of younger versions of favorite characters from the originals.  At the same time, Lucas was trying entertain to kids, some of them not knowing a thing about Star Wars.  Here's where young Anakin and his friends, Jar Jar and those annoying pod race commentators come into play.  The result is that each audience likes certain things, but hates the rest.  Try explaining why Senator Palpatine is evil to a 6-year old, or try getting a 27-year old to giggle at Jar Jar's stupidity.  It doesn't work. That's my reasoning as to why this movie wasn't very well-received by long-time fans.  I think it's a great movie in itself, but when compared to the first trilogy, it's hard to remember that P.M. is really a Star Wars movie.  I think as the new trilogy progresses, the connection will be made.",Null,0,1,22 April 2002
E.T. the Extra-Terrestrial," Think hard about your children before taking them to E.T.
","And I really mean that.  Like wicket, who posted a comment earlier, I was terrified during the entire death sequence of 'E.T.'  So terrified that my dad had to take me out of the theater.  I was 5 back then, my first movie theater experience; definitely not a good one.  If you have sensitive children who are afraid of monsters or intense E.R.-type action, complete with defibrillators and scary men in spacesuits, spare them the agony and leave them at home.  E.T. is barely cute to begin with.  When he's white, half dead and screaming on the bathroom floor, he's absolutely horrifying. And all the while, he's sucking the life out of Elliot, making him seem even more evil.  It's a shame that a movie with such a good beginning and ending had to be tainted with intense scenes that could ruin the entire experience for some children.  I've already been scarred by this movie, so I know I won't see its re-release.  I wouldn't recommend this movie to anyone under the age of 8, but it really depends on the child.  'E.T.' is not family-friendly, in my opinion.",Null,0,1,13 March 2002
My Neighbor Totoro," A very sweet movie everyone should see
","While I'm not a huge anime fan, I've slowly becoming one and have had the pleasure of seeing some fabulous anime, including 'My Neighbor Totoro'. Loved all over the world, this is an animated film that's perfect for kids and adults of all ages.  This is also a must-see for anyone who is interested in Japanese animation, as it's one of the classics, along with 'Akira' and 'Princess Mononoke'.The movie begins with two little girls and their father moving into an old house in the Japanese countryside, while their mother is in a nearby hospital recovering from an undisclosed illness.  Five-year old Mei and Satsuki, her older sister (about 10), help their father fix the house up, along with several of their neighbors.  The girls' father is a professor at the university and leaves Mei in the care of Nanny, the elderly woman next door, while Satsuki is at school.  When school is over, Satsuki and Mei are alone until their father comes home late at night.  One day, Mei follows some tiny creatures into a forest where she meets Totoro, a huge, furry, teddy bear-like creature.  Both girls befriend him and when they need help, Totoro is right there.Mr. Miyazaki is a genius when it comes to portraying children in their most pure form.  Both girls are rowdy and loud and are very realistic for animated characters.  There are many charming scenes including my favorite where Mei captures a dustbunny and runs off to find Satusuki.  She bumps into Nanny for the first time and screams in fright, then runs around the door to get away.  She then bumps into Nanny again and screams.  It's an adorable scene, I can't do it justice here.  The animation is very fluid and the characters move like real people.  Just watch how Mei toddles around with her chubby legs bowed outwards, like a real pre-schooler.As much as I loved this movie, there's one key element I wasn't fond of: Totoro himself.  He seemed more menacing than harmless, especially when he roared directly in the girls' faces, baring his huge teeth.  Small children may find the noise frightening.  Granted it is a cartoon, but Totoro looked like he was abusing illegal substances and acted like he was, too.  I found nothing about Totoro charming; he was just one creepy critter.  His bizarre behavior is probably more noticeable to older viewers, though, as children may be more in awe of the huge furry guy.Here's a few notes for parents who might be questioning whether this is a good movie for their child.  'My Neighbor Totoro' is great as a small lesson in Japanese culture.  Some tidbits: The huge rice paddies, the family bathing together as a bonding activity, the fact that shoes are not worn indoors (watch Satsuki walk around on her knees).  If your child can handle Disney's 'Bambi', this movie will be a piece of cake.  There are a few minor parts parents may be concerned about, including the very unsafe operation of a bicycle and the childrens' emotional distress in several situations. These are all very minor and shouldn't interfere with anyone's enjoyment of this classic anime film.  A 9/10.",Null,0,1,25 June 2002
Star Wars: Episode II - Attack of the Clones," Lucas has followed his story exactly, whether we like it or not
","I mean this in George Lucas' defense.  One of the major complaints I see with AOTC is that the Jedi are dull and lifeless, as well as everyone else in the Republic.  They're supposed to be!  That's the life of the Jedi, being the peacemakers of society.  Even Ben mentions in ANH that before the Empire, everything was more civilized and sophisticated.  The reason everything/one is so relaxed in the original 3 movies is because there in no Republic, just a band of freedom fighters called the Rebellion who are trying to overthrow the Empire.  The scenes of the Imperial army in the old trilogy were boring in the same sense the Republic political scenes are boring.  We're seeing AOTC through the eyes of the good guys who are still in charge, not the little group of bad guys trying to overthrow the good ones.  It's the opposite of what we saw in the originals, a totally different perspective, and it works great in the overall story.The story belongs to Lucas and he's presenting it exactly the way it needs to be shown.  Whether we like it or not is our problem.  I admire the way AOTC turned out.  It's way better than TPM and even that movie wasn't so bad, it's part of the story.  I give this one an A- overall.",10,0,0,19 May 2002
Star Wars: Episode II - Attack of the Clones," Much like Empire Strikes Back, it is
","Yes, it's true, at least the last hour and a half.  The beginning is slow, full of political talk and scenes that look like they belong in Phantom Menace.  But once Jango Fett comes into the picture, the movie really picks up and is very enjoyable.  Hard-core fans should be impressed, especially those who did like the Ep. I characters since most of them are back for Ep. II.  It's similar to Ep. V, the middle-half of the original trilogy in some aspects.I won't bother talking about the FX because they're incredible beyond words. But I will say that I fully support the digital Yoda, he looks so real and much better than the creepy puppet from Ep.I.The actors are great, all of them are much more expressive and human than they were in Ep.I.  Samuel L. Jackson finally gets to do something besides sit and Padme no longer speaks like a droid.  Hayden was great as Anakin, very believable and into the character.This is a must-see for all Star Wars fans, I'd rank it tied with Ep. V (Empire) for 2nd as my favorite movie in the series.  Once you get past the first hour, it gets really good.",10,0,0,15 May 2002
The Lord of the Rings: The Fellowship of the Ring," Gorgeous movie, but not my favorite
","I found my disappointment with LOTR kind of shocking since I enjoy fantasy and science fiction, to a degree.  This movie is definitely the prettiest movie ever made.  The scenery is beautiful and most of it's REAL, with real grass and trees.  I like CG effects, but it's great to see a film that doesn't rely on them for every background.  I was in awe of all the visuals, everything from costuming to the props.My only problem was the movie's length.  I really think a good half hour or more could been trimmed off the final cut.  The extra footage is a treat for Tolkien fans, but for the newbies, like myself, it was too much.  After a particular encounter in the cave with the steep stairway, I started estimating how much time was left to go.  The action sequences were great and captivating, but the downtime made the movie hard to sit through.For me, LOTR is the most beautiful movie I've ever seen, but it was also the loudest movie I've ever heard.  Maybe it was just the theater, but the sound effects were way too loud.  I spent the last half of the movie with my left ear pressed into my hand to block out some of the noise.  This probably contributed to my impatience towards the end.  Still a nice film, though, and should've won the Oscar over 'A Beautiful Mind'.  Its loss further proves that entertaining movies never win Best Picture, only the artistic crap.",10,1,1,23 May 2002
Save the Last Dance," A bundle of issues, wrapped nicely for teens
","I finally broke down and saw this movie the other night and was surprised at how much I disliked it.  First off, I'm past my teens, but I did dance for a long time growing up, so this film looked interesting.  But if you're looking for a dance film, the abysmal 'Center Stage' is a better choice. What you'll get with 'Save The Last Dance' is an over-dramatized lesson on urban city life.  Every issue you can imagine is thrown into this movie, but none of them are focused on nearly enough, making them worthless in the end. Yeah, we learn that Nikki is upset at Sara for stealing all the good black men.  And we learn about teenage motherhood.  But none of them are developed enough.  Why is Nikki all happy at the end while watching Sara dance?  Did I miss something?  Sean Patrick Thomas was very good, I'll admit, but his character was too sweet to be real.  Julia Stiles is a bit too strong of a personality here. Sara is a strange character, I can't explain why.  Chenille was cute, but the actress looked 10 years too old for the role.  The minor characters were walking stereotypes, especially Malakai.  I'd give the best actor award to the guy who played Sara's father.  He was the most real of all the characters.The dancing sequences weren't captivating at all.  The camera angles change constantly to hype the audience, but they just annoyed me.  Obviously, Julia had a pointe-double, and I couldn't stand the camera switching between the two.  It really killed any intensity that Julia's final dance might have had.  I wouldn't really call this a 'dance movie'.  It's more of an urban movie disguised as a dance movie to lure in middle-class, white, teenaged girls.  Too bad the movie shows black, city life in such a negative way.",Null,0,2,28 February 2002
Spider-Man," Enjoyable movie for everyone
","First off, I want to say I'm a huge Star Wars fan and thought AOTC kicked butt.  That seems irrelevant, but with the 'war' between Spider-man and Star Wars fans, it needed to be said.  Especially since I've never been a Spider-man fan or a fan of any other comic book hero.  The whole thing is new to me.  But I saw 'Spider-man' and thought it was excellent.  It's not without flaws, but what movie isn't?The CG effects worked out well and weren't overused.  Some of them looked super cheesy in the previews, but you hardly notice them in the movie.  I'll never understand why so many people are against CG effects, especially with this movie and Attack of the Clones.  Sorry, but stringing up a 2-inch Spider-man model with a piece of dental floss isn't gonna cut it anymore. I'm amazed at what can be done in movies today and CG is the only way to achieve certain things. The characters were excellent, especially Tobey.  I had doubts about him playing such a physical character, but he really fit the role.  Kirsten did well with what she was given, but her character was the type who couldn't have saved herself from drowning in a puddle.  But this is comic book material and unfortunately, the women must be totally helpless.  Her character was the only one I didn't like.  Peter's aunt and uncle were very likeable, though.The story itself was very cool.  Not knowing a thing about Spider-man, it was great that I was able to understand the entire movie.  This is where it outshines Star Wars.  Anyone can watch 'Spider-man' and fall in love with it, whereas first-time Star Wars viewers will get almost nothing out of AOTC.  My only personal complaint of 'Spider-man' is that it has no repeat value, at least for me.  I saw it, liked it a lot, and that's it.  I've seen it once and that's all I need.  But fans will likely see it again and again with good reason.",1,5,12,23 May 2002
Spirited Away," My favorite Miyazaki film
","While I've only seen two other films penned by Hayao Miyazaki, 'Spirited Away' is my favorite of the three, by far.  What I like most about Studio Ghibli films is how realistic the characters are, in their movements and in their personalities.  Miyazaki's goal with 'Spirited Away' to show the emotional and social growth of a spoiled child by placing her in a frightening situation.  Chihiro, or Sen, is a sulky, self-centered girl who acts whiney and is hard to please.  Actually, I've seen worse kids, but in order to keep her character likeable, these traits weren't overblown.  Chihiro and her family are moving to a new home and she isn't too thrilled about it.  Her parents realize they've taken a wrong turn, so they immediately take a shortcut through the woods where they arrive at a mysterious place that looks like an abandoned park.  The parents want to go investigate, but Chihiro wants no part of it.  But fearful of the creepy surroundings, she follows them into a ghost town, where her parents discover a banquet of food and help themselves to it.  As Chihiro is walking around town, a strange boy called Haku approaches and warns her to leave immediately before the sun goes down, but it's too late.  Her parents have turned into pigs from eating the food and Chihiro is stuck in a spirit world to fend for herself, with some help from Haku.  That's just the beginning, as Chihiro and her parents have done a role reversal - it's now her turn to be an adult and save her family.  Haku tells her the only way she can save her parents is to get a job at the bathhouse, a place of leisure for gods.  From that point, we get to see the 'true' Chihiro, a girl who is courageous, loving and loyal.The characters drawn by Studio Ghibli may not be the most visually appealing of all anime, but the animation is always brilliant and very lifelike.  One of the best scenes is one where Chihiro is tying up her ponytail - the animation makes her look so real.  Yubaba, the owner of the bath house, and villain of the film, is a stunning character to look at, with lots of minute detailing.  Half the beauty of this film is in the artwork, it's eye candy overload and is extremely well done.  MINOR SPOILERS:  The other half of the film's beauty lies in its many messages and subtle symbolism.  All the characters bring a new theme to add to the pot.  Chihiro's parents are punished for their greediness and disrespect for others property, yet Chihiro learns from their mistake and when a similar opportunity arises later in the film, she knows what to do. The monster, No-Face, is the most mysterious character, as he represents a lonely outsider who seeks acceptance by indulging others.  Other themes/values covered include loyalty to your friends, putting aside your needs to help others, taking responsibility, confronting your fears, and forgiving your enemies.  It's a great film to learn from, but some of its messages might slip pass young kids.  I definitely recommend this film to everyone, especially teens and adults. Kids will likely be entranced by the trippy visuals and tense moments, but older viewers will appreciate the more complex elements.  Watch it a second time if possible, because it's very easy to miss something if your eyes aren't fixated on the screen.  When I realized what the film was really about, I enjoyed it much more the second time.  I regret that I've only seen the dubbed version, I usually like to see both versions.  The dub is very good, though, and the translation doesn't deviate too much from the original.I hear Mr. Miyazaki is working on another film and I hope the success of 'Spirited Away' and its much-deserved Academy Award will give future imported films a better chance to thrive in North America.  Hopefully, Disney has learned that the best animation doesn't have to come from Florida and will properly promote future Japanese-made films.  This one deserves all the acclaim its gotten.  I give it an 'A' for astounding.",Null,0,0,10 June 2003
