movie_title,title,review,rating,helpful,total,date
Star Wars: Episode I - The Phantom Menace," 'Stars Wars' - The No Good Movie (The Phantom Menace)- Part I
","The absolute worse. When I saw the 'No Good Movie' (The Phantom Menace) when it first came out years ago, I didn't know what to make of it. After seeing it, I said to myself 'Aww, it was O.K. I guess' and that was it. I didn't see it a second time (unlike the original and the two sequels)and forgot about it. And now, years later, I know why. 'The Phantom' was incredibly unmemorable. Like who cares about it? It didn't excite my imagination and it didn't make me think about it all the time (unlike the original). That's it! I said to myself. I didn't care about the characters and the story was boring. Being a writer myself now, I can say George Lucas did not think through his story. Unlike the 'Original' the 'No Good Movie' did not speak to a person's heart. The 'Phantom' did not reach into mythology and make us ponder the eternal questions of human existence. The 'No Good movie' did not touch upon the 'eternal questions' brought up by the original 'Star Wars'. The questions are: why we are here, what is our purpose in life, what is the struggle between good and evil, etc. The original 'Star Wars' movie addressed these issues and has become timeless and immortal in status as a result. Which is why 'The No Good Movie'(Phantom Menace) will be forgotten and remembered as example of how not to make a movie. Sad but true.",1,0,3,7 May 2015
Skyfall," The name's Freud, Sigmund Freud!
","What kind of Bond movie is this? Why all the psychological underpinnings? They should show this movie at a Freudian analyst convention. So Daniel Craig (James Bond) is the symbolic good son of Judi Dench (M)and Javier Bardem is the symbolic bad son of M. They all go to this place called Skyfall, where James Bond was born. At Skyfall, the conflict between the mother and sons is resolved. What? Why all the psychological stuff? Well, I didn't put it there, the people who made the movie put it there. Was this stuff put in to make it more interesting? To me, this is the first 'Weird' Bond. I felt a lot of the stuff the movie was about had nothing to do with spying, secret agents, stuff like that. Because, you see, suppose you got a director like David Lynch to direct A James Bond movie. This 'Skyfall' is what it would look like.",4,11,23,13 November 2012
John Wick," If Satan ruled the world...the most vicious action movie, ever.
","It's Keanu Reeves greatest movie, ever! I can't believe how many people Keanu (John Wick) killed in this movie! Maybe 80 or more, I lost count. And over a dog! Yes, Keanu as the Anti-Christ, the most evil out of the evil, a destroying hell's angel, a veritable force of nature! Never have I enjoyed cheering on the bad guy (John Wick) so much. And it's also how he did it! Sometimes shooting the 80 or so bad guys each two or three times in the head and chest (John Wick had a lot of ammunition). I have not seen this much raw, explosive action in a long time. 'John Wick' felt like an amped up version of the Arnold Schwarzenegger action movies like 'Commando' or 'Raw Deal' but even more so! This has to be the most nastiest, nihilistic, existentialist, insane, outrageous, ironic, comedic, repellent and vicious action movie ever made! Guns, guns or more guns. It might make you throw up! And unbelievably, it might also make you laugh! There's also some great acting in this movie, by the way, from people like Willem DaFoe and Ian McShane.This also has to be the most Anti- Russian movie America has ever made. Russians left and right are being killed by the bushel full! So go see 'John Wick' now, if you've got the stomach for it. And treat your pets with kindness, or John Wick will hear about it! Finally, what would John Wick do to Batman?",10,8,20,30 November 2014
Gravity," Thrilling movie, but empty, not Science Fiction
","The movie 'Gravity' kept me glued to my seat. My attention was firmly focused on the adventures of 'Sandra & George', which is what the movie was really about anyway. Oh, granted, the special effects attempted to project a feeling of being in 'outer space' which worked somewhat (I didn't see it in 3-D). There was something missing. The thing that was missing was the 'awe and mystery' (I'm paraphrasing the opening description of the old sci-fi series 'The Outer Limits') of outer space. I wasn't really transported anywhere, which is what you want in a sci-fi movie. It felt more like a thriller to me that just happened to be in outer space. 'Gravity' was more about the 'Perils of Sandra Bullock' than any kind of science fiction. A roller coaster ride without any inspiration, just a ride. The old sci-fi movie that is somewhat similar to 'Gravity' called 'Capricorn One' was more closer to what the movie makers intended. Oh well.",4,0,2,20 November 2013
Pacific Rim," Giant MMA Robot vs. Monster Smackdown. Fantastic. But...
","Yes, this movie has certainly raised the bar on 'Monster Movies'. A definite leap forward from the 'the guy in the rubber suit' days. I give this movie 9 out of 10 for the imagination and special effects that dazzled throughout. The fights were the thing, though. Incredible. Especially the one where the American guy and the Japanese girl take on the flying whatchamacallit in outer space. But,I take away one star. Why? It is because the magic and wonder of the early cheesy 'Monster flicks' (the Japanese ones, the Korean one, Harry Hausen's creations) was not there. I, for one, think it wouldn't have been so bad if this was a joint American-Japanese production (Del Toro also being there to see that things didn't become cheesy). The old magic and wonder is missing. I was somewhat disappointed to see that the monsters could be killed by conventional arms (although you would need a lot of them) and that 'nukes' could definitely take them out. How would these monsters fare against 'Mothra', 'Rodan' and especially 'Godzilla'?But, see the movie, it's fun.",9,3,9,18 July 2013
Inside Out," The greatest psychology cartoon ever made!
","A great movie that appeals equally to children and adults. Not once did I turn away from the screen, which to me is a sure sign of the movie's greatness. 'Inside Out' is movie about the inner psychology of girl child named Riley from her birth to about eleven years old. The engine that drives the movie is the psychological changes that occurs when Riley's family moves from their home in Minnesota to the San Francisco Bay Area. The changes are represented amusingly enough by cartoon characters called Joy, Sadness, Disgust, Anger and Fear, in both Riley and her parents. To be honest with you, I had some reservations about seeing 'Inside Out.' The previous features I had seen about psychological change in people were pretty serious affairs: 'Steppenwolf' adapted from the novel by Herman Hesse and starring Max Von Sydow, and 'A Dangerous Method' directed by Horror Meister David Cronenberg and starring Viggo Mortensen and Keira Knightly. Movies definitely not for kids. So, I said to myself, how will Disney make a movie about such a loaded subject? Easy. Stay away from topics like mental illness and pathological criminality, and stick to child and family psychology. Throw in a lot of humor and cartoon slapstick, and you have a movie that talks about emotional growth without the more serious consequences (Although the movie does surprisingly goes to some pretty dark places in the mind, like the subconscious). Comedians Amy Poehler, Mindy Kaling and Lewis Black give outstanding performances as the various emotions that, for me, carry the movie. Go see this wonderful movie about 'Psychology 101' and also, be entertained.",10,6,30,25 June 2015
The Witch," 'The Witch' was stupid and it is not a horror movie.
","I was expecting to be frightened out of my mind, to have nightmares, to see homicidal witches around every corner....No. After seeing 'The Witch' last week, as the packed crowd for the evening showing laughed at the ending credits, my conclusion is that 'The Witch' is an unbelievably ridiculous and poorly done drama set in seventeenth century New England. The movie was about this overly religious Puritan family consisting of a father, a mother, a baby (which gets kidnapped at the beginning),some twins, a son, and a teen age daughter. They get kicked out of a conservative religious congregation for being too 'conservative.' The family get banished to a dark and creepy forest where they get their butts kicked by their own fear and stupidity, and then later on get knocked off one by one (except for the teen age daughter)by a group of homicidal 'killer' witches. I hated the whole damn family and didn't feel sorry for them at all. At all. First of all, this is my blow by blow description of why I hated them. First of all, there were the twin children who screamed and ranted throughout the picture like a bunch of god damn idiots. They were a big annoyance and distraction throughout. Why? Because they took me right out of the movie whenever they showed up on the screen. I felt like getting up and telling them to shut-up several times. I hated the extremely pathetic, needy mother. I thought the hulking, clueless dopey father was a moron. I was stunned at the stupidity of the son who had no sense of the danger he was in. I felt sorry for the daughter who just let everybody run over her. A lot of things in 'The Witch' didn't make any sense. Like when the family's baby was kidnapped at the beginning of the story, you would think they would run back to the town they had left and gotten the police to help them (which is what you normally would do in a situation like that). They didn't. I felt no sympathy for these people. And the ending was too idiotic to be believed. The teen age daughter gets turned into a naked crazy witch who flies in the air, laughing (with other, flying naked witches). Huh? What was that all about? The ending felt like it came from another movie. Well, like a Ken Russell movie from 60s and 70s (if you know who he is). See this movie at your own risk. Or not.",1,24,57,27 February 2016
The Hobbit: The Battle of the Five Armies," Reader's Digest version of 'Lord of the Rings'
","What the heck. I'm giving the 'Five Armies' seven stars. Why? Because I was riveted to my seat the whole movie, anxious to see what would happen next. The opening scenes of Smaug the dragon attacking the village was among the most spectacular scenes I have ever witnessed in the movies. Coming in second to that scene was Galadriel, Saruman and Elrond fighting the 'ghost' soldiers. Truly spectacular. Unfortunately, after that, 'Five Armies' changes into something like a video game. The plot is compressed (like the articles and stories of Reader's Digest). The presence and gravity of the original LOTR is absent. And the whole movie is CGIed to death. The whole thing feels 'rushed'. If only the 'Five Armies' had continued the momentum of the first two exciting action scenes, we would of had a different movie. But I guess, the people involved in making 'Five Armies' wanted to end the 'Hobbit' series real quick(and make a lot of money).",7,2,6,22 December 2014
Mother!," A somewhat interesting movie about the dangers of 'Drug Addiction.'
","I have seen the Youtube reviews of 'mother!' which have said that this movie is a metaphorical message about creation, god, Jesus Christ, etc. Really? I DIDN'T SEE IT THAT WAY AT ALL! The movie is really about the drug addiction of the lead character(a woman) as portrayed by Jennifer Lawrence. That's right, drug addiction. Every time Jennifer gets stressed out, she goes into the bathroom, takes some drugs, and then she feels fine. And then she hallucinates. As a matter of fact, the whole movie is just about her hallucinations from her drug abuse.That's all. Javier Bardem, who portrays Jennifer's husband in the movie, although not specifically stated, is probably a drug dealer supplying for their whole area. As a matter of fact, his clients are probably the huge group of people who visit them later in the film. Also, I want to say while the movie was mildly interesting, it was also incredibly boring. The teaser trailer for mother! was a complete lie. Mother! was portrayed as a 'horror' movie, when as a matter of fact, it was a 'boring' movie. Finally, about the drugs again. I would really like to know what drugs Jennifer's character was taking. Was it LSD? Was it Peyote? What?",4,1,8,17 September 2017
Batman v Superman: Dawn of Justice," Move on! You just pick the 'Batman' or the 'Superman' you want!
","Yeah, I thought 'Batman vs. Superman' was an excellent movie. Why all the hate and controversy? It was just a very entertaining movie. 'B vs. S' was also a very profound, philosophical and dark look at 'power.' I liked that! The fans wanted the great graphic novel 'The Dark Knight Returns' on film and they got it! Yahhhh!!!!!! 'Batman vs. Superman' was an adult, realistic take on what would happen if superheroes really did exist and what ethical issues they would encounter as they used their powers. Great! As I watched 'B vs.S' in the movie theater, I could almost hear Hegel and Nietzsche discussing it behind me. A joke! Just kidding! Look, if you don't like 'B vs.S' there are other versions of these heroes you can like. Just pick one and MOVE ON. For instance, for Superman, there is: Kirk Alyn (1940s), George Reeves (1950s), Christopher Reeves (1970s), Dean Cain (1990s) and Brandon Routh (2000). Regarding 'Batman' here are the choices: ancient bats Lewis Wilson and Robert Lowery (1940s), campy bat Adam West (1960s), weird bat Michael Keaton (1989), semi-serious bat Val Kilmer (1990s), embarrassing bat George Clooney (1990s) and serious Ninja bat Christian Bale (2005). Just pick one. AND MOVE ON.",10,11,21,8 April 2016
