movie_title,title,review,rating,helpful,total,date
The King's Speech," Two great actors turn in a near perfect performance
","Whenever a new insight into history is provided by a film, it has the potential to be of great interest. If it is done well such a movie is usually a winner. Such is the case with The King's Speech where two great actors do turn in a near perfect performances with director Tom Hooper and the production staff pulling together an authentic period piece which captures pre-World War II Great Britain and the royal family. Just about anyone in our generation or any student of this piece of history knows that when King George V of Great Britain died his oldest son became King Edward VIII but shortly thereafter abdicated the throne 'to marry the woman I love' who was Wallis Simpson twice divorced American, making his younger brother next in line to become the new King George VI ( Colin Firth) just as the World War II was starting. What you probably did not know was that the new king had a terrible stammer, which presented him with an enormous problem since he was expected to address his people and spur them on in their upcoming battle with Germany led by Adolph Hitler. His wife Elizabeth (Helena Bonham Carter) even before he ascended to the throne located a somewhat unconventional speech teacher, an Australian by the name of Lionel Logue (Geoffrey Rush). Logue insists on a first name basis with his royal highness and includes some exploration of the king's childhood and his emotional conflicts as part of his speech therapy.. Needless to say after some twists and turns, dramatic moments, a great musical background, meeting the king's young children (now Queen Elizabeth and Princess Margaret), the new king does triumphs while Winston Churchill (Timothy Spall), many others including the whole British Empire cheer him on. Knowing the ending (which you probably knew already ) will not spoil the enjoyment of this superb movie. It may have been a tad repetitious and I personally would have liked a little more of a psychological explanation or exposition of how the interaction between the speech therapist and the king led to his improvement ( perhaps there was a father transference) However, it doubtful that most viewers will find very much lacking from this movie. FilmRap.net",8,2,4,17 December 2010
The Hangover," OK- if you want to chill out and fantasize a bachelor party weekend in Vegas
","We know that this movie won a Golden Globe for the Best Comedy We also know that young people ( probably mostly guys ) about to get married or those who just got married find this film really cool and quite funny. We even laughed and thought some parts were quite creative and amusing! However we can't really recommend that you spend 96 minutes with this movie unless of course you just want to chill out and fantasize a bachelor party – out on the town in Las Vegas! The premise here is that 4 guys probably from LA take a car ride to Vegas because one of them is getting married in a few days. They get wasted and drugged. When three of them wake up in their hotel suite they can't remember what happened the previous night, find a tiger and a baby in the room but the groom to be is missing. And that is not the half of it. !! The three guys ( Ed Helms, Zach Galifianakis and Bradley Cooper) bounce all over Las Vegas trying to find their buddy and they end up finding out a couple of other things that they have no idea had happened to them while they were whacked out of their minds. Maybe, at least one of the characters discovers something worthwhile about himself that he didn't realize before. Unless this theme is really up your alley, we suggest that you pass on it.",5,0,2,7 July 2010
"Crazy, Stupid, Love"," Charming, touching, surprising and fun to watch as well as being easy to identify with
","Dan Fogelman, who wrote Cars and other successful animated movies wrote this well thought out comedy about all too human relationships. He wrote it having Steve Carell in mind as Cal , the middle age guy around whom all the actions swirls as his marriage suddenly falls apart. Carell loves the project and decides to produce it with Warner Brothers coming on board to make it a big studio film. The team of Glen Ficarra and John Requa are brought in to direct it. They have been working together since their college days at Pratt in New York City. They have written Bad Santa and Bad News Bears as well as recently directing I Love You Phillip Morris with Jim Carrey. After meeting these three talented people at our screening we can see how their chemistry worked for this character driven comedy with a wonderful cast. Ryan Gosling played Jacob, the cool single but obviously complex guy who takes the recently jilted Cal under his wing. Julianne Moore is Emily, Cal's wife who is going through what she describes as a mid-life crisis. Emma Stone, Marisa Tomei and Kevin Bacon round out this all star cast with each putting just the right touch on their characters. Special mention should be made about young Jonah Bobo who plays Robbie, the 13 year old son of Cal and Emily whose emotional experience helps all the characters and the audience understand the essence of the movie. The result is not only a funny comedy but a touching story which examines love that can start as teenagers and sometimes be destined to last a life time with trials and tribulations. It also looks at teenage 'love' that may only just feel like love. The story line is close to being brilliant as the characters evolving relationships are charming, touching, surprising and fun to watch as well as being easy to identify with. FilmRap.net",Null,4,11,28 July 2011
The Secret in Their Eyes," Deserves the Acclaim It Has Received
","When Juan Jose Campanella is not directing episodes of Law and Order, CSI or the like, he periodically returns to Argentina make a movie. In this case he directed and co-wrote the screenplay of The Secret in Their Eyes. Thus far it is the most successful movie in Argentina in the past thirty-five years and now in just few days after we saw it, we will find out if this Academy Award nominated movie for the Best Foreign Film will win an Oscar. It reminds us of the French movie, Tell No One, one of our all time favorites, as it is also a sophisticated detective story with an easy flowing but yet a complicated plot that keeps you thinking and guessing throughout the story. It is in Spanish, of course, with good subtitles. This movie is not only a mystery, crime movie but it is also a subtle romantic film which is has very good comedic moments. There is the use of a narrative technique that allows you to see the story through the imagination and the memory of the main character Benjamin Esposito played by well-known Argentine actor Ricardo Darin. There are skillfully done movements, which go back and forth in time as well as shifting the point of view, which on a few occasions took a few moments for us to orient ourselves. The acting, directing and photography were superb with great realism and therefore it surprised us to learn that the budget was only two million dollars. As required for all good movies of this genre, there is a strong ending, which will hold your interest and encourage further reflection.",8,33,39,5 March 2010
Pirate Radio," A Charming Film Which Will Push Some Nostaligic Buttons in Rock and Roll Fans
","This is just the type of movie we don't mind having missed in the movie theatre and then catching at home on the couch while he eat our favorite treat. It is a feel good movie that is fun to watch. We are introduced to the premise in the opening as we are told that in the year 1966 British Rock and Roll is on the music scene scene but no one in Great Britain was allowed to listen to it on the radioeven though approximately half of the people there, 25 million people, were listening to it on sea going pirate radio stations. Then we are introduced to a great ensemble of characters who are the DJs on this boat Rock Radio floating in the North Sea and beaming music back to Great Britain. The movie grows on you as you get to know the personalities on the boat and a few little subplots- the most significant one being that the British government is planning to shut them down. The DJs reflect the exuberance and rebelliousness of the music of the time. There is a great soundtrack throughout the film which matches the mood of the events being depicted. The acting was excellent by mostly British actors with a standout performance by Philip Seymour Hoffman . It was written and directed by Richard Curtis who also did Four Weddings and A Funeral. Billed as a comedy, we found it a charming film which will touch a nostalgic button in many rock and roll fans.",7,4,7,17 May 2010
The Way Back," We cared about who these characters symbolized but not about them
","This movie has all the ingredients for an epic movie. The story is that a handful of prisoners escape from a Russian gulag in 1940 and trek across Siberia to the Himalayas and ultimately into India more that 4000 miles. There are freezing cold temperatures, snow storms, sand storms, blistering hot desserts, gigantic mountains, starvation, lack of water. The actors include Ed Harris, Jim Sturgess and Colin Farell all who do a terrific job as does the the supporting cast, especially Saoirse Ronan a spirited 15 year old actress, under the direction of Peter Weir who had a 29 million dollar budget. The scenes are quite realistic as you can almost feel their numbness in the frigid temperatures, the pain from the blisters on their feet and their parched throats or deliciousness of an occasional oasis of water. The story is based on popular memoir written by Slavomit Racuwicz in the 1950s which sold 500,00 copies worldwide. It was ultimately determined that the author, while he was prisoner in the gulag for awhile, did not make this trek himself but based it on stories that he had heard about. Peter Weir and his team or writers and producers extensively researched the subject and ultimately this adventure is also based on the experiences that some real people actually went through. Certainly it is tribute to the human spirit, the will and ability of man to survive the horrors of mankind and the harshness of nature. The problem that we had with this two hour and 13 minute movie is that the individual stories of each of the characters were not developed in a manner, which engaged us. Yes, we ultimately learned about some of them, usually through a brief conversation. We did not find that their stories came together nor did it made us care about them as individuals as much as we may have cared for them for who they symbolized. As survivors who were seeking freedom through an almost impossible (and very long) path, we rooted for them. But in the end, we don't think we shall remember them. FilmRap.net",6,12,24,17 December 2010
The Town," The Boston Police Department is not going to like this movie.
","Ben Affleck obviously dove head first into this film, being director, lead actor and co-writer. His character Doug MacRay is a home grown product of Charlestown section of Boston where there have been more bank robbers per capita than any other place in the U.S.A. He and his buddy James Coughlin played by Jeremy Renner and a bunch of other guys blast open the movie pulling off one of those heists. There is plenty of action in this movie including one of best car chase scenes that we have seen since Gene Hackman in the French Connection quite a while ago. You really get to know and understand MacRay and can't help caring about him and rooting for his relationship with Claire Keesy (Rebecca Hall) the bank manager of the opening robbery who end up being sympathetic bed fellows. Casting Jon Hamm (of TV Mad Man fame) was a great choice as the opposing FBI agent along with Titus Welliver (the 'bad' DA in the Good Wife TV series) who is his trusty assistant. The entire cast of characters is quite believable which is a tribute to their great acting, fast pace and the outstanding directing by Affleck who kept us on the edge of our seats. There also is a sensitive insight into how in some communities and families, young people get drawn into a life of crime from which it is very hard to extract themselves. The question is whether you can suspend reality and swallow the story line when the band of thieves faces down what seems to be the entire Boston PD including their SWAT teams and our hero ultimately attempts to do a payback to his beloved town.FilmRap.net",8,3,6,27 September 2010
Incendies," Horrifying at times but a gripping story
","It would help if from the beginning, you were aware that this movie is mostly involved with the vicious Lebanon civil war between the Moslems and the Christians. It make take a bit to become completely oriented as the movie does consist of alternating stories in different time. It also doesn't help that it is mostly in French with English subtitles. But eventually we got the hang of it and the very unusual plot which we are introduced to at the beginning as twins Jeanne and Simon are being read their mother's will and realize she has asked them to carry out her final wishes and deliver two letters on her behalf. Their task seems almost as difficult as finding a needle in a haystack. If you don't mind fiction being stranger than the really terrible things that happen to people in these type of wars, the movie provides a gripping story. It is horrifying at times with what should be an unexpected ending. It provides lessons of persistence, forgiveness, motherly love and an appreciation that any one of us if we were switched at birth, could be quite the opposite of the person we turned out to be. The movie, which was co-written and directed by Denis Villeneuve, received recognition with several film festival awards and was nominated for an Oscar for Best Foreign Language Film.(2011)FilmRap.net",7,1,9,3 June 2011
Bridesmaids," This is not just a chic flick
","First of all, this is not just a 'chic flick.' Certainly, the out loud laughter in the movie theater seemed to more weighted from the young men in the audience. It is an hour and half of good comedy in the genre of Saturday Night Live. Not surprising since the screen writer and the star of the movie is Kristen Wiig. She is Annie, the bests friend of Lillian (Maya Rudolph),the bride to be. Annie's own life is not quite on track especially guy wise and job wise . She is asked to be the maid of honor but encounters Helen (Rose Bryne) who is a recent friend of the bride and seems to have things together including great ideas for the wedding party, wedding dress and just about everything else. There are some great physical comedy bits and lots of clever lines with some very fine comedic acting especially by Ms. Wiig and Melissa McCarthy who plays Megan, the bridesmaid who is as tough as nails but with a heart of gold. There is also an amusing sex scene and a wild escapade on an airplane. Perhaps some things are a little too far fetched as we are asked to believe that a state trooper albeit one from Wisconsin, (Chris O'Dowd)-the true love interest of Annie- would drive around in his patrol car with a girl in whom he was interested. Although you are seeing the movie for its comedy, you are also given a sharp satire that also raises questions about the extremes people go to in planning the wedding event (picking the dress, the batchelorette party and how the girls support or don't support each other.) Of course the ending is predictable and there are additional comedy pieces interspersed during the titles at the end. After all it is that kind of film. (2011)Filmrap.net",6,4,9,3 June 2011
The Girl with the Dragon Tattoo," The storyline will pull you in whether your read the book or not.
","This is the Swedish portrayal of the first of the three popular novels by Stieg Larsson. There is an American film of this novel due out in 2011. One of us read the trilogy and the other did not. When you have read the book , you are aware of all the subplots, relationships, twists and turns that are left out and of course you pretty much know how the mystery is solved. With a few exceptions, the movie followed the book fairly closely. The one of us who didn't read the book was pretty much able to keep track of the somewhat complicated plot and the various Vanger family members which could be a tad confusing. The male lead here is not a crusty or a brilliant detective but rather an investigative journalist by the name of Mikael Bolmkvist (Michael Nyqvist) who has just been convicted of libel with a pending jail sentence and has been asked to investigate the disappearance of a the niece of wealthy Henrik Vanger which occurred about 40 years before. The female lead is not the typical beautiful women you might expect to see in this situation but rather a very unusual 26 year old girl name Lispeth Sallander (Noomi Rapce), boyish, attractive, body piercings, dresses in black, rides a motorcycle. and has the huge dragon tattoo on her back. As a child she has had some type of psychiatric care and requires a guardian to manage her finances but is a brilliant computer hacker and has a photographic memory. There is violence, sex and nudity at times in combination but all in the service of the plot, not overdone, but enough to clearly deserve the R rating. The story will pull you in and the direction by Niels Arden Oplev captures the gamut from the beautiful outdoors in Sweden to the effects of painful violence. Despite it being almost 2 and half hours, the film does not drag at all. If you like this movie and are a fan of the late Stieg Larsson who didn't get a chance to see the great success of his work, there are two more Swedish movies in the can which complete his trilogy and then there is the American version of the first book which is coming out next year. I also heard that additional stories were found on the author's computer. The Netflix DVD which we viewed had an interview with Noomi Rapace who was quite impressive as she described how she approached her role and inhabited Lispeth for 1 1/2 years while the three films were being made.",8,3,7,27 August 2010
