movie_title,title,review,rating,helpful,total,date
The Equalizer," Bad, really bad (spoiler alert)
","Wow...this was bad, just bad.McCall has zero character development. I mean literally none. By the end of the film, we know nothing more about him than we do at the start. He's trying to read a hundred books, and obsessively keeps time of things (why?), and... The garbled explanation about his wife was so confusing that I have no idea what was said. I thought at least Nicolai would give an interesting story about McCall in the same way that McCall did about him, but no, we get nothing. So, how am I supposed to care about this robotic assassin? And the action violence...sigh. Hollywood just needs to stop. The scenarios are so ludicrous anymore as to be embarrassingly laughable. I mean, we see McCall in a room with four or five Russian gangsters, and we just *know* what's gonna happen. The scenes are either so predictable that they're boring beyond belief, or so far-fetched as to be unbelievable. How many times are we gonna see bad guys with guns feeling the need to get within two feet of the hero so that they are vulnerable to Hollywood kung fu? Or how about minions just bringing the protagonist right to the key leader? I just can't suspend my disbelief anymore. In the real world, assassinating a mafia don would be extremely difficult, requiring a lot of planning and luck. McCall just waltzes in and does it in an hour. That's not believable!And the villains! You know, you need your villain to be credible and effective, or there's no urgency to the threat. Unfortunately, these Russians, despite how tough they look, are powderpuff buffoons! Seriously, McCall dispatches them so easily that they can't be taken seriously. The only one who actually threatens McCall in any way is the bald guy with the tweaked mustache - that was the only point in the whole film when it felt like McCall was in any danger. Other than that, the bad guys just fall for one obvious trick after another.This truly was a paint-by-numbers, ludicrous, boring waste of time. What did it have to do with the original Equalizer anyway?",2,23,47,15 February 2015
Source Code," Doesn't make sense
","This film becomes less and less sensible as it progresses. At first, it is semi-plausible to believe the 'source code' technology allows the protagonist Stevens to enter the last 8 minutes of the teacher's (Fentriss') reality (assuming enough of his brain survived to do so). I can also buy that Stevens is actually a vestigial body being used by a utilitarian government. While the film is pretty solid in facing up to the utilitarian use of this man's life/mind/body for the sake of the greater good, things unravel around the whole 'alternative universe' angle. First source code allows Stevens to re-enter the last 8 minutes of Fentriss' memory, but then from there he is somehow able to explore the world, discover a bomb in the bathroom, and even track the bomber to his van and get the license plate number. Really? This was all somehow in Fentriss' mind? How did those facts get there? Or are we to believe that 'source code' can actually create alternative realities? I'm sorry, but that is too ludicrous for me to suspend my disbelief. In fact, at the end we are to believe in two, maybe three realities. In one, Goodwin pulls the plug on Stevens, letting him die after his last 8 minute session. But that leads to a second reality in which Stevens 'survives' as Fentriss, having foiled the bomber's plot. We also see Goodwin receiving a text message from him, which may or may not be a third reality, as Stevens body is still in a box, awaiting source code's activation. That last bit begs the question: which is the real Stevens then, the one in the box or the one walking around in Fentriss' body? And what happens to Fentriss in that 2nd/3rd reality? Are we supposed to be oblivious to the fact that he has suddenly just been wiped out to make room for Stevens? Are we not supposed to care about him at all? Doesn't that make Stevens just as utilitarian and selfish as Rutledge? It's just too bizarre. The whole cult of technology goes overboard here playing Creater God and just leaves one puzzled.",5,0,0,16 June 2012
Passengers," This voyage goes off course and shipwrecks
","NON-SPOILER SECTIONI want to give this film a higher rating, but the more I think about it the lower the score gets. Jennifer Lawrence as Aurora Lane is, not surprisingly, the bright spot, entertaining as always. The special effects are well done. The setup is intriguing: colonists on a 120 year flight to a new planet, two passengers (hence the title) wake up a tad too early (90 years too early!), and they discover something's wrong with the ship, and it's a race to fix it before everyone dies. How could Hollywood mess that up? Well, trust me, they do. In a science fiction film like this, there will be scientific inaccuracies and implausibilities, but that's forgivable. What's not forgivable are obvious and distracting plot inconsistencies and oversights and logical lapses that will occur to laymen like you and me during a first viewing, oversights and lapses that ultimately undermine my ability to suspend my disbelief. The characters offer some forced rationalizations to explain away some of the problems, but it feels more like someone realized late in production that there were major problems and attempted a band-aid or two. But more importantly, the film introduces a moral dilemma, a moral crime really, that could have a number of possible resolutions, yet takes the most insulting and unbelievable path to a 'happy ending' that I've seen in a long time. This could have been a profound journey that launched promisingly; but ultimately this movie founders.SPOILERSTwo main issues.The first main issue that undermined by suspension of disbelief was the lack of failsafe redundancy on this ship. The ship will be traveling for *120 years*, with no hope of any outside help, but the designers failed to have backup parts, plans, and procedures for the most critical components? After an asteroid collision, the computer starts to go haywire, but nothing about that awakens the crew? Seriously, the computer is not designed to awaken the crew if there is a fatal error that it cannot resolve? And really, no one ever foresaw a hibernation pod malfunction? There is no way to put someone back into hibernation if they wake up? Did all these people sign up for a potential suicide mission? If everyone is asleep and there is no chance of a hibernation malfunction, why exactly then is the crew locked away like Fort Knox? Why isn't there a backup reactor or two on the ship? And, of all things, the ship can't figure out there is a hull breach? A hull breach!? But perhaps the most grating of all: we find out there is only one Autodoc for a ship with over 5,000 people on board, with no backup parts or replacements! Seriously, these logical lapses occurred to me on a first viewing...I'd hate to see what else I missed during a second viewing. How did this film get past pre-production?The second, and even worse, issue is Chris Pratt's character Jim. I think we can all follow along as he wakes up early, freaks out at his predicament, and tries everything he can think of to find a solution, and after a year gets depressed. Got it, check. But then!....in true Hollywood fashion, he 'falls in love' with Aurora and wakes her up. Of course we are hit in the gut with the moral depravity of this action, we clench our stomach as he leads her along, and we all hold our breath for when she finds out the truth. But then we start thinking about how implausible this all is. First of all, if he can figure out how to wake someone up, why doesn't he wake up a fellow mechanic? Or engineer? Or doctor? It's the most obvious thing to do, but of course in Hollywood-land, he doesn't do that. Second, hello! Once Laurence Fishburne wakes up, the bridge is now open! You know, the bridge, *where the crew is hibernating*. Even though Fishburne dies, Jim could now wake up one or more of the crew to get help. Hello!?But let's talk about that 'romance.' I'm a lenient movie guy: I can play along with a lot of things. But *not* to the point that Aurora ends up truly loving this sick obsessive stalker who basically doomed her to a life of kidnapped isolation. Stop putting a happy face ending on this situation. The correct ending was for her to get back in the Autodoc and go back into hibernation. It was the only way for Jim to make up for his sin and salvage something from this shipwreck of a film.",3,6,11,1 July 2017
Captain America: The Winter Soldier," Quarter this Soldier in your House!
","This film is one of those pleasant surprises: the sequel that is better than its predecessor. Not that Captain America (1) was bad, but it somewhat underwhelmed and the villain was a bit goofy. But this film has all the engrossing action and witty dialogue of the Avengers, with a dash of Bond-esque adventure, and is easily viewable more than once. The Winter Soldier himself virtually steals the show. Someone give an award of some kind to the director for taking his time to slowly introduce the Winter Soldier, and even more slowly reveal who he is. The Winter Soldier is a textbook case of how you do a villain. He's dangerous, effective, doesn't mess around, and is equal to the Captain. Perhaps the most telling scene is when he knocks the Captain down and we see him standing there with Cap's shield, like a boss! The music score also enhances the Soldier with an accent of horror film dread and Matrix-esque insuperability.To him, I would add Robert Redford's Secretary character, who lends the film a Bond-esque debonair villain who overseas a credible global threat. Redford brings class to his character, to the point that you kind of like him despite his evil plans.There are probably some foibles to this film, but come on, it's a summer popcorn film that kept me engaged from beginning to end, so who cares!",9,0,2,30 August 2015
Interstellar," Worth seeing, visually beautiful (Spoiler alert!)
","I was skeptical, at almost 3 hours long, that this would be any good. But overall, it is worth seeing. Visuals are beautiful, even awe-inspiring. Mcconaughey as Cooper holds the film together. The robots got a groan from me at first, but grew on me over the course of the film. Following the consequences of relativity is the real driver of the film.Spoiler here!In the end, don't think too hard about this film. For one thing, there's no way he could have survived even approaching a black hole. But more importantly, if future humans are so advanced that they move on to the fifth dimension, can control gravity, and create 3-D spaces inside black holes and communicate backward through time, surely they can eradicate a spore or whatever it is that is eating up the earth? Surely they can terraform the earth's atmosphere to drive up the amount of oxygen and kill the blight, can't they? For that matter, why couldn't the humans of Cooper's day do that? The film needed a more credible threat, like the sun unexpectedly going supernova or something, and not this lame environmentalist trope.",7,0,1,28 August 2015
Bridge of Spies," What Red Sparrow wishes it was
","Honestly, after having just watched the film, I'm struggling to find anything I didn't like about it. 'Inspired by true events', I'm confident there were artistic liberties and shortcuts taken in order to tell the tale, but I'm sure other reviews have parsed the details. What I appreciated was the gripping and suspenseful storytelling, and when I realized after the fact that Spielberg was the director, I wasn't surprised. I'm not a Tom Hanks fan at all, but I can say he knocks it out of the park with this one. Everything felt genuine and period correct. The film is thoughtful and makes you think about some higher themes, while making you want to concentrate on what is happening so that you don't miss anything. It covers a lot of ground, and it probably helped that I didn't really know much about the events in question. The dialogue is witty and on point (see, Hollywood, you can still do it when you want to), and some scenes are quite moving. This movie is proof that you don't need sado-masochistic torture scenes and embarrassing soft porn to have a gripping spy movie. The *only* reason I am not giving it 10 stars is because the f-bomb gets dropped twice and completely unnecessarily. This is a film that children could watch, but that mars it unfortunately.",9,0,1,24 August 2018
The Hobbit: The Desolation of Smaug," Tolkien turning in his grave
","This is the only one of the three Hobbit films that I watched, and only because I wanted to see what they did with Smaug. Well, what they did was over-do absolutely everything. Smaug makes a pretty cool appearance, and then slowly morphs into a laughable cartoon character. We last see him flying towards Esgaroth proclaiming 'I am fire, I am death,' even though we just spent forty-five minutes watching him incompetently failing to kill or even injure even one out of fourteen dwarfs in a ludicrous, blushingly over-the-top, Scooby-Do video game series of scenes. Oh, did I say video game? Well then I shouldn't neglect the tedious, endless, infamous river sequence, where the Dwarfs race down the rapids of a river in barrels, but Orcs somehow manage to keep pace just running along the banks, only to be slaughtered over and over like hapless teddy bears. We even get to see Legolas balance on two Dwarf heads...forwards and backwards! Peter Jackson and crew should do public penance and allows us to dump ashes on their heads for this debacle.",2,2,3,29 August 2015
X-Men: Apocalypse," I'm with Colonel Stryker
","This movie sums up everything that is wrong with the X-Men universe (as far
as I understand it from the movies). Unlike the Avenger-style movies, where the
superheros are clearly dedicated to defeating unambiguously evil villains (hence, putting the *hero* in superhero), these X-Men mutants are a pretty unlikeable, angsty, and morally questionable lot.We're supposed to feel sorry for the mutants as some kind of loathed, persecuted minority group, but this has yet to be believable in any of these movies, especially this one. The mutants have *superhuman* powers, for crying out loud, how can they be afraid of or in danger from anybody? In fact, whenever there is a straightup showdown with humans, it's a complete massacre by the mutants. So, in fact, they actually are the Nietschien ubermensch who we humans deservedly should fear, and nothing they do ever disproves this.Worse, we humans are routinely, obsessively, and one-dimensionally presented as hateful, fearful, petty, and murderous caricatures. Nothing shows this better than when Magneto saves a guy's life in a steel mill, and not one - not *one*! - human thanks him, sees the goodness in the act, takes his side, etc. That is just not credible.We're supposed to feel compassion for the mutants, yet scores and eventually millions of humans are wiped out, without so much as a moment of silence. Are we supposed to somehow masochistically enjoy these revenge fantasies?
Last I checked, I'm a human being, not a mutant. Why would I side with the mutants against my own kind? Who am I supposed to root for here?There are many reasons to watch a movie, but having shame and guilt and self-loathing rubbed in your face for over two hours is not one of them.",1,0,1,23 June 2019
Star Wars: Episode VIII - The Last Jedi," The Last Jedi.....let's hope so!
","You would think that for a Star Wars film, with all the money at stake, that Hollywood would sequester the very best writers they could find and would not let them out of the room until they came up with a home run, no, a grand slam script worthy of the epic series they were writing for.But alas, we're stuck with modern Hollywood, where the only answer to big money and big reputations at stake is to rip off earlier films. When I watched the Farce Awakens (sorry, Force Awakens), I realized I had seen that film before (it was from 1977 and was called Star Wars). Man, I felt pretty duped, and I bet you did, too.Well, I thought, they wouldn't do that again...would they? Then I watched the Last Jedi. Fool me once, shame on you, fool me twice, shame on me. Yes, I have seen this film before: parts of it are from a 1980 film called the Empire Strikes Back, and parts are from a 1983 film called Return of the Jedi. Consider:<ul><li>The film opens with the Rebellion, er, sorry, Resistance, having to escape their base by going through an Imperial, er, sorry, First Order fleet. You know, exactly how Empire opened.</li></ul><ul><li>Later in the film, the rebels are pinned on a white icy-looking planet in a cliffside base that is being attacked by AT-ATs, complete with trenches and towers. It looks exactly like Empire's Hoth scene. Oh but wait, it's not ice, it's...red salt? Oh ok, that makes it not a ripoff then (wink wink).</li></ul><ul><li>Rey goes to train on an isolated planet with a grumpy but wise Jedi master. Exactly like Luke and Yoda. She even has a dark side temptation hole in the ground that she goes into, where she ends up seeing...her own face! (Ring a bell?)</li></ul><ul><li>There's the whole throne room scene, where the Emperor is now Snoke, Vader is Ren, and Luke is Rey. Ren, like Vader, kills Snoke. Saw something like that in Return of the Jedi.</li></ul><ul><li>The casino scene opened with a montage of different (CGI) aliens and eerily familiar music that basically said yeah we're copying the cantina scene from Star Wars. (Oh wow, my bad, they actually ripped off all three films of the original trilogy).</li></ul>Well, let's not belabor the ripoffs, because there are *other* bad aspects to this movie. Snoke, for one, is unbelievably powerful, but we are never told one scintilla about him. Who is he? Where did he come from? Is he one of the much balleyhooed Sith Lords??? Opportunity wasted. Same for the First Order - zero light is shed, and no one really cares, because we all know it's just the old Empire rudely dragged out of its grave to try and make some money.The characters...who cares. Actually, the lady who plays Rey isn't bad, but she can't save this horribly written mess. Kylo Ren is still all over the map and totally unconvincing as a new archvillain (so much for completing his training). 
Rose, who appears to be the new Jar Jar Binks annoyance factor, suicidally stops Finn from sacrificing himself to save his fellow resistance fighters, all so that she can kiss him. That's not selfish, right? Then there's the purple dress blondie general who looks like she's more prepped for the runway than the bridge (seriously, is that how military officers dress in far, far away galaxies?). Benicio del Toro acceptably does his squinty loungy thing, but ludicriously convinces Finn and Rose that he can break the First Order flagship's security system when he unlocks some jail cell doors (I'm pretty sure they're of the same difficulty level, right?) C3PO has like three lines, none of them remotely funny or original.And on and on. Honestly, there's so much wrong with this film that one review cannot capture it all (read the other user reviews to see what I mean). The humor lines are horribly out of place and ill-timed (the very opposite of what made Han Solo great). Everything is overly loud and in your face. Perhaps to best sum it up, just remember that Luke Skywalker's last living lines will now forever be: 'Seeya 'round, kid'.",1,17,23,19 August 2018
The Wolf of Wall Street," Soft porn version of Wall Street, minus all the interesting stuff
","I am so glad I rented this from the library and didn't waste one red cent on it!This 'movie' is basically Girls Gone Wild on steroids in a corporate office setting. I suppose they intended to make an updated version of Wall Street, but one that was 'edgier' and 'harder' for contemporary audiences, loaded to the gills with profanity, full frontal nudity, and endless obsessive drug use. Unfortunately, all of that extra shock and titillation came at the expense of any plot or storyline.Belfort himself starts off as apparently trying to be an honest stockbroker, but is instantaneously seduced to the dark side by Matthew Mcconaughey, and with that, his character development is done. Literally. For the next three hours, you get to see him and his equally irredeemable cohorts do drugs and hookers, drugs and hookers, more drugs and more hookers.You're never told how he makes his fortunes. Actually, he starts to tell you how his nefarious schemes worked, and you actually start to pay attention for once, but then he literally stops mid-sentence and says awww you're not interested in that, it's too complicated anyway (seriously!). Along the way, you are treated to at least 3 or 4 Gordon Gecko pep rally-type speeches (but not as good), which eventually just become repetitiously boring. Literally, if you story-boarded this 'movie', it would look like: drugs and hookers - speech - drugs and hookers - speech - drugs and hookers - speech, et cetera.In the end, he gets caught, but you're not sure how, or for what, but at least you can breathe a sigh of relief that the 'movie' is almost over. In the last scene, Belfort becomes a Zig Ziglar type, not only not ashamed of what he's done, but exploiting his past to keep on exploiting the present. The guy is a convicted fraudster, and yet people supposedly pay money and pack lecture halls to learn from him how to 'sell'? I seriously hope the filmmakers just made that part up.There's no story to remember, no lessons to be learned, no characters that get their comeuppance, no victims who see justice done. If you watch this 'movie' all the way through, you'll feel as used up as a hooker and as wrung out as a drug addict. If this 'movie' is a comedy, the joke is on us the audience.Post-script: Scorsese is supposed to be a great director, but I'm sensing a theme of his 'greatest' films: constantly upping the shock factor. Whether it's blood and violence like Taxi Driver or Goodfellas, or now this soft porn garbage, I'm starting to see this guy as nothing more than a self-absorbed shock artist.",1,3,5,2 July 2017
