movie_title,title,review,rating,helpful,total,date
The Devil's Advocate," Al pacino is the devil itself
","Kevin Lomax, a ruthless young Florida attorney that never lost a case, is recruited by the most powerful law firm in the world. In spite of his mother's disagreement, which compares New York City to Babylon, he accepts the offer and the money that comes along. But soon, his wife starts feeling homesick as she witnesses devilish apparitions. However, Kevin is sinking in his new cases and pays less and less attention to his wife. His boss and mentor, John Milton, seems to always know how to overcome every problem and that just freaks Kevin right off. yes it is a pretty great story the writer wants to create a new unique story about devil and his companions with a twist even though in the end the movie itself it fail to be unique and innovative bring it promises to the genre but even so Al Pacino save the movie from failing in Box office charts by characterized John Milton or the devil perfectly but sadly the critic didn't noticed and so it become one of the most underrated role in his career despite being the fact that the movie promotion it is become easy with his name in it so even thought it fail to amazed the critic but it pretty good and entertaining movie for the people out there whose like a kind of devil movie like this so overall is a pretty good decent B movie with Al Pacino being the A-list in it a perfect formula for another typical B movie",7,0,1,25 December 2009
The Expendables 2," A good reunion of the 80's action hero,yet it is also a dull re-hash of the 80's and 90's action movie
","in this sequel of 2010 hit box office 'The Expendable' Stallone has managed to gather all of 80's and 90's famous action star in order to make his action extravagance bigger and better.the action movie is indeed bigger and way more louder than the previous movie with raining of gun blazing thousand of bullets and a large amount of explosive.with an entourage of 80's action hero,this testosterone driven action movie is kind of a detour of some of the most fun and entertaining action movie back in late 80's and early 90's. Watching both Willis and Schwarzeneger argued about their comeback in the movie is fun and also with Norris brief appearance as the Lone Wolf Booker fired up a bazooka is also exciting.unfortunately,these kind of reunion is 'The Expendable 2' all about. the movie itself is kind of a rehash from the 80's and 90's action movie.it is an action movie that tries to become something fresh by combining the old and the new formula of action movie that include the action stars.despite the effort,the movie is failed in term of bringing its promise,instead its becoming a kind of dull and mindless action movie. The story is centered on the group of mercenary lead by its charismatic leader Barney Ross and his second in command Lee Christmas.after their successful mission in liberating a country in south America from an evil dictator.the group were given another mission from Mr.Church that it seems like an ordinary simple dirty job given by Church with a decent pay.Church also introduced a new recruit to the team name Maggie,a tech specialist with military training to the team.after the introduction,they began their new mission given by Church.suddenly the unthinkable happened when they were ambushed and then being taken hostage by another group of mercenary.the ambush ended up killing their new recruit named Billy The Kid,a young kid that joined the expendables after he got out from the military.in the aftermath of this event,Barney and his expendables made a promise to take revenge on the man who had killed Billy The Kid. The classic theme of vengeance and ruthless main villain is the main plot of the movie which is pretty much sum up the 80's style of action genre.while the use of big gun and stylish fighting scene are borrowed from modern action movie.though,its combination didn't bring something new.at one point,there is a feeling of excitement as each of the action hero get back to their roots especially Sly who has managed to do all the action by himself.another surprise that this movie has is the brief appearance of Chuck Norris who eventually come out more than just an ordinary cameo when he appeared in the last battle scene.beside Norris,it is the return of Jean-Claude Van Damme as the main villain that really make the movie become intriguing to watch.his unique accent and high kicks in the final battle really brings out the memories of watching his movie such as 'Universal Soldier'(1992).This sequel could be worst without his appearance as the main villain.although the rest of the movie is basically like any other modern action movie that borrow many reference from another typical of action movie such as 'Takers'(2010) where director Simon West decide to focus on develop each character personality that eventually lead to style of action instead the dept of its character.though,The Expendable is better than Takers because it still has a drama,unlike Takers where the character action is driven only by selfish needs that eventually led up to a story where stupid and obnoxious people trapped in the struggle because of their own ego.fortunately,Sly and West are still concerned about the drama and morality of the story even though there is only several scene that truly depict that kind of morality.despite all the mind blowing and over-exaggerate special effects,the characters still have capabilities to connect to the audience with a few punchline of typical humor that simple but effective at the same time.all of the humor is naturally flow in each conversation among the mercenary,even Lundgren could be funny at some occasion.having these kind of humor is one of the reason that makes this sequel is fun to watch,especially for entertainment.but for those who expect great action movie where there was many twist and unpredictability,'The Expandable 2' is far from that region.instead,the movie is aimed toward the people who loves 80's action movie with its clique.especially for those who love an action movie that is driven by suspense and violent,look no further than this group of old action hero.",5,1,5,26 August 2012
Iron Man 2," Pure entertainment but lack of originality from the first one
","first of all there are two words to describe this movie Totally Awesome!!! there i say it despite review from many critics or gossip by people who already watched it at the screening or in other country mainly in Asia because they've got an early release date, ignored their gossip or critics review.In my opinion this movie was one of most excited,entertaining superhero movie ever made so far for those people who already watch iron man before or a big fan from it's comic book they totally going to loved this one maybe for quality yes it's not as good as the first one but it's not a really terrible movie like they say there still a lot of terrible superhero movie out there and this is not include Iron man 2 was a good sequel it's not great but it's good and really worth watching from the special,visual,sound effect was perfect but what makes this movie it is not as good as the first one or not surpass the critics expectation because a few stupid scene and lot of slapstick humor that just really ruined this movie like the humor for example instead of clever and funny comedy like the first one this sequel turned it into a stupid slapstick comedy not just that if the first one all of the joke and humor was perfectly pitch by all of the character that doesn't happen in this one some even try hard to be funny and that just really annoying for us to watch and that just really ruined this movie potential and not just that some scene just really stupid to watch like there is one time happy tony stark driver driving around the circuit of formula one with a ordinary car and that just really stupid and don't make any sense at all and because of stupid scene like that really make this movie looks bad and one of the most important one bad editing really really bad one and because two of these minor mistake favreau did really break it's quality and lack of originality that the first one had to offer maybe he's in hurry making this or maybe the budget that was being cut off effect the final picture all of this was just really sad and destroyed it potential to be as good as dark night or even better.the acting was good and a breakthrough performance from Sam Rockwell as Justin hammer really lived up this sequel as usual Robert Downey delivered it everything from it start until finish and a little disappointment from don cheadle as Lt.James Rhodes replacing Terrence Howard other than that a surprise good performance from scarlet Johanson as the sexy shield agent black widow as well as mickey Rourke for playing a vengeance full scientist Ivan vanko despite all of that minor mistake this movie is really worth watching for and just really awesome superhero movie in the end let just hope for the best for this movie to do well in the box office so iron man franchise didn't end up just like that despite all of the bad review or people talking that is not as good as the first one i am just has a big expectation about this franchise to be great and i hope all of that could change in the next iron man movie (if it's going to be made)and favreau should direct again to proof those critic that has underestimate him in this movie and make the most awesome superhero movie ever.",6,3,11,4 May 2010
The Hunger Games," The Hunger Games is thrilling,exciting,and Adventurous with its subject deeper than teenage romance.
","The Hunger Games has an interesting story about the future of humanity that is seen through brave teenage girl whose played brilliantly by Jennifer Lawrence.beside top notch cast assemble,Ross witty direction in creating a dilemma between each character with serious tone and teenage romance which bring some comfort in term of story telling about the subject that is far deeper than teenage romance.Set in the future,the once renowned and powerful country has changed forever after the rebellion that broke out in recent years.the result of the rebellion was a nation that has been divided into 12 district and tradition in which a boy and girl between the age of 12 and 18 are selected from 12 district to participate in a dangerous game where each of them are being forced to fight to death on live television where it is broadcast across the twelve district,the game that was named 'The Hunger Games'. The selection of the participant or 'Tribute' are choose on the annual lottery known as ' The Reaping'.as the the next lottery for 74th annual Hunger Games begin in District 12,which is the poorest district among the whole district.Katniss Everdeen (Jennifer Lawrence) is a 16 year old girl living in the district along with her little sister Primrose(Willow Shields) whose odd of being chosen as one of the tribute is close to impossible,However the odds are suddenly change when her sister Primrose are chosen to become district 12 tribute.Knowing that her sister didn't have any change of surviving the hunger games,Katniss Everdeen bravely substitute herself with her sister as the tribute of district 12 by becoming a volunteer for her sister sake. beside Katniss as the female tribute,another tribute that is chosen to represent the district is a baker's son named Peeta Mellark (Josh Hutcherson).they are brought up into the capital with the well dressed Effie Trinket by riding Capitol fastest train,during their journey into the capitol, Effie introduce them to Haymetch Abernathy (Woody Harrelson) that happened to be one of the winner of the hunger games and he is also take part as their teacher.what Lies ahead for Katniss and Peeta in the Hunger Games?and How they are going to survive the brutal and violent Hunger Games?The Hunger Games has a strong start in the beginning especially during the scene where Katniss little sister Primrose are chosen to become one of the tribute,which emotionally showed the conflict and dilemma that is going to become her motivation in the future. After dramatic separation between Katniss and her beloved sister Primrose,we are showed the Capital which visually packed with lots of CGI and glamorous set of decoration.from the realistic district 12 into the imaginative Capitol as how the future Metropolitan City looks like was one of rules that The Hunger Games has quickly set up the rules of Fantasy and Science fiction which tell the audience that the movie has something more than just drama with its adolescent female as its main character.But what makes The Hunger Games different than any others kind of similar movie is how the combination of serious drama and teen romance manage to capture the theme of the movie which is deeper than a young adult being forced into harsh reality when everything is controlled by rich people who didn't have any moral value nor sense of compassion.without over-the-top action sequence The Hunger Games flows naturally with the character development and solid acting from the cast of young actors and teen star like Josh Hutcherson and rising star Liam Hamsworth whose acting skill are far better than Pattinson and Lautner in Twilight has saved the movie from becoming another twilight rip-off.but all the credit should goes for Jennifer Lawrence whose captivating performance and method acting is what makes the movie looks more mature as a movie that primely aims for teenage audience.Lawrence acting credibility is proved when she got Oscar nomination in last year Oscar in Winter's Bone where she played similar character of an adolescent young adult who are being forced take responsibility as head of the family and surviving the cruel reality.to have played strong independent female character like Katness Everdeen is no difficult task for Lawrence since her past experience has definitely brought her own perspective when it comes to played this kind of character.her fans will be craving for more and audience may take more attention toward this promising young actress.The Hunger Games delivers all of its promise,from exciting adventure to witty and dazzling heroine that take place in a gloomy future of United States in post-modern warfare which the visual effect that was used is not over the top so the fantasy world such the Capitol still has some of its realistic aspect as future metropolitan yet it is still imaginative.",8,1,5,9 May 2012
American Hustle," 'American Hustle',O.Russel tasteful and brilliant takes on the line of morality issue.
","The Endeavour of a stylish and captivating acting make up for a very much interesting and fun around joyride with some sense of morality issue. In the line between right and wrong lies a complex sense of pleasure and justice. There is a sort of entanglement that sometimes confusing and hard to choose one 'right' thing over another. The bigger picture is the world is not black and white, yet certainly 'grayish'. A theme like this is nothing new in the world of Hollywood cinema, either in the past or present. It is almost revisited on a yearly basis and most of the time it turns out to be a let down or plays out on over pretentiousness. Fortunately enough, this is not one of it due to a clever storyline and bold direction of David O Russel.While it isn't entirely based on any factual history or rather infamous past events, Some of it is inspired by an FBI operation in early 1980 called 'Abscam', which involved a fake Arabian from a part of New York to trapped some major player who conducted big corruption that eventually led to exposure and prosecution around those circle of involvement. Whether it was a success or a bust, the story didn't focus on its truth. Instead, its revolves around an experienced con-man named Irving (Christian Bale) in verge of pulling the biggest con of his entire career of conning innocence people in the purpose of setting up a bait for FBI to trap a corrupt, yet naive Major Carmine (Jeremmy Renner) from city of Camden. As Irving prepares for the meeting with Carmine, he is washing his face along with the calm before song 'Horse with No Name' by famous early 70's folk band America. With helps from his attractive mistress named Sydney and FBI Agent named Richie who planned the idea and controlled the operation. As the meeting went down Irving, Sydney, and Richie sit down with the major to persuade him to take the money that they have planned before. In a sudden way, the mayor begin to feel uncomfortable by Richie nervousness and resulted in his rejection toward it before leaving in emotion. Afterwards, Irving immediately angered and blaming Richie about the failure. In reverse plot of show and tell, Irving then describe how he eventually walk into the situation. In a subtle way of how he began as a con before his first encounter with Sydney and his entrapment of a false marriage with his obnoxious wife Rosalyn (Jennifer Lawrence), how he manage to maintain it because of his beloved son and his principal of playing it safe.It opens up in a very stylish way as of Scorsese gangster movie. one particular that closely resembled is 'Casino'. The three musketeers of con artist that consist of Christian Bale,Bradley Cooper,and Amy Adams are already a scene to be captivated. As it capture how these three gifted Actors enters the picture before they goes on to the roller coaster ride of mixed emotions. as the story progress,it becomes prominence that the star-studded cast has seamlessly integrate within each scene. The leading character arch is Christian Bale brilliant portrayal of Irving. Bale's method acting signature hasn't been tiresome or predictable, instead his control of the character has elevated the film emotion through his given perspective. Whether in his downfall of self-entrapment in relationship or when his money making trickery hit a jackpot His performance could easily conveys sympathy and sometimes a necessary laugh. Another high remark goes to Amy Adams captivating performance as Bale's partners in crime. Adams could easily switch from being witty into more dramatic approaches toward her character. another example of brilliant method acting is shown through the show-stealing performance from Jennifer Lawrence as Irving repulsive wife, yet also annoyingly funny most of the times. a credit is due for Lawrence perfect comic timing and moody portrayal. it is one of the reason why the movie is also genuinely hilarious and honestly ironic. in part of another supports,Bradley Cooper is also a solid addition for the cast excellence. despite being overlook,his witty improvisation and straight forward sarcasm is also due for a credit.",8,0,2,25 January 2014
The Village," Fail to archive it's potential
","The village it definitely a unique movie with fresh mixture of horror,thriller and drama try to create something new in horror film and it has a lot of great idea and potential to become a creative horror movie with it's own fresh thriller that he gave to his story and with great twist in it but because several flaw mostly in his cinematography that looks like an amateur shoot taken by guy whose done The Blair witch project especially some scene that will take some time later in the movie maybe because it seems that the DP wanted to create something different in his movie by combining old style and modern horror scene but turn out to be total failure for this movie some important scene are becoming blurry because of this and that makes the plot become lost and the character looks like confused with their own plot and the editing is also failed in middle of it started to looks like the Blair witch project combining with other old school horror movie the movie itself that started promising but due to lack of some of these major flaw M night has failed to capture his own well written story to the screen and eventually lead to a total disaster that destroy both of the story major twist and mystery that makes this creepy and mysterious in the first place and looks like a cheap horror movie near the addendum of the story and with some bad editing that made his own vision and the movie recipe turn to be destroy this movie potential but although of it disaster recipe at least the acting was great especially Howard who played the blind girl but with a kind and brave characteristic and to Jaqiuen phoenix as a very mysterious and very curious man that try to solve the town problem also for it support cast Adrien Brody did a pretty good job as a problematic village boy whose suffer a mental disorder and as the many other actor did a pretty good job too and in the end at least the casting and the beautifully musical score still save this movie from becoming a total recipe for disaster",6,0,1,4 June 2010
Drive," an exhilarating and stylish action movie from start to finish.
","Driver is a man who usually being hired for any kind of job that related to driving. his identities is mysterious since he is only been called driver or kid by his boss through the entire movie. In the opening scene, a discovery shot was made to show the viewer an action that focus on the driver slowly make some kind of preparation on the bed. the scene is being shot with a style of film noir, showing a mysterious man wearing a jacket. after the scene, an opening credit was played with a retro music as its soundtrack.it is clear that 'Drive' is not the typical modern Hollywood action movie, judging from the beginning of the movie and the opening credit. some viewer will find this weird because its like watching an old episode of the 60's or early 70's TV series. I find this to be unique because there were few director that open up his action movie with film noir style and retro music nowadays. In the time where action movie is dominated by fast car or a group of flamboyant entourage, 'Drive' come out with something different. while many filmmaker use many action clique or trying to imitate the other successful action film. director Nicholas Winding Refn didn't follow this pattern of typical action movie, instead of stealing or imitating, he try to experiment the action genre with his own movie that simply entitled 'Drive'.by using retro music as the film musical background and the camera technique of film noir he has made an exciting retro style and post noir action movie. as the result, he was awarded a prize for best director on the canes festival. it is an evidence that the critique appreciate his vision, but other critique such as veteran top film critique Leonard Maltin perceive his vision differently. he said that director Nicholas Winding Refn has chosen style over substance. some of his saying were partially true,at some degree the substance of the movie is kind of a letdown since the plot of the story was a little too linear and also the character driver seems pretty much empty in term of personality during the first part of the movie. despite his good criticism, I slightly disagree with him because I thought that sometimes a good action movie didn't need any high concept or an emotional aspect on its substance or essence. Sometime it is just need a cohesive unique style of filmmaking that was creative and original just like director Nicholas Winding Refn managed to poured his creative vision in this movie.Driver was well acted by Ryan Gosling,he is a men who just wanted to get the job done,but all of that change when he meet Irene played by Carrey Mulligan and her son Benicio. Irene was currently living on her own until his husband Standard Gabriel came back from jail. after falling in love with Irene, Driver has change the way he see his life because for the first time he felt the need to protect and care for Irene and her son. Driver,a lone wolf was finally found some meaning in her life. This kind of story has some similarity with some of the classic Clint Easwood film where in the end the lonely man find the love of his life or people that has some meaning for him. Everything seem turn out great when Irene and her son has shown affection toward driver and he also satisfied with his current life. Suddenly everything change when Irene husband standard Gabriel got back from the prison to stay with his wife Irene. not knowing the unexpected, it turns out that he had trouble with some criminal while he serve his prison time. as the result he has endangered not only his life but also Irene and his son Benicio life after the criminal threatened their life. the desperate Gabriel come to driver to ask for his help in cleaning up the trouble that he had made in his past by getting a job from a thug named Cook who somehow has a connection with Gabriel. Driver agree to help him,later in the movie he and Gabriel become trapped in a heist that resulted in the death of Gabriel. Knowing that he was being trapped, he traced the criminal job that was given by Cook and it turned out that the job was set up by a guy named Nino played by Ron Pearlman who happened to be his beloved boss Shannon current client and business partner along with Shannon long time friend Bernie played by Albert Brooks. The first part of the movie started rather slow until its brilliant climax where driver killed both men that was trying to assassinate him in the motel. Cinematographer Newton Thomas Segel managed to shoot the action scene perfectly with a moving discovery shoot and he finished up the scene with zooming the driver while he shot the shotgun toward the last thug on the front door. It was a great action scene in which the film changed its slow pace into fast pace action movie through the rest of the movie.all the acting was solid enough to entertain viewer , but the breakout role lies in Ryan Gosling where he played the stunt driver turn into some sort of anti-hero. While Carey Mulligan also bring solid performance despite her short time in the movie.as usual Ron Pearlman get the job done as a supporting actor even though his character Nino, a confident old mob that use a lot of swearing through its screen time. last but not least, comedian Albert Brooks also becoming a well-worth addition for the entire cast playing Shannon long time friend Bernie whose character was the only one that has a long conversation with many character in the movie. 'Driver' was an exhilarating action movie that is worth a watch and an almost pitch perfect action when it comes to the style of the movie.",9,2,5,26 September 2012
2012," a well done disaster flick
","I watched this recently epic disaster movie a couple days ago and when i was watching it i was really shock and in my mind i was 'wow it's really cool this special effect was' i mean it's been a year that i am really amazed by any special effect that so outstanding like this one no wonder Roland really brave to ask about a 260 million us dollar to the studio to make this top notch both visual and special effect for technical value this movie is top notch except bad screenplay however some scene in this movie look just is impossible in reality and both scientific fact it just really a joke for all of those intellect out there especially for all geologist expert out there if they watch this maybe they will chase Emmerich for his silly,idiotic,abnormal scientific video in the movie while for the acting was just great except for Danny glover i think is pretty awful for trying to characterized the new president in this disaster flick while he's trying the rest of it cast acting cover up the veteran actor whose saved this movie from going lost it plot while the rest of it movies its good and overall it is a great movie on it's genre and at the same time it's a really entertaining and fun movie to watch if you are the people who really want to watch this movie i recommended watch this on theater or maybe at IMAX theater by the time it was out and i think in the end it's a worth watching disaster flick well done Mr.Emmerich",8,0,3,16 November 2009
The Girl with the Dragon Tattoo," The girl with awesome tattoo- a dark mysterious well made crime movie
","Girl with dragon tattoo comes as a good mystery film that full of suspense and thriller and with a excitement like a b-movie this ambitious mystery crime drama also delivered it with an unique and interesting central character that deeply acted by a tremendous actor The story follows  a ambitious journalist named Mikael Blomkvist, a journalist who worked for the magazine Millennium, lost a libel case brought on by corrupt Swedish industrialist Hans-Erik Wennerström. The magazine & he were ordered to pay for damage and Blomkvist was due to head for prison in the next few months.While waiting to serve his sentence, Blomkvist was approached by Henrik Vanger's representative. After some hesitation, he came to see Mr. Vanger, the frail & wealthy octogenarian of The Vanger group, who lived in a remote island, surrounded by other family members' houses.It turned out Mr. Vanger wanted to hire Blomkvist to unearth the truth behind his niece Harriet's apparent murder some forty years ago when she was sixteen. Although her body was never found, Mr. Vanger believed it was murder because that day there was an accident on the only bridge that linked the island with the mainland. The bridge was closed, nobody could get out & nobody could get on the island. Yet, Harriet just vanished into thin air. There's not a day gone by which Mr. Vanger didn't think about her.Before going to the island to see Mr. Vanger, Blomkvist didn't know that he was being followed & photographed by Lisbeth Salander, a punk who made a living as a computer hacker.The young woman had problems of her own. Due to crime committed in her youth ( later we learnt that when she was much younger, she had set fire to a man, presumably her abusive father, in a car ), she had to report to a guardian who controlled her money. One day, he forced her to give him a blow job or else he threatened to accuse her of causing trouble and have her put into a psychiatric hospital. When Blomkvist found out his PC had been hacked into he was able to trace back to Salander & came to her place. He persuaded her to collaborate with him in the investigation of Mr. Vanger's niece. Together they dug up more troubling and disturbing information. The story of course was perfectly written with a lot of twist in it and make it mysteriously dark disturbing at some point making this a really good crime movie with it's own charm. And also with a weird chemistry that later builds between  Mikael Blomkvist and Lisbeth salander that also make the movie more exciting and fun in a bizarre way make the movie character looks like a dark moody and bizarre version of starsky and hutch.    I really recommend this to anybody who like a crime drama movie with an interesting central character and with an acting that really lives up the movie this is really a must watch crime drama on it's own creativity",7,2,2,21 July 2010
Reservoir Dogs," Short and brilliant !
","short but brilliant in all of it's aspect from story,plot,character,cinematography,screenplay,acting, and great editing that also help this movie delivered everything from start to finish and with so much originality in it that really make this film an instant classic as Quentin Tarantino first brilliant movie that eventually will shape his unique style of film making in the near future also with the perfect twist that he added in every scene that really make the film so curious and really unpredictable and not to mention a lot of interesting character that help this film to be even better from Mr.white played by Harvey Keitel the easy lost tempered guy,Mr.blonde played by Michael Madsen that more likely to be an ex psycho,Mr.orange played by Tim Roth the dramatic one, ,funky Mr brown played by Tarantino himself,Mr blue the quiet one, the most hilarious but a coward Mr.pink played by Steve Buscemi,nice and funny guy Eddie and lastly the big boss Joe with all of these interesting character plus the perfectly well written script this is really a entertaining fun movie for everyone who watched it.Really recommended this!!!",9,0,0,20 June 2010
