movie_title,title,review,rating,helpful,total,date
The Incredible Hulk," Average
","Not a waste of time
But you have enough time then you can watch it once",5,0,0,31 May 2020
Iron Man 3," Average
","Not a waste of time
But you have enough time then you can watch it once",6,0,0,31 May 2020
Hereditary," Wtf
","This movie was really good.I think the concept was really worth of appreciate but the ending was too poor.They finished it as expected and you can understand the ending from the half part,shame on this wrong side",5,0,0,28 May 2020
Iron Man 2," Average
","Not a waste of time
But you have enough time then you can watch it once",6,0,0,31 May 2020
World War Z," Good movie
","I know there is many people who like train to busan as a zombie movie but this movie can also give you real entertainment.I don't compare it with train to busan.I also like that movie but i recommend everyone if you want to watch a zombie movie then there is always world war z
Happy watching",8,1,1,7 May 2020
Thor: Ragnarok," Good movie
","Brilliant movie.
This movie is related to avengers infinity war.",9,1,3,31 May 2020
Captain America: The Winter Soldier," Average movie
","Not a waste of time
But you have enough time then you can watch it once",6,0,0,31 May 2020
Ant-Man," Good movie
","This is really a good movie.
i really appreciate this one.",7,0,0,1 June 2020
Captain America: The First Avenger," Average
",But you have enough time then you can watch it once,5,0,0,31 May 2020
Avengers: Age of Ultron," Good movie
","This is really a good movie.
i really appreciate this one.",7,0,1,1 June 2020
Thor," Brilliant movie
","Thor is my favourite superhero.
I really like this movie",9,0,0,31 May 2020
Thor: The Dark World," Good
","Another brilliant movie of thor first movie.
I like this film.",9,0,0,31 May 2020
Annihilation," Average movie
","This is not any ghost movie but you can get some horror flavour.That's it
I like the concept but there is many illogical things and the ending was so poor.",6,0,2,28 May 2020
