movie_title,title,review,rating,helpful,total,date
Angels & Demons," Awful... quintessential definition of stale thriller
","Unfortunately, Angels and Demons is possibly the worst film I have seen at the cinema this year. (And I paid to see Pink Panther 2 for some reason) Was the book this bad? Could this movie have possibly been any worse? This movie was so uninteresting that I was tempted to get up and walk out, but I was still curious if they were going to actually find a conclusive end to their story. I'm sorry I stayed.This movie is the quintessential definition of stale thriller. Very stale. I kind of feel sorry for Tom Hanks. He's too great of an actor and too much of a legend to be staring in a movie that's this bad. Hey Tom, next time don't sign a multiple picture contract. He had to have been signed BEFORE Da Vinci Code because even he must know how bad that turned out. Why do another? Word of mouth will smash this movie. This movie is just too dumb to succeed but, then again, there's the Tyler Perry rule that says even trash can generate gold.",Null,16,42,23 May 2009
Star Trek," The hype doesn't match the film. Good but not great.
","When you consider that this was made by one of the most successful creative minds of the past decade as well featuring a semi-cool premise, this could have been a much better movie. Don't get me wrong, it's not a bad film. In fact, I give it a thumbs up. Still,it's not half as great as the hype. There are a handful of loud scenes, some chuckles, but not enough gas to cover even the action junkies who don't care about a plot. This movie simply does not work as an action piece but doers work for the Trekkie. In the end, Star Trek provides for a few bangs, but doesn't turn it into a full-blown summer film and ultimately, not as great as everyone keeps trying to say that it is. Considering that it was suppose to revive a dead franchise and reportedly had a huge budget, I wonder where the money truly went? I'm betting it went in to advertising and paying Internet bloggers. The hype doesn't match the film.",Null,4,9,23 May 2009
Iron Man 2," They don't call it Marvel for nothing! Great Film.
","It's an intelligent movie that actually works way above the level set up by a lot of previous comic adaptations. Without question, the makers of this movie went all the way in making it a remarkable experience for everyone. To their credit, they never assumed that the hype or good will of the first film was good enough to put butts in the seats. They really respect the source material but they've accentuated the believable and realistic angles of a great story. This is a story about great characters first. The action stemming from that is amazing and only serves to add to a great story. Tony Stark is about a hero's journey of internal struggle. He's a complicated character and he represents the dark side in all of us and the hope that we can overcome those demons. Everything was juggled perfectly but I expected no less from this crew. They don't call it Marvel for nothing.",Null,2,6,6 May 2010
X-Men Origins: Wolverine," THE best prequel movie of all-time. A+
","It has a very good storyline, the non-stop forward-moving pace works well and gives it a tone that works better then other, longer movies. It's very well directed and the acting (small, medium, and large roles) is PERFECT. I would have loved to have seen more of Gambit and Wilson even though that might have screwed with the pace that I just mentioned. The very best movie of 2009 regardless of genera. This is so gritty, real, and heartfelt that it even craps on the last film (Last Stand) and I actually enjoyed that film. Overall this movie was the best that I've seen this year.There is not one wasted line, visual, camera angle or development in this entire movie. Everything serves to advance the plot. It was tight and lean and superbly done. I truly think that this is the best prequel movie of all-time. How could you not like it? From the new mutants to all of the special effects to the crisp pace I loved it. I loved the ending. You can obviously see the attempt to tie this film to events from the trilogy but it all works neatly and tightly. Wolverine is the first movie this year that I want to see again. It's one heck of an entertaining movie.10/10 superb!!! I can't wait for the DVD... I hope there's also a director's cut but I can't imagine what they could've possibly left out of this fabulous film.",Null,44,79,23 May 2009
Terminator Salvation," This franchise needs to end right here and now. Yes, it was that bad.
","Like a chicken without its head, Terminator Salvation stumbles blindly around the cinematic barnyard making lots of noise, but ultimately going nowhere. The movie jumps around in plot like a barefoot man trying to walk on a hot bed of coals. John Conner and company clumsily play out the roles and stereotypes that are better off left to the pages of the history books and sequels gone by. I'm no huge Terminator fan and no Cameron fan but did we really need to see this grim and dumb future that feels like a re-hash? I know I didn't.I hope this thing bombs bad. The last thing we need is future cinema to be showing McG's Terminator Revenge and Terminator Salutation. This franchise needs to end right here and now. Yes, it was that bad.",Null,2,5,23 May 2009
Captain America: The First Avenger," Delivers in a BIG Way! Great Movie.
","You knew comic book movies couldn't have peaked in 2003. They just needed until 2011 to show how to perfect the genre. (With a big boost from 2008) Does this movie deliver? Well, let's see what is has to offer. It delivers tremendous characters, impressive visuals, outstanding story, the right amount of humor, emotional resonance and prodigious acting. What else is there? If someone doesn't like this film, I can't understand why. Chris Evans really delivers and his Captain America will rank right up there with the best performances of any actor in this genre. All the cast comes through in big, bright ways.This, so far, has been the best movie I have seen all year. All in all, this is one great film that I look forward to buying on DVD. The best superhero ever? Does it matter? I saw this last night and it was a true event movie. Seeing it in a packed house was like attending a very cool athletic event. Maybe that made the experience even better but I guarantee that this movie generates great word of mouth. Critic, fan and box office numbers already prove that fact.",Null,5,14,27 July 2011
Now You See Me," A genuine disappointment any way you cut it.
","Yes, a genuine disappointment any way you cut it. There's nothing clever or even very fun on display in this movie. You spend 95% of the film wondering why an actor as great as Mark Ruffalo agreed to play the dumbest cop/federal agent ever put to film. When you get the answer, it validates the film's own shallow stupidity. What a waste of a great cast. Morgan Freeman is useless and absolutely wasted in this effort as is Woody Harrelson. None of the Four Horsemen magicians are fleshed out at all and the narrative shifts suddenly between Ruffalo's character and brief peeks in to the actions of the four magicians. It just doesn't work at all as a compelling story.",Null,3,10,5 June 2013
Captain America: Civil War," the stuff of instant classic legend... simply awesome!
","The first film was about giving Steve the opportunity to be the hero he was born to be. The Avengers gave him the chance to matter in the modern era. Winter Soldier gave him true character depth and turmoil that we never saw in those first two installments. Now, we get to see Steve turn the corner and add to the depth but not in ways anyone will expect.It was easier in the 1940's to judge right and wrong. Now, it's more difficult to gauge how to deal with the events we've seen in the previous MCU films. Threats are different and some have been engineered by those seeking to do good. The debate on how to handle them is genuinely intriguing and it all serves as a wonderful foundation to the overall story. How far to take precautionary measures? Who is responsible and who oversees whom? For a man who fought to serve with all his life, how much is too much? Add to this Steve being stoic and not wanting to burden anyone with his struggles concerning Bucky Barnes. It's exactly what a man from that era would do and one that is loyal to a friend he's with 'until the end of the line.' That turmoil and moral self independence mixed with a 'never give up' attitude is what makes the character so dynamic and interesting but it's also the perfect base to the conflict in this movie. Thus as we've all seen in the trailers, Tony wants to 'punch him in his perfect teeth' and do more than that actually. Steve does struggle and he does connect with people and show vulnerability, which leads many true heroes to side with him. Yet, Tony has valid and noble points as well. All this grounds the film and makes everything more interesting.All the characters used in this film work amazingly well. The ones we've seen before are fleshed out more. EVERY character is given at least one scene to shine. I love the Black Panther here and what is seen establishes him perfectly. Spider-Man really is as great as everyone has been saying. The Falcon is an absolute ace. Sam's friendship proves to be invaluable. The Scarlet Witch is a true surprise. I didn't think she would play this large of a role. Again, EVERYONE is used intelligently and superbly. No one feels show-horned or sandwiched in to the film. The story comes first and everyone fits.I really loved the hard-edged, physical action. They took what was great in the last film and made it even better. Not only is it hard-edged but adding more diverse powers and characters means the action is as spectacular as it gets. It exactly what these characters should be depicted doing and it's literally a comic book come to life in the best way possible. The action is brutal yet graceful and everything works tremendously well. The Russos have it down. Cap isn't just a guy who was given the ability of speed and enhanced strength. He's been training and his enhanced mind makes him just as dangerous as his muscles. His training and ability make him VERY dangerous and the movie continues to show that in stupendous ways. The fights in this movie are the most impactful that I've EVER seem. The airport showdown will go down in history. Seriously, the stuff of instant classic legend.Overall, a perfect sequel that follows in the footsteps of the best the genre has ever seen and one of the best adventure movies that I have ever seen.",Null,86,176,13 April 2016
Super 8," Hype Over Substance... Dull and Predictable
","My major problem with Super 8 is not with the unremarkable cast or with the cheesy attempts at tension. It's not that it's 'slow' or poorly paced for a summer film. If I had to sum it up with a word, I'd say coldness, maybe carelessness. How about dreary? How can anyone enjoy bad dialogue and poor pacing if they don't care for the characters? The execution was palatable but you simply didn't care about anyone or anything that was going on. This is slasher film quality without the slashing. It's just a poor story and a poor effort by all involved.Without a doubt this film going to be the quintessential 'hype over substance' film we all reference for years to come. The mystique, marketing and mystery leading up to release was bigger than what we actually see on screen. This overrated film has done nothing but hide behind big names to draw a big opening weekend at the box office. It wanted to be another 'Signs' type drama but all it delivers is disappointment.Forget 'Signs' this movie was like combining M. Night Shyamalan's 'The Happening' and Spielberg's 'War of The Worlds.' Not exactly a winning combination despite the hype. I'll give the creator's of this film a pass because they usually deliver but the sooner we all forget about this mess and J.J. moves on to the Star Trek sequel the better.",Null,18,41,6 June 2011
X-Men: First Class," a classic and a genre-defining movie!
","This second go around for the X-Men is as good as the first if not better. I seriously hope this is the start of another trilogy. Sure, they have a lot to live up to but this film seems more sophisticated and has a better story than the very first X-Men movie, which was primarily about setting up this universe. Here, the characters previously introduced are fleshed out in a comprehensive and cohesive manner, and the newly introduced characters are blended in seamlessly with the story. The cast-selection is perfect, even in the established roles. I had my doubts whether anyone could fill Patrick Stewart's or Ian Mckellen's shoes but that really wasn't the case. These actors just took the younger roles and played it perfectly. I loved the action and the heart of this film and, again, it all perfectly blends with what's come before without relying on it at all. This stuff stands on its own and stands tall.I remember back in May, my friend and I walked out of the theatre after seeing Thor smiling. We loved that film and anointed it the best of the summer. Well, maybe we were a bit hasty in our judgment. I knew this X-Men movie would be better than X3, but I wasn't expecting to walk in and see a classic and a genre-defining movie. Thor still rates right at the top of the summer but right now, X-Men First Class is the best movie of the year. Bring on the sequels!",Null,4,8,4 June 2011
