movie_title,title,review,rating,helpful,total,date
Insidious: Chapter 2," My fav into Insidious Chapter's .
",Well i dont forget never i see long time and i love realy best story .,9,0,0,2 January 2019
It," Pliz don't kid with me ...
","I laugh more than i scare when i see this movie , when i see i remember a scouts live .. but if u like stranger think's see .",5,0,2,2 January 2019
Deadpool 2," I like but ..
","Isn't my gen comedy at all , but good movie and story .",7,1,1,2 January 2019
Ant-Man," I Really like .
",This is method see how funny is be small . Need to see good Hero Story.,8,0,1,2 January 2019
The Conjuring 2," Good story
",At all is good need see no sad like every horror movies! :),8,0,1,2 January 2019
Get Out," Well its good ...
","Is a good movie but is best if u are 'black' its not a comment racist is ... If u aren't u can fell like one guy get problems get or will get in live , but is good lesson of live . :)",7,0,4,2 January 2019
Insidious," Really good
","I Really like , since 8 y ago scare me a loot ...
i dont remember well about all but 8/10",8,0,0,2 January 2019
Guardians of the Galaxy," Really good , my girl say me for see and i love :)
",Good movie for see good comedy and fight's :) awesome,8,0,0,2 January 2019
Sinister," Remember
","Good jump scares, good story at all is good recommended !",8,0,0,2 January 2019
Guardians of the Galaxy Vol. 2," Really good :)
",Best story than first and i love squirrel or wtf ahah kidding no 10/10,9,0,0,2 January 2019
The Conjuring," WELL
",I see a long time but remenber is one of best movies serial i see about horror :),8,0,0,2 January 2019
Deadpool," like but ..
","Isn't my gen comedy at all , but good movie and story",6,0,0,2 January 2019
Annihilation," All about limit people love .â™¥
","Good soldier all, and good story to me great movie need best rating ...",9,1,5,2 January 2019
