movie_title,title,review,rating,helpful,total,date
Lucky Number Slevin," Crakin' film
","Very, very clever. Not since Usual Suspects have I enjoyed such a beautifully crafted story. Well done to all involved.",10,2,2,16 November 2019
Training Day," One trick pony?!
","Potential to be a great film, but lacked substance other than Dentil Washington playing his usual smart mouthed, quick talking hustler. I have yet to see him play a role that clearly demonstrates has ability",3,0,4,28 February 2019
Thor: Ragnarok," Dreadful
",Utter mixed rubbish and not a patch on the first Thor,1,3,10,17 November 2018
Gone Baby Gone," Excellent, but struggled
","Very touching and well acted film, but my only complaint was Cases Affleck mumbles to the point of being incoherent. Open your mouth more in future my boy",6,0,2,8 June 2019
Avengers: Age of Ultron," Disjointed, puffed up nothing
","What were the writers on?!!!
Drivel in gigantic, cinematography marshmallow form of noise mayhem, visual effects which quite frankly the popcorn was the highlight.",4,1,5,22 February 2019
Midsommar," Weird as a really strange thing
","Slow, confusing, odd - verrryy odd. Not entirely sure what to make of it, but worth watching once.",5,1,1,8 November 2019
The Shape of Water," 2 hours that brought hope to my heart
","Beautiful tale, absolutely beautiful. Beautifully made, acted well and just an absolute pleasure from start to finish.There is true love out there.",9,2,11,20 July 2019
The Dark Knight Rises," Better than the first DK
",Pretty good. Interesting plot. Bane is great. Spoiled by Anne Hathaway - first film I have seen her in but took an instant dislike.to her,7,0,1,29 October 2019
Black Panther," Decent plot, but who picked the actors?!
","Having enjoyed all Marvel based films i started watching this with great expectations. As soon as Martin Freeman came on it was turned off. Why, why, why, why does the film industry trot out the same talentless dumwits who couldn't act in a pantomine?",4,1,3,1 October 2018
Black Panther," Gorgeously shot but self-obsessed and boring
","A very disappointing tale although visually very pleasing on the eye. Another thing - why oh why Martin Freeman, the man can't act for toffee!!!!",4,1,4,15 November 2019
Deadpool," Entertaining from start to finish
","This has got to be my favourite Comic Book film - funny, poignant, full of action, wit, sarcasm and a brilliant plot",9,0,1,21 February 2019
Mad Max: Fury Road," What a pile of.....
","Convoluted, too stylised, no plot. So many bad points I failed to see anything good worth mentioning.",1,2,6,17 November 2019
