movie_title,title,review,rating,helpful,total,date
Scarface," Master Piece !
",I have finally watched it and u could not find even one single loop . Al Pacino nailed it very hard loved every bit of it .,9,0,0,3 April 2020
Hereditary," Could have been better !
","I felt that movie had its ups and downs , it have quiet a few shocks but over all I would say it was strictly ok",4,2,6,17 June 2018
Se7en," A Must Watch !
","My brother recommended me to watch it and from the start till the end it was gripping loved Pitt and Morgan , but since Kevin enters wow ! The movies goes into a roller coaster mode",7,0,0,10 May 2020
The Irishman," Finally I saw it !
","Excellent one by Martin , he nails it again . Loved Robert , joe & Pacino power packed performance I would say .",8,4,5,13 April 2020
Bird Box," O v e r h y p e d
","Sandra was good but this movie was over hyped , nothing great just a one time watch I would say",4,3,3,10 May 2020
The Lego Movie," Brilliant !
","Wow ! This one was truly a wow movie, loved each and every scene , the concept itself was super unique and I loved it",6,0,1,15 February 2019
Uri: The Surgical Strike," Wow !
","Brilliant movie , the best war movie so far from our Indian cinema , Vicky has given his best performance till now after Raman raghav , m a big big fan of your work . URI Rocks !",9,5,14,12 January 2019
Hotel Mumbai," Lovely Movie!
","Loved it , so many things I was not aware about , anupam kher was great in the movie and the story was well portrayed !",7,4,28,9 April 2019
Happy New Year," Excellent TP Movie !
","Abhishek shines out of all of them , he was incredible so was Srk and boman . Enjoyed it very much and I wish the helipad fight sequence could have been avoided . Rest everything was enjoyable .",8,0,0,7 April 2020
Incredibles 2," Not better than the first one !
","This sequel was a good one but not better than the first , visuals are fine and the characters shown are decent enough .",5,0,2,2 July 2018
Goodfellas," One of the best from Martin
","Robert joe and Henry shine in this one , incredible direction by Martin loved the movie !",8,1,1,14 April 2020
The Godfather," Finally after 48 years !
","I finally watch it after 48 years ! What an excellent movie , performance wise each and every character shine in their own way , the twist and turns were amazing !",9,0,0,3 April 2020
