movie_title,title,review,rating,helpful,total,date
The Avengers," As Much Fun As I've Ever Had In The Cinema!!!!!!!!!
","Ladies and gentlemen, WE HAVE A WINNER! Most Superhero comic book movies seem to share a problem in tone. Most films try to cope with wild concepts by emphasizing darkness, even over-emphasizing it. Troubled, brooding characters, black leather and anger rule the day. Here, the Avengers mix everything so well. It leans to the dark but touches on fun and the interaction of every character just enough. Maybe it's the fact that all the lead characters got their chance to be introduced in their own movies or maybe it's because they wanted genuinely real dialogue but the movie feels real and believable. It's truly better than any other comic-book based movie that I have ever seen. I say that not to egg on fans of other properties because I AM a fan of other properties. Because of the groundwork that has come before and because of the high level that this film operates, it IS bigger than any have ever delivered. ALL the dramatic beats really click. Besides the depth and action pieces, so much of the humor works because it is so well written. The writing displays true character establishment and development over the course of the film but never gets bogged down by the shear number of characters. What's also rare for any summer movie is that just about every scene packs real emotional weight. This is what you get when you mix fine acting talent with outstanding material. They make it shine and give you a remarkable movie that people will be talking about for years to come. The TV clips seen leading up to the movie tease at the action but there is SO much they saved for the actual running. I can't thank them enough for that factor. They knew they had a hit on their hands so why spoil the word of mouth! If you liked the trailers and TV stuff, YOU HAVEN'T SEEN ANYTHING YET! That in and of itself was a pleasant surprise. Avengers is a complete and very well done movie and as much fun as I've ever had in the cinema. That's no lie or no joke.",Null,7,16,25 April 2012
Iron Man 3," EXCEPTIONAL MOVIE! Complex, Emotional, Funny and Fun!
","Iron Man 3 really is as fabulous as you've heard and as good as everyone is saying. It does the near impossible and that's improve on the first two films. The entire cast, the crew, the FX people and writers should all be as proud of this exceptional movie as they were of the first film. The entire journey and entire film is amazing but it's worth mentioning that they build on what worked in The Avengers. Tony's outward displays of bravado and wit have always hidden a deeply troubled and complex character. His demons are always under the surface. They make sure to recall the events of Avengers where this mortal hero faced impossible odds and even death in the darkest of deep space. That would rattle any person and I'm so glad they didn't gloss that over. It adds depth never before seen in these type of films. Tony was deeply affected and is deeply troubled. Now, add a twisted and truly formidable villain presence in Kingley's Mandarin and what they delivered was a movie as good as it gets. I loved the ending and how everything was handled because it can't be what anyone expected! This is without question the BEST film to finish a trilogy that's ever been made. The best 'number three' film all-time in now Iron Man's title and Iron Man's title alone.",Null,2,9,25 April 2013
Iron Man 2," Complex but FUN..... Believe The Hype, GREAT film.
","Iron Man 2 delivers action with great emotional moments and a movie that lives up to all the hype it has generated. It hits a high standard of excellence by combining humor, a complex plot, breathtaking action sequences, a heavy dose of self discovery and realization, betrayal, forgiveness, love and puts it all together in one amazing package. All too infrequently, a much hyped blockbuster hits the mark with such power that it resonates above all others. Iron Man 2 is such a movie. Much like the first film, it's truly deep and complex but sacrifices none of the fun. The inner turmoil worked well, the beautiful thing is that we can relate to each character, especially that of Tony Stark. Stark's indomitable charm mixed with his flawed character makes this hero more interesting then most. Mark my words; Iron Man 2 is a movie people will be talking about all year if not for years to come. Iron Man 2 delivers action with great emotional moments and a movie that lives up to all the hype it has generated.",Null,19,34,4 May 2010
X-Men Origins: Wolverine," Great action, sex appeal, a powerful and emotional script, WHAT ARE YOU WAITING FOR? See This Gem
","The first real blockbuster of 2009 and deservingly so. It's exciting and an all-around entertaining comic book adaptation and I doubt anything will be better this year. Everyone involved in the production should be proud to know that their movie can stand toe-to-toe with the likes of anything else that summer 2009 has and can throw at them. Star power, sex appeal, a powerful and emotional script, and a great plot make this one memorable flick.Real fans (not those whinny online imposters who can't let go of their own warped preconceptions) can breath a sigh of relief because X-Men Origins: Wolverine takes the X-Men franchise films to the next level. There are plenty of action scenes that you have to see to believe! This movie was just shear fun. I love it. What are you waiting for?",Null,44,80,8 May 2009
The Expendables," action bonanza that literally pulls no punches and leaves you with a giant 1980's style grin on your face
","Well, just what I thought it would be but in a good way. It's a turn back the clock action bonanza that literally pulls no punches and leaves you with a giant 1980's style grin on your face. Sure, the plot is mindless but SO WHAT? Even tacked on shallow moments that seem useless work (playground beat down of abuser) and I love that they went mostly old school with very little CGI stupidity. I even love that they didn't fall victim to a pet peeve of mine. I hate it when a guy whips out a knife in the middle of a gun battle for no reason. Every knife used was used for a reason or in lieu of reloading. Gun battles were fierce and wild but actually not too over-the-top. I'd have to say that 'guy movie' perfection was hit in the catacombs/tunnel sequence Steven Seagal type arm snapping, Jet Li VS Ray Park, overwhelming action and I swear even Rocky Balboa showed up for a moment! I didn't expect to like this film as much as I did.",Null,8,23,13 August 2010
District 9," Nothing of Substance Here at All... poorly executed Film
","I honestly don't understand all the love for this film. I love sci-fi but there's really nothing of substance here at all. The ridiculous overall notion aside, the story really wasn't told very well. The mix of point of view documentary, live TV coverage and regular film was poorly executed. It just doesn't work when you intermix those presentations throughout a film. The characters themselves were all unsympathetic, even the lead. His physical transformation is tragic (and gross) but every human is portrayed as a major a-hole. The violence was disgusting but I need more from my cinema than exploding humans and funky looking prawn aliens. The Iron Man meets Transformers exo-suit action at the end helps save the film as warped popcorn entertainment but that comes far too late to even care. BTW- There's 1.8 million aliens yet what amounts to two of them takes down the MNU complex? The story doesn't even hold up under its own weight.",Null,5,11,21 August 2009
Thor," Intelligent and fun comic-book popcorn epic!
","Thor was much much better than I expected. I didn't know if they could pull of the balance between the Norse mythology stuff and the real world Marvel Universe. I should've known better because Marvel knows their characters and knows what we want to see. Spider-Man set a new standard for the superhero film genre back in the day. Iron Man upped the ante. Thor takes the ball and runs with it and places that bar even higher. I look forward to seeing it again and know it will do well enough to be worthy of a sequel because word of mouth is going to be great. Trust me when I say Thor REALLY IS as good as Iron Man and is most worthy to be called one of the greatest adaptations ever.Chris Hemsworth as the Norse god Thor, and Tom Hiddleston as his villainous brother Loki show they have the acting ability and star quality to become mega-marquee names in the future. Marvel found two absolute diamonds in the rough. Both actors make a HUGE impression and are wonderful on screen. You knew Acedemy Award winners Anthony Hopkins and Natalie Portman would bring it but these relative unkowns more than hold their own on screen. I know the script is written mostly for them but they carry it in a big way. From what I've read, Hemsworth and Hiddleston were cast almost a year in advance of filming the story so, they had time to get into shape and do character research. They certain did these long-time Marvel greats proud. Intelligent comic-book popcorn epics are rare and this one is definitely a cut above the usual fare.",Null,379,624,18 April 2011
Sherlock Holmes," Robert Downey Jr. is AMAZING!
","Robert Downey Jr. delivers just as everyone knew that he would. He has to be considered the greatest actor working today now that DeNiro and Pacino are past their prime. (No offense to Al & Bob) Cast anyone else in the lead and this film isn't as good nor as interesting. Most of the presentation works, especially the internal monologue of Holmes' actions and deductions. The director does display a self important heavy hand in some scenes but it never takes away from the overall enjoyment of the movie. Rachel McAdams is woefully underused but sets up nicely for the sequel. I'm glad the film is doing well because to see Downey's Holmes lock horns with his greatest adversary is what the cinema is for. Let the casting begin!",Null,1,3,7 January 2010
The Wolverine," This really is the Wolverine film we have been waiting for... GREAT FILM!
","The Wolverine exists in its own world and that's very refreshing at this point. I was so tired of Fox hammering in mutant cameos just for the sake of cameos and ruining future use of cool characters. The focus is on Logan separated from that X-Men Universe and they do it masterfully well. This movie has done what Fox has refused to do over the years. They touch on and stay true to plot essences from the books. The awesome Claremont/Miller saga really is felt in this film.The start finds Logan coming in to a place where he is suffering from the loss of everyone he has known and cares about. His long life is a burden he can't shake and he's truly having difficulty handling the struggle of knowing he will lose everyone he loves all the time. The move to Japan as this happens is a masterful turn and fits so well as Logan learns that he is the same as a masterless samurai. Listen, I like alien invasions as much as the next guy but it is refreshing that this is not a film with a gigantic, nefarious force trying to destroy the Earth or take over. Logan's challenges are unique, challenging and fresh because the story really is counter to other genre plots. This is a mystery/drama/adventure film, not a superhero film. The stakes are much more personal. The consequences are much more grounded and involve people that you really do care about. This is how you write a summer film! I've read reviews and interviews that mention the classic samurai films and The Outlaw Josey Wales when talking about this movie and that is absolutely right on the mark. The say less/do more but still have character depth of the best of those films are in this film. This gem is NOT about Wolverine slashing his way through the enemy. Sure there's slice and dice action but the story is about love, about suicide, about calamity, about loss, about selfishness versus selflessness, about love lasting beyond the grave and about heart. It's as far away from a video game movie as it gets and this summer is in need of that right now.Everything set up perfectly here and they sure did deliver. You have the right actor that's been already established and a X-world we already know enough about. They shelve any idea of an introduction or origin and finally tell an incredibly smart story we all wanted to see and one that hasn't been done before. This movie squarely focuses on Logan. It's a story just about him that allows him to explore everything that makes the character great. It explores everything including his rage, his methods of fighting, his honor, the conflict in his soul, his very nature, his intelligence and mystery solving abilities as well as his ability to love and have relationships. All of it without it having to juggle any team members or mutant plots. It's just what a Wolverine movie should be.This is a gritty Wolverine. It's all about anger and determination and being a 'mutant monster' created by both God and man. He was born with his mutant abilities but was augmented with adamantium by man. Knowing what he is and what he has done has left psychic wounds. That depth and the gritty action really gives this film the grounded feel. Like with all good Marvel films, it feels like this wild stuff can occur in this world and it isn't so fantastical that it pulls you out of the film. The balance is perfect and thrilling. This really is the Wolverine film we have been waiting for and my favorite movie of the year to date.",Null,11,23,24 July 2013
Iron Man," Hits a High Standard of Excellence... GREAT Film.
","All too infrequently, a much hyped blockbuster hits the mark with such power that it resonates above all others. Mark my words, Iron Man is such a movie. I've been privileged enough to view an advanced screening and, honestly, it's the best big budget movie that I've seen in many years. It hits a high standard of excellence for mass audiences by combining humor, a smart plot, breathtaking action sequences, a heavy dose of self discovery and realization, betrayal, forgiveness, love and puts it all together in one amazing package. The special effects and CGI are probably the best I've ever seen in terms of relatable effects. They're not over the top and don't overwhelm your senses. What's even more remarkable is this movie will surprise a lot of people with its depth while sacrificing none of the fun. The inner turmoil worked well, the beautiful thing is that we can relate to each character, especially that of Tony Stark. Stark's indomitable charm mixed with his flawed character makes this hero more interesting then most. Iron Man delivers action with great emotional moments and a movie that lives up to all the hype it has generated.The cast is obviously stellar but that doesn't always mean greatness. (American Gangster, Street Kings anyone?) I'm happy to say this amazing cast delivers in every way. Downey himself delivers one of the greatest performances in a comic adaptation film EVER. Maybe it's because the character itself is one of the most complex and intriguing that any genre has to offer but that doesn't diminish just what a home run Downey has hit. They took the character seriously but still remembered to include fun and humor. I almost can't convey how much I enjoyed his performance.Minor SPOILER....My only real complaint is the rumor of a Sam Jackson cameo was not fulfilled. He is even listed here as playing the character of Nick Fury. He did not appear in the cut that I saw. After browsing, it's been offered that his cameo was probably just removed for the early screenings. I hope that's true and they put it back for the final cut. This means I'll just HAVE to see this movie again. LUCKY ME!",Null,131,184,15 April 2008
