movie_title,title,review,rating,helpful,total,date
Vertigo," Excellent
","I finally watched Vertigo in its entirety. It was quite good. I've heard documentaries say that its Hitchcock's most intimate and emotional film. I most definitely agree. Jimmy Stewart gives an incredible performance. You really feel the tormented state he's in.The sets were great, which proves to be a Hitchcock norm. The music is magnificent. I won't comment on the story too much, other than to say you should give it a watch. Its quite good! Given that I am too young to have known Hitchcock's films when they were released, I am greatly enjoying the ability to go back and watch all of his films at my leisure. I can't watch one on any given night then another HC film the next night. That makes me the lucky one.Go watch Vertigo. :D",9,2,4,1 March 2012
Black Swan," It's good to refuse to play it safe.
","I finally had a chance to see this film. I was on the fence about whether or not I wanted to watch it. I enjoyed the fact that it was made in a very indie fashion even though he could have went a different route. The CG is very well done and flows throughout the story seamlessly.I like the film more and more each day, but I feel it does have its problems. Its almost like the picture needed some 'crazy relief' sprinkled in it from time to time. Altho, maybe that was the point. That we feel as off balance as she does.The film itself is very well directed, shot, edited, and acted. I may like it even more tomorrow and raise my rating. For now I'll need to let it cook for a while and wonder if it felt like the right balance or if it felt a bit too much like a beat down.Its definitely worth checking out to see what you think. Its a film that takes risks and I can definitely respect that.",7,1,4,5 March 2012
The Prestige," Masterfully Handled!!!
","I continue to be blown away at how fantastic this film is. It is executed with extreme precision. Every aspect of the film, all the way from visuals to the character development, is masterful.I'm not sure how it fared awards wise upon its release, but it should have racked up quite a few. The story is wonderfully layered, the acting is superb, the directed is spectacular, etc. I can't find anything about this film that I would change.Congratulations to the entire team that put this project together. I consider it one of the best films of all time.If you have the opportunity I strongly urge that you check this film out. I think you'll be glad you did.",10,21,32,23 February 2012
Fast & Furious 6," Some thoughts...
","I'll refrain from breaking down the entire film for you given that you've either seen it or are curious about watching it. So instead I'll just hit what I considered a few of the movies strong points and not so strong points.THE GOOD: The tank scene was surprisingly awesome to watch. I didn't expect the carnage they actually showed in the film, given it was a popcorn movie. The hand to hand fight scenes were also quite well done (most notably in the train station). Obviously the movie had tons of car chases that were well handled.THE BAD: The story was very weak. So tell me again why Diesel's team is the only group of people that can take down this bad guy? It's like they predicted that there would be tons of car chases. Why would you even assume that? Besides lots of plot issues the dialogue itself was a bit hard to get through. I will say that Tyrese's character was the high point of the film for me. Thank goodness he had his little quirk. It was definitely nothing special, but if you like the franchise you'll enjoy the movie. Not one I would necessarily recommend tho.",6,0,1,7 June 2013
Alien," Not quite what I remembered
","I saw Alien as a kid and I recalled it being extremely scary. Many years have gone by and I recently watched it again. It fell short of my memories.It's not that it isn't a good film. It's 'fine.' The main issue I have is that the characters are 99% hollow. They have absolutely no development, so why would we care if they live or die? The only people we get to know at all are the two mechanics on board. They complain back and forth with each other about how many shares they are getting, etc. Other than that we don't know or care anything about anyone else. I'm not even sure that we know what jobs most of the other crew members have.Also, that alien sure as heck did grow fast. It went from the size of a squirrel to the scale of a large man in like 30 minutes. And that was without eating anything. And by the way, Ash said he was ordered to bring the species back and that the crew was expendable. Why in the world didn't he just freeze the facehugger while it was on the random crew member's face? The mechanic even suggested it.Like I said, it's not a bad movie it's just not very extra special. Scott seems (as usual) obsessed with sets and not much else (for another example watch Blade Runner or Prometheus).",7,1,4,9 November 2012
Kung Fu Panda 2," Surprisingly Excellent
","I was quite surprised to watch this film and discover that it was full of hidden jewels. There was some very interesting 'camera work' as well as various nice montages though out the film. There was also a very nice mix of different styles of animation. The paper cut out puppet segments of the film were wonderful.That being said, my favorite part of the film was the relationship between the lead character and his father. For an animated film they truly tugged on the heart strings. I must also add that the subtle acting in the faces of the characters was incredibly well done by the animators.You should definitely check out this film if you're even the least bit curious.",8,0,1,10 March 2012
Little Miss Sunshine," Dang near Perfect!
","There are very few films that one can say are flawless and of course nothing is without some type of error here or there, but I must say that Little Miss Sunshine is absolutely fantastic. I can think of nothing at all that I would change about this film.The cast, story, visual style, pacing, editing, and directing are spot on. It has a wonderful mix of comedy, drama, and reason for legitimate intrigue. The group of misfits offer us several passageways into the story. Obviously we each have our own unique needs from a movie, but for me this one is about as close to perfect as you can get.If you haven't seen it, treat yourself to a story full of laughs, tears, and growth. I don't think you'll be upset.",10,2,3,28 February 2012
Hugo," Some Thoughts...
","This is a tough one to break down. The movie was brilliantly shot, but I must say that it seemed to fail at ever fully creating the majestic mood it was going for. The pacing made it very tough to become completely engaged in the first half of the movie. The second portion did take it up a notch and add something to the film.It mainly felt like he made this film as an excuse to tell the origins of film, or at least through one persons life. The acting was hit and miss, but overall I enjoyed the film because it tried to have a big heart and that is at least worth something.These are just my thoughts, I'd suggest that you watch the film yourself and see what you think.",6,5,6,2 July 2013
Ghost Rider," Yikes!
","Here's the deal. I wanted to like this movie. I really really did. Even after the fact I tried to make excuses for them, but the fact is that its just not very good. I thought the design for ghost rider was fairly decent.For an action film it was incredibly lacking in the action department. I kept thinking the fight scenes would suddenly get better........oh wait...no, they're not. Oh well. Don't get me wrong, the film has somewhat of a sense of fun it just still falls short in many many areas.The new version is coming out soon. Its a reboot, even though it also stars Nicholas Cage...odd.Fingers crossed for the next one.",5,0,0,3 March 2012
The Wrestler," A very well made film
","Upon watching the Wrestler the first thing that comes to mind is how true to life it seems. We get a first hand look at the aspect of a profession that it is very easy to act like never happens. Day to day problems, not to mention what happens after the bright lights go dim.Mickey Rourke pulled off a magnificent performance. He really should have won some major awards for it. The shooting style was just right for the story. I will say that the director used the exact same 'feel' for Black Swan with didn't work quite as well as it did in the Wrestler.I'm not a professional wrestling fan, but i do think its something anyone that watches WWE should check out so that you can see what these guys life is actually like.Very good movie.",8,0,0,3 March 2012
