movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," This movie makes Edward D Wood Jr. look like a 'genius'
","As a bad movie fan of Edward D Wood Jr's 2 'classics' -'Plan 9 From Outer Space' and 'Glen or Glenda', these 2 movies have been argued to be the stupidest and worst movies of all times and that is what adds to their appeal.  Well, move over Ed Wood (thank God, he's not alive to see this) because the BWP has these 2 classics creamed for bad and tasteless.  As far as scary, Plan 9 at least shows who the villains are trying to take over the earth (so called 'Aliens' dressed up in carhop uniforms)  As far as BWP is concerned, nothing is shown and the camerawork is sooo poor in quality, that a drunken alien could have done a better job with the quality of the filming.  My son hookwinked me into going to see this piece of trash and I felt like demanding my money back when the movie ended.  When we got home, I screamed 'I was robbed, I want my money back!'  After taking some time to cool off, I suddenly realized that I was 'priviledged' to have witnessed the worst movie of all times and there will never be a worst movie made!!!  I can't believe that there are tasteless idiots that liked this crap, maybe I should sell them my Bridge in Brooklyn for a cheap price!! This movie will go down in history as the biggest public scam of all times in the movie industry!!!  The only good thing to be said of this movie is that it makes 'Glen or Glenda' look like a 'Rembrandt'",1,2,4,8 February 2004
The Blair Witch Project," Useless Spook Movie
","This is THE most overrated movie of all time. The camera action was soooo bad that it gives you a headache trying to watch the action!! I have a camcorder and to make a recording this poor is worse than having it held by a 2 year old!! The plot is cheap, the acting terrible and the special effects non-existent. This movie makes Ed Wood's movies look like masterpieces. The idiots that thought this movie was scary must either been on drugs when they watched it (in order to see a monster since there was none shown in the movie) or don't have a clue what makes a good movie--(you know, like a plot, good acting and realistic special effects--all lacking in this bomb!) To give this movie more than a zero is a joke to the rating system. Maybe I'll make a scary movie----I'll get drunk with my friends, stumble around some trees and call it a forest, stick cartoon cutouts in trees and have my buddies scream and disappear while I shoot these scenes twitching my hands spastically so the viewers can't tell what's going on and call it 'Monsters in the Forest'. Then, I'll overhype this 'classic' as a true story and rake in the millions!!--As ridiculous as this seems, the makers of this bomb did just that and must be laughing all the way to the bank!!",1,1,4,4 December 2004
The Rookie," You are never too old to chase your dreams
","One of the best films I have ever seen!  An inspirational true story of a man who gave up his dream of making the 'Big Leagues' many years ago due to a severe shoulder injury who coached his high school team and was also teaching science.  His shoulder had healed over the years and he was able to throw batting practice without pain and his team was amazed at how hard he could throw.  They made a deal with him that if they won their conference and went to State, he would have to pursue his dream (long ago given up) by going to a major league tryout.  He thought this was a safe bet, since the team had started the season off on a losing note.  The team got hot, won the conference and he reluctantly followed thru on his end of the bet.  The amazing fact was how much harder he was able to throw now, as compared with how he threw many years ago.  The movie left out the fact that when his shoulder was operated on many years earlier, a large bone spur was removed and he no longer had shoulder pain (although he had already retired from baseball)  The movie made his new founded ability to throw 98 miles per hour (he could only throw 85 in his prime) seem miraculous in nature.  Even though it is remarkable, the real Jimmy Morris was a muscular athlete who probably was limited by this large bone spur in his shoulder that wasn't removed till after he retired.  Other than that, the movie follows his true life quite accurately and Dennis Quaid was excellent playing Jimmy Morris. The fact that he was the oldest major league rookie since Satchel Paige makes for an interesting story and it is truly a remarkable, uplifing movie.---definitely 4 stars out of 4 in my opinion",10,4,4,5 February 2004
Ed Wood," This movie will grow on you!!
","When I first watched this film, I had never heard of Edward D Wood Jr. or saw any of his tasteless films.  I kept waiting for his story to have a happy ending -like making a movie the world would love and couldn't understand why he seemed like such an idiot while I waited patiently for him to 'hit it big'.  When the movie ended, I felt cheated until I investigated who the real Edward D. Wood Jr. was and rented out some of his 'classics' -'Plan 9 from Outer Space', 'Glen or Glenda?', 'Jailbait', 'Bride of the Monster', 'Night of the Ghouls'.  Now I am the 'proud' owner of all these 'classics' and am the biggest Edward D. Wood Jr. fan.  I also have 'A Look Back in Angora -The Life and Times of Edward D. Wood Jr' (a must see for any Ed Wood fan) -This hour long film shows the real Ed Wood and interviews those that knew him well.  His life really spiralled out of control after 'Plan 9' was nade (just like the movie said) and he became a bloated drunken derelict too pathetic to even make skin flicks at the end of his life (although he made numerous tasteless porn flicks during the 60's).  This true life story would make an effective A.A. film -showing the devastating effects of extreme alcohol abuse and how it ruined Edward D. Wood Jr. (although it never destroyed his talent since he had none to begin with!!)---10 out of 10 definitely (it will make you an Ed Wood fan too!)",Null,0,0,21 February 2004
"Good Morning, Vietnam"," Williams at his finest!!
","The only thing more amazing that there are tastless viewers that don't see the humor in this movie is the fact that you would actually print their responses like they were 'expert critics'.  Williams delivers playing fast talking discjockey Adrian Cronouer.  He is hilarious in the fast talking lines that he delivers over the air and the movie also has an interesting serious side too, showing the pointless destruction that war brings about. This movie delivers from both angles, from the funny to the serious.  The other actors such as Forrest Whitaker complimented Williams quite well and this movie deserves high marks.  8 out of 10 definitely (or 3.5 out of 4)",Null,2,4,7 February 2004
The Alamo," A cause to die for!
","Excellent movie about Texas independence from Mexico and the heroes who made it happen!  Billy Bob Thornton was surprisingly good as Davey Crockett (I was interested in seeing this movie for that reason alone--I thought this was a funny choice but he was excellent in this role.  Jason Patrick also was good as Jim Bowie and Dennis Quaid proved once more to be a versatile actor by his fine portrail of Sam Houston.  I thought this movie was better than the John Wayne Alamo of the 1960's -more accurate in showing Travis death (a bullet to the head early in the final siege on day 13) and also showing Crockett's capture and execution (most historians believe he and a few of his men were captured and executed shortly after the Alamo fell.)  I also liked how the movie continued after the Alamo fell and told how Santa Anna was finally defeated.  It is a good family movie to see --very educational and historically accurate.  The critics have bashed this movie for reasons unknown.  Several people who left the theatre the same time as me said almost in unison -'I can't understand it, the critics ripped this movie and it was really good' --The Alamo didn't concentrate on any one central character and didn't throw in a ridiculous love story to appeal the masses like 'Titanic', 'Pearl Harbor' and 'Enemy at the Gates'.  I guess this is an essential element with today's critics because if a movie doesn't have it, the movie gets ripped!! --This movie deserves a much better rating than the expert critics gave it.",10,21,23,13 April 2004
Seabiscuit," Not enough info about the horse!!
","Yes, I agree with your evaluation that this is a very good movie and great story.  What bothered me about the film was how long it took before the main character was introduced into the story.  Once the horse was brought into the film, the movie got real good and had an inspirational ending.  What bothered me was how little we learned about Seabiscuit.  How many races did he enter and win?  How much money did he win for his owner?  How long did he live after he stopped racing and was he put out to stud to manufacture other 'little Seabiscuits?'  A truly great film about a certain character whether it is a war hero, sports great or even a famous horse should both entertain and teach us about this character's life and times.  We should come out of this film knowing a lot more facts about this character than we did before we saw the film.  While 'Seabiscuit' was very entertaining, it left out important facts about the main character that left me wanting to find out more about this horse that the movie failed to tell us.",Null,0,0,5 February 2004
Rudy," Better than 'Rocky'
","This movie was dubbed a football version of 'Rocky' except for one exception --it is an actual true story!!  If you can watch 'Rudy' and not have a lump in your throat during several scenes, especially the ending, then you are a hard to please critic!!  This movie deserved much better than the 7.1 than the 'critics' gave it.  Sean Austin did a magnificent job playing overachieving Rudy and for those who ridiculed the fact that he only played a few seconds at the end of a lopsided game missed the whole point of the story.  Rudy's dream was to play football at Notre Dame and earn everyone's respect (including his doubting family).  With his lack of talent for both academics and athletics, the mere fact that he was even admitted into Notre Dame after struggling so hard to get good grades at Holy Cross (the Junior College Rudy went to in an attempt to prove himself worthy of Notre Dame since he had been out of High School for several years and made poor grades in High School.)  He overcame his learning problems that had held him back in High School and this was a monumental achievement in itself.  The scene where he was finally admitted into Notre Dame on his final attempt (he had been rejected 3 earlier times) was uplifting indeed.  Rudy overcame reading difficulties thru hard work much the same way he overcame his lack of size to make the Notre Dame's football team --thru a gut-busting, never quit attitude.  His teammates were so impressed with his attitude that they forced the coach (Dan Devine, a real jerk in the movie) to dress him for the final game.  The final scene where the entire stadium was hollering 'Rudy, Rudy, Rudy' in an effort to get him into the game at the end was spine-tingling!  Rudy busting thru the line to sack the quarterback at the end of the game and get carried off the field with the stadium going nuts chanting his name---Well, movies don't get any better than this.  And all this really happened!!  Amazing how one of the best stories ever told in movies involve an 'average Joe' who achieved his dream thru hard work----a Horatio Alger story indeed--10 out of 10 definitely ---For some of you 'critics' that rated it worse than a '7' --you should take a class in movie critic reviews --you definitely would flunk my class if you gave this one a worse score than that!!",10,65,80,22 February 2004
Rudy," Better than 'Rocky'
","This movie was dubbed a football version of 'Rocky' except for one exception --it is an actual true story!!  If you can watch 'Rudy' and not have a lump in your throat during several scenes, especially the ending, then you are a hard to please critic!!  This movie deserved much better than the 7.1 than the 'critics' gave it.  Sean Austin did a magnificent job playing overachieving Rudy and for those who ridiculed the fact that he only played a few seconds at the end of a lopsided game missed the whole point of the story.  Rudy's dream was to play football at Notre Dame and earn everyone's respect (including his doubting family).  With his lack of talent for both academics and athletics, the mere fact that he was even admitted into Notre Dame after struggling so hard to get good grades at Holy Cross (the Junior College Rudy went to in an attempt to prove himself worthy of Notre Dame since he had been out of High School for several years and made poor grades in High School.)  He overcame his learning problems that had held him back in High School and this was a monumental achievement in itself.  The scene where he was finally admitted into Notre Dame on his final attempt (he had been rejected 3 earlier times) was uplifting indeed.  Rudy overcame reading difficulties thru hard work much the same way he overcame his lack of size to make the Notre Dame's football team --thru a gut-busting, never quit attitude.  His teammates were so impressed with his attitude that they forced the coach (Dan Devine, a real jerk in the movie) to dress him for the final game.  The final scene where the entire stadium was hollering 'Rudy, Rudy, Rudy' in an effort to get him into the game at the end was spine-tingling!  Rudy busting thru the line to sack the quaterback at the end of the game and get carried off the field with the stadium going nuts chanting his name---Well, movies don't get any better than this.  And all this really happened!!  Amazing how one of the best stories ever told in movies involve an 'average Joe' who achieved his dream thru hard work----a Horatio Alger story indeed--10 out of 10 definitely ---For some of you 'critics' that rated it worse than a '7' --you should take a class in movie critic reviews --you definitely would flunk my class if you gave this one a worse score than that!!",10,2,3,22 February 2004
Enemy at the Gates," One man really can make a difference!
","Although the special effects were very realistic, way too much emphasis was given to the Russian snipers dual with the German sniper.  A truly great book, 'Enemy at the Gates, The Battle for Stalingrad' tells the full story of the German 6th army's successful invasion deep into Russia until they were stopped at Stalingrad.  While the movie concentrated on 2 central figures (the 2 snipers), the book goes much more into detail on how the Germans failed to support their flanks in the large areas outside of Stalingrad, poorly protected by their Hungarian allies.  The fierce fighting to take control of the city lasted many weeks, from August 1942 thru January 1943 but it was the successful counterattacks outside the city that surrounded the 6th army and spelled its doom that was the real story of this battle.  This was the most important battle of World War 2 that totally changed the momentum of the war and if you watched this movie you missed all these important facts.  What happened to the 6th army after they were surrounded by the Russians and were ordered to 'hold fast' and not retreat from Stalingrad while their army was still strong enough to break out and make a run for it would have made for a much more enjoyable and educational film.  If you do not know the full story of Stalingrad, you can watch this film and not have a clue how the Russians end up winning this key battle (although you do learn which sniper wins the dual).  If you are going to make a movie with the exact same title as the book ('Enemy at the Gates'), it would help if you followed the book a lot closer than this movie does. 2 stars out of 4 in my opinion.  I was horribly disappointed in the film for those reasons.  If it had followed the book, it could have been so much better.",1,22,41,5 February 2004
