movie_title,title,review,rating,helpful,total,date
First Man," First viewer
","It has certainly helped me as a viewer understand the amount of risk and sacrifice a man must undertake to accomplish such a featIt's heartbreaking, heartwarming, and heart aching all in one. To be in Neil's shoes is exactly what Damien wanted me to feel and he's done it so well",7,0,0,26 April 2020
BlacKkKlansman," Spike, thank you
",And thank you Academy for actually acknowledging some fine work of Art that year and making sure African American film is duly representedI can't imagine how relevant it still is today something that has happened so long ago still resonates in 2020,8,3,5,26 April 2020
Interstellar," Unrivaled Masterpiece
",It's now 2020 and I've just finished watching this almost three hour Odyssey. I'm still in shock at how amazingly written it is. Nolan you're a genius !!,9,1,4,30 December 2019
Avengers: Endgame," ARTWORK
","This movie has been highly anticipated. I prepared for it. Saw all the MCU MOVIES and took a friend along who is even nerdier than I am.
A masterpiece work of art by the Russo Brothers and truly worth every second of it",9,1,3,24 April 2019
City of God," Oscars ain't enough
","How typical of the academy to snub off a masterpiece like this. Based on a true story with relentless risk and breakthrough cinematography and still no Oscar to go home with. That aside, this is genuine film and the reason why more needs to be exposed of what really happens in Brazil.What an outstanding piece of art this movie was",9,1,1,17 April 2020
Once Upon a Time... in Hollywood," Alternate Reality
","Quentin imagines a day in 1969 where things could have gone differently and what it would look like. The costumes, scenery, and research are so well executed.Another point is at the end. When Leo torches and yells it cures me on another level. Not the torching but the punishment of those crazy fools",8,2,6,11 April 2020
Joker," Dream come true
","A real portrayal of a character so mistreated and so unfortunate now has been given its right. Todd you've outdone yourself again and again but this was a masterpiece !
What a production ! What a performance from Joaquin who might just make it all the way to and Oscar. You will not regret going to see this movie and it's one that will send chills all the way down your spine.",9,1,2,5 November 2019
Inception," A decade later
",Can't believe it took me 10 years to finally see this masterpiece ! Nolan you've outdone yourself this is refined geniusThis movie was nominated for 8 oscars and won 4 it's a must watch for any cinephile,9,1,2,27 March 2020
The Shawshank Redemption," Masterpiece
",Probably one of the greatest movies ever made no wonder it's on the top of the 250 List. I was personally holding back from watching it but the moment I found out Morgan Freeman was in it I just couldn't resist. Indeed it's been quite some time since the movie got released but it's just one of those golden works of art that can be picture at any time or place,9,0,0,18 August 2017
Blade Runner," Too bad she can't live
",Funny enough I saw Dennis's 2049 version first. It was actually a good idea and made things a whole lot easier for me while watching this one. Imagine how big this must have been in the 80'sAnd Ridley was directing all the way back then this was a newsflash for me. Well I gave it a 7 because it lost me a lot in between. Script could have been a little bit stronger but Scott isn't to blame. Harrison just isn't my fav actor out thereGreat film nonetheless,7,0,0,27 March 2020
The Matrix," 21 years later
",This movie is not only one of the best written screenplays I've ever watched but also one of the finest performances for young KeanuMind blown at how relevant this is today as it was then. Brothers you've outdone yourself and now I'm finishing off the trilogy,9,0,0,29 March 2020
Cinderella Man," Turtles made it home
",What a movie ! Such a beautiful bio of a wonderful man. A try inspiring figure in a difficult time in history. These movies are why I love cinema and Ron Howard displays it so well.I like how Russel portrayed the character he was smart to rewatch the tape and even smarter not to take the fight out of the ring. Learned from his tactics and how he was always there for family.René played an amazing role in the success of this film,8,0,0,30 April 2020
