movie_title,title,review,rating,helpful,total,date
Men in Black 3," A movie with Heart and deep meaning about J
",When I first saw this at 8:30 in the morning on Saturday with stores opening I was 18 at the time I was obsessed with it it became very personal to me it brought back the tone of the franchise With a deep meaningful relationship with K and J and explains why K got J in the agency a great twist and turn you will love it,10,1,1,7 May 2020
The Expendables 2," A awesome movie
",Great Movie The boys are back in the 2nd high testosterone fuelled fun 2 times better more blood more action plus the fight between Jean-Claude Van Damme and Sylvester Stallone where been waiting for,10,0,0,21 January 2020
Captain Marvel," Captain Marvel is Marvels version of wonder woman
","Captain Marvel is amazing very funny it brings a new feel to female superheroes
And most importantly a special tribute to the late great Stan Lee. very colourful and this Marvel movie will not disappoint and New take on the MCU sounds ok but you will not be disappointed",10,2,17,28 March 2019
Hot Fuzz," Here comes the fuzz 10/10
","This is pure action fun Comedy with a Dark twist Simon pegg is awesome this is why you love action movies in the first place just pure action this movie is R13 IN
my country And acts like it too",10,0,1,1 December 2019
Star Wars: Episode IX - The Rise of Skywalker," A masterpiece
",I don't know why people are giving this 1/10 this movie is a masterpiece JJ abrams did a amazing job at listening to the fans because of the last jedi and this answers everything about the first order and their leader The Final confrontation With Palpatine is very Dark I must warn you JJ abrams restores the Last jedi with this one plus another thing about Palpatine this is Ian McDiarmids Darkest Proformances yet as Palpatine,10,6,22,19 December 2019
Justice League," Good movie but it has its moments
",When I first saw this movie I thought Ben was a OK Batman I could grow with him wonder woman was great cyborg was pretty cool overall Good movie it could have been better,9,2,3,29 September 2019
Terminator 3: Rise of the Machines," Terminator 3 a new take on the franchise
",Terminator 3 is a descent Film with has a heart to it. instead of a T-800 terminator its a T-850 thats battles the T-x and shes very creepy John Conner is 19 and its 2004 and John is not the target anymore. you will enjoy this movie and best of all Arnold Schwarzenegger really steals the show,9,1,1,26 April 2019
Face_Off," A Goldmine 97 Flick
",This Movie is the greatest movie of all time very graphic face transfer mindless violence very john woo this flick reminds me of why i love these type of movies in the first place Nicolas Cage John Travolta at their best very original popcorn fun movie,10,0,1,12 September 2019
Avengers: Endgame," the Greatest movie achievement of mankind
",This is the greatest MCU movie of mankind Captain america was awesome and made his character shine all you Back to the future Fans will love Hulks theory on time travel and the thanos ending fight is pure Cinematic excitement. this is probably the greatest no its the greatest movie i have seen in my 25 years living on this planet,10,5,8,30 July 2019
Avengers: Infinity War," Welcome to 2018's Greatest movie 10/10
",The Magic and Powerful tone of this movie is incredible Thanos played by josh brolin is what really makes this movie shine I haven't seen him in movie since MIB 3 amazing proformances all of them The greatest MCU movie ever,10,0,0,31 July 2019
Batman v Superman: Dawn of Justice," A average Superhero movie
",I actually enjoyed this movie I don't know why people don't like it give it a chance could of been better yes ben affleck was a good Bruce Wayne overall rating 9/10,9,1,4,15 October 2019
