movie_title,title,review,rating,helpful,total,date
One Hundred and One Dalmatians," Animation great
",This animation is very good. Cruella de Vil is a epic villain,10,0,0,19 May 2020
Mulan," Movie nice
",This animation is very Nice. Maybe the princess of Disney more stronger,7,0,0,19 May 2020
The Jungle Book," This movie very awesome
",This movie is very awesome. Is wonderful. The musics is very beautiful,10,0,0,19 May 2020
Lilo & Stitch," Awesome
","It's so beautiful, Nice, wonderful, awesome. I Love it",10,0,0,20 May 2020
The Little Mermaid," Wonderful
",This animation is very very wonderful. Is Magic. Ariel is very beautiful,10,1,1,19 May 2020
Hercules," Is a awesome film
",Is a awesome animation. Characters very carism. Hades is epic,9,0,1,19 May 2020
Snow White and the Seven Dwarfs," This so magic
",This animation is so Magic. Is incredible. Walt Disney is a genious,8,0,0,18 May 2020
Cinderella," Silver Age started
",Silver Age started very well. Animation very wonderful,9,0,0,18 May 2020
Tarzan," The best soundtrack of Disney
",Without dude is a epic animation. With the best soundtrack of Disney ever,10,0,0,19 May 2020
Pocahontas," I don't like This movie
","I really don't liked This movie. Maybe, Is the worst princess of Disney",5,0,4,19 May 2020
