movie_title,title,review,rating,helpful,total,date
The Lobster," Waste of time
",The movie looks promising at first however it gets more boring with each passing minute.Probably one of the worst out of there.Comedy? I didn't laugh once.,1,0,3,1 May 2019
12 Angry Men," Simple and engaging
","12 men in a room for 90 minutes and even then the film is very enjoyable and engaging.They are there to judge an 18-year-old boy for murder and the verdict has to be unanimous, though one of the 12 men is not convinced of the kid's guilt and then begins to argue in favor of the young man.The director manages to put us in that room and Juror 8 (Henry Fonda) tries to convince not only the other 11 but also ourselves.At what point did you change your mind?",10,0,0,8 April 2019
Dead Poets Society," Poetry
","An out-of-the-way teacher encourages his students to seek their own way and fight for their dreams, changing his lifes, the film is a poem about poetry. Really enjoyable.Carpe diem!",10,0,0,13 April 2019
Trouble with the Curve," Predictable and enjoyable
",A old man who's working as a scout since ever is losing his vision and his daughter back home to help him in their daily things and scouting afterwards however he's grumpy. The subplot is a romance story of his daughter.Predictable however very enjoyable.,10,1,1,19 April 2019
American Psycho," Inside the mind of the guy who lost his one
","Inside the mind of a rich guy who is a psycho, the movie submerges in drama and a bit of action & horror. Bateman, well played by Bale, is a selfish playboy who start to lose his temper and has no empathy with other people, resulting in insults and blood.A good movie.",10,1,1,13 April 2019
Dangal," Drama sport
","Portraying a dream that finds a way, the story flows easy and tell about a man and his daughters fighting in and out the tatami. The script is good and the acting follow the same level.Definitely worth to watch.",10,1,1,5 April 2019
The Princess Bride," Simple... and beautiful!
","A boy is sick and his grandfather appears in his room with a book to read to him.The storytelling is simple and fascinating at the same time, the 90-minute movie flies by as you and the boy listen to the story that involves drama, action and comedy.",10,2,3,17 April 2019
The Last Samurai," Good one
","As expected in a good movie, the protagonist completely transforms. After being recruited to lead an army whose function is to exterminate a village of samurais, he is captured by the enemies when losing the battle and there begins its transformation.Amazing acting as well as the shooting location.",10,2,6,11 April 2019
The Wrestler," Masterpiece
","The script is quite simple however the little details and great performances of Marisa Tomei and specially Mickey Rourke have turned the movie into a masterpiece.'The ram' is a solitary wrestler who distanced himself from his family and nearly died in the ring, so he started trying to recreate a family.",10,1,1,5 June 2019
Raging Bull," Raging
","The life of a champion inside the ring and a loser outside. Isn't just a sport history, the movie directed by Scorsese follows the life of LaMotta (De Niro) who was always fighting everyone including himself.The great drama appears outside the ring, especially with his family.",9,0,0,15 April 2019
