username,rating,helpful,total,date,title,review
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","While I understand the disappointment , this was NOT a bad film ."
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","It isn""t as good as the first one ,"
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","but I think it holds up pretty well ! There""s lots of fun to be had watching this from the animation to the humor , and there are still some touching scenes that show there is heart put into this film ."
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","I recommend seeing CinemaWins "" Everything GREAT about Incredibles 2 "" if you want to see why this film is still pretty decent ."
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","Only somewhat weak spot in my opinion was the main villain who was somewhat predictable ,"
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","but man the animation at times truly is "" Incredible "" ( pun intended ) ! Go see it ! It was well worth my time"
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","and I enjoyed it , so I""m surprised to see it get all these 1 star reviews ."
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","Far from Pixar""s best but still a good flick ."
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","I know you can""t please everyone"
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
",but I think this movie is terribliy overhated .
Reckno64,9,25,29,31 March 2019," Surprisingly overhated
","That""s just my opinion at least . 9 stars out of 10 !"
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
","Good : The animation for this movie was excellent just like most other Pixar movies , it was funny ( especially Jack Jack )"
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
",and I really liked the action sequences throughout the movie .
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
",I liked that the movie showed that parenting ( when done right ) can be heroic .
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
","Bad : I thought this film has quite a few problems , the biggest problem was that the ending was pretty predictable , I could see it coming ."
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
","Also , there was a feminism theme with Helen which was okay"
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
",but at times it seemed to shove it in my face
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
",and it got to be annoying .
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
",There seemed to be a little too much going on in the movie
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
",and a few too many characters .
Ajk2386,6,195,270,10 November 2018," Definitely not as good as the first Incredibles movie
","I""m glad I saw the movie , I just don""t think I would see it again anytime soon ."
bigal_a,7,7,7,25 April 2019," Much better than I feared
","When I heard the synopsis of this film , I feared it would be going down the social justice rabbit - hole as so many other popular franchises have done ."
bigal_a,7,7,7,25 April 2019," Much better than I feared
",My main fear was that Elastigirl was going to shine effortlessly
bigal_a,7,7,7,25 April 2019," Much better than I feared
",and Bob was going to be totally out of his depth and incompetent .
bigal_a,7,7,7,25 April 2019," Much better than I feared
","And in truth , there was some of that ,"
bigal_a,7,7,7,25 April 2019," Much better than I feared
",and a little bit of feminist by - play between Elastigirl and Evelyn .
bigal_a,7,7,7,25 April 2019," Much better than I feared
","But , to be honest , I think even super - mum Helen would have had her hands full with Jack - Jack , who shines in a scene where the baby fights a racoon , emerging untouched and the animal slinking away terrified ."
bigal_a,7,7,7,25 April 2019," Much better than I feared
","And Bob does get to grips with his enforced home life , getting the ever - enjoyable Edna Mode to look after Jack - Jack ( which she seems to enjoy ) , so he can get a night""s sleep"
bigal_a,7,7,7,25 April 2019," Much better than I feared
",and get back on his feet .
bigal_a,7,7,7,25 April 2019," Much better than I feared
","So he ends up effectively and clearly teaching maths to Dash before an exam ,"
bigal_a,7,7,7,25 April 2019," Much better than I feared
",and getting lovelorn Violet back on his side .
bigal_a,7,7,7,25 April 2019," Much better than I feared
","Even when Jack - Jack returns , Bob seems reinvigorated , almost reveling in his baby son""s burgeoning powers ."
bigal_a,7,7,7,25 April 2019," Much better than I feared
","Not to say too much about the climax of the film ,"
bigal_a,7,7,7,25 April 2019," Much better than I feared
","but suffice it to say that all the kids play their parts , as well as some new supers with bizarre powers that the Deavor siblings have gathered from around the world ."
bigal_a,7,7,7,25 April 2019," Much better than I feared
","And at the end , Mr Incredible , Elastigirl and Frozone end up fighting as a team , together again ."
bigal_a,7,7,7,25 April 2019," Much better than I feared
","I liked it , and I probably will watch it again some time ."
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
",""" Incredibles 2 "" was probably the most anticipated movie of the year ; it""s hard to believe it""s made 14 years since the first original ."
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
",So obviously everyone was more than ready for this .
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
","The film does come through when it comes to entertaining action and comedy , with Jack - Jack , Bob , and Edna providing most of the biggest laughs ."
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
","The plot is interesting , because we""ve got to know what happened to the Parr family ."
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
","As far as the supervillain mystery , it""s acceptable"
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
","and somewhat entertaining ,"
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
",but a bit predictable and generic .
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
",The final criticism I have is that Edna definitely deserved more screen time .
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
","That being said , it is still an entertaining movie"
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
","and not at all "" painful "" to watch ."
NarniaIsAwesome,7,64,89,2 October 2018," Incredibles 2 is... Exciting and Acceptable.
","In conclusion , "" Incredibles 2 "" is funny , exciting , and really worth a viewing ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","Half way through watching this in the cinema , I thought "" maybe it""s me "" ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","Maybe it""s my fault I""m not into this movie ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","But I loved the original , so what""s going on . No ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
",The problem is this movie is a bland attempt to express messages about gender roles and current society issues .
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","It lacks flow , it""s just a bunch of scenes one after the other , there""s no coherent thread or curious elements tying it together ."
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","Nice visuals goes without saying ,"
randomStuff101,4,230,386,20 November 2018," Worse than original. Politically correct box-ticking. Bland story details.
","but the story is let down by a sense that it""s been engineered around a board room table by people referring to their social media feeds for inspiration , rather than dreamt up by talented writers ."
